"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_17","Section_18","Section_19","Section_20","Section_21","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_28","Section_29","Section_30","Section_31","Section_32","Section_33","Section_34","Section_35","Section_36","Section_37","Section_38","Section_39","Section_40","Section_41","Section_43","Section_44","Section_45","Section_47","Section_48","Section_49","Section_50","Section_51","Section_53","Section_54","Section_55","Section_56","Section_57"
2374796,"FPA Senior Financial Analyst","https://jobs.smartrecruiters.com/AbbVie/3743990006613906-fp-a-senior-financial-analyst","Abbvie","Montreal","No","5","Full time","2025-02-05T17:59:34.582255Z","Joining AbbVie means you will be part of a team of outstanding professionals dedicated to making a remarkable impact on patients' lives. At AbbVie, we conduct ground-breaking science on a global scale every day. AbbVie Canada is one of the Best Workplaces in Canada.","When choosing your career path, choose to be remarkable.","Professional Designation (CA, CGA, CMA or MBA).Four to five years of related work experience.Excellent knowledge of Microsoft Office (i.e. Excel, Word, PowerPoint).Excellent interpersonal skills.Knowledge of JDE, SAP and TM1 considered an asset.","AbbVie strives to provide a French working environment for its employees in Quebec. Although as part of its francization program has taken all reasonable steps to avoid imposing the following requirement, advanced amount of knowledge of English  Fluency in English is an essential requirement for the position of Forecast Analyst including, but not limited to, for the following reasons","AbbVie is an equal opportunity employer and encourages women, Aboriginal people, persons with disabilities and members of visible minorities to apply.","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html","US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html","AbbVies mission is to discover and deliver innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on peoples lives across several key therapeutic areas immunology, oncology, neuroscience, eye care, virology, womens health , and gastroenterology, in addition to products and services across its Allergan Aesthetics portfolio.","We have an opportunity for a Senior Financial Analyst to join the Commercial Finance Team. In this exciting opportunity, you will be responsible for completing tasks relating to compliance and planning.  The compliance responsibilities include completion of month end accruals, review of actuals vs. budget, providing commentary on actuals and completing tasks relating to audits  SOX as required by Corporate Finance.","This role reports to the Immunology Divisional Finance Manager, works very closely with marketing and is a key player in ensuring the accuracy of the financial information.","RESPONSIBILITIES","Responsible for conducting gross to net financial modeling aligned with pricing and contracting strategies.Assist, in preparation of the Plan, Update  LBE cycles of the Immunology Division.Responsible for completing the review, tracking and analysis of Immunology expenses.Provide financial information to groups supported regarding impacting goals.Assist Product Managers in establishing Plan, Update and LRP budgets.Work as needed with the Divisional Finance Manager and various internal AbbVie functional areas with Immunology POCNs and Contracts.Gathering data from multiple sources (eg. IQVIA, Patient Support Program, etc.) to review public and private payers Immunology invoices.Completing monthly accruals for Immunology working closely with Market Access, Customer Excellence (Trade), Marketing and Divisional Finance Manager.Providing monthly commentary of results vs. budget.Preparing monthly reconciliations of accounts.Perform Ad Hoc financial analysis upon request.Continuous process improvement.SOX Testing.Perform Rotational Compliance Audits.","CORE COMPETENCIES","Maintain effectiveness in a fast pace environment with changing tasks, situations, responsibilities, and stakeholders.Builds and maintains good relationships with team and other colleaguesmanagement.Takes actions to achieve goals (proactiveshows initiative).Constantly seeking out new ways to improve processes (innovative).Sense of urgency and ability to meet tight deadlines.Capacity to work under pressure quickly and autonomously.Strong analytical and problem-solving skills.Demonstrates a strong personal capacity for learning new aspects of the business and encourages others to do the same.","QUALIFICATIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374795,"Analyste principal, Finances, Planification et analyse financieres","https://jobs.smartrecruiters.com/AbbVie/3743990006613986-analyste-principal-finances-planification-et-analyse-financieres","Abbvie","Montreal","No","Not specified","Full time","2025-02-05T17:59:34.582334Z","Joindre a AbbVie signifie que vous ferez partie dune equipe de professionnels exceptionnels qui se sont engages a avoir un impact remarquable sur la vie des patients. Chez AbbVie, nous effectuons des recherches scientifiques revolutionnaires a lechelle mondiale au quotidien. AbbVie Canada est lun des Meilleurs lieux de travail au Canada.","En choisissant votre cheminement de carriere, choisissez detre remarquable.","Titre professionnel (CA, CGA, CMA ou MBA).De quatre a cinq ans dexperience dans un travail connexe.Excellentes connaissances de la suite Microsoft Office (Excel, Word et PowerPoint).Excellentes aptitudes pour les relations interpersonnelles.Connaissance de JDE, de SAP, et de TM1 un atout.","AbbVie s'efforce d'offrir un milieu de travail francais a ses employes au Quebec. Bien que, dans le cadre de son programme de francisation, AbbVie ait pris toutes les mesures raisonnables pour eviter d'imposer l'exigence suivante, le degre de connaissance de l'anglais et la maitrise de l'anglais est de niveau avance, ceci est une exigence essentielle pour le poste de Analyste des Previsions, notamment, mais sans s'y limiter, pour les raisons suivantes","AbbVie offre des chances egales demploi a tous et a toutes, et encourage les femmes, les Autochtones, les personnes handicapees et les membres des minorites visibles a poser leur candidature.","AbbVie sengage a agir avec integrite, a stimuler linnovation, a transformer des vies, a servir la communaute et a favoriser la diversite et linclusion. Elle a pour politique demployer les personnes les plus qualifiees sans aucune discrimination fondee sur la race, la couleur, la religion, lorigine nationale, lage, le sexe (y compris la grossesse), le handicap physique ou mental, letat de sante, les caracteristiques genetiques, lidentite ou lexpression de genre, lorientation sexuelle, letat matrimonial, le statut protege dancien combattant ou toute autre caracteristique protegee par la loi.",,,,"AbbVie a pour mission de decouvrir et doffrir des medicaments novateurs pour repondre a des besoins importants en matiere de sante aujourdhui et relever les defis medicaux de demain. AbbVie met tout en uvre afin davoir un impact remarquable sur la vie des gens dans divers secteurs therapeutiques cles, dont limmunologie, loncologie, les neurosciences, les soins oculaires, la virologie, la sante des femmes et la gastroenterologie, de meme que dans le domaine de lesthetique par le truchement des produits et services dAllergan Esthetique.","Nous avons un poste dAnalyste financier principal a pourvoir au sein de lequipe des Finances, Commercialisation. Dans ce poste passionnant, vous aurez la responsabilite daccomplir des taches liees a la conformite et a la planification. Les taches liees a la conformite consistent notamment a effectuer les regularisations de fins de mois, a passer en revue les donnees reelles par rapport au budget, a formuler des commentaires au sujet des donnees reelles et a effectuer les taches liees aux verifications et a la loi Sarbanes-Oxley, tel que lexige le Service des finances de lentreprise.","Le titulaire de ce poste releve du Chef, Finances, Immunologie, travaille en etroite collaboration avec la Commercialisation et est un joueur cle pour assurer lexactitude des renseignements financiers.","RESPONSABILITES","Assumer la responsabilite de la realisation dune modelisation financiere (calcul du brut au net) en harmonie avec letablissement des prix et les strategies contractuelles.Participer aux cycles de planification, de mise a jour et de la meilleure derniere estimation (LBE) de lImmunologie.Revoir, suivre et analyser les depenses de lImmunologie.Donner des renseignements financiers aux groupes desservis au sujet des objectifs qui ont un impact.Aider les chefs de produits a etablir les budgets pour le cycle de planification  plan, mise a jour et plan a long terme. Travailler au besoin avec le Chef, Finances, Immunologie, et divers secteurs fonctionnels internes dAbbVie sur les avis de modification de commande et les contrats relatifs a limmunologie.Recueillir des donnees provenant de diverses sources (p. ex., IQVIA, programme de soutien aux patients, etc.) pour examiner les factures relatives a lImmunologie des payeurs publics et prives.Effectuer les regularisations de fins de mois pour lImmunologie en travaillant en etroite collaboration avec lAcces au marche, lExcellence client (Relations commerciales), la Commercialisation et le Chef, Finances, Immunologie.Commenter chaque mois les resultats par rapport au budget.Preparer les rapprochements mensuels des comptes.Effectuer des analyses financieres ponctuelles sur demande.Contribuer au processus damelioration continue.Effectuer les controles relatifs a la loi Sarbanes-Oxley.Effectuer en rotation des verifications (audits) de conformite.","COMPETENCES DE BASE","Rester efficace dans un milieu dynamique ou les taches, les situations, les responsabilites et les parties prenantes sont en constante evolution.Etablir et maintenir de bonnes relations avec lequipe, ainsi quavec les autres collegues et les membres de la direction.Sengager dans des actions afin datteindre les objectifs (agir de facon proactive et faire preuve dinitiative).Chercher constamment de nouvelles facons dameliorer les processus (faire preuve dinnovation).Sens de lurgence et capacite a respecter des echeanciers serres.Capacite a travailler sous pression rapidement et de facon autonome.Excellent esprit danalyse et capacite a resoudre des problemes.Faire preuve dune excellente capacite dapprentissage en ce qui a trait aux nouveaux aspects de son travail et encourager les autres a faire de meme.","QUALIFICATIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374794,"Sr Medical Infocomm Rep - Medical Aesth","https://jobs.smartrecruiters.com/AbbVie/3743990006614036-sr-medical-infocomm-rep-medical-aesth","Abbvie","Chongqing","No","Not specified","Full time","2025-02-05T17:59:34.582356Z","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html",,,,,,,,"US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374793,"Sr Medical Infocomm Rep - Medical Aesth","https://jobs.smartrecruiters.com/AbbVie/3743990006614246-sr-medical-infocomm-rep-medical-aesth","Abbvie","Yangzhou","No","Not specified","Full time","2025-02-05T17:59:34.582376Z","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html",,,,,,,,"US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374792,"Sr Medical Infocomm Rep - Medical Aesth","https://jobs.smartrecruiters.com/AbbVie/3743990006614297-sr-medical-infocomm-rep-medical-aesth","Abbvie","Yangzhou","No","Not specified","Full time","2025-02-05T17:59:34.582395Z","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html",,,,,,,,"US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374791,"Sr Medical Infocomm Rep - Medical Aesth","https://jobs.smartrecruiters.com/AbbVie/3743990006614366-sr-medical-infocomm-rep-medical-aesth","Abbvie","Xi'an","No","Not specified","Full time","2025-02-05T17:59:34.582412Z","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html",,,,,,,,"US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374790,"Director, Field Access  Reimbursement","https://jobs.smartrecruiters.com/AbbVie/3743990006614466-director-field-access-reimbursement","Abbvie","Chicago","Yes","15","Full time","2025-02-05T17:59:34.582432Z","The Director, Field Access  Reimbursement, Immunology and Neuroscience oversees teams that ensure patients can afford and get access to medicine quickly, easily, and consistently.  This role will provide leadership and management oversight of multiple Field Reimbursement Manager (FRM) teams across the product portfolio.  The Director, Field Access  Reimbursement will be a critical partner with both internal and external Access and Reimbursement Hubs, and the Customer Solutions Specialist (CSS) field team.  This role also works closely with many other cross-functional teams to drive patient care model performance and sits on the senior leadership team for the Access and Reimbursement organization.  This position is a 3rd-line commercial leader, with Directors, Associate Directors, National Business Managers, and front-line FRMs in the reporting structure.","Core Responsibilities",,,,,,,,"Lead and guide teams for seamless execution of patient and healthcare professional (HCP) access interactions, ensuring alignment with field reimbursement teams.Drive strategic alignment and collaboration between AbbVie Access Support and cross-functional market access stakeholders to understand access trends and enhance execution.Monitor the external environment to anticipate marketplace trends, developing strategic solutions with franchise leads to ensure consistent patient access to therapies.Oversee the Hub and Spoke model, ensuring smooth connectivity between field reimbursement teams and internalexternal AbbVie hubs, while advising on program feasibility.Develop and execute strategies, tactics, and training for a field-based organization, partnering with legal and compliance to ensure program adherence to new laws and regulations.Exceptional ability to lead without authority and generate momentum as a matrix leader.Demonstrated high performance and the ability to performance manage to achieve desired organizational goals.",,"Bachelors Degree in business or related fieldMBA preferred, but not required15 years of experience in the pharmaceutical industry, or other related experience3-5 years of experience in coverage, coding, andor market access  10 years of experience leading field-based teams at various levels, including field leaders, and leaders of leaders. Proficiency in access and reimbursement, or learning agility to understand coverage, coding, payment, distribution, and reimbursement regulations.","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html","US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374789,"Director, Field Access  Reimbursement","https://jobs.smartrecruiters.com/AbbVie/3743990006614496-director-field-access-reimbursement","Abbvie","Atlanta","Yes","15","Full time","2025-02-05T17:59:34.582448Z","The Director, Field Access  Reimbursement, Immunology and Neuroscience oversees teams that ensure patients can afford and get access to medicine quickly, easily, and consistently.  This role will provide leadership and management oversight of multiple Field Reimbursement Manager (FRM) teams across the product portfolio.  The Director, Field Access  Reimbursement will be a critical partner with both internal and external Access and Reimbursement Hubs, and the Customer Solutions Specialist (CSS) field team.  This role also works closely with many other cross-functional teams to drive patient care model performance and sits on the senior leadership team for the Access and Reimbursement organization.  This position is a 3rd-line commercial leader, with Directors, Associate Directors, National Business Managers, and front-line FRMs in the reporting structure.","Core Responsibilities",,,,,,,,"Lead and guide teams for seamless execution of patient and healthcare professional (HCP) access interactions, ensuring alignment with field reimbursement teams.Drive strategic alignment and collaboration between AbbVie Access Support and cross-functional market access stakeholders to understand access trends and enhance execution.Monitor the external environment to anticipate marketplace trends, developing strategic solutions with franchise leads to ensure consistent patient access to therapies.Oversee the Hub and Spoke model, ensuring smooth connectivity between field reimbursement teams and internalexternal AbbVie hubs, while advising on program feasibility.Develop and execute strategies, tactics, and training for a field-based organization, partnering with legal and compliance to ensure program adherence to new laws and regulations.Exceptional ability to lead without authority and generate momentum as a matrix leader.Demonstrated high performance and the ability to performance manage to achieve desired organizational goals.",,"Bachelors Degree in business or related fieldMBA preferred, but not required15 years of experience in the pharmaceutical industry, or other related experience3-5 years of experience in coverage, coding, andor market access  10 years of experience leading field-based teams at various levels, including field leaders, and leaders of leaders. Proficiency in access and reimbursement, or learning agility to understand coverage, coding, payment, distribution, and reimbursement regulations.","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html","US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374788,"Supervisor Accounts Receivable,  Aesthetics","https://jobs.smartrecruiters.com/AbbVie/3743990006614536-supervisor-accounts-receivable-aesthetics","Abbvie","Markham","No","5","Full time","2025-02-05T17:59:34.582464Z","Joining AbbVie means you will be part of a team of outstanding professionals dedicated to making a remarkable impact on patients' lives. At AbbVie, we conduct ground-breaking science on a global scale every day. AbbVie Canada is one of the Best Workplaces in Canada.","When choosing your career path, choose to be remarkable.","Systems","Proficiency in Microsoft Office Suite, particularly Excel  Intermediate.SAP and order-to-cash activities and reporting.","Business Knowledge","Business process, corporate policy (compliance and completeness) and financial data flows.Credit management.","Technical Knowledge","Credit analysis.Accounting fundamentals.","AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","AbbVies mission is to discover and deliver innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on peoples lives across several key therapeutic areas immunology, oncology, neuroscience, eye care, virology, womens health, and gastroenterology, in addition to products and services across its Allergan Aesthetics portfolio.","As the Supervisor AR Aesthetics, you will play a pivotal role in applying credit policies and collection procedures that minimize delinquencies in accounts receivable. Working under the guidance of the Lead of Credit and Pricing, you will build and maintain strong relationships with customers and collaborate closely with the Customer Service, Trade Relations, and Commercial teams.","Key Responsibilities","Accounting Excellence Conduct general ledger account reconciliation, assist in audit documentation preparation, and contribute to bad debt accrual.Credit and Collection Mastery Identify and manage delinquent accounts, perform credit risk analyses, and streamline credit processes for new and existing clients.Leadership and Management Supervise a dynamic team of credit analysts, ensuring smooth operations and compliance with AbbVie's corporate credit policies.Contract Management Expertise Assist with SAP contract pricing and manage customer profiles, working closely with the Aesthetics trade team.","EducationExperience Required","Bachelors degree in accounting, finance, business, or a related field.5 years of credit experience.Experience in managing a team.Proficient in readinginterpreting financial statements for the purpose of underwriting credit.Experience with SAP.","Essential Skills  Abilities","Excellent written and verbal communication skills (French and English).Ability to manage relationships, both internally and externally.Ability to work in a fast-paced environment.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html","US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374787,"Marketing Manager, Omnichannel  Digital","https://jobs.smartrecruiters.com/AbbVie/3743990006614586-marketing-manager-omnichannel-digital","Abbvie","Mettawa","No","5","Full time","2025-02-05T17:59:34.582481Z","About Patient Services Marketing","The US Patient Services Marketing Team leads across multiple brands and therapeutic areas to deliver an unparalleled care model ecosystem that enables the best possible patient treatment experience to help patients achieve their full treatment plan potential.","The compensation range described below is the range of possible base pay compensation that the Company believes in good faith it will pay for this role at the time of this posting based on the job grade for this position. Individual compensation paid within this range will depend on many factors including geographic location, and we may ultimately pay more or less than the posted range. This range may be modified in the future.We offer a comprehensive package of benefits including paid time off (vacation, holidays, sick), medicaldentalvision insurance and 401(k) to eligible employees.This job is eligible to participate in our short-term incentive programs. This job is eligible to participate in our long-term incentive programs","The compensation range described below is the range of possible base pay compensation that the Company believes in good faith it will pay for this role at the time of this posting based on the job grade for this position. Individual compensation paid within this range will depend on many factors including geographic location, and we may ultimately pay more or less than the posted range. This range may be modified in the future.","We offer a comprehensive package of benefits including paid time off (vacation, holidays, sick), medicaldentalvision insurance and 401(k) to eligible employees.","This job is eligible to participate in our short-term incentive programs.","This job is eligible to participate in our long-term incentive programs",,"Note No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, incentive, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole and absolute discretion unless and until paid and may be modified at the Companys sole and absolute discretion, consistent with applicable law.","The Marketing Manager II Role","The US Patient Services Marketing Manager III is responsible for designing, developing, and implementing commercial initiatives and tactics for US Immunology, Specialty, Oncology andor Neurology patient support brands.  This role requires strong collaboration within the Patient Services organization. Internal partners can include but are not limited to Programs  Enterprise Strategy, Patient Engagement Services, Access  Reimbursement, Enterprise Marketing, Business Technology Solutions, finance, regulatory, legal, medical, marketing analytics, business insights,  agencies and Commercial Brand HCP and Consumer Marketing teams.","Key Responsibilities Include (may shift based on business needs)","Develop innovative and impactful initiatives and tactics that align to the Patient Services strategic imperatives to drive an exceptional patient experience across all channelsAssist in the development of the patient treatment experience, driving insights from the data that will help to inform strategy and tactical implications.Support the development of the PSP brand positioning and resource messages across stakeholders for new and enhanced patient services support models.Partner with Operations to plan and lead the Marketing teams execution of CRM to the Salesforce Marketing Cloud platform  including integration with other patient services platforms to enable engagement strategies and tactics.Lead channel strategy and development of channels such as email, website, app, media, SMSMMS, SEMSEO, and other direct patient communications (print).Manage projects and relationships with agency partners, including Creative, Data, Digital and Finance, and Account teamManage marketing budget while identifying efficienciessynergies where possible to maximize resources.Deliver marketing briefs, understand timelines to accomplish tasks, and anticipate any potential barriers that would impact delivery.Create tactics that are reflective of Medical, Legal, Regulatory and OEC guidance while keeping focus on addressing the business needs.Partner with the Marketing Analytics  Business Insights team to evaluate the effectiveness of marketing strategies by establishing learning agendasmeasurement plans, understanding insights, and formulating recommendations for optimization prioritize and foster a test-and-learn environment.","Bachelors degree requiredPrevious marketing experience required 5 years of brand and digital marketing experience preferred, ideally in a similar pharma or patient service roleSome background in customer engagement and retention strategiesProficient understanding of brand management, including brand positioning, personalization  overall campaign developmentApply marketing concepts in the development of marketing plans and programs - including brand positioning, brand architecture, SWOT analysis, competitive assessment, market research, marketing objectivesstrategies, patient segmentation, etc.Financialbudgetary experience preferredLaunch experience preferredExperience working with and managing multiple external agenciesExcellent communication (oral, written, and presentation) and interpersonal skillsAbility to work with all levels in a highly matrixed organizationStrong planning and organization skills, attention to detail, execution, and follow-through","This role will be filled at a manager I or II level depending on experience.","Applicable only to applicants applying to a position in any location with pay disclosure requirements under state or local law",,,,"AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion.  It is AbbVies policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status.","US  Puerto Rico only - to learn more, visit httpswww.abbvie.comjoin-usequal-employment-opportunity-employer.html","US  Puerto Rico applicants seeking a reasonable accommodation, click here to learn more","httpswww.abbvie.comjoin-usreasonable-accommodations.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
