"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_10","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_17","Section_18","Section_19","Section_20","Section_21","Section_22","Section_23","Section_24","Section_25","Section_9","Section_26","Section_27","Section_28","Section_29","Section_30","Section_31","Section_32","Section_33","Section_34","Section_35","Section_36","Section_37","Section_38","Section_39","Section_40","Section_41","Section_42","Section_43","Section_44","Section_45","Section_46","Section_47","Section_48","Section_49","Section_50"
2368451,"Housekeeping Supervisor","https://jobs.smartrecruiters.com/AccorHotel/744000040487230-housekeeping-supervisor","Accor","Cape Town","No","1","Full time","2025-02-05T02:39:03.988542Z","Scope of Position","The Housekeeping Supervisor will manage the daily operations of hisher assigned section ensuring the ultimate comfort, cleanliness, safety and standards for all guest and members as expected by Fairmont Hotels  Resorts.  Heshe will maintain superior standards of presentation, maintenance and cleanliness in all areas of the hotel while ensuring the safety and confidentiality of all Guests.  Heshe will act as a leader to all housekeeping team members and assist with Guest and Colleague concerns.","Responsibilities","Maintains a presence as requested at hotel  department meetings and committees.Always complies with Fairmont standards and regulations to encourage safe and efficient hotel operations.","Handle Guest concerns and react quickly, logging and notifying proper areas to service them.Actively participate in daily briefing, daily warm up and department meetingsEnsures Room Attendants are informed daily about VIPs, extras  priority in their section.Ensures check-out rooms are returned in a timely manner.Verifies rooms with Privacy Please indicators and co-ordinate make up with Room AttendantsAssists with and lead Room Attendant, Turndown Attendant, and House Attendant with daily duties.Train and coach colleagues on expected standards of serviceConducts daily inspections of guestrooms and floors.Be knowledgeable on all current guest services and events in the hotel.Inspects show rooms, guestrooms, guest elevator foyers, storage and supply rooms, and Room Attendant's carts and closets to ensure the quality of work of the housekeeping team.   Notify Room AttendantHouse Attendant of any deficiencies found and return to correct when applicable. Re-inspect corrected room.Physically check discrepant rooms to ascertain status. Confirm status of all rooms at end of day.Reports any damage, special cleaning, change of soft furnishings etc. to Executive Housekeeper or the Assistant Housekeeper during her absence, on any issues in all areas of the hotel.Confirm that all daily duties are completed to standard by Room Attendants and House AttendantMust be able to perform all Room Attendant and House Attendant duties.Work with all Housekeeping staff to maintain and improve guest service scores.Ensures all guestrooms have proper furniture fixtures and amenities and that all set standards for placement are being followed.","Ensures all Lost and Found items are logged on the system in the HSK shared file and handed in by Security.Ensures any HealthSafety matters are reported and followed up.To conduct proper handover with each day Floor Supervisor to keep seamless information flow.To check any late check outs and non-checked rooms for update before 6pmCarry out any reasonable duties not detailed in the scope.","Fluency in English (verbal  written) essential.High school qualification preferred.Minimum 1 years experience in a supervisory capacity in a hotel housekeeping environmentProven training skills.Experience with Hotel Property Management System, Opera desirable.Must be proactive with a meticulous eye for detail.Strong organizational, supervisory and communication skills.Must be able to convey information and ideas clearly.Must be able to evaluate and select among alternative courses of action quickly and accurately.Must work well in stressful, high-pressure situations.Must be effective at listening to, understanding, and clarifying the concerns and issues raised by coworkers and Guest.Must be able to perform assigned duties with attention to detail, speed, accuracy, follow-through, courtesy, cooperativeness and work well with limited supervision.","Our commitment to Diversity  Inclusion","We are an inclusive company, and our ambition is to attract, recruit and promote diverse talent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368449,"Night Auditor","https://jobs.smartrecruiters.com/AccorHotel/744000040490875-night-auditor","Accor","Rome","No","Not specified","Full time","2025-02-05T02:39:03.988634Z","THE MISSION?","Come si dice, la prima impressione e quella che conta e fortunatamente, tu sei la prima persona che I nostri ospiti incontrano . Nessun problema perche sono in ottime mani con te.","Dopo il tramonto  e prima dellalba  il tuo compito e quello di dare il benvenuto ai nostri ospiti e di monitorare il loro soggiorno.","Come Mama, tu disponi di tutti gli elementi per offrire un caldo e personalizzato benvenuto  preparazione degli arrivi, check in  check out per clienti individuali e gruppi, prendere prenotazioni dellultimo momento, centralino, gestione delle richieste dei clienti ...","Esegui un follow-up di qualita con i clienti sei responsabile della corretta gestione delle situazioni dei clienti e riferisci le informazioni al tuo team (incidenti, reclami, commenti o feedback dei clienti ...).","Gestisci e sei responsabile della cassa verifichi anche tutti i conti esistenti.","Controlli tutti i registratori di cassa e, se necessario, correggi i saldi. .","Modifica, elabori e segui le fatture dei clienti.","Se responsabile della chiusura di cassa giornaliera .","Lesperienza per i nostri ospiti deve essere perfetta e tu ne sei illa garante.","E FATTO PER TE? SOLO SE...","I dettagli sono importanti per te, non manca mai niente grazie alla tua capacita di intuizione!","Sei sempre attento a amichevole, trabocchi di gentilezza tanto che non sai cosa farne!","Sei versatile e anche un po un venditore .","Sai come gestire la pressione e lo stress, il Maestro Yoda ti ha insegnato tutto... .","La riservatezza e importante per te cio che succede in Mama resta in Mama.","Sei cordiale dimentica il campanello allingresso , ogni ospite ha la tua attenzione appena dal momento dellarrivo.","Hai un grande spirito di squadra, i tuoi colleghi possono contare su di te.","Autonomoa, sai come prendere iniziativa.","Ami i numeri e anche loro amano te .","YOUR LITTLE EXTRAS","- Per te The Shining non e solo un film horror, ma soprattutto un film su un hotel .","- Protel o Opera sono i PMS in cui sei piu forte.","- Il tuo aspetto e inconvenzionale, ma non spaventi i bambini .","- Il tuo sogno di parlare quella terza lingua finora non e stato ancora realizzato!","Sei coinvoltoa nel marketing dei servizi Mama, ti piace promuovere il nostro shop (vendita e merchandising dei prodotti), il ristorante ed i nostri eventi.",,,,,,,,,,,,,,,,,,,,,,,,,
2368447,"Demi Chef de Partie","https://jobs.smartrecruiters.com/AccorHotel/744000040489926-demi-chef-de-partie","Accor","Chennai","No","Not specified","Full time","2025-02-05T02:39:03.988669Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368445,"Director - Guest Services","https://jobs.smartrecruiters.com/AccorHotel/744000040494926-director-guest-services","Accor","Bengaluru","No","Not specified","Full time","2025-02-05T02:39:03.988702Z","Ensure the Guest Service operates successfully and are individually profitable in accordance with the standard of the hotel","Ensure that all rooms are pre-blocked accordingly to arrival time and housekeeping is informedWork closely with Housekeeping and Engineering Department to ensure that rooms are blocked accordingly for maintenanceEnsures strict control of room keys for guests and other departments.Establish rapport with guests maintaining good customer relationship and handle all guest complaints, requests and enquiries.Assists with the development and maintenance of a detailed Department Operations Manual that reflects policies and procedures, work processes and standards of performance within the department. Ensures annual review to accurately reflect any changes.Assists with the preparation of the annual Plan ensuring departmental objectives fully address business objectives of the hotel and needs of employeesExercises efficient Payroll ManagementResource allocation through the establishment of a flexible workforce throughout the department. This will be based on the principles of a flexible employee base, multi-skilling and multi-taskingDirects subordinates to ensure productivity meets standards given in accordance with the Accors standards.Recruit, select and develop Guest Service employees to work following the operational, financial, administrative philosophies willing to become multi skilled and perform multi tasks.Through hands on management, supervise closely all Guest Service employees in the performance of their duties in accordance with policies and procedures and applicable lawsDelegate appropriately, duties and responsibilities to equipped and resourced employees, nurturing and developing them whilst ensuring standards of operation and safety are maintained.Establish and maintain safe working conditions and practices following Accors Health, Safety and Environmental policies.Ensure all practicable steps are taken to maintain a safe work environment following Accors Health, Safety and Environmental policies","Hotel Management or Relevant Degree","Our commitment to Diversity  Inclusion
We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368442,"Duty Manager","https://jobs.smartrecruiters.com/AccorHotel/744000040495555-duty-manager","Accor","Chennai","No","2","Full time","2025-02-05T02:39:03.988734Z","Primary Responsibilities","Front Office Operation","Conduct daily briefings and ensure that all pertinent information is well received by team membersManage and supervise all tasks of hisher staff to ensure that highest quality service is delivered and department standards are metReview, analyze and suggest improvement of work flow and standards at the Front DeskAnalyze rate variance report to ensure rooms revenue control, approve discounts and rebatesCommunicate with Front Office Manager on all matters regarding guest services  hotel operationsEnsure documentation of all guest related issues using the logbookSign media and supervise shift handover proceduresCoordinate and communicate with other hotel departments as required regarding general administration and operations issuesProvide management presence at all times by assisting with the handling of guests needs and complaints tactfully and efficientlyAssist Guest Relations in greeting, rooming, and sending off guestsInspect front of house and back of house regularly for cleanliness and orderlinessEnsure that front line staff complies with marketing techniques and maximizes salesCheck billing instructions, monitor guest credit and act upon any discrepanciesCoordinate full house situations and makes all necessary arrangements to handle overbooking and pledge relocatesEnsure procedures of On-Call Valet Desks and driveways are manned at all times and run efficientlyEnsures the Safety, Security and Loss Control policies and procedures are compiled with at the lobby and driveway. Handle and manage hotel emergencies.Conduct Night Audit Process for hotel","Team Management","Provide department orientation and training of the hotel service standards, procedures and programsConstantly monitor team members appearance, attitude and degree of professionalismMotivate and provides a work environment which brings out the best in team members","Other Responsibilities","Maintain complete knowledge of all food  beverage services, outlets and hotel servicesfeaturesBe fully conversant with hotel fire  life safetyemergency proceduresAttend all briefings, meetings and trainings as assigned by managementReport for duty on time wearing clean and complete uniform at all timesMaintain a high standard of personal appearance and hygiene at all timesPerform other reasonable duties assigned by the Management of the Hotel",,"Diploma in Tourism  Hospitality ManagementMinimum 2 years of relevant experience in a similar capacityExcellent reading, writing and oral proficiency in English languageAbility to speak other languages and basic understanding of local languages will be an advantageGood working knowledge of MS Excel, Word,  PowerPoint",,,,,,,,,,,,,,,,,"Experience is an assetPrior experience working with Opera or a related systemStrong interpersonal and problem solving abilitiesFluency in English, additional languages are a plus",,,,,,,,,,,,,,,,,,,,,,,,,
2368439,"Guest Service Associate - Front Office","https://jobs.smartrecruiters.com/AccorHotel/744000040495217-guest-service-associate-front-office","Accor","Chennai","No","Not specified","Full time","2025-02-05T02:39:03.988766Z","Prime Function","Responsible for daily administration, meeting and greeting, dealing with guests queries and complaints, and booking rooms. visitorsMaintain high standards of customer services at the Reception desk so that customers expectations are consistently exceeded.Motivate and develop Reception team to ensure smooth functioning of the department and promote teamwork.Any matter which may affect the interests of Novotel Ibis Chennai OMR should be brought to the attention of the Management.I am responsible for INTERREACT","Key Responsibilities","People Management","Provide effective support to the team to enable them to provide effective and efficient services.Respond to customer queries by resolving issues in a timely and efficient manner to ensure customer satisfaction.","Financial Management","Identify optimal, cost effective use of the resources and educate the team on the same.","Operational Management","Ensure quality and appropriateness of customer service provided.To maintain Front Office log book and shift reports.Respond to inquiries and resolve problems in an effective manner.Ensure all guests receive a swift, smooth, professional and friendly check in and check outEnsure quality in all aspects of the job.Maintain record of all banquet and any other functions in the hotel.Liaise with other departments for the resolution of day-to-day administrative and operational issues.Carry out other duties which naturally fall within the reasonable expectations of the post.Adhere to the Procedures  Standards Manual.Display a proactive approach in initiating and implementing initiatives to provide an improved service in all areas.Liaise with Housekeeping for the Room Status. Handle additional responsibilities as and when delegated by the Management.","Ensures that the workplace and storage areas remain clean and tidyRespects the instructions and safety guidelines for the equipment (s)he usesApplies the hotel's security regulations (in case of fire etc)Respects the hotel's commitments to the ""Environment Charter"" (saving energy, recycling, sorting waste etc).","Secondary  High school educationAdditional certification(s) will be an advantageGood reading, writing and oral proficiency in English languageAbility to speak other languages and basic understanding of local languages will be an advantage","Experience is an assetPrior experience working with Opera or a related systemStrong interpersonal and problem solving abilitiesFluency in English, additional languages are a plus",,,,,,,,,,,,,,"Hygiene  Personal safety  Environment",,,,,,,,,,,,,,,,,,,,,,,,,
2368434,"Corporate Sales Manager","https://jobs.smartrecruiters.com/AccorHotel/744000040498173-corporate-sales-manager","Accor","Izmir","No","4","Full time","2025-02-05T02:39:03.988798Z","JOB DESCRIPTION","Organizes the activities of Company Sales Officers. Researches companies with potential accommodation, meeting and banquet potential.  Manages transactions with the customer portfolio, controls and manages the sales call program of the team.Contributes to the preparation of the hotel's marketing plan. Establishes good relations with all departments of the hotel, especially reservation, front office, banquet  congress, food  beverage, accounting. Makes suggestions for the personal development of Sales Representatives. Conducts corporate sales meetings with individuals individually or as a team.","QUALIFACTIONS","Bachelor's DegreePrevious leadership experience in a Sales department requiredExperience in Sales  Marketing minimum 4 yearsIn-depth knowledge of sales techniques and best practicesGood command of Turkish and English, both written and verbalStrong interpersonal and problem solving abilitiesHighly responsible  reliable, strong analytical skills, excellent decision making skills","Your team and working environment

Our commitment to Diversity  Inclusion
We are an inclusive company and our ambition is to attract, recruit and promote diverse talent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368430,"Spa Manager","https://jobs.smartrecruiters.com/AccorHotel/744000040507374-spa-manager","Accor","Cape Town","No","5","Full time","2025-02-05T02:39:03.988830Z","Position Scope","The Spa Manager is responsible for the establishment and execution of clear short term and long-term goals to ensure the spa is recognized as one of the highest quality spas in South Africa.  These goals must ensure Colleague satisfaction, Guest satisfaction, financial success, health and safety and environmental stewardship. The Spa Manager is responsible for the daily leadership of the spa operations, ensuring all productivity and expense controls are followed as well as ensuring that all revenue opportunities, in keeping with the positioning of Willow Stream, will be capitalized","General Duties and Responsibilities","Ensure the establishment and execution of all departmental goals.Plans, directs and manages the Spa to achieve all Financial goals of Willow Stream Spa Preparation of the Spa budget, capital plan and strategic projects Ensures that monthly financial obligations and budgets are accurate and on target. Assists in developing strategies and creative ways to increase Spa revenues  profitability and to reduce costs Controls and analyses departmental costs on an ongoing basis takes action to control negative deviation Follows up or forecasts to aid in management decision making Direct operations of the Spa facility, including short and long range strategic planning so that the spa operates cost effectively and efficiently. Schedule and conduct month-end-inventories Approve payroll hours and hotel administered service chargesgratuity reports. Measurement of the spa actual performance to budget. Control the cost of goods purchased, services supplied and labor necessary to the sales and production of our products and service. Plans, directs and manages the Spa to achieve all Spa Sales  Marketing goals Assists to implement and evaluate the hotels marketing plan and general business plan as well as marketing and sales strategies to ensure optimum guest satisfaction, sales maximization and profitability. Directs the development and implementation of innovative promotional and sales events  Monitors present and future trends, practices and systems in the Spa industry to ensure that the hotels Spa operations are competitive in the market place Serve as a link between the hotel and the spa industry. Meet with group meeting planners to show spa facility and programs as required. Promote and sell customized spa programs to conference groups as required. Tour prospective spa Guests. Challenges employees within the department to achieve optimum spa sales and service per employee. Promote all hotel and spa packages and promotions and identify new business and marketing opportunities. Assist in the Implementation of 12-month public relations program, i.e. calendar of events, media etc., and work with the PR Department in all aspects of spa promotions as required. Maintain thorough knowledge of competitors, including location, product offering, pricing, promotion and sales techniques. Plans, directs and manages the Spa to achieve all health, safety and Quality goals for the Spa Ensure Colleagues adhere to all Willow Stream Spa standards .Assist in the development and adherence of all departmental emergency procedures Fully understands the hotels fire and emergency procedures and ensures that employees work in a safe manner and they enforce the related procedures. Ensures that all potential and real hazards are reported and reduced immediately Ensures that emergency procedures are practiced and enforced to provide for the security and safety of guests and employees. Strives to keep the Spa in the best condition, ensuring that preventive maintenance is taking place and recommends projects for improvement to the Director of Operations. Ensure the facility is in peak condition at all times Randomly inspects all treatment rooms on a daily basis to ensure facilities and equipment are clean, well maintained and replaced if necessary Plans, directs and manages the Spa to achieve all Spa Customer Service goals Constantly seeks out creative ways to improve customer service selects and develops strategies to improve guest service, treatment techniques and efficiency. Approves Departmental therapist schedules to meet customer needs. Leads and coaches all Spa team members by helping them to provide exceptional guest service, employee satisfaction and profitability Monitors Guest satisfaction levels through various means (eg. VOG) and implements strategies to improve results while maintaining corporate standards. Audits Spa services and quality on a regular basis and develops and implements strategies to improve results. Plans and co-ordinates in-house activities and package plans with the Director of Operations. Achieves goals for willingness to return, customer complaints per thousand and customer comment index Plans, directs and manages the Spa to achieve all Spa Employee Relations goals Fosters and develops effective employee relations within department and throughout the hotel Responsible for recruitment, recognition, training, developmental discussions, performance reviews and progressive action for all Colleagues within the Spa Utilizes leadership skills and motivation to maximize employee productivity and satisfaction. Looks for ways to motivate and challenge employees  Participates in development of recognition programs for staff, advertising and promotional programs and campaigns to increase market awareness and penetration.. Trains and develops all therapists ensuring that their services are in keeping with the market. Checks that staff meet, and exceed guest expectations by training, including skills training to provide a Yes I can! service. Champion Training Initiatives in the Spa by being actively involved in the Training Committee Administration and implementation of staff training in all aspects of the spas operations i.e. business telephone usage, guest relations, spa services (massage, body scrubs, facials etc.), retail sales etc. Assist in the supervision, operation and coverage of all spa departments     Ensure all Colleagues follow all safety procedures and practices and lead by example.","Minimum of 5 years experience in management position in a spa or related field preferredBachelors Degree (Business Administration) an assetExperience in the hospitality industry an assetDesire to provide phenomenal Guest experiences Must possess outstanding guest service skills, professional presentation and sophisticated verbal and written communication skillsMust be guest-oriented, have a vibrant personality, and radiate enthusiasm to assist peopleProficient in English language (verbal and written) with a second or third language as an assetLicenses in Massage Therapy and or Aesthetics Cosmetology are an assetComputer literacy in Windows, MS Office Suite, Opera PMS system, SpaSoft, and Micros is recommended.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368425,"Front Office Manager","https://jobs.smartrecruiters.com/AccorHotel/744000040507740-front-office-manager","Accor","Cape Town","No","5","Full time","2025-02-05T02:39:03.988861Z","Position Overview","Reporting to the Director of Rooms, The Front Office Manager is responsible for ensuring we provide the highest level of guest service and ensuring that standards are maintained for all positions within the Front Office departments. The Front Office Manager will be responsible to guide the department in achieving our strategic directions through continual focus and reference to these strategies and our vision. The Front Office Manager also serves as a resource to the overall operations of the hotel by providing assistance and direction as needed. The Front Office Manager will be responsible to maximize revenue opportunities throughout the department while managing cost across the board. The Front Office Manager will also lead and drive forward a motivated team of managers within the department and continuously look for ways to enhance growth and development for future leaders. HeShe will also support the Guest Experience Manager for the maintaining and continuous improvement of the overall guest experience.","Key Responsibilities and Duties","Ensuring department procedures and systems are maintained and effectively operated.Continuously evaluates department Standard Operating Procedures.Audit and development of guest information data on Opera.Drive Leading Hotels of the World and ALL Loyalty standards.Creating an environment that supports innovation and look for opportunities to improve operations.Pro-actively try out new ideas and technologies that would streamline productivity and enhance overall guest experience in line with the budget and capex submission.Ensure productive and efficient communication between departments.To ensure effective running of PMS and all related interfacesBuilding and improving on relationships with agents.Models the Organizational Values and Grace Memorandum.Reduction of departmental glitches to an acceptable weekly standard by minimizing revenue lossEncouraging the use of the Generosity Pot across departmentsHas operational managerial responsibility over all departments in the absence of the Exec and Department Head.Has responsibility for ad hoc project teams.Participates in ad hoc On Job Training and coaching in departments to ensure effective service and operations.Has a thorough knowledge of the hotel and all services provided to the guest.Maintains the high standard of service, appearance and social skills set according to the company policy.Works in harmony with all departments and employees, is willing to assist others if and when required.Attends all training workshops as and when required and deemed Mandatory by the Director of Rooms Division.Is familiar with all policies and procedures, house rules, LHW standards, All Loyalty Program, fire, security, and emergency procedures as well as all checklists pertaining to the position.Performs any reasonable duty as instructed by the Director of Rooms Division","Job Requirements and Qualifications","MatricGrade 12 or equivalent is a prerequisite.A hospitality management andor similar qualification will be highly advantageousAt least 3 years Management experience preferably gained in a 5 star environmentComputer literate on the MS Office Suite (Word, Excel and PowerPoint) as well as Opera CloudFluent in English (written and spoken). A foreign language is advantageous.","Proven abilities in","Guest relationsSales  Ability to Upsell the hotel facilities and outlets.Time and workflow managementHighly experienced in employee managementEffective decision-making and judgementConflict resolutionInterpersonal communication skillsDelivery to required standards in a fast-paced and dynamic environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368421,"Assistant (e) Manager Bar FR-ANG HFX","https://jobs.smartrecruiters.com/AccorHotel/744000040508890-assistant-e-manager-bar-fr-ang-h-f-x","Accor","Brussels","No","Not specified","Full time","2025-02-05T02:39:03.988893Z","Il Elle a pour missions principales de","Controler et veiller a la mise en place du bar,Assurer laccueil et la prise en charge du client des son arrivee,Veiller au respect des commandes et verifier systematiquement la facturation,Coordonner le travail de lensemble de lequipe pour assurer un service efficace et agreable,Veiller au debarrassage des tables,Sassurer des encaissements des factures clients et gerer de facon autonome sa caisse,Sassurer que les caisses de son equipe sont cloturees en respectant les procedures en vigueur,Maitriser le programme informatique Micros et participer a la programmation des terminaux a chaque changement de Carte,Etablir les plannings de presence sous la responsabilite du Chef Barman en maitrisant la gestion des differents conges et recuperations dans une logique budgetaire et dans un souci operationnel,Animer et assurer continuellement le suivi des formations des equipes de service,Participer aux taches administratives du point de vente et notamment le suivi des standards en vigueur,Gerer les stocks en interdisant toutes pertes de produits (Methode FIFO),Appliquer les regles dhygiene en vigueur, suivre le plan dentretien general et les normes HACCP,Realiser toute mission ponctuelle a la demande du Responsable Restauration.","De preference, un diplome dans une discipline technique ou posseder une experience professionnelle equivalente.Experience dans le luxeExcellente presentation et qualite relationnellesAime travailler en equipe tout en demontrant des capacites dautonomie,Capacite decouter, de comprendre, dexpliquer ses informations et idees Maitrise du Francais et de lAnglais,Capacite a rediger des notes de services, memos, supports de formation,Disponibilite et flexibilite,Tres bonne condition physique (charges lourdes et periodes prolongees debout).Rigueur et methode dorganisation,Motivation et dynamisme.Capacite a encadrer une equipe,Esprit dequipe et du contact,","CDIUn repas, par jour de travail effectif.Le nettoyage de votre uniforme de travail.Une assurance hospitalisation.Une assurance groupe.Un remboursement des frais de transport selon les dispositions legales.Un parcours  decouverte  au sein de notre etablissement comprenant un diner, une nuit, et un petit-dejeuner pour une ou deux personnes.Une carte Bienvenue permettant de beneficier de nombreux avantages au sein du groupe Accor.Cct 90 (Bonus lie aux resultats)Ecocheque 250 maximum13eme mois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
