"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_10","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_18","Section_19","Section_21","Section_22"
2366970,"Sales Development Representative, San Francisco","https://job-boards.greenhouse.io/cresta/jobs/4520357008","Cresta","San Francisco","No","1","Full time","2025-02-05T02:10:37.182469Z","About the role","Responsibilities","Grow Crestas customer list through personalized emails, calls, and creative social media outreach
Write effective and compelling messaging to engage targeted accounts
Work closely with Sales and Marketing to plan, strategize, and execute outreach campaigns that help drive revenue growth
Analyze market research data and develop strategic approaches to raise awareness and generate interest for Cresta
Partner with account executives to help generate meetings and sales pipeline
Create and prioritize target account and contact lists
Conduct high level conversations with executives in prospect accounts
Achieve monthly quotas of meetings, qualified opportunities, and pipeline generated.
Assist with drafting sales pitches, presentations, reference material, and other documents as required","Qualifications We Value","Bachelors degree in Business, Marketing, Communications, or related field
1 years prior sales experience (within a SoftwareHigh Tech company highly preferred)
Ability to work in a time-sensitive and high-volume environment
Highly competitive personality
A positive attitude Youre a team player and youre resilient in the face of challenges
Self-starter always looking for ways to do your job better. When you see an opportunity, you jump on it
Strong organizational skills with ability to effectively prioritize
Articulate with strong business acumen
Youre a clear, concise, and compelling storyteller across written, verbal, and visual","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Flexible vacation time to promote a healthy work-life blend
Paid parental leave to support you and your family
Monthly Gym  Phone allowance
Work from home office stipend to help you succeed in a remote environment
Lunches and dinners included for in-office employees via Grubhub","Compensation","Compensation for this position includes a base salary, commission, equity, and a variety of benefits. The U.S. base salary range for this role is an OTE of 80,000 - 90,000. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,
1878639,"Software Engineer, Backend (AI Agent)","https://job-boards.greenhouse.io/cresta/jobs/4325729008","Cresta","Toronto","Yes","2","Full time","2025-02-05T02:10:37.182558Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","At Cresta, the AI Agent team is on a mission to create state-of-the-art AI Agents that solve practical problems for our customers. We are focused on leveraging the latest technologies in Large Language Models (LLMs) and AI Agent systems, while ensuring that the solutions we develop are cost-effective, secure, and reliable. This role will involve hands-on work on cutting-edge projects, requiring innovative and passionate software engineers who can bring research into practical, scalable applications.","As a Software Engineer, your goal will be to ensure that our AI Agents are backed by the most reliable and scalable server solutions. This includes designing and maintaining the server architecture that handles real-world, high-volume interactions and ensures high availability and performance. While were focused on server optimization and data management rather than pure research, youll be working with some of the most advanced technologies in the cloud and server space.","This is a unique opportunity to shape the future of AI at Cresta by solving complex problems and bringing breakthrough AI advancements into production environments.","Responsibilities","Design, develop, and maintain scalable and robust backend architectures for Crestas AI Agent solutions and proprietary models.
Collaborate with cross-functional teams including frontend engineers, machine learning engineers to ensure seamless integration of AI Agents into Crestas customer solutions.
Lead initiatives to enhance system scalability and reliability in production environments, focusing on backend services that support AI functionalities.
Drive efforts to optimize server response times, process large volumes of data efficiently, and maintain high system availability.
Innovate and implement security measures, cost-reduction strategies, and performance improvements in backend systems supporting AI Agents.","Bachelors degree in Computer Science or a related field.
2 years of experience in backend system architecture, cloud services, or related technology fields.
Knowledge in designing and maintaining clear and robust APIs with a strong understanding of protocols including gRPC, REST.
Experience in high-performance database schema design and query optimization, including knowledge of SQL and NoSQL databases.
Experience in containerized application deployment using Kubernetes and Docker in microservices architectures.
Experience with cloud environments such as AWS, Azure, or Google Cloud, with a strong understanding of cloud security and compliance standards.
Bonus experience working with Virtual Agent or AI Agent systems.","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Paid parental leave to support you and your family
Monthly Health  Wellness allowance
Work from home office stipend to help you succeed in a remote environment
Lunch reimbursement for in-office employees 
PTO 3 weeks in Canada","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in the US and Canada. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,
2205419,"Director, Strategic Sourcing and Procurement","https://job-boards.greenhouse.io/cresta/jobs/4491992008","Cresta","San Francisco, Remote","Yes","8","Full time","2025-02-05T02:10:37.182584Z","About the role","This is the first full-time hire for this role, offering a unique opportunity to shape and own Cresta's sourcing and procurement strategy from the ground up. Reporting to the VP, Revenue Operations, this role is perfect for someone eager to make a lasting impact in a fast-growing company.","Were looking for an experienced and forward-thinking Director of Strategic Sourcing and Procurement to drive Crestas procurement strategy and sourcing initiatives. This role is critical for aligning our procurement processes with business objectives, managing vendor relationships, and ensuring operational excellence. We'd love to hear from you if you have a proven track record in strategic sourcing and procurement within the SaaS or tech space.","Location SF preference, but open to fully remote, US.","Responsibilities","Strategic Sourcing","Lead the development and execution of sourcing strategies that balance cost, quality, and supplier performance
Identify, assess, and onboard suppliers that align with our companys goals
Stay ahead of market trends to navigate supply chain challenges and capitalize on opportunities","Procurement Leadership","Own the procurement process, ensuring efficiency, compliance, and alignment with company standards
Drive the adoption of procurement tools and systems to streamline operations
Use metrics to track performance and find opportunities for improvement","Vendor and Supplier Management","Build and maintain strong relationships with our key vendors and suppliers
Establish KPIs for evaluating suppliers and regularly review their performance
Resolve disputes effectively and foster lasting partnerships with strategic suppliers","Cross-Functional Collaboration","Work closely with finance, legal, and operations teams to align procurement strategies with business needs
Support sourcing for major projects, including product development and tech investments
Partner with stakeholders to understand their requirements and deliver solutions","Risk Mitigation and Compliance","Ensure all procurement activities meet legal, regulatory, and ethical standards
Proactively identify and mitigate risks in our procurement process","Budget and Cost Management","Manage procurement budgets while driving cost savings through strategic negotiations.
Monitor spending and provide leadership with regular updates on cost performance.","Qualifications We Value","Proven experience negotiating with AWS and other cloud providers
Bachelors degree in Business, Supply Chain Management, or a related field MBA or advanced degree is a plus
8 years of experience in strategic sourcing and procurement, including at least 3 years in a leadership role
Deep understanding of procurement processes, vendor management, and contract negotiations
Background in SaaS, technology, or AI-driven industries is a big advantage
Strong analytical skills with the ability to turn data into actionable insights
Exceptional communication and interpersonal skills, with a knack for influencing and driving change
Familiarity with procurement software and tools, including Vendr, is a bonus","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com."
2143314,"Product Design Intern, Conversation Intelligence","https://job-boards.greenhouse.io/cresta/jobs/4476000008","Cresta","Toronto","No","Not specified","Internship","2025-02-05T02:10:37.182606Z","Are you interested in defining how Generative AI will shape the future of work?We are a Silicon Valley Series D startup, spun out of the Stanford AI lab and are co-founded by Sebastian Thrun, co-founder and CEO of Google-X, Waymo, Udacity, Kitty Hawk, and more. Cresta launched in 2020. Since then, we've grown revenue and our team by 300% and became officially a Unicorn. We've assembled a world-class team of AI and ML experts, go-to-market leaders, top-tier investors, and advisors including Andreessen Horowitz, Greylock Partners, Sequoia Capital, Tiger Global, and former ATT CEO John Donovan. Our valued customers include brands like Intuit, Porsche, Holiday Inn, and Dropbox and we have been recognized as a startup to watch by Business Insider, Forbes, and Gartner to name a few.Cresta is on a mission to make every knowledge worker 100x as effective, 10x faster, and 10x better. We apply AI to improve Call Center operations using our patented real-time coaching platform. We provide dynamic, live guidance to every agent based on the best practices of the top performers.","About your role","We seek driven UX interns to help shape the future of Crestas Conversation Intelligence platform, which powers AI-powered business workflows and automations for contact center operators. Your responsibilities will include designing the end-user experiences and the tools and workflows that enable these experiences.","As a product design intern at Cresta, you are at the forefront of a technological breakthrough with LLM and Generative AI. This unique position allows you to transform how people interact with AI meaningfully. With the help of a design supervisor, you will get to work on the end-to-end UX process, including product design, user research, and visual design elements, to create world-class experiences.","Youll generate novel UX ideas for Conversation Intelligence, considering the needs of various user personas.
You'll analyze user and business challenges, propose feasible solutions, and create detailed mockups and prototypes for exploration. Collaborate with engineers to bring designs to life.
You'll support user research including usability testing, competitive analysis, customer interviews, behavioral insights and metrics analysis to inform designs.
Youll collaborate closely with Engineers, PMs, ML experts, Customer Success, and Sales teams across the organization. 
Youll present and communicate concepts to supervisors and cross-functional teams.","Currently pursuing a Bachelor's Degree in Design, HCI, or a related field, with a strong academic track record.
A compelling portfolio showcasing design solutions for complex problems, including academic or personal projects.
Proficiency in design tools such as Figma, with the ability to create interactive prototypes. Front-end development experience (HTML5, CSS3 and Javascript) is a bonus.
Experienced in user-centered design, with practical expertise across key UX disciplines, including interaction design, prototyping, visual design, and user research.
Curious, adaptable, and a quick learner who thrives in a collaborative, team-oriented environment.","Compensation and Benefits","30-50 per hour subject to taxes
Lunch can be expensed (up to 25) while working in the office.",,,,,,,,,,,,,
2126721,"Software Engineer, Fullstack (Intern)","https://job-boards.greenhouse.io/cresta/jobs/4123841008","Cresta","Toronto","No","Not specified","Internship","2025-02-05T02:10:37.182627Z","Are you interested in defining how Generative AI will shape the future of work?We are a Silicon Valley Series D startup, spun out of the Stanford AI lab and are co-founded by Sebastian Thrun, co-founder and CEO of Google-X, Waymo, Udacity, Kitty Hawk, and more. Cresta launched in 2020. Since then, we've grown revenue and our team by 300% and became officially a Unicorn. We've assembled a world-class team of AI and ML experts, go-to-market leaders, top-tier investors, and advisors including Andreessen Horowitz, Greylock Partners, Sequoia Capital, Tiger Global, and former ATT CEO John Donovan. Our valued customers include brands like Intuit, Porsche, Holiday Inn, and Dropbox and we have been recognized as a startup to watch by Business Insider, Forbes, and Gartner to name a few.We are growing our machine learning team in North America. Join us to develop great products in an exceptional strong team.Cresta is on a mission to make every knowledge worker 100x as effective, 10x faster, and 10x better. We apply AI to improve Call Center operations using our patented real-time coaching platform. We provide dynamic, live guidance to every agent based on the best practices of the top performers.About Your Role","As a full-stack software engineer, you will have the options to work on different products at Cresta. Cresta Opera, the no-code AI command center for contact centers. Cresta Platform, the core engineering platform that enables all Cresta features. Cresta Studio, the one-stop-shop for call analysis, building, evaluating, and deploying conversational AI models. The products leverage the latest LLM technologies to build differentiated product suites.You will join a collaborative but highly autonomous working environment in which each member has a defined role with clear expectations, as well as the freedom to pursue individual projects.","Responsibilities","You will join a collaborative but highly autonomous working environment in which each member has a defined role with clear expectations, as well as the freedom to pursue individual projects.
Collaborate with senior engineers on the team to write and push high-quality code efficiently for both the frontend and backend.
Build exciting products in which MLAI is applied at the core as a major differentiator for the product. You'll work closely with ML engineers on such features (you do not need to be an ML engineer yourself we do not expect any experience with ML).
Identify and leverage opportunities to improve general engineering productivity.
Integrate with various tools for CICD, test automation, monitoring, logging, documentation","Qualifications","Experience coding in modern programming languages like Python, Go, Java for backend and JavaScript, TypeScript for frontend.
Understanding of the modern front-end ecosystem and experience applying frameworkstools (React.js, Webpack, and Node.js) and patterns to complex, production web applications.
Comfortable defining and building robust APIs with a strong understanding for different protocols like REST, RPC frameworks, Websockets etc.
Experience with database schema design and an understanding of query performance that translates to performant, scalable, and reactive products.","Compensation and Benefits","30-50 per hour subject to taxes.
Lunch can be expensed (up to 25) while working in the office.",,,,,,,,,,,,,
2126720,"Machine Learning Engineering Assistant","https://job-boards.greenhouse.io/cresta/jobs/4123863008","Cresta","Toronto","No","Not specified","Internship","2025-02-05T02:10:37.182647Z","Are you interested in defining how Generative AI will shape the future of work?We are a Silicon Valley Series D startup, spun out of the Stanford AI lab and are co-founded by Sebastian Thrun, co-founder and CEO of Google-X, Waymo, Udacity, Kitty Hawk, and more. Cresta launched in 2020. Since then, we've grown revenue and our team by 300% and became officially a Unicorn. We've assembled a world-class team of AI and ML experts, go-to-market leaders, top-tier investors, and advisors including Andreessen Horowitz, Greylock Partners, Sequoia Capital, Tiger Global, and former ATT CEO John Donovan. Our valued customers include brands like Intuit, Porsche, Holiday Inn, and Dropbox and we have been recognized as a startup to watch by Business Insider, Forbes, and Gartner to name a few.We are growing our machine learning team in North America. Join us to develop great products in an exceptional strong team.Cresta is on a mission to make every knowledge worker 100x as effective, 10x faster, and 10x better. We apply AI to improve Call Center operations using our patented real-time coaching platform. We provide dynamic, live guidance to every agent based on the best practices of the top performers.About Your Role","As an ML software engineer intern, you will join a team full of talented experts in frontend, backend, and MLNLP. We have an in-house product for call analysis, building, evaluating, and deploying conversational AI models, and have labelers and analysts available. We work on a variety of ML problems, including but not limited to text generation, classification, summarization, etc. Our team leverages the latest in cutting edge LLM and RAG technologies to enable a truly market differentiated product suite.","Responsibilities","You will join a collaborative but highly autonomous working environment in which each member has a defined role with clear expectations, as well as the freedom to pursue individual projects.
Collaborate with senior MLEs on the team to conduct various ML experiments leveraging state-of-the-art techniques (including LLM and RAG) and best practices.
Actively contribute to the continuous improvement of our ML productivity, by identifying and leveraging opportunities for automation, data improvements, code optimization, and process enhancements.
Help shape the direction of machine learning and artificial intelligence at Cresta.","Qualifications","Hands-on experience in MLNLP models and pipelines.
Hands-on experience with LLMs and RAG.
Expertise in programming languages such as Python, Go and MLNLP libraries such as PyTorch, Tensorflow, Transformers.
Solid understanding of software development principles, data structures, algorithms, and design patterns.
Experience with model optimization is a plus.","Compensation and Benefits","30-50 per hour subject to taxes.
Lunch can be expensed (up to 25) while working in the office.",,,,,,,,,,,,,
2126717,"Junior Conversational AI Design, Intern","https://job-boards.greenhouse.io/cresta/jobs/4125376008","Cresta","Toronto","No","Not specified","Internship","2025-02-05T02:10:37.182678Z","Are you interested in defining how Generative AI will shape the future of work?We are a Silicon Valley Series D startup, spun out of the Stanford AI lab and are co-founded by Sebastian Thrun, co-founder and CEO of Google-X, Waymo, Udacity, Kitty Hawk, and more. Cresta launched in 2020. Since then, we've grown revenue and our team by 300% and became officially a Unicorn. We've assembled a world-class team of AI and ML experts, go-to-market leaders, top-tier investors, and advisors including Andreessen Horowitz, Greylock Partners, Sequoia Capital, Tiger Global, and former ATT CEO John Donovan. Our valued customers include brands like Intuit, Porsche, Holiday Inn, and Dropbox and we have been recognized as a startup to watch by Business Insider, Forbes, and Gartner to name a few.Cresta is on a mission to make every knowledge worker 100x as effective, 10x faster, and 10x better. We apply AI to improve Call Center operations using our patented real-time coaching platform. We provide dynamic, live guidance to every agent based on the best practices of the top performers.About Your RoleAs part of Cresta's Conversation Design team, you will assist in designing high quality AI conversation models that offer real-time coaching and assistance for our customers' contact center agents, and designing conversational experiences for virtual agents for both voice and chat. The role is highly collaborative and will require that you work closely with cross-functional team members from Machine Learning, Data Science, Program Management, Customer Success, Product Leadership, and Engineering. You may also work directly with customers to get alignment on our overall solution design and to enable customers to build their own models using Cresta Opera, our proprietary self-service tool.","Responsibilities","Assist with all stages of our AI Delivery projects - designing, building, deploying, and tuning AI solutions for multiple customers.
Collaborate with internal and external stakeholders to design and build solutions that help customers achieve their business objectives using Cresta's AI product suite.
Assist in designing solutions for contact centers in sales, retention, collections, and customer service across a range of verticals, from financial services to telecommunications and everything in between.
Define labeling guidelines to be used to train conversational AI models, and assist with labeling as needed.
Lead model maintenance efforts to ensure that Cresta's AI models continue to meet our quality standards.
Design and develop virtual agent solutions using Google's Dialogflow CX.","Qualifications","Strong communication skills (verbal and written).
Desire to work in a fast-paced environment with the opportunity to learn and develop a wide range of skills.
General knowledge of Conversational AI and natural language processing models.
Background in Linguistics preferred.
Experience working with Python is a plus.
Experience working with Dialogflow CX or another bot design platform is a plus.","Compensation and Benefits","30-50 per hour subject to taxes.
Lunch can be expensed (up to 25) while working in the office.",,,,,,,,,,,,,,
2085558,"PhD Machine Learning Research Internship","https://job-boards.greenhouse.io/cresta/jobs/4473422008","Cresta","North America (Remote)","Yes","Not specified","Internship","2025-02-05T02:10:37.182698Z","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu, the co-founder of Google Contact Center AI and Vertex AI platform, and CTO  co-founder, Tim Shi, an early member of Open AI.","Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta.","Our internships offer a dynamic, fast-paced environment where youll collaborate with top researchers and engineers in the field. We provide opportunities for interns to make significant contributions to AI research and apply novel techniques at scale.","Responsibilities","Contribute to research that can be applied to Cresta product development
Conduct research to develop state-of-the-art generative AI algorithms, applying techniques in deep learning, natural language processing, and multimodal AI.
Analyze and optimize the efficiency, scalability, and stability of deployed algorithms, depending on project goals.
Collaborate with cross-functional teams to align research with Crestas product vision.
Communicate research progress and findings clearly to stakeholders.
Publish findings in top-tier AI conferences and journals where applicable (e.g., NeurIPS, ICML, ICLR, ACL, EMNLP).","Minimum Qualifications","Currently pursuing a PhD in Computer Science, Artificial Intelligence, Machine Learning, or a related technical field.
Proficiency in Python and familiarity with at least one deep learning framework (e.g., PyTorch, TensorFlow).
Strong understanding of machine learning fundamentals and generative modeling.
Ability to design and analyze experiments involving large-scale datasets.
Work authorization in the country of employment at the time of hire.","Preferred Qualifications","Proven research achievements demonstrated through first-author publications in leading AI conferences.
Experience building AI systems for practical applications, with a focus on scalability and robustness.
Contributions to open-source AI frameworks or tools.
Strong analytical problem-solving skills and ability to handle complex, high-dimensional data.","Internship Details","Duration 12 to 24 weeks, with flexible start dates throughout the year.
Location Flexible (on-site, remote, or hybrid options available) in United States or Canada
Mentorship Work closely with experienced researchers and engineers in a collaborative environment.","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in the US and Canada. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,
2016641,"Sales Development Manager","https://job-boards.greenhouse.io/cresta/jobs/4456322008","Cresta","New York","No","2","Full time","2025-02-05T02:10:37.182719Z","About the role","Responsibilities","Hire, onboard, and develop exceptional SDR talent 
Build  iterate on a data-driven Outbound  Inbound strategy
Foster a winning culture of high accountability and performance
Motivate the team through lucrative incentives and contests
Uplevel SDRs and help them grow into our future AEs and managers
Report on SDR KPIs to ensure that KPIs and SLAs are hit daily
Partner cross-functionally with Marketing, Revenue Operations, and Sales on key initiatives","Qualifications We Value","2 years of sales  SDR leadership experience in a high-growth technology company
Located in the San Francisco Bay Area and willing to commute to the office 3x per week (Monday, Wednesday, Friday)
Deep understanding of modern SDR processes and tools such as Outreach, Gong, LinkedIn Sales Nav, 6sense, and Zoominfo
Experience executing an outbound multichannel strategy
Consistent track record of exceeding quota while both leading a team and as an individual contributor
Strong analytical experience with experience managing pipeline goals and forecasting","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Flexible vacation time to promote a healthy work-life blend
Paid parental leave to support you and your family
Monthly Gym  Phone allowance
Work from home office stipend to help you succeed in a remote environment
Lunches and dinners included for in-office employees via Grubhub","Compensation","Compensation for this position includes a base salary, commission, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. Your recruiter can provide further details.","We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored.  If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruitingcresta.com.",,,,,,,,,,,
1978740,"RVP, Strategic Sales","https://job-boards.greenhouse.io/cresta/jobs/4425153008","Cresta","Remote","Yes","5","Full time","2025-02-05T02:10:37.182738Z","About the role","Lead a team of Strategic Sales Directors who drive new enterprise business and expand key accounts with Cresta.  The RVP will provide strategic direction and coaching for the team, drive team performance aligned with business outcomes, manage operational execution, and partner closely with key stakeholders and cross-functional teams.  You are accountable for ensuring the region archives new business and expansion goals for Crestas Enterprise Accounts. This role will report to the respective Area Vice President. This is a full-time remote position in the US.","Responsibilities","Recruit, hire, develop, and empower a team of Strategic Sales Directors to consistently surpass Crestas revenue targets
Foster a culture of high accountability by establishing clear expectations for achievement and advocating for a disciplined and scalable process across teams
Scale strategic and enterprise sales process from early traction to a repeatable and predictable sales machine, exceeding ARR targets
Lead and define an effective finely-tuned sales hiring process. Attract 2-3 AEs within the first 90 days from your own network
Build a team of 5-8 AEs within the next 12 months. Quickly move out low performers, and retain and develop top talent
Promote excellence in sales through value-based selling and MEDDPICC methodologies
Collaborate with senior leaders in Marketing, Customer Success, Alliances, Product, and Revenue Operations to create an effective Enterprise GTM strategy
Ensure flawless sales execution for complex multi-stakeholder deals while laying the groundwork for enterprise account growth
Encourage Sales Directors to take ownership of Enterprise pipeline generation and foster effective SDR collaboration for efficient prospecting, identification, qualification, and sustainable pipeline development
Provide accurate forecasts to the executive leadership team, demonstrating a deep understanding of the Enterprise business across the region
Work closely with our Partner leadership teams to achieve successful co-selling efforts","Qualifications We Value","Over 5 years of enterprise sales leadership experience, including a consistent track record of recruiting and retaining high-performing enterprise sellers
Proven success in managing sales teams with minimum 1.5m ARR quotas, selling technical solutions to large, complex enterprises
Experience leading teams at high-growth software companies of similar size 
Master of hiring strategic and enterprise AEs. Knows and can show evidence of sourcing, bringing in, closing, and building large teams of enterprisestrat AE's
Demonstrated history of consistent overachievement as both an enterprise seller and a leader, with teams consistently exceeding revenue targets and advancing their careers under your guidance
A natural ability to lead and motivate sales leaders and sellers through continuous growth and change
A hands-on leader who eagerly engages in deals directly connects with Economic Buyers and provides the necessary support and executive connection to close new opportunities and expand relationships with Enterprise companies
Experience in cross-functional collaboration and co-selling with external partners to establish an Enterprise business from the ground up
Expertise in both land and expand sales strategies, an insatiable curiosity about our customers, and a data-driven vision for how
Cresta can drive positive business outcomes in the Enterprise sector
Experience in cultivating and championing an outbound selling culture and driving accountability for qualified pipeline generation
An unwavering commitment to achieving great results rather than settling for good ones
Willingness and expectation to travel (approx. 30-50%)","Perks  Benefits","We offer Cresta employees a variety of medical, dental, and vision plans, designed to fit you and your familys needs
Flexible vacation time to promote a healthy work-life blend
Paid parental leave to support you and your family
Monthly Gym  Phone allowance
Work from home office stipend to help you succeed in a remote environment.
Lunches and dinners included for in-office employees via Grubhub","Compensation","Compensation for this position includes a base salary, equity, and a variety of benefits. Actual base salaries will be based on candidate-specific factors, including experience, skillset, and location, and local minimum pay requirements as applicable. We are actively hiring for this role in the US, your recruiter can provide further details.",,,,,,,,,,,
