"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_10","Section_8","Section_9","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_17","Section_18","Section_19"
2372635,"Senior Frontend Engineer","https://job-boards.greenhouse.io/fartherfinance/jobs/4524505005","Farther","New York","No","6","Full time","2025-02-05T02:33:01.513040Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Senior Frontend Engineer at Farther, you'll be part of our dedicated frontend engineering team, working across our entire product suite - from client and advisor experiences to investment management interfaces. You'll build high-quality user interfaces using React, TypeScript, and functional programming principles while setting engineering standards that scale across all our products. Working closely with our backend team, you'll help create cohesive, performant user experiences that serve both our clients and advisors. Senior Engineers have the opportunity to take on technical leadership of key projects while remaining hands-on with development.","Design and implement frontend architecture decisions that scale across multiple product areas
Build reusable component libraries and establish frontend standards that ensure consistency across all our applications
Create responsive, high-performance interfaces for complex financial workflows, from client onboarding to portfolio management
Lead technical implementation of major features and provide architectural guidance
Drive adoption of frontend best practices, coding standards, and architectural patterns
Guide technical design discussions to ensure optimal frontend solutions across projects
Mentor engineers through code reviews and knowledge sharing
Contribute to our frontend infrastructure improvements, including our build system and testing frameworks
Work closely with the backend team to design and implement efficient API integrations
Provide technical direction for project implementations and architecture decisions","6 years of frontend development experience, with a strong focus on React and TypeScript
Deep understanding of frontend architecture, state management, and performance optimization
Experience building complex, data-intensive web applications
Strong foundation in JavaScriptTypeScript, HTML, CSS, and modern frontend development practices
Proficiency with functional programming concepts and patterns
Experience leading technical implementation of significant features or projects
Strong written and verbal communication skills with a bias towards documentation
Track record of mentoring other engineers and driving technical best practices
Proven ability to break down complex problems and guide technical solutions","Experience with financial data visualization libraries
Background in wealth management or fintech
Contributions to open-source projects
Experience with testing frameworks and CICD pipelines
Knowledge of accessibility standards and best practices","Everything you need to build the perfect dev station from hardware to software
Learn  grow through book clubs, seminars, and peer learning sessions
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO
An amazing collaborative atmosphere between product, design, and engineering to solve hard problems together
We dont use Jira!",,,,,,,,,,,,
2372632,"Certified Financial Planning Specialist","https://job-boards.greenhouse.io/fartherfinance/jobs/4524948005","Farther","Dallas","No","5","Full time","2025-02-05T02:33:01.513129Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Certified Financial Planning Specialist, you'll be the cornerstone of our client financial planning experience, working directly with our RIA Sales and Advisor teams. In this pivotal role reporting to our Sr Director of Advisor Success, you'll shape the financial futures of our clients while helping to evolve our planning capabilities and processes.","Lead complex financial planning initiatives, providing expert guidance and education to both clients and internal teams
Conduct in-depth client consultations to develop and implement comprehensive financial strategies
Serve as the subject matter expert on financial planning topics, particularly in areas of ISO, stock options, and private equity
Drive efficiency improvements in our planning processes and proactively identify opportunities for enhancement
Showcase the Farther Planning Experience to prospective clients, contributing to our growth
Collaborate with cross-functional teams to ensure seamless delivery of planning services","CFP certification (or enrolled candidate) with 5 years of financial planning experience
Deep expertise in equity compensation, retirement planning, and education planning
Proven track record of managing client relationships with meticulous attention to detail
Outstanding communication skills and ability to explain complex concepts clearly
Self-starter mindset with strong collaborative abilities
Passionate about financial planning and staying current with industry developments
Comfortable with data management and technical tools","Experience with RightCapital or similar planning software platforms
Background in working with high-net-worth individuals
Previous experience in a fast-growing fintech environment","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
2360608,"Senior Mobile Frontend Engineer","https://job-boards.greenhouse.io/fartherfinance/jobs/4524506005","Farther","New York","No","6","Full time","2025-02-05T02:33:01.513176Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Senior Mobile Frontend Engineer at Farther, you'll be part of our dedicated frontend engineering team, focusing on building exceptional mobile experiences across our product suite. You'll work with React Native, Expo, and TypeScript to create high-performance mobile applications that serve both our clients and advisors. Working closely with our web frontend and backend teams, you'll help establish mobile-first design patterns and ensure a consistent experience across all platforms. Senior Engineers have the opportunity to take on technical leadership of key mobile initiatives while remaining hands-on with development.","Design and implement mobile architecture decisions that scale across our entire product suite
Build reusable mobile component libraries and establish patterns that ensure consistency across our applications
Create responsive, high-performance mobile interfaces for complex financial workflows
Lead technical implementation of major mobile features and provide architectural guidance
Drive adoption of mobile development best practices and coding standards
Guide technical design discussions to ensure optimal mobile solutions across projects
Mentor engineers on mobile-specific patterns and React Native best practices
Contribute to our mobile infrastructure improvements, including our build system and testing frameworks
Work closely with the web frontend and backend teams to ensure cohesive cross-platform experiences
Champion mobile-first thinking in product and technical discussions","6 years of frontend development experience, with at least 3 years focused on React Native
Deep understanding of mobile architecture, state management, and performance optimization
Experience building complex, data-intensive mobile applications
Strong foundation in JavaScriptTypeScript and modern mobile development practices
Experience with both iOS and Android platforms
Proficiency with functional programming concepts and patterns
Experience leading technical implementation of significant mobile features or projects
Strong written and verbal communication skills with a bias towards documentation
Track record of mentoring other engineers and driving technical best practices
Proven ability to break down complex problems and guide technical solutions","Experience with native iOS or Android development
Background in fintech or financial services mobile apps
Experience with mobile-specific testing frameworks
Knowledge of mobile accessibility standards
Experience with CICD for mobile applications
Understanding of App Store and Play Store requirements
Experience with offline-first mobile applications
Background in mobile security best practices","Everything you need to build the perfect dev station from hardware to software
Learn  grow through book clubs, seminars, and peer learning sessions
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO
An amazing collaborative atmosphere between product, design, and engineering to solve hard problems together
We dont use Jira!",,,,,,,,,,,,
2360607,"Senior Backend Engineer","https://job-boards.greenhouse.io/fartherfinance/jobs/4524500005","Farther","New York","No","6","Full time","2025-02-05T02:33:01.513228Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Senior Backend Engineer at Farther, you'll be part of our core backend engineering team, building the foundational services and infrastructure that power all our product offerings. You'll work with modern technologies like TypeScript, Bun, and CockroachDB to create scalable, reliable services that support everything from client onboarding to portfolio management. You'll help design and implement the architectural patterns that enable rapid product development across all our offerings while maintaining the high reliability and security standards required in financial services. Senior Engineers have the opportunity to take on technical leadership of key projects while remaining hands-on with development.","Design and implement core backend services that support multiple product areas, from user authentication to financial transactions
Lead technical implementation of major features and provide architectural guidance
Build scalable API layers that serve both our client-facing applications and internal tools
Develop shared libraries and utilities that standardize common operations across our platform
Create efficient data models and database schemas that support our entire product ecosystem
Drive technical decisions for critical infrastructure, including trading systems and portfolio management platform
Guide implementation of backend development standards and best practices
Mentor engineers through code reviews and architectural discussions
Work closely with the frontend team to design APIs that enable efficient client-side development
Provide technical leadership in cross-team engineering initiatives","6 years of backend development experience, with expertise in building financial or data-intensive systems
Strong proficiency in TypeScriptJavaScript or modern backend frameworks
Experience with distributed systems and database design (particularly CockroachDB or similar)
Solid understanding of RESTful APIs and asynchronous processing patterns
Experience with cloud infrastructure (AWS) and containerization
Strong foundation in data structures, algorithms, and system design
Experience leading technical implementation of significant features or projects
Track record of mentoring other engineers and driving technical best practices
Strong written communication skills and documentation practices
Proven ability to break down complex problems and guide technical solutions","Experience with financial services or trading systems
Knowledge of financial regulatory requirements and compliance
Experience with event-driven architectures
Familiarity with functional programming concepts
Background in building high-availability systems
Experience with real-time data processing","Everything you need to build the perfect dev station from hardware to software
Learn  grow through book clubs, seminars, and peer learning sessions
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO
An amazing collaborative atmosphere between product, design, and engineering to solve hard problems together
We dont use Jira!",,,,,,,,,,,,
2320951,"Performance Marketing Associate","https://job-boards.greenhouse.io/fartherfinance/jobs/4521800005","Farther","Remote","Yes","3","Full time","2025-02-05T02:33:01.513273Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","We're seeking a Digital Performance Marketing Associate to join our growing marketing team. This role combines hands-on digital paid marketing execution with strategic thinking to support our client and advisor acquisition initiatives. Working within a distributed team across major US cities, you'll help scale our marketing operations while maintaining the high-touch experience our clients expect.","Execute and optimize digital advertising campaigns across multiple channels (programmatic, SEM, paid social, display) to drive growth
Create and analyze marketing performance reports to provide actionable insights for continuous improvement
Support sales enablement initiatives and tool development to enhance our advisor teams' effectiveness
Collaborate with our HubSpot administrators to implement marketing automation and optimize CRM usage
Work cross-functionally with our distributed team members to drive marketing initiatives forward","3 years of digital marketing experience (we're flexible based on capability and drive)
Proven experience managing digital advertising campaigns across multiple channels (Paid Social, SEM, Programmatic, Display) y) - from building campaigns to reporting and optimization to achieve goals
Strong foundation in marketing analytics platforms (Google Analytics or similar) with the ability to derive and communicate meaningful insights
Experience with CRM platforms, with a problem-solving mindset to learn and optimize our marketing automations and reporting
Excellent project management skills with the ability to handle multiple priorities in a fast-paced environment
Strong collaboration skills and ability to work effectively with a distributed team
Self-starter mentality with a drive to dig deep for solutions
Experience working in a fast-paced, growth-oriented environment","Experience creating automations and reports in HubSpot or similar platforms
Background in financial services, VC-backed companies, or marketing agencies
Familiarity with content management systems (Webflow, WordPress)
Experience working with advisor or sales teams","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
2317496,"Compliance Analyst","https://job-boards.greenhouse.io/fartherfinance/jobs/4521298005","Farther","Dallas","No","3","Full time","2025-02-05T02:33:01.513319Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As our Compliance Analyst, you'll work directly with the Chief Compliance Officer to build and maintain a robust compliance framework that enables growth while ensuring proper risk management. This hybrid role combines the precision of compliance oversight with the dynamism of a fast-moving fintech environment. You'll be the bridge between our advisors and regulatory requirements, helping build compliant, efficient, and successful practices.","Oversight  Compliance","Drive first-line supervisory responsibilities including trading oversight, outside business activities, and registration management
Build and maintain strong relationships with advisors as their primary compliance resource and guide
Monitor and analyze reports from SMARSH and SMARTRIA to ensure ongoing compliance
Conduct periodic office visits and participate in mock audits to strengthen supervisory practices
Investigate suspicious patterns and conduct thorough reviews when needed
Develop and deliver targeted training programs based on advisor needs and regulatory changes
Review transaction blotters and office activities to maintain compliance standards","Business Growth  Development","Partner with recruiting to vet potential advisor candidates
Manage compliance system onboarding for new associates
Maintain accurate ADV documentation and compliance program enrollment
Support the development of scalable compliance solutions that enable business growth
Evaluate and advocate for process improvements that enhance service delivery","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO","3 years of supervisory experience in financial services
Bachelor's degree
Deep knowledge of financial products including mutual funds, annuities, and general securities
Entrepreneurial mindset with strong problem-solving abilities
Outstanding communication skills and relationship-building capacity
Ability to adapt quickly in a fast-paced environment
Track record of developing practical compliance solutions","Series 66 or 65 registration
Additional FINRA registrations
Experience with SMARSH, SMARTRIA, or similar compliance systems
Background in fintech or digital-first financial services
Project management experience
Knowledge of emerging wealth management technologies",,,,,,,,,
2315630,"Quality Control Analyst","https://job-boards.greenhouse.io/fartherfinance/jobs/4520848005","Farther","Dallas","No","2","Full time","2025-02-05T02:33:01.513377Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Quality Control Analyst at Farther, you'll be instrumental in ensuring the accurate execution of investment activities, maintaining regulatory compliance, and minimizing operational risks. Your role will involve reviewing tasks and processes while tracking and reporting error rates to improve efficiency, accuracy, and overall service quality across the firm.","Lead comprehensive review and verification of financial transactions, client account changes, and operational tasks to maintain compliance with firm policies and regulatory requirements
Track, document, and analyze errors or discrepancies in day-to-day operations, including investment transactions, account reconciliations, and client communications.
Maintain detailed logs of errors, categorize by type, and calculate error rates to identify recurring issues or trends.
Generate regular reports summarizing error rates, operational bottlenecks, and corrective actions taken.
Drive regulatory compliance by ensuring alignment with SEC, FINRA, and industry standards while partnering with compliance teams
Spearhead process improvement initiatives by identifying operational inefficiencies and implementing effective solutions
Foster cross-functional collaboration with portfolio managers, financial advisors, and operations teams to enhance quality standards","2 years of experience in quality control, operations, or compliance within financial services
Deep understanding of investment processes, portfolio management systems, and financial regulations
Proven track record of attention to detail and proactive problem-solving
Strong proficiency in Microsoft Office Suite and financial software tools
Excellence in analytical thinking and communication
Demonstrated ability to work both independently and as part of a team","Experience working specifically within an RIA environment
Advanced knowledge of CRM systems and portfolio management software
Track record of implementing successful process improvement initiatives
Understanding of emerging fintech trends and digital wealth management platforms","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
2315628,"Client Operations Analyst","https://job-boards.greenhouse.io/fartherfinance/jobs/4520845005","Farther","Dallas","No","2","Full time","2025-02-05T02:33:01.513430Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a Client Operations Associate, you will be an essential team member supporting the operational efficiency of Farther's wealth management process. You will contribute to the seamless client experience by executing financial operations for client support, trading, and data management. You will help maintain and improve our operational processes while working closely with senior team members. You will collaborate with our client experience, product and engineering teams to support wealth management solutions. As a member of Farther's operations team, you will have the opportunity to learn and grow while making an impact on both the company and the wealth management industry.","Client Support Execute day-to-day client support activities including addressing routine client inquiries, account matters, and transaction-related questions under guidance from senior team members.
Trade Execution Support and execute standard trades for client portfolios following established procedures. Identify and report trade discrepancies to senior team members.
Data Management Assist in the management and reconciliation of client account data across custodians, platforms, and software systems. Help maintain data accuracy and completeness.
Relationship Support Build positive relationships with internal teams and custodians. Support client service delivery and escalate complex matters appropriately.
Technology Utilization Learn and effectively use our proprietary portal, custodian platforms, and wealth management tools. Document and report system issues or inefficiencies.
Process Support Identify opportunities for process improvement and support implementation of operational enhancements under guidance.","Bachelor's degree with 2 years of experience in financial services operations
Strong attention to detail and accuracy in work product
Excellent team player with positive attitude and willingness to learn
Good organizational and communication skills
Ability to work effectively in a fast-paced environment
Demonstrated interest in wealth management and operations","Experience with financial services software platforms, specifically with Black Diamond
Basic understanding of wealth management operations
Interest in process improvement and operational efficiency
Experience in a client service role","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
2315626,"Billing Associate","https://job-boards.greenhouse.io/fartherfinance/jobs/4520841005","Farther","Dallas","No","2","Full time","2025-02-05T02:33:01.513479Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","The billing team is responsible for developing and executing the billing process for all of the services we provide to our advisory clients. As a Billing Associate, you will ensure timely and accurate processing of monthly and quarterly billing cycles while driving continuous improvement of our billing operations.   The ideal candidate combines a strong understanding of financial transactions, excellent analytical capabilities with the ability to support both advisors and internal stakeholders in delivering an exceptional billing experience.","Lead end-to-end execution of billing cycles, including custodian uploads, fee analysis, and adjustment processing with highest accuracy standards
Build and maintain strong relationships with advisors, providing proactive support and clear communication on billing matters
Analyze complex billing scenarios and develop effective solutions for unique client situations
Drive operational efficiency through process improvement initiatives and automation recommendations
Partner with custodial firms to resolve account-related challenges and ensure seamless billing operations
Monitor billing accuracy and completeness, identifying and addressing discrepancies proactively
Contribute to special projects aimed at scaling our billing capabilities and enhancing client experience
Maintain detailed documentation of billing procedures and best practices","Bachelor's degree with 2 years of experience in financial services billing or related role
Strong analytical mindset with exceptional attention to detail and problem-solving abilities
Experience manipulating and analyzing large datasets using Excel or similar tools
Demonstrated ability to manage multiple priorities while maintaining accuracy and meeting deadlines
Excellence in written and verbal communication, with ability to explain complex billing concepts clearly
Self-starter mentality with proven track record of process improvement initiatives
Proficiency in financial software systems and advanced Excel skills
Ability to thrive in a fast-paced environment and adapt to changing priorities
Strong team player with professional demeanor and client-service orientation","Experience with major custodians (Charles Schwab, Fidelity, Pershing)
Understanding of wealth management operations and client service workflows
Knowledge of financial industry compliance requirements and billing regulations
Background in process automation and system optimization
Previous experience in a high-growth fintech environment","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
2315623,"Accounts Payable and Payroll Manager","https://job-boards.greenhouse.io/fartherfinance/jobs/4520839005","Farther","Dallas","No","5","Full time","2025-02-05T02:33:01.513521Z","Farther is a rapidly growing RIA that combines expert advisors with cutting-edge technology - delivering a comprehensive, tailored wealth management experience.","Farthers founders are leaders and innovators from the private wealth industry who possess a unique blend of traditional wealth management, fintech, and technology production expertise. Were backed by top-tier venture capital firms, fintech investors, and industry leaders.","Joining Farther means joining a collaborative team of entrepreneurs who are passionate about helping their clients and our teammates achieve more. If youre the type who breaks through walls to get things done the right way, we want to build the future of wealth management with you.","As a key member of our growing Finance team, the Accounts Payable and Payroll Manager will lead and oversee our accounts payable and payroll operations. With a focus on calculating and recording commission payments, and payroll compliance, this role ensures seamless payroll operations while driving process improvements and system optimizations. You'll combine strategic financial oversight with hands-on execution, focusing on streamlining vendor relationships, optimizing expense management, and ensuring precise compensation administration. You'll play a crucial role in scaling our financial operations while maintaining the highest standards of accuracy and compliance.","Design and execute comprehensive payroll strategies, managing bi-weekly payroll processing and monthly commission distributions while ensuring 100% accuracy and compliance
Manage the complete commission lifecycle for advisors, including calculations, validations, and distributions
Drive payroll compliance across federal, state, and local regulations, including tax filings and reporting
Lead process improvement initiatives for payroll systems and operations
Foster cross-functional partnerships to resolve complex compensation challenges and implement forward-thinking solutions
Partner with HR teams to validate commission structures and performance data, ensuring alignment with company goals
Provide responsive support to employees regarding payroll inquiries, ensuring clear communication and timely resolution of issues
Direct employee reimbursement programs and expense management
Oversee month-end and year-end payroll reconciliations and reporting
Develop and maintain payroll analytics and reporting for key stakeholders","Bachelor's degree in Accounting, Finance, Business Administration, or related field
5 years of progressive experience in payroll management, with demonstrated expertise in complex commission structures
Deep technical proficiency in modern payroll platforms (Rippling, Gusto) and advanced Excel modeling
Comprehensive understanding of multi-state payroll regulations and tax compliance requirements
Proven track record of successfully implementing and optimizing HRIS integrations
Demonstrated ability to lead process transformation initiatives and drive system modernization
Outstanding analytical capabilities with a data-driven approach to problem-solving
Exceptional stakeholder management skills with ability to communicate complex financial concepts clearly","Certified Payroll Professional (CPP) certification or relevant advanced certifications
Experience scaling payroll operations in high-growth fintech environments
Deep knowledge of RIA compensation models and regulatory requirements
Track record of building commission systems for financial services organizations
Experience with SOX compliance and internal controls","Competitive comp package that rewards impact
Work alongside some of the brightest minds in fintech
Ground-floor opportunity at a fast-scaling startup
Chart your own growth path as we expand
Full health benefits  401(k) matching  Roth IRA options
Unlimited PTO",,,,,,,,,,,,
