"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_11","Section_12","Section_13","Section_16","Section_17","Section_18","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_14","Section_15","Section_19","Section_20","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_28","Section_29","Section_30","Section_31","Section_32","Section_33","Section_35","Section_36","Section_37"
2374828,"Maintenance Planner","https://jobs.smartrecruiters.com/FosterFarms/744000040667745-maintenance-planner","Foster Farms","Donald","No","5","Full time","2025-02-05T17:46:50.927715Z","(67,100 - 83,875 annually Plus eligible for 5% target bonus)","We offer our Team Members the following benefits","Schedule Must be willing to work a changing shift schedule and on a rotating weekend on call list.","Computer Skills Proficiency with basic office computer software, and the ability to learn how to effectively use maintenance software to input data, research parts and analyze repair history detail. Thorough working knowledge of Computer Maintenance Management System (CMMS), Purchasing, and Microsoft Office products. Prefer SAP experience.","Physical Requirements The employee must regularly lift andor move up to 50lbs.","Working Environment While performing the duties of this job, the team member is regularly exposed to work near moving mechanical parts. The team member is regularly exposed to heights. The team member is regularly exposed to high noise environments. The team member is regularly exposed to outside weather in all conditions.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.","Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (70% tuition, 70% books, and 70% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","The Maintenance Planner is expected to manage and administer the Preventive Maintenance program, Work Order program and manage all facets of the Feed Mill maintenance parts including purchases and inventory. Responsible for assisting with the development of reliability-based maintenance strategy based on preventive and predictive maintenance. Work directly with the Management to build a reliable maintenance program. The Planner will work independently and with other plant personnel to perform preventative, predictive and routine maintenance tasks. In addition, the position will manage, organize and collaborate with contracted maintenance personnel for planned plant maintenance. The Planner position requires hands on maintenance experience and knowledge. All tasks will be performed while supporting the policies, goals and objectives of the company.","Responsibilities","Plan and schedule preventive and predictive maintenance work orders.Enter and Maintain equipment records in SAP data software system.Maintain equipment attributes, such as ABC, type, functional location to support repair analysis.Setup and maintain all predictive and preventative maintenance plans in SAP to maximize equipment reliability.Determine the most effective methodtool to conduct preventative and predictive maintenance checks based on equipment critically.Setup PM plan in SAP for each piece of equipment, including frequency, mechanic tasks, parts needs, tools needed, safety procedures.Generate PM work orders in SAP, from the PM plans for the next 14-28 days.Monitor and report if PM work is being completed to maintain equipment reliability and comply with regulations and audits.Release and Schedule PM work orders to maintenance crews.Seek input from management to continually improve and adjust PM plans based on equipment and part performancefailure.Monitor and analyze SAP part failure data (along with supervisors and manager) to detect trends (good or bad).Plan and Schedule Corrective work to maximize crew utilization and effectiveness.Reviews work request (SAP Notifications), collaborates with requestor, and create the Work Order.Plans the work, including estimated labor by craft (Mech, Elect), and special equipment or permits needed.Identifies and reserves parts (or creates purchase requisitions) for parts and services.Prepares job plans and work order packets for mechanics.SchedulingInterfaces with operations to validate work priority and equipment availability.Collaborates with Management to schedule downtime.Leads weekly maintenance scheduling meeting.Prepares weekly metrics.","The minimum requirements for education and experience are listed below. Consideration will be given to individuals with an equivalent combination of education and experience.","B.A. B.S. degree preferred or A.Atechnical school graduate with a minimum of 5 years' experience in maintenance scheduling or milling operations preferred.","Strong working knowledge of industrial maintenance and electrical functions.","Ability to build and use maintenance library for repairs.Ability to read and interpret technicalengineering documents, drawings, schematics.Must have advanced knowledge of maintenance planning and performing root cause analysis of maintenance failures.Must have three (3) or more years Supervisory experience.Must have knowledge of production equipment fundamentals.Must be able to communicate effectively verbally and in writing with ability to write detailed repair reports.Must have strong interpersonal skills.Must be able to work in a fast-paced environment with little direct supervision.Must have a balanced technicalmechanicalelectricalhuman resource knowledge.Must be computer literate in Windows and CMMS environments.Must be able to interface on a daily basis with all support groups or departments.Bilingual (EnglishSpanish) is helpful.Must be able to submit and pass a criminal background check.",,,,,,,,,,,,,,,,,,,
2370802,"PurchasingReceivingShipping Supervisor (Swing)","https://jobs.smartrecruiters.com/FosterFarms/744000040533881-purchasing-receiving-shipping-supervisor-swing-","Foster Farms","Demopolis","No","4","Full time","2025-02-05T17:46:50.927811Z","Purpose of Position","The PurchasingSchedulingShippingReceiving Supervisor is responsible for all aspects of packaging, ingredient, operating supplies, personnel supplies, shipping, transportation, waste management, recycling, inventory control of those items, and all related staffing needed to facilitate proper execution of all related tasks.  Position will communicate directly with suppliers but will also work closely with Corporate Sourcing, Product Management, and Transportation in order to stay up to date on current policies, procedures, and vendor statuses.",,,,,,,,"Essential Job Functions","Maintain inventory accuracy for all products stored within the Demopolis and outside storage facilitiesMaster schedule and plan all finished goods for the Demopolis production facility.Reconcile weekly inventory countsResponsible for monitoring and ordering ingredients and other materials.Responsible for the procurement of all packaging associated with finished goods.Maintain documentation necessary for operations including trackinginputting work orders, requisitions, activity reports and daily log bookSupport the MRO team and the Inventory  Receiving Specialist with parts acquisition and inventory managementSupply chain management support, including assisting in implementing process improvements and assisting in planning, organizing, and evaluating supply chain activities.Act as the liaison between the corporate Demand Planner and Commercial Services department and communicate any supply issues.Assisting in analyzing inventory needs based on sales trends, inventory levels and supplydemand analysis.Other duties, as assigned.","4 years progressive responsibility in two or more of the following areas  Procurement, Operations Management, or Supply Chain.Proven exceptional analytical capabilities.Excellent time management and organization skills.Bachelor's degree in supply chainOperations Management or related field.Previous experience with SAP systems.Effective verbal, written, interpersonal, and instructional skills.Basic computer skills.Credibly and effective leadership skills.Demonstrated ability to multi-task and handle multiple priorities.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2370800,"Live Hanger- FTP1 (Temporary February - May  Night Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000040549935-live-hanger-ftp1-temporary-february-may-night-shift-","Foster Farms","Turlock","No","Not specified","Full time","2025-02-05T17:46:50.927850Z","Pay Rate 28.14 per hour","Responsible for unloading live turkeys from trailers. Turkeys are removed from the cages and then hung onto a shackle on the line by the feet.",,,,,,,,"Must be able to stand for long periods.Must wear required PPE for work area.Must be able to work in a wet and cold environment.Must be able to tolerate repetitive hand and arm motions.Must be able to submit and pass a criminal background check a drug test.Must be able to lift, carry and push up to 80 pounds repetitively.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2370798,"General Production (Cropper Three Point) Temporary Feb - May  Night Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040550165-general-production-cropper-three-point-temporary-feb-may-night-shift","Foster Farms","Turlock","No","Not specified","Full time","2025-02-05T17:46:50.927880Z","Pay Rate17.90 per hour.","Shift Night",,,,,,,,"Team member is responsible for removal of crop and wind pipe from the bird such as reaching into the neck pouch grasping the turkey crop and removing it. Team member will also be rotated to the three-point job task which will required team member to grasp turkey legs and hanging legs on the shackle.","Must be able to stand for long periods.Must wear required PPE for work area.Must be able to work in a wet and cold environment.Must be able to tolerate repetitive hand and arm motions.Must be able to submit and pass a criminal background check an drug test.Must be able to lift, carry and psuh up to 80 pounds repetititevely.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,
2370797,"Base Level 1 (Evis) FTP1 (Night Shift) Temporary Feb-May","https://jobs.smartrecruiters.com/FosterFarms/744000040550477-base-level-1-evis-ftp1-night-shift-temporary-feb-may","Foster Farms","Turlock","No","Not specified","Full time","2025-02-05T17:46:50.927907Z","Pay Rate 16.50 per hour.","The work of a Base-Evis with Foster Farms is performed in a poultry processing facility involved primarily in the production of turkey and associated turkey products.The Base-Evis is responsible for working on a line or trim table where fat is removed from skin and parts are removedtrimmed.",,,,,,,,"Must be able to stand for long periods.Must wear required PPE for work area.Must be able to work in a wet and cold environment.Must be able to tolerate repetitive hand and arm motions.Must be able to submit and pass a criminal background check a drug test.Must be able to lift, carry and push up to 45 pounds repetitively.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2370796,"Field Supervisor - Chicken Grow Out","https://jobs.smartrecruiters.com/FosterFarms/744000040555430-field-supervisor-chicken-grow-out","Foster Farms","Delhi","No","1","Full time","2025-02-05T17:46:50.927934Z","Pay Range 68,640 to 81,300 per year","Essential Functions",,,,,,,,"Responsible for fryer performance, quality, and production. Includes controlling and maintaining bird health with aid of all available facilities, and equipment to include vehicular, industrial safety and maintenance awareness programs.Implementing and controlling field compliance with grow out, disease prevention, safety and quality programs.Coordinating all ranch functions and insuring accurate completion.Coordinating labor needs and scheduling accordingly.Completing wage records and personnel evaluations on all subordinate employees.Employee development and training. Ensuring that all company policies and procedures are followed.Administer employee disciplinary actions and assist with the hiring and firing of employees as needed.","Minimum 1-2 years of successful chicken grow out supervisory experience.Strong Animal Science background (a Bachelor of Science Degree in Poultry Science, Ag-Business or related field is preferred).Must have strong oral and written communication skills.Must have strong leadershipsupervisor skills with the ability to act independently and be able to evaluate fairly and objectively.Must be able to work flexible work schedules as needed to include weekends, holidays, late and early morning hours.Must have good computer skills and the ability to create and analyze data.Ability to interface with all support groups, departments and upper management.Must be able to work independently unsupervised and have strong time management skills.Must have and maintain a good DMV driving record.Bilingual EnglishSpanish is helpful.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,
2370795,"Weigh  PriceLoaderDay Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040568464-weigh-price-loader-day-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.927961Z","Pay rates between 19.00-23.50 with Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","We offer our Team Members the following benefits",,,,,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Essential Job Functions","Remove packages from baskets and place them on infeed belts to pre-price scales.Stack empty baskets and dividers keep work areas clean and orderly.Move wheeled racks 7 baskets high weighing between 200  400 pounds.Lift, push, andor pull up to 80 pounds repeatedly.Work in cold conditions using provided freezer gear.Maintain and improve quality and food safety to ensure compliance with company quality. Standards and USDA regulatory requirements.Perform other duties as assigned by Supervision and Lead personnel.",,"Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback.Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety  procedures.Walk and stand on concrete floor, grating, or metal stand in a cold  environment for prolonged periods.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,
2370794,"Tractor Driver AG - Clean Up Crew (Day Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000040578940-tractor-driver-ag-clean-up-crew-day-shift-","Foster Farms","Delhi","No","Not specified","Full time","2025-02-05T17:46:50.927990Z","Pay Rate 18.00 per hour.","(Additional 1.00 per hour for hours worked between 700pm and 1159pm. Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"Inspect Grader, Tractor and all special equipment Carryalls, Housekeepers, Corner-puller, Broom, Blower, BG Scraper, Weed- Sprayer at the start of each shift and through the to assure that equipment Is in safe running condition.Report any unsafe Conditions to your Supervisor immediately. Maintain and operate Tractor to meet scheduled needs.Inspect Tractor  Equipment at the start of each shift and through the day as needed to assure that equipment is in safe running condition. Operate and maintain grader, tractor as well as All special equipment carryalls, housekeepers Corner-puller, broom, blower, BG scraper and Disc. In the removal of old litter, the placement of new litter (Rice hulls) and leveling of ground in and around chicken houses in a safe and efficient manner. Perform groundwork as needed. Report all damages to equipment and or buildings to your leadsperson or supervisor immediately. Other duties as assigned.","Must have a valid Class C drivers license with a clean DMV printout.Must be able to operate grader, tractor and special equipment.Must be motivated to work independently as needed.Must be able to perform groundwork when needed.Must be able to lift 50 lbs.Must be able to work at different ranch locations.Must be able to work weekends, holidays and overtime as needed.Must be able to work independently with or without direct supervision.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,
2370793,"Senior Designer (Engineering Department)","https://jobs.smartrecruiters.com/FosterFarms/744000040580105-senior-designer-engineering-department-","Foster Farms","Delhi","No","5","Full time","2025-02-05T17:46:50.928018Z","Pay Range 78,850 to 98,575 per year.","PURPOSE OF POSITION
To provide support to the company through the creationdevelopment of drawings and other supporting documents for fabrication, construction, and future management decisions. Direct contract personnel in assistance to the Project Manager or as the Lead while working independently during various project installations. Create equipment list, detail section view on the equipment, work from prevention to design to create a safety process.",,,,,,,,"ESSENTIAL JOB FUNCTIONS","Prepare conceptual drawings design equipmentsystems to meet the companys capital improvement needs. Develop equipmentfacilities layouts for ongoing capital project needs. Provide detailed equipment designs for capital projects. Develop and provide clear and accurate drawingsdesigns to meet all building codes, safety and OSHA standards as well as adhering to good USDA and engineering practices that will be used for bidding, fabrication and construction purposes. These drawing will include drawings of structural, electrical, hydraulic (piping) and building layouts as needed for capital projects. Manage multiple ongoing design projects. Manage installation of projects in assistance to the Project Manager or as the Lead while working independently. Filling in as representative for the Project Manager. Develop the ability to troubleshoot process problems or issues and come up with a resolution that can be implemented. Upon completion of the project, assure the performance requirements have been met.Develop proposals for future management decisions.","High school diploma and a minimum of 5 years of experience in AutoCAD draftingdesign of equipment and facilities. Bachelors' degree preferred. Strong developed knowledge of UBC, OSHA, and USDA requirements.Computer literate including AutoCAD, MSOffice and MS ProjectStrong background and knowledge of the construction trades and project managementExhibit talent for creativityinnovationSound problem-solving skills, sound judgment and decision-making abilitiesMust be able to communicate effectively with varying levels of management and team leads, both written and verbal.Travel will be required. Ability to plan, organize, prioritize and execute tasks in a changing and demanding work environment.Highly self-motivated and self-directed.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2370791,"Assistant Ranch Manager Trainee - Taylor Complex (Shift Varies)","https://jobs.smartrecruiters.com/FosterFarms/744000040586646-assistant-ranch-manager-trainee-taylor-complex-shift-varies-","Foster Farms","Denair","No","Not specified","Full time","2025-02-05T17:46:50.928046Z","Pay Rate 17.50 per hour.","(Additional 1.00 per hour for hours worked between 700pm and 1159pm. Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"To learn all the functions of the Ranch Manager and the Assistant Ranch Manager as they relate to day-to-day fryer ranch duties. Emphasis should be placed on the importance of quickly developing all the necessary skills for becoming an Assistant Ranch Foreperson.Learn about and assist with the grow out program so that ranch setup, brooding, temperatures, ventilation, mortality, vaccination, and medication are sustained to meet the highest level of quality and productivity.Learn about and assist with the maintenance of the facilities and equipment for optimal use and appearance.Learn about and assist the Foreperson with feed projections, coordination with feed mills of feed deliveries, maintenance of accurate feed inventories and proper feeding methods.Learn about and assist with the maintenance of accurate and complete records pertaining to all ranch activities, feed, mortality, labor, production, and energy consumption.React to any ranch emergency that could adversely affect the chickens, day or night.In the absence of the Foreperson, take full responsibility for the ranch facility and the birds.Maintain a high level of safety awareness and adhere to and enforce all safety rules, procedures and guidelines.Learn about and adhere to the strict sanitation and disease prevention guidelines assist in constant monitoring of bird health, reporting anyall abnormalities to the Ranch Foreperson or Field Supervisor.","Must be self-motivated and able to work with minimal supervision.Must have good mathematical and organizational skills.Must be able to move 25 pounds.Preferably, will have poultry-raising experience.Preferably, will have a mechanical aptitude.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,
