"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_11","Section_12","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_13","Section_14","Section_15","Section_16","Section_17","Section_18","Section_19","Section_20","Section_21","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_28","Section_29","Section_30","Section_31","Section_32","Section_33","Section_34","Section_35","Section_36","Section_37","Section_38","Section_39","Section_40","Section_41","Section_42","Section_43","Section_44","Section_45","Section_46"
2374826,"Team Lead, Growth (User Segment)","https://jobs.smartrecruiters.com/Grab/744000040659675-team-lead-growth-user-segment-","Grab","Bangkok","No","2","Full time","2025-02-05T17:57:23.834124Z","Get to Know the Team","Our Growth team is dedicated to enhancing Grab's presence in the User Segment. We work with several departments to orchestrate projects that achieve business growth. If you're excited about User Segment that make impacts, you'll find this team engaging and rewarding.","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What We Stand For at Grab","We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.","Get to Know the Role","As the Team Lead for User Segment, you'll lead strategic plans that propel our business forward. You'll collaborate with teams and influence partners to achieve growth targets. You will report to Manager, Growth and Monetization - GrabFin  OneGrab. This role is based onsite in our Bangkok Office.","The Critical Tasks You Will Perform","Initiate and implement a strategy to achieve the business growth or target on the responsible scope including User Segment growthCollaborate with many business teams e.g. Marketing, Partnership, and Commercial to create the cooperation that enables business achievement as an OneGrab effortPerform analysismodelresearch to support insightful decision-making that shapes the important critical business directionBuild presentations to influence senior team members and ensure data-driven decisionLead the project's progress, ensuring it aligns with the set objectives. This includes tracking project performance, managing resources, and coordinating with different team members to ensure smooth execution.","What Essential Skills You Will Need","Minimum 2-3 years of working experience in consulting, business, tech company or a in strategy or business development.Initiator - able to throw in big WHAT IF and light up new ideas with rationale attached.Passion and energy to excel - Eager to identify, own, and solve new opportunities and challenges.Positive attitude and can work with many business teamsHave Communication skills with the ability to articulate clearly in both written and spoken EnglishWorking knowledge of SQL and TableauPowerBI","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374825,"Senior Software Engineer, Mobile (iOS)","https://jobs.smartrecruiters.com/Grab/744000040661335-senior-software-engineer-mobile-ios-","Grab","HCMC","Yes","2","Full time","2025-02-05T17:57:23.834240Z","We are looking for iOS Engineers who are experienced professionals responsible for leading the development of iOS applications. You will report into the Software Engineering Manager, Mobile. They excel in app development, architectural design, code review, and mentoring, ensuring app performance and adherence to best practices. Their expertise includes user interface design, API integration, security implementation, and device compatibility, making them valuable assets in delivering high-quality iOS apps.","The Critical Tasks You Will Perform",,,,"You will manage App Development in the Grab app.You will ensure seamless ad and promotion integration.You will develop features for better user engagement.You will work with QA and UX teams.You will monitor app performance.You will participate in code reviews for quality assurance.You will consolidate document changes and integrations.","You have at least 2 years of professional iOS development experience with solid computer science fundamentals in algorithms and data structuresYou are familiar with programming paradigms such as OOP, TDD, reactive programming and dependency injection.You have a working knowledge of several architectural approaches including clean architecture like MVVM or VIPER.You have experience writing maintainable and testable code, including API design, unit testing and UI testing techniques, experience working with a UI library.You are well versed in maintaining applications with a high user base with crash analytics, remote debugging and continuous integration.You have experience optimizing app performance network data usage, battery, storage, app size, app launch time.You have experience with SwiftUIYou have good experience about CICD implementation","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What We Stand For At Grab","We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374824,"Senior Product Analyst","https://jobs.smartrecruiters.com/Grab/744000040661856-senior-product-analyst","Grab","HCMC","No","4","Full time","2025-02-05T17:57:23.834267Z","Get to Know the Team","The Grab Support team supports Grab's Partners, including drivers, passengers, and merchants, in using our products. The team is responsible for delivering exceptional customer service for our drivers, passengers, and merchant partners. As a Senior Product Analyst, you'll have the opportunity to collaborate with experts in technology, analytics, and business operations to drive the vision and growth of our platform.","We care about your well-being at Grab, here are some of the global benefits we offer","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What We Stand For at Grab","Get to Know the Role","We are looking for a Senior Product Analyst with great analytical skills to help product teams be more data-driven and objective and guide the design of controlled experiments. You will work closely with different teams within a business line (Product, Business, Engineering, Design and Data Science) to understand data requirements, identify key metrics, and provide data-driven insights. You will also work with stakeholders to evaluate the feasibility of new businessproduct ideas and provide appropriate recommendations.","You will report to the Product Analytics Manager, and work onsite at the Grab HCMC office.","The Critical Tasks You Will Perform","You will dive into data to align with business objectives, recommending novel solutions to address key customer challenges.You will measure and analyze performance across markets and business lines using data.You will develop analytical frameworks for identifying common patterns in recurring hypotheses and problems.You will create models that examine product configurations and explore interaction effects.You will monitor metrics, perform root cause analysis on metric shifts, and report findings.You will design and implement experiments to guide product decisions, including AB testing, analysis, and recommendations.","What Essential Skills You Will Need","At least 4 years of experience in Analytics, Business Intelligence, or Data Science roles within large-scale Internet or E-Commerce sectors.Highly proficient in both verbal  written EnglishAdvanced SQL capabilities for querying large databases.Skill in translating data into actionable insights for non-technical audiences using presentations and visualizations.Proficiency in handling multiple projects and addressing ambiguous problems.Hands-on experience with data analysis tools such as R or Python and visualization tools like Tableau, PowerBI, or D3.js.Expertise in designing, executing, and analyzing AB tests and product experiments, including a solid understanding of hypothesis testing and design of experiments.","Life at Grab","We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374823,"Lead Product Manager, Customer Support","https://jobs.smartrecruiters.com/Grab/744000040662846-lead-product-manager-customer-support","Grab","HCMC","No","5","Full time","2025-02-05T17:57:23.834310Z","Get to Know the Team","We're looking for a Lead Product Manager specializing in Customer Support to join our team in Vietnam. You'll lead the charge in developing and enhancing our customer support products, driving transformation in our service offerings.","We care about your well-being at Grab, here are some of the global benefits we offer","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What We Stand For at Grab","Get to Know the Role","As a Lead Product Manager, you'll be at the forefront of shaping our customer support solutions to align with business goals and customer needs. Your insights will steer our innovative service enhancements. You will report to Head of Product, Safety  GrabSupport and work onsite at the Grab HCMC Office.","The Critical Tasks You Will Perform","You will direct the product strategy for our customer support solutions, ensuring alignment with business goals.You will collaborate with cross-functional teams to define product roadmaps and prioritize features based on feedback and market trends.You will analyze customer data and support metrics to identify opportunities for improvement and make informed product decisions.You will develop and maintain product backlogs, document user stories, and outline requirements.You will manage the product lifecycle from conception to launch and beyond, optimizing the offering post-launch.You will mentor junior product managers to foster a culture of innovation and customer focus.You will conduct market research to stay informed about industry trends and competitor strategies.You will work closely with engineering to ensure product delivery effectively and efficiently.You will present product strategies and performance to senior leadership and stakeholders.You will consistently gather customer feedback to enhance product offerings.","What Essential Skills You Will Need","At least 5 years of experience in product management, with a focus on customer support.At least 3 years of experience in a customer support or similar role.Proven success in launching and improving products.Leadership experience in mentoring product teams.Expertise in applying product management methodologies and best practices.Proficiency in using customer support platforms and tools.Advanced skills in data analysis and reporting.Strong abilities in project management and cross-functional team leadership.Expertise in strategic analysis and planning to lead product innovation by identifying trends, assessing competition, and crafting growth roadmaps.Competence in customer journey mapping and optimization.Understanding of customer support processes and industry standards.Familiarity with SaaS or technology industry trends.Proficient in articulating ideas and delivering engaging presentations.",,"Life at Grab","We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374822,"Senior Account Management, GrabFood Batam","https://jobs.smartrecruiters.com/Grab/744000040664085-senior-account-management-grabfood-batam","Grab","Batam","No","4","Contract","2025-02-05T17:57:23.834345Z","Get to Know the Team","We contribute towards Grab's vision of being Southeast Asia's super app by providing everyday services that matter most to consumers in Indonesia. We develop business strategies that help us achieve our vision in serving our community. We create beneficial collaborations with merchant partners to enhance their business offering and improve the lives of customers.","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What We Stand For At Grab","We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,"Get to Know the Role","We are looking for a Senior Account Management to help Grab build strategic relationships with high-profile merchants and increase revenue. We believe a successful candidate has good management skills, but if you believe you have what it takes then we'd love to hear from you either way. In return, you will be part of the team to drive growth for Grab. You will be reporting to the manager. The role will be onsite. The role will be a 1 year contract.",,"The Critical Tasks You Will Perform","What Essential Skills You Will Need","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374821,"Analytics Manager, Deliveries","https://jobs.smartrecruiters.com/Grab/744000040668465-analytics-manager-deliveries","Grab","Petaling Jaya","No","6","Full time","2025-02-05T17:57:23.834375Z","Get to Know the Team","The ACE (Deliveries, OmniCommerce) Analytics team is the analytics and data powerhouse behind Grab's fastest-growing segments GrabFood, GrabMart, GrabExpress and OmniCommerce. Here, innovation meets action. We're not just a team we're trailblazers, committed to solving the most pressing challenges for our consumers, driver-partners, and merchant-partners using data. From improving the consumer order experience to enhancing platform reliability, we aim to make Grab the first choice, every time.","You have at least 2 years of managerial experience leading and growing teams, both horizontally and vertically.You have at least 6 years in data-related or quantitative fields, with experience within D2C or B2C context such as Marketplaces, ECommerce, OmniCommerce or Retail Marketing Analytics.You have fostered a data-driven culture within the organisation, promoting the use of analytics in decision-making processes.You can take ownership of open-ended ambiguous business problems and propose novel solutions that go beyond common practice.You have experience with experimentation to develop and test hypothesis through AB tests, time-slice experiments (and more).You have skills in data visualization and storytelling, and you can create narratives that aptly represent your team's insights.You are fluent in SQL, Python, R, or other scriptingprogramming languages.","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer",,"Get to Know the Role","You will lead a team of 2-3 analysts, and will report to the Head of Analytics, ACE. You will collaborate with diverse teams (Product, Business, Engineering, Design, Data Science) to transform data into dynamic solutions. Your insights will directly help develop groundbreaking products and programs, setting new benchmarks for excellence. Additionally, as we build our Analytics team in Malaysia, you will also act as the Site Lead for Analytics and mentor other analysts in Malaysia.","This role is based in Petaling Jaya and onsite.",,"The Critical Tasks You Will Perform","Build and Nurture a High-Performing Team Recruit and develop a diverse team of product and data analysts. Foster a culture of curiosity and innovation where ideas flourish, and continuous learning is encouraged.Influence at the Highest Levels Present your team's findings to executive leadership and stakeholders, making a tangible impact on important decisions.Drive Business Transformation Collaborate with leaders to integrate analytics into every facet of our business. You'll translate complex data into strategies, providing clarity and direction in a changing market landscape.","What Essential Skills You Will Need","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What we stand for at Grab","We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374820,"Senior Market Insights Analyst","https://jobs.smartrecruiters.com/Grab/744000040668636-senior-market-insights-analyst","Grab","Petaling Jaya","No","4","Full time","2025-02-05T17:57:23.834402Z","Get to know the Team","The Regional Market Insights Team helps influence Grab's strategic and operational decisions by offering insights on industry developments and competitive dynamics. We evaluate the landscape through diverse lenses and complement traditional market research with innovative techniques.","We care about your well-being at Grab, here are some of the global benefits we offer","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.Balance personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours","What We Stand For At Grab","Get to know the Role","Reporting to the Lead Market Analyst, our team comprises individuals from varied backgrounds, each bringing a unique set of experiences and skills to the table. To excel in the role, you will be one who excels at teamwork, and can navigate through uncertainties.","This role is based on-site in our Petaling Jaya office.","The Critical Tasks You Will Perform","You will develop metrics and simulation models to sense make competition landscape across different segments of Grab's businessYou will conduct in-depth data analysis and create insights to influence Grab's strategic and operational decisionsYou will design and execute data collection and validation processesYou will collaborate with the Tech team to build scalable solutions on monitoring industry trends.You will observe industry activities, collect movements and provide sense-making on the competitive landscape.You will use critical thinking skills to ""connect the dots"" to form strategic narrative.You will evaluate potential threats and make recommendations to influence decision-making.","What Essential Skills You Will Need","At least 4 years of experience in a data analytics or management consulting role.Proficiency in data querying and wrangling using SQL and PythonExperience with statistics would be advantageousCritical thinker who can logically analyze complex and ambiguous problems.Familiarity with the ride-hailing, food delivery, and e-commerce industries.","Life at Grab","We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374819,"Senior Security Engineer","https://jobs.smartrecruiters.com/Grab/744000040670749-senior-security-engineer-","Grab","Petaling Jaya","No","6","Full time","2025-02-05T17:57:23.834459Z","Get to know the team","As an engineer at Grab, you are at the core of the company's mission and spirit. Our passion shines through the work we do, driving a meaningful impact on millions of lives every day. We take pride in building exceptional services and tools that support millions of passengers, driver-partners, and colleagues across the organization.","Collaborate with cross-functional teams to integrate security into the software development lifecycle (SDLC) and CICD pipelines.","Own and ensure that internal and external SLAs meet and exceed expectations, Security Engineering centric KPIs are continuously monitored and improved..","Participate in on-call rotation to provide infrastructure support, incident management, and troubleshooting.","You will join a team dedicated to ensuring the security of our code and infrastructure, a responsibility that spans one of the largest deployments in the region.","Get to know the role","We are looking for a Senior Security Engineer to join our Security Engineering Team. We believe a successful candidate has cloud engineering, infrastructure automation, integration, and development skills, but if you believe you have what it takes then wed love to hear from you either way. This role is required because we are expanding our regional infrastructure security capabilities. In return, you will get an opportunity to work with a great team working on complex architectures and managing cloud security of one of the largest cloud deployments in the region.","The Critical Tasks You Will Perform","Design, implement, and maintain a secure and reliable infrastructure platform for delivering Grab ServicesImprove, maintain and operate security toolings such as EDR, CNAPP, Vulnerability scanners and Code Security Scanners.Develop security automation solutions to enhance efficiency and scalability.Collaborate with cross-functional teams to integrate security into the software development lifecycle (SDLC) and CICD pipelines.Own and ensure that internal and external SLAs meet and exceed expectations, Security Engineering centric KPIs are continuously monitored and improved..Participate in on-call rotation to provide infrastructure support, incident management, and troubleshooting.","Design, implement, and maintain a secure and reliable infrastructure platform for delivering Grab Services","Improve, maintain and operate security toolings such as EDR, CNAPP, Vulnerability scanners and Code Security Scanners.","Develop security automation solutions to enhance efficiency and scalability.","What Essential Skills You Will Need","Proven experience in developing and maintaining production systemsapplications on any public cloud services (AWS, Azure or GCP)Strong programming skills in one of the languages (preferably GoLang or Python)Excellent communication and collaboration skills with the ability to work effectively in a fast-paced, team-oriented environment.","Proven experience in developing and maintaining production systemsapplications on any public cloud services (AWS, Azure or GCP)","Strong programming skills in one of the languages (preferably GoLang or Python)","Excellent communication and collaboration skills with the ability to work effectively in a fast-paced, team-oriented environment.","The Nice-to-Haves","Bachelor's degree in Computer Science, Information Technology, or related field with at least 6 years of security industry experience utilizing webmobile application security and knowledge of the security  threat landscape.
Ability to perform automation using TerraformAnsibleChefPuppet, DockerKubernetes, and any one CI tools (e.g. Jenkins, Gitlab, Travis CI etc.)Experienced in vulnerability management, patching automation, and understanding of VAPT techniquesDemonstrated proficiency in setting up and managing CICD pipelines, particularly in platforms such as GitLab and Jenkins.A strong understanding and experience in the cybersecurity domain, along with relevant security certifications (such as AWS Security Specialty, CCSP, CEH, etc.), would be a significant advantage.Experience in Devsecops toolings like SAST and Dependency scanners is a plus.","Bachelor's degree in Computer Science, Information Technology, or related field with at least 6 years of security industry experience utilizing webmobile application security and knowledge of the security  threat landscape.
Ability to perform automation using TerraformAnsibleChefPuppet, DockerKubernetes, and any one CI tools (e.g. Jenkins, Gitlab, Travis CI etc.)","Experienced in vulnerability management, patching automation, and understanding of VAPT techniques","Demonstrated proficiency in setting up and managing CICD pipelines, particularly in platforms such as GitLab and Jenkins.","A strong understanding and experience in the cybersecurity domain, along with relevant security certifications (such as AWS Security Specialty, CCSP, CEH, etc.), would be a significant advantage.","Experience in Devsecops toolings like SAST and Dependency scanners is a plus.","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.","What we stand for at Grab","We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,
2374818,"Compliance Manager - Insurance","https://jobs.smartrecruiters.com/Grab/744000040673189-compliance-manager-insurance","Grab","Singapore","No","4","Full time","2025-02-05T17:57:23.834488Z","Get to Know the Team","We are looking for a Compliance Officer to join our Grab Direct General Insurer team based in Singapore. Our team focuses on ensuring that we uphold the highest standards of compliance, aligning with regulatory requirements and fostering a culture of integrity within our organization.","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.","Get to Know the Role","As a Compliance Officer, you will play a central role in maintaining our compliance framework. You'll be responsible for developing and implementing policies that adhere to regulations and industry standards while staying updated on any changes that may affect our business.","You will report to the Associate General Counsel, GrabFin.","This role will be onsite at Grab Office.","The Critical Tasks You will Perform","You will develop, implement, and maintain compliance policies and procedures that align with regulatory requirements and best industry practices.You will monitor and assess the company's adherence to relevant laws and regulations including the Insurance Act, Anti-Money Laundering (AML) regulations, and data protection laws.You will conduct regular compliance audits and risk assessments to identify potential compliance issues and recommend corrective measures.You will provide training and guidance to employees on compliance matters to ensure awareness and understanding of responsibilities.You will liaise with regulatory authorities and respond promptly to inquiries, ensuring timely submission of reports and required documentation.You will investigate compliance breaches and recommend appropriate disciplinary actions or remedial measures.You will stay updated on regulatory changes and industry trends, advising management on potential impacts.You will collaborate with departments such as risk management and internal audit to maintain a cohesive approach to compliance.You will prepare and present compliance reports to senior management and the board of directors.","What Essential Skills You will Need","At least 4 years experience in the same role with a strong understanding of Singapore's regulatory framework for insurance and financial services.Proven ability to develop and implement compliance policies and procedures.Experience in conducting compliance audits and risk assessments.Capability to provide training and guidance on compliance matters.Effective communication skills to liaise with regulatory authorities and handle inquiries.Analytical problem-solving skills to investigate compliance issues and recommend solutions.Ability to stay informed about regulatory changes and industry trends.Collaboration skills to work with various departments for holistic compliance management.Competence in preparing and presenting detailed compliance reports to senior management.","What we stand for at Grab","We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374817,"Senior Data Scientist, Integrity","https://jobs.smartrecruiters.com/Grab/744000040673955-senior-data-scientist-integrity","Grab","Bangalore","No","4","Full time","2025-02-05T17:57:23.834520Z","Get to Know the Team","The Trust data science team serves as the guardians of risk and compliance for all Grab. Our data science team uses our datasets to uncover solutions to multiple problems such as predicting fraud and payment risk with sequence-based models, detecting money laundering with graph algorithms, and automating ID verification using image recognition. Additionally, we lead research to outpace latest fraud tactics, contributing to the development of secure products.","We have your back with Term Life Insurance and comprehensive Medical Insurance.With GrabFlex, create a benefits package that suits your needs and aspirations.Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leaveWe have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.","What We Stand For at Grab","We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.","Get to Know the Role","You'll fight fraud by analysing transactional data, developing and deploying machine learning models, and collaborating with teams to ensure seamless integration of fraud detection systems. You'll help keep our platform safe and trustworthy. You will report to a Data Science Manager. This role is based in India.","The Critical Tasks You will Perform","Analyse transactional data to identify patterns and trends in fraudulent activities using statistical and machine learning techniques.Work with partners to translate their needs into analytical requirements and comprehend the operational impact of fraud.Develop and test hypotheses about fraudulent behaviour, designing experiments and conducting analyses.Create, train, and deploy scalable machine learning models for transaction monitoring and real-time fraud detection.Evaluate the performance of models, ensuring they are accurate and efficient.Maintain fraud detection solutions in production, monitoring and improving their effectiveness.Collaborate with data scientists, engineers, product managers, and financial operations teams to integrate systems into Grab's platform.","What Essential Skills You Will Need","You have at least 4 years experience with data science and machine learning, and to understand and detect patterns of fraud.Experience with formulating hypotheses, designing experiments, and validating findings.Proficiency in creating, training, and deploying machine learning models for fraud detection.Knowledge of using appropriate metrics and datasets to evaluate model performance.Expertise in deploying and maintaining machine learning models in a production environment.Work with data scientists, engineers, product managers, and financial operations teams.Skills in Python and SQL. Familiarity with numeric libraries, containers, and modular software design.Experience with machine learning libraries like Tensorflow, Pytorch, XGBoost, and Sklearn.Understanding of DNN architectures, such as graph neural networks and diffusion models.An approach to staying updated with new research and advancements in relevant fields.","Life at Grab","We care about your well-being at Grab, here are some of the global benefits we offer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
