"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_10","Section_6","Section_8","Section_9","Section_11","Section_12","Section_13","Section_14","Section_7"
2372653,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040503378-cashier","Pilot Company","Van Horn","No","Not specified","Full time","2025-02-05T02:31:31.495226Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372651,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000040514465-janitorial-maintenance","Pilot Company","Temple","No","Not specified","Part time","2025-02-05T02:31:31.495339Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilities","Required Qualifications","Highly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walkstand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays","Preferred Qualifications","Experience in a similar positionKnowledge of industrial equipment and ability to fix small problems","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372650,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000040520843-janitorial-maintenance","Pilot Company","Winnsboro","No","Not specified","Part time","2025-02-05T02:31:31.495386Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilities","Required Qualifications","Highly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walkstand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays","Preferred Qualifications","Experience in a similar positionKnowledge of industrial equipment and ability to fix small problems","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372649,"Subway Sandwich Artist","https://jobs.smartrecruiters.com/PilotCompany/744000040527415-subway-sandwich-artist","Pilot Company","Avondale","No","Not specified","Part time","2025-02-05T02:31:31.495423Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Subway processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372648,"Wendy's Team Member","https://jobs.smartrecruiters.com/PilotCompany/744000040534010-wendy-s-team-member","Pilot Company","Knoxville","No","Not specified","Full time","2025-02-05T02:31:31.495460Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Wendy's processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372647,"Arby's Team Member","https://jobs.smartrecruiters.com/PilotCompany/744000040537674-arby-s-team-member","Pilot Company","Hurricane Mills","No","Not specified","Part time","2025-02-05T02:31:31.495498Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Arby's processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372646,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000040532727-janitorial-maintenance","Pilot Company","Faucett","No","Not specified","Part time","2025-02-05T02:31:31.495536Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilities","Required Qualifications","Highly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walkstand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays","Preferred Qualifications","Experience in a similar positionKnowledge of industrial equipment and ability to fix small problems","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372645,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040537855-cashier","Pilot Company","Weed","No","Not specified","Part time","2025-02-05T02:31:31.495572Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372644,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000040537240-janitorial-maintenance","Pilot Company","Weed","No","Not specified","Part time","2025-02-05T02:31:31.495611Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilities","Required Qualifications","Highly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walkstand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays","Preferred Qualifications","Experience in a similar positionKnowledge of industrial equipment and ability to fix small problems","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372643,"Deli Production Team Member","https://jobs.smartrecruiters.com/PilotCompany/744000040534713-deli-production-team-member","Pilot Company","Weed","No","Not specified","Part time","2025-02-05T02:31:31.495649Z","Maintain well-organized and orderly deli areaMonitor hot deli case and keep stocked with fresh itemsPrepare food to company standards by following process cardsClean and organize dishes and utensils","Required Qualifications","Highly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walkstand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays","Preferred Qualifications","Experience in a similar positionKnowledge of food safety procedures","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
