"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_11","Section_12","Section_13","Section_14","Section_15","Section_16","Section_17","Section_18","Section_2","Section_20","Section_21","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_29","Section_3","Section_30","Section_31","Section_32","Section_33","Section_34","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_19","Section_28","Section_35","Section_36","Section_37","Section_38","Section_39","Section_40","Section_41","Section_42","Section_43","Section_44","Section_45","Section_46","Section_47","Section_48","Section_50","Section_51","Section_52","Section_53","Section_54","Section_55","Section_56","Section_57","Section_49","Section_58","Section_59","Section_60","Section_61","Section_62","Section_63","Section_64","Section_65","Section_66"
2374847,"Senior Project Manager","https://jobs.smartrecruiters.com/TurnerTownsend/744000040634555-senior-project-manager-","Turner  Townsend","Brisbane","No","Not specified","Full time","2025-02-05T17:53:55.997486Z","Lead and manage complex projects and programs as the key client interface","Lead and manage complex projects and programs as the key client interface","Managing project budgets and advising on options to keep budget on track","Managing the change control process","Monitoring and advising upon project finances","Monitoring and advising upon project finances","Managing the flow of project information between the team and the client, through regular meetings and written communications","Managing the flow of project information between the team and the client, through regular meetings and written communications","Being engaged with marketing and business development initiatives","Being engaged with marketing and business development initiatives","A recognised Degree qualification relating to a technical field or Project Management. Experience in major hospitals is highly desired.A strong understanding of 2-Stage Managing Contracts and relationship contractingStrong communication skills and ability to navigate complete contracts and political environmentAmbitious and able to drive outcomes Advanced Microsoft skills are essential and Primavera skills will be highly regarded Technical ability to lead and manage complex projects and programs as the key client interface Excellent command of written and spoken English with excellent report and bid writing skills. Strong leadership skills with the ability to lead and develop a team. Highly motivated and driven with a passion for delivering to client","Developing working relationships, problem solving and driving projects to successful completion","Our inspired people share our vision and mission. We provide a great place to work, where each person has the opportunity and voice to affect change.","We want our people to succeed both in work and life. To support this we promote a healthy, productive, and flexible working environment that respects work-life balance.","At Turner  Townsend we firmly believe that our people are at the heart of our success and we continually strive to create a great place to work.","We promote integrity in everything that we do and apply our expertise to shape a better environment for future generations and, ultimately, generate value for our communities.","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from Aboriginal and Torres Strait Islanders and people from all sectors of the community.","Turner  Townsend does not accept any speculative or unsolicited CVs that have been sent to our internal recruitment team or hiring managers from agencies outside of our preferred supplier list. Any speculative or unsolicited CVs will be treated as a direct application.","Please find out more about us at www.turnerandtownsend.com","LI-LN2","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Developing working relationships, problem solving and driving projects to successful completion","Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.","Managing the design process to achieve the client's requirements and manage expectations","Managing the design process to achieve the client's requirements and manage expectations","Reviewing project plans and specifications, scheduling, costs saving measures, discrepancies, potential construction problems, etc.","Reviewing project plans and specifications, scheduling, costs saving measures, discrepancies, potential construction problems, etc.","Managing project timelines, risks and reportingOperational Commissioning requirementsManaging project budgets and advising on options to keep budget on track Managing the change control process","Managing project timelines, risks and reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374846,"IT Technical Support Consultant (Level 2 Support)","https://jobs.smartrecruiters.com/TurnerTownsend/744000040658195-it-technical-support-consultant-level-2-support-","Turner  Townsend","Kuala Lumpur","No","5","Full time","2025-02-05T17:53:55.997571Z","We are looking for a Technical Support Consultant to work within our globally distributed IT team, to provide IT technical support to all our users across the Asia Pacific region.","Responsibilities will include","LI-AP5","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,"Provide day to day IT support to all our people, including call logging, troubleshooting, IT admin tasks such as new user setup, password resets, and PC buildsSupport of the IT environment, including servers, systems, networks, and other devicesTo assist on various projects and upgrades to meet Turner  Townsends goalsAssist in office moves and changes with respect to the installation and changes to the IT and Voice infrastructure and all associated peripheralsManage asset database, and control software registerBuild positive working relationships with the business.Excellent interpersonal and PC support skills, User  Server Administration, Active Directory  Azure AD (Entra), MS Windows 1011, MS 365 including Exchange online, Office, Endpoint manager, Intune, etc.SOX control responsibilities may be part of this role, which are to be adhered to where applicable.",,,,,,,,,,"Duties will vary and be revised due to the nature of the IT Support environment (the above is a guide and not a comprehensive list of responsibilities).",,,,,,"Please note that this is an office based role with limited remote working capabilities.","All round IT support specialist with at least 5 years experience of hands-on, remote and telephone supportExperience of user administration, Active Directory, Microsoft Exchange 365, and Outlook in a corporate environmentHands-on experience of LAN, WAN and VPN, troubleshooting and supportProven track record of working in a support environment supporting multiple users across multiple locationsSupporting and troubleshooting Office 365 products (MS Teams, One Drive, SharePoint etc.), Anti-virus (MS Defender), Veritas BackupExec, etc.Ability to support a wide range of desktop applicationsDeploying image  software through IntuneSCCMExperience of ITIL based call management system, e.g., FreshServiceBasic understanding of managing hardware and software assets and control software registerConfident individual with good interpersonal skills, able to deal with people at all levels and communicate to users in a clear, non-technical language.Team-player.Analytically minded, able to break down and understand information.Must be comfortable with working in a fast-moving, dynamic environment.Strongly customer-focused, used to providing support to demanding users.Good organisational skills, used to managing and prioritising own workload.Ability to report on progress, timescales, outstanding and completed activities.","Our inspired people share our vision and mission. We provide a great place to work, where each person has the opportunity and voice to affect change.","We want our people to succeed both in work and life. To support this we promote a healthy, productive and flexible working environment that respects work-life balance.","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374845,"Document Controller (Japanese speaking)","https://jobs.smartrecruiters.com/TurnerTownsend/744000040663701-document-controller-japanese-speaking-","Turner  Townsend","Taipei","No","5","Full time","2025-02-05T17:53:55.997601Z","Candidates must be proficient in Japanese (spoken and written) and must be willing to relocate to Tokyo.","Document Management","Provide administrative support to project teams by assisting in preparing documentation for meetings, reviews, and audits.Assist the Project Manager during audits and as needed","5 years experience in the construction industry, knowledge of project management and whole project process. Design experience is plus.Bilingual in English  JapaneseAbility to manage and control a project delivery. Able to engage with international and local client teams  stakeholders and local GC effectively.A demonstratable understanding of how to manage a construction project from document management from procurement through to closeout. A willingness to blend Japanese and international expertise for industry standard project management delivery.","Our inspired people share our vision and mission. We provide a great place to work, where each person has the opportunity and voice to affect change.","We want our people to succeed both in work and life. To support this we promote a healthy, productive and flexible working environment that respects work-life balance.","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","Maintain and organize project documents such as contracts, drawings, specifications, and reports within Procore.Ensure version control by managing document revisions and updates in Procore.Create and maintain document registers and logs in Procore.File documents in physical and digital records and ensure appropriate storage.","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,,,,,,"Compliance and Quality Control",,,,,,"Ensure all documents comply with internal and external regulations (e.g., ISO standards).Perform quality checks to ensure documents are accurate, properly formatted, and meet company standards.Implement procedures to ensure document control systems meet industry and company standards.","Collaboration and Communication","Serve as the point of contact for document-related inquiries and issues.Liaise with various teams (e.g., design, engineering, and construction teams) to ensure smooth document flow.Facilitate communication between internal and external stakeholders by providing easy access to necessary documents through Procore.","Document Security and Confidentiality","Ensure documents are secure and confidential, restricting access to sensitive information.Backup and archive project documents regularly to prevent data loss.","Project Support","LinkedIn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374844,"Document Controller (Japanese speaking)","https://jobs.smartrecruiters.com/TurnerTownsend/744000040664465-document-controller-japanese-speaking-","Turner  Townsend","Seoul","No","5","Full time","2025-02-05T17:53:55.997628Z","Candidates must be proficient in Japanese (spoken and written) and must be willing to relocate to Tokyo.","Document Management","Provide administrative support to project teams by assisting in preparing documentation for meetings, reviews, and audits.Assist the Project Manager during audits and as needed","5 years experience in the construction industry, knowledge of project management and whole project process. Design experience is plus.Bilingual in English  JapaneseAbility to manage and control a project delivery. Able to engage with international and local client teams  stakeholders and local GC effectively.A demonstratable understanding of how to manage a construction project from document management from procurement through to closeout. A willingness to blend Japanese and international expertise for industry standard project management delivery.","Our inspired people share our vision and mission. We provide a great place to work, where each person has the opportunity and voice to affect change.","We want our people to succeed both in work and life. To support this we promote a healthy, productive and flexible working environment that respects work-life balance.","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","Maintain and organize project documents such as contracts, drawings, specifications, and reports within Procore.Ensure version control by managing document revisions and updates in Procore.Create and maintain document registers and logs in Procore.File documents in physical and digital records and ensure appropriate storage.","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,,,,,,"Compliance and Quality Control",,,,,,"Ensure all documents comply with internal and external regulations (e.g., ISO standards).Perform quality checks to ensure documents are accurate, properly formatted, and meet company standards.Implement procedures to ensure document control systems meet industry and company standards.","Collaboration and Communication","Serve as the point of contact for document-related inquiries and issues.Liaise with various teams (e.g., design, engineering, and construction teams) to ensure smooth document flow.Facilitate communication between internal and external stakeholders by providing easy access to necessary documents through Procore.","Document Security and Confidentiality","Ensure documents are secure and confidential, restricting access to sensitive information.Backup and archive project documents regularly to prevent data loss.","Project Support","LinkedIn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374843,"Senior Cost Manager - Civil - Ahmedabad","https://jobs.smartrecruiters.com/TurnerTownsend/744000040667915-senior-cost-manager-civil-ahmedabad","Turner  Townsend","Ahmedabad","No","10","Full time","2025-02-05T17:53:55.997652Z","Main Purpose","To perform the role of the Commission Manager, taking responsibility for end to end service delivery, often with respect to large or complex commissions.","Business Development","Work with the ADDirector  for developing new business opportunities with existing and new Turner  Townsend clientsIdentifying and acting upon cross-selling opportunitiesWorking with Associate Directors and Directors to write bids for new workAttending bid presentations with  Associate Directors and Directors","Human Resources","Undertake Performance reviews, set their annual objectives in line with your own objective, address their LD needs, chart their career goal plansTake administrative responsibility of the team like signing off their time sheets, expensesMaintain an optimum level of resource utilisation and work the with ADDirector for hiring of resources",,"Environment Policy","Should adhere to the companys global environmental policy.","LI-HT1","Education - B.EB.Tech (Civil)","To act as the key, day to day client interface, ensuring that client objectives are met through the delivery of a value added cost management service.","A thorough understanding of the total project life cycle, from project conception stage, through all of the operational stages to completion and post-project review.","10 to 15 years work experience with demonstrated career growth graph.","Experience in multiple sub sectors within the property projects will be added advantage.","LI-HT1","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com","Home","A global consultancy business serving clients in the real estate, infrastructure and natural resources sectors.","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Key Responsbilities","Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.","Finance","Ensure the FMS is updated with accurate feecost forecasts, job openclosed, etc in order to provide an accurate monthly WIPUtilising TIC sheets in order to keep track of the ongoing margin levels and monthly feeresource forecasts for each commission Ensure invoices are raised in a timely mannerEnsure invoices are raised in a timely manner","Service Delivery","Handle commissions of varying sizes, depending upon the complexity of the projectConducting feasibility studies and writing procurement reportsApplying Value Management techniques at the outset of a project and where appropriate involving Turner  Townsends specialist Value Management teamManaging estimating and cost planning activities to include taking ownership of and presenting the final cost planManaging the procurement process, ensuring that all stages including pre-qualification, enquiry, analysis, selection and contract preparation are performed effectivelyEnsuring that post-contract cost variances and change control processes are managed effectively.FinanceEnsure the FMS is updated with accurate feecost forecasts, job openclosed, etc in order to provide an accurate monthly WIPUtilising TIC sheets in order to keep track of the ongoing margin levels and monthly feeresource forecasts for each commission Ensure invoices are raised in a timely mannerEnsure invoices are raised in a timely manner","Service Delivery","Handle commissions of varying sizes, depending upon the complexity of the projectConducting feasibility studies and writing procurement reportsApplying Value Management techniques at the outset of a project and where appropriate involving Turner  Townsends specialist Value Management teamManaging estimating and cost planning activities to include taking ownership of and presenting the final cost planManaging the procurement process, ensuring that all stages including pre-qualification, enquiry, analysis, selection and contract preparation are performed effectivelyEnsuring that post-contract cost variances and change control processes are managed effectivelyEnsuring that cost checking and valuation work is managed effectivelyEnsuring the production of monthly post-contract cost reports and presenting them to the clientEnsuring that final accounts are negotiated and agreedTaking a lead role in interfacing with the client and other consultants, at all project stagesWhere appropriate, leading a cost management team, ensuring that they deliver on all of the above accountabilities","You should have relevant experience of working preferably for a construction consultancy in Indiaabroad, hold a graduate degree preferably in Cost Management and possesses good technical skills.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374842,"Cost Manager - Contracts - Ahmedabad","https://jobs.smartrecruiters.com/TurnerTownsend/744000040668205-cost-manager-contracts-ahmedabad","Turner  Townsend","Ahmedabad","No","5","Full time","2025-02-05T17:53:55.997676Z","Key Responsibilities","Preparing tenders for clients and commercial bids to help bring in new businessDeveloping and presenting project proposalsMeeting with clients to find out their requirementsProducing plans and estimating budgets and timescalesDiscussing, drafting, reviewing and negotiating the terms of business contractsAgreeing budgets and timescales with the clientsManaging construction schedules and budgetsDealing with any unexpected costsAttending site meetings to monitor progressActing as the main point of contact for clients, site and project managersWorking with third parties to ensure that everyone understands their roles and responsibilitiesMaking sure construction projects meet agreed technical standardsLiaising with technical and financial staff, sub-contractors, legal teams and the clients own representativesOverseeing invoicing at the end of a projectWorking on-site and in an office.Draft, evaluate, negotiate and execute contractsEstablish and maintain supplier relationships by serving as a single point of contact for contractual mattersManage record keeping for all contract-related correspondence and documentationProvide contract-related issue resolution, both internally and externallyMonitor and complete contract close-out, extension or renewal, as appropriateCommunicate contract-related information to all stakeholdersFIDIC knowledge would be added advantage","LI-HT1","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,"LI-HT1",,,,,,,,,,"B.E. Civil - Industrial, residential, commercial building experience",,,,,,"NICMAR  equivalent would be an added advantage","Minimum of five years progressive responsibility with quantifiable results in contract negotiation, administration andor managementDemonstrated negotiation and problem-solving skillsStrong contract modeling software skillsRobust skills in Microsoft Office software, including Word, Excel, PowerPoint, Access, Project and VisioAbility to meet project objectives within designated constraints","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com","Home","A global consultancy business serving clients in the real estate, infrastructure and natural resources sectors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374841,"Assistant Cost Manager - Civil - Hyderabad","https://jobs.smartrecruiters.com/TurnerTownsend/744000040669305-assistant-cost-manager-civil-hyderabad","Turner  Townsend","Mumbai","No","1","Full time","2025-02-05T17:53:55.997700Z","Main job purposeThe candidate should have sound technical knowledge of all Civil systems and primarily he is proficient to compare BOQ items, pick rates of similar items and rate analysis.","Also he should have good post contract site experience and he must be competent to make necessary assumptions during quantity take-off, list out missing details in the drawings, BOQ and specification, raising request for information based on the given tender details and proficient to understand technical specification and design brief.","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com","LI-HT1","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.","Should have basic knowledge on cost plan stages, procurement routes, contracts, change management and Risk management.",,,,,,,,,,"Responsibilities",,,,,,"Pre and post-contract duties including preparation of cost estimates, procurement and tendering, contract administration, variation, final account, etc, responsible or quantity take-off of various Civil systems  Quantity validationResponsible for bill verifications and payment certificationsCompleting feasibility studies and writing procurement reports.Assist Cost Managers in pre tender estimates, procurement and comparison statement preparation  cost reporting Responsible for bill verifications and payment certificationsEstimating and cost planning to include producing and presenting the final cost planTendering and procurement activity, including managing the pre-qualification stage, producing the tender list, preliminaries, tender analysis, tender report and compiling the contractual documents","LI-HT1","B.EB.TechB.Arch  CivilPost Graduate Qualification in relevant field would be an added advantage.should have relevant experience of working for a construction consultancy in India, be degree educated in a relevant construction subject and have good technical skills. 1 - 5 years of post qualification experience in similar role","LI-HT1","Our inspired people share our vision and mission. We provide a great place to work, where each person has the opportunity and voice to affect change.","We want our people to succeed both in work and life. To support this we promote a healthy, productive and flexible working environment that respects work-life balance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374840,"Assistant Project Manager - MEP, Ahmedabad","https://jobs.smartrecruiters.com/TurnerTownsend/744000040671562-assistant-project-manager-mep-ahmedabad","Turner  Townsend","Ahmedabad","No","5","Full time","2025-02-05T17:53:55.997724Z","Position is involved in the complete lifecycle of the projectThorough knowledge on Electrical, HVAC, fire alarm systems, plumbing  fire fightingSupporting technical design briefs, analyze designs, and coordinate with multiple vendorsExperience in sustainability LEED  other conceptsReview MEP specifications, interpret contracts, and participate in technical  commercial negotiations with vendorsLead a team  be able to supervise  coordinate onsite MEP construction activitiesReviewanalyze and re-design all MEP drawings  material schedules with involvement in supervision of the site activities and to control cost and ensure timely completion of the projectCo-ordinate all electro-mechanical activities with client, consultant, suppliers, site engineers  various subcontractors at site. Checking and preparing VO, negotiation with Sub-con and ClientProvide interpretations of plans, project scope, detail sheets, and specifications for our MEP contractors sub contractors and engineers to ensure a comprehensive and mutual understanding of the project plan",,"Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,,,"Environment Policy",,,,,,,,,,"Should adhere to the companys global environmental policy",,,,,,"Education - Engineering Diploma  B.EB.Tech  ElectricalMechanicalPost Graduate Qualification in relevant field would be an added advantageYou should have relevant experience of working for a construction consultancy in India, be degree educated in a relevant construction subject and have good technical skills5 - 10 years of post qualification experience in similar roleExcellent verbal and written English communication skills","Our inspired people share our vision and mission. We provide a great place to work, where each person has the opportunity and voice to affect change.","We want our people to succeed both in work and life. To support this we promote a healthy, productive and flexible working environment that respects work-life balance.","Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.","Please find out more about us at www.turnerandtownsend.com","Join our social media conversations for more information about Turner  Townsend and our exciting future projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374839,"APM  Civil (Fitout)","https://jobs.smartrecruiters.com/TurnerTownsend/744000040671163-apm-civil-fitout-","Turner  Townsend","Ahmedabad","No","7","Full time","2025-02-05T17:53:55.997748Z","Conduct daily site walks to review progress, general quality of works and provide updates to the project team.An agreed Inspection and Test Plan to be developed by the General Contractor (GC) and provided to the RE.Attend concrete pours- six days a week  RE to discuss with GC and get the schedule of concrete pours (2 weeks ahead).Any site establishment works including engineered sub-grades, compaction works, ground reinforcementstabilization.Ensuring all equipment accessibility, maintainability replacement requirements are still achievable after installationFoundations including Pads, Strips, Piles (DriveCFAMicroSteel) Pile Caps, Tie BeamsConcrete structures pre- post pour installation quality Primary, Secondary  Tertiary Steel Structural framing including connections, finish  all associated quality requirements.Execution of Roads and Road Layering, Carriageways, paving and landscape works (Hardscape  Soft scape)","B. Arch  Diploma in Civil  Construction ManagementMin 7 years of experience in construction field, preferred Data Center experienceExcellent communication and interpersonal skillsTech savvy, good at documentationClient and stakeholder management","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,,,,,,,"Turner  Townsend is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees and actively encourage applications from all sectors of the community.",,,,,,,,,,"Please find out more about us at www.turnerandtownsend.com",,,,,,,"Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","LinkedIn","It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374838,"Senior Consultant - Procurement","https://jobs.smartrecruiters.com/TurnerTownsend/744000040682165-senior-consultant-procurement","Turner  Townsend","Riyadh","No","Not specified","Full time","2025-02-05T17:53:55.997780Z","We are looking for a Procurement Managers who will be part of our Contract Services Team, working at the client project site offices in the Kingdom of Saudi Arabia.","Successful candidates will have the opportunity to","Experience of leading andor supporting projects in a strategic procurement environment.A strong background in tender preparation and development of respective documents in relevant sectors (including design and preparation of the process and key documentation).Experience of leading andor supporting in supplier engagement activities, to include market engagement through to contract award.Experience of using a range of standard form contracts including developing terms, negotiation and award.Have achieved - or is working towardswilling to work towards MCIPs accreditation.Preferably possess degree related to construction, civil engineering, quantity surveying, law or procurement.","Skills","Ability to develop procurement strategy within a project or programme context.Excellent communication and stakeholder engagement skills.Understanding of commercial principles and modelling.Delivery of strategy andor development of documentation in a capital project or programme environment.","Behaviours","Adaptable and taking Personal Responsibility to succeed the right way.Confident, independent and able to work with autonomy without need for supervision.Be able to manage multiple activities and stakeholders.Ability to Collaborate and develop andor manage a team to achieve desired outcomes.","Join our social media conversations for more information about Turner  Townsend and our exciting future projects","Twitter","Instagram","LinkedIn","Work with some of the most exciting large-scale project,Deliver advice and make a difference on flagship projects,Challenge themselves in a market leading global business,Develop their career in an entrepreneurial, motivated and growing team,Work with an outstanding team of specialist procurement and other specialist consultants.","Any unsolicited resumesCVs submitted through our website or to Turner  Townsend personal e-mail accounts, are considered property of Turner  Townsend and are not subject to payment of agency fees. In order to be an authorised Recruitment AgencySearch Firm for Turner  Townsend, there must be a formal written agreement in place and the agency must be invited, by the Recruitment Team, to submit candidates for review.",,,,,,,,,"The Contract Services team includes specialists in procurement and contract strategy, claims management and dispute resolution services.",,,,,,"We are the first consultancy to be recognised by the Chartered Institute of Procurement  Supply (CIPS) for excellence in the procurement processes that it provides for clients in the construction sector. Our Team received a Procurement Excellence Programme Award demonstrating excellence in our procurement and supply chain activities.","The Opportunity","The individual will work with our highly skilled team delivering best-in-class strategic procurement and contract advice, including end-to-end procurement services to some of the larger brands and on the most exciting programmes and projects. This role will be a part of our growing Contract Services team and play a significant part in the continued expansion of our team and our services in this exciting period of growth.","Main Expectations","To provide specialist procurement strategy advice to Public and Private sector clients.To manage and collaborate with a team on end-to-end procurement services for major projects or programmes.Support the development of the procurement services provided by TT.To support business development and marketing of the Contract Services teams service proposition.To support the delivery of both team and wider business targets.To support on bid preparation and proposal documentation and support the work-winning capability of the Contract Services team.",,"It is strictly against Turner  Townsend policy for candidates to pay any fee in relation to our recruitment process. No recruitment agency working with Turner  Townsend will ask candidates to pay a fee at any time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
