"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_2","Section_3","Section_4","Section_6","Section_7","Section_8","Section_9","Section_11","Section_5","Section_12","Section_13","Section_14","Section_15","Section_16","Section_17","Section_18","Section_19","Section_20","Section_21","Section_22","Section_23","Section_24","Section_25","Section_27","Section_28","Section_29"
2288670,"HR Compliance Partner EMEA","https://www.wiz.io/careers/job/4435383006/:title?gh_jid=4435383006","Wiz","Remote","Yes","3","Full time","2025-02-05T17:55:27.559826Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","As an HR Compliance Specialist, you will play a critical role in ensuring that our HR practices align with local regulations and global standards across the EMEA and APAC regions. As an HR Compliance Specialist, youll have various compliance related duties and responsibilities which will require excellent attention to detail, communication skills and a proactive hands-on approach. Youll partner cross-functionally with global teams including Recruitment, Legal, and Finance to support the hyper growth of the business and the company as it scales.","What you'll do","Actively participate in the ongoing mapping of HR Compliance requirements across EMEA and APAC regions, and identify any changes in the legal landscape, within the organisation, and regulatory trends
Serve as a point of contact for the HR Compliance team and provide guidance and support to the organisation on compliance queries
Collaborating with internal and external stakeholders and the wider HR team to identify opportunities to ensure a cohesive and collaborative approach to compliance
Manage pre-hire onboarding compliance requirements and assist with management of mandatory compliance training programs
Proactively identify opportunities to increase efficiency and reduce risk in HR compliance related processes, scope requirements, and support with implementation of process improvements
Support People Operations with maintaining leave policies and accurate HR records in HRIS
Build guides and resources to support the wider HR team to adopt consistent processes
Support with HR Compliance audits, projects and initiatives as required","What you'll bring","3 years of HR experience in a global company
Knowledge of EMEA  APAC labor legislation
Proficient in HR software and MS Office Tools
Collaborator and a team player - an inclusive mindset and ability to build great relationships at all levels of the organization
Ability to multi-task effectively whilst maintaining exceptional attention to detail and meet deadlines with limited supervision
Exposure to global programs and processes that involve different local laws and regulations
Excellent verbal and written communication with the ability to think critically and analyze and communicate complex information to all levels of an organization
Strong organization and time management skills including the ability to prioritize multiple projects and objectives simultaneously
Customer service mindset and desire to provide a high level of excellence in everything you do
Experience of working in a fast-paced environment","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",,,,,,,,,,,,,,,,,,,
2041801,"Enterprise Account Executive, Canada","https://www.wiz.io/careers/job/4407538006/:title?gh_jid=4407538006","Wiz","Calgary, Alberta","No","7","Full time","2025-02-05T17:55:27.559913Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.","SUMMARY","In this role, you will report to the Regional Director, Sales Canada. You will work alongside a team of Wizards that focus on our customers business needs. Our priority is building a secure infrastructure for their cloud environments. We do that by learning their business. We ask questions. We listen. We help educate.","WHAT YOULL DO","WHAT YOULL BRING","Minimum 7 years selling enterprise SaaS solutions in the cloudsecurity space  
Proficient in value-based solution selling, with a keen focus on delivering tangible business outcomes, ensuring alignment with end business value 
Proven track record of effective selling within the specific geographical territory listed  
Good standing relationships with previous sales operation teams  
Ability to build great internal partnerships with key business units and their stakeholders 
A consultative and professional approach to engaging with customers 
Must demonstrate proficiency in executing a formal sales process and possess familiarity with qualification frameworks
A proven track record managing accounts in cloud or cybersecurity ecosystem to elevate the business 
Experience working in a fast-paced, dynamic environment with the ability to adapt quickly to changing circumstances",,"If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","Demonstrate an intimate understanding of Wiz Cloud Security Solutions and their value to our customers  
Demonstrate ability to position and advise to CISO level executives with industry Point-of-View business insights Continue to listen, build and grow executive relationships with customers  
Develop and close business to consistently meet or exceed quarterly sales quotas, in a way that reflects Wiz values  
Align with Wiz partner ecosystem to optimize market opportunity  
Maintain accurate pipeline management with expert-level forecasting  
Build effective working relationships with Solutions Engineering, Customer Success, Product, Marketing, Delivery, and Executive teams to ensure strategy alignment and achieve company objectives",,,,,,,,,,,,,,,,,
1675933,"Public Sector Field Operations Manager","https://www.wiz.io/careers/job/4403904006/:title?gh_jid=4403904006","Wiz","Remote","Yes","7","Full time","2025-02-05T17:55:27.559937Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.","SUMMARY","We are seeking a talented and experienced Public Sector Field Operations Manager to front our Revenue Operations business across Public Sector. The successful candidate will be responsible for partnering with sales leadership, overseeing and optimizing sales operations processes, driving efficiency, and supporting the achievement of sales targets. This role requires a strategic thinker with strong leadership skills, a deep understanding of Public Sector revenue operations, and the ability to drive cross-functional initiatives.","The role will report to the Sr Director of Field Operations.","Lead the development and execution of sales operations strategies and initiatives to support the achievement of sales targets and revenue growth objectives in Public Sector (FEDSLED). 
Oversee and optimize sales operations processes, including but not limited to sales forecasting, pipeline management, territory planning, and sales compensation. 
Collaborate with sales leadership to define sales territories, quotas, and goals, ensuring alignment with overall business objectives. 
Analyse sales performance data to identify trends, opportunities, and areas for improvement, and provide actionable insights to sales leadership and stakeholders. 
Collaborate with analytical teams in the creation and maintenance of sales performance metrics and dashboards to track key performance indicators (KPIs) and provide regular updates on performance to senior management. 
Partner with cross-functional teams, including finance, marketing, and operations, to ensure alignment and collaboration on revenue operations initiatives and processes. 
Drive continuous improvement initiatives to enhance revenue efficiency, effectiveness, and scalability. 
Stay informed about industry trends, best practices, and emerging technologies related to revenue operations, and make recommendations for innovation and optimization.","WHAT YOULL BRING","Bachelor's degree in Business Administration, Operations Management, or related field advanced degree preferred. 
Proven track record of success in sales operations leadership roles, with at least 7 years of experience managing sales operations teams in Public Sector (FEDSLED). 
Deep understanding of sales processes, methodologies, and technologies. 
Strong leadership skills with the ability to inspire and motivate teams to achieve goals and objectives. 
Excellent analytical skills with the ability to interpret data and generate actionable insights. 
Experience with CRM systems (e.g., Salesforce), sales automation tools, and analytics platforms. 
Excellent communication and interpersonal skills, with the ability to effectively interact with stakeholders at all levels of the organization. 
Proven ability to drive cross-functional initiatives and collaborate effectively with teams across different regions and functions. 
Strategic thinker with a results-oriented mindset and a passion for driving operational excellence and continuous improvement.","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","WHAT YOULL DO",,,,,,,,,,,,,,,,,
2369372,"Legal Operations Associate","https://www.wiz.io/careers/job/4439306006/:title?gh_jid=4439306006","Wiz","Remote","Yes","2","Full time","2025-02-05T17:55:27.559957Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.",,"Provide daily support to the legal team function, including signature coordination and document validations
Assist with keeping the CLM and other legal tech systems up to date and in order, consisting of clearing of old workflows, changes to workflow configurations, data entry and more
Monitor and organize multiple shared inboxes for smooth functioning of the legal department
Fielding questions in the CLM Slack channel for the Go to Market team
Document management, including updating templates, formatting, and proofreading
Assist with training of other business units regarding the CLM and legal processes","WHAT YOULL BRING","2 years of experience in a legal environment and administrative background
Familiarity with legal terminology and agreement structures
Strong business-friendly style that comes with an understanding that the legal teams primary purpose is to support the growth and success of the business
Particularly high level of attention to detail and organization, strong communication skills, the ability to manage multiple tasks at a time, as well as the ability to retain and apply knowledge
Ability to work independently on a remote basis and as a member of a team
Proficient in business applications such as Microsoft Word and Excel, document management systems, and contract lifecycle management systems.
Experience with Salesforce, Slack, DocuSign, and Ironclad are an advantage","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.",,,,"If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.",,,,,,,,,,,,,,,,,
1266545,"Payroll Specialist","https://www.wiz.io/careers/job/4363656006/:title?gh_jid=4363656006","Wiz","Tel Aviv","No","5","Full time","2025-02-05T17:55:27.559976Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 40% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","SUMMARY","We are looking for a Payroll Specialist to join our Finance team at our Tel Aviv office.","WHAT YOULL DO","WHAT YOULL BRING","Minimum of 5 years of experience as a payroll accountant experience in global high-tech companies. 
Deep understanding of personal income tax legislation, labor codes, and social benefits. 
Ability to prioritize, multitask, meet deadlines, and collaborate effectively to deliver timely and high-quality work.  
Proficiency with payroll-related systems and software.  
Excellent verbal and written communication skills in both English and Hebrew.","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",,"Manage the entire payroll process for Israeli and EMEA regions, including receiving, validating, and completing payroll-related data activities. 
Calculate and generate monthly salaries for company employees, ensuring all necessary data is gathered for accuracy. 
Collaborate closely with the HR team on onboarding processes, including 101 forms, process automation, and providing ad-hoc support. 
Responsible for submitting 102 reports covering social security, pension, tax, etc. 
Act as the focal point for employees' payroll inquiries. 
Manage the payroll system and maintain the employee database. 
Ensure all requested employment forms are completed and managed in compliance with local laws and regulations.",,,,,,,,,,,,,,,,,
2366462,"Legal Counsel, Employment  Labour Law","https://www.wiz.io/careers/job/4435388006/:title?gh_jid=4435388006","Wiz","Tel Aviv","No","5","Full time","2025-02-05T17:55:27.559994Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","SUMMARY","Were looking for a Legal Counsel with expertise in labor and employment law to join our Legal team and help spread the power of Wiz.","WHAT YOULL DO","WHAT YOULL BRING","Certified Attorney - Israeli Bar Association. 
Minimum 5 years of experience as Labor and Employment attorney in a law firm or high-tech company.
Strong, practical knowledge of the law and related specialized areas, with hands-on legal experience in an international business context.
Experience handling litigation related to employment matters.
Familiarity with mergers and acquisitions (MA) transactions and their implications for employment law.
Excellent communication skills in Hebrew and English, both written and verbal, with the ability to effectively convey complex legal concepts to non-legal stakeholders.
Strong analytical and problem-solving skills, with the ability to exercise sound judgment and make decisions in fast-paced, high-pressure situations.
Ability to work independently, take ownership, and lead all legal processes related to employee matters.
Willingness to work flexible hours.
Experience advising on employment matters in international markets, particularly in EMEA andor APAC regions, is a plus.","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",,"Provide expert, practical legal advice and guidance to internal stakeholders on a wide range of Israeli and global labor law and employment-related issues such as hiring, performance management, terminations, and benefits.
Draft, review, and negotiate employment agreements, severance agreements, non-disclosure agreements, and other employment-related contracts and documents.
Develop, draft, and implement company policies and procedures to ensure compliance with local labor laws and regulations.
Advise on employee disciplinary actions, investigations, and grievances, ensuring timely responses and fair, consistent treatment of employees.
Collaborate with HR to address employee relations issues, mitigate risks, and support cross-functional projects.
Collaborate with other internal legal counsels in the team, the finance team, and business leaders to address various projects, including incentive plans, IP and confidential information protection, organizational restructuring, and mergers and acquisitions (MA) transactions, including due diligence and integration.
Stay up to date on changes in labor and employment laws and regulations.
Oversee proceedings and litigation, including mediations, administrative charges, demand letters, and employment-related government audits.
Manage relationships with external counsels in countries in EMEA, APAC, and other territories as needed.",,,,,,,,,,,,,,,,,
2359296,"Instructional Designer","https://www.wiz.io/careers/job/4439769006/:title?gh_jid=4439769006","Wiz","Tel Aviv","No","2","Full time","2025-02-05T17:55:27.560012Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.","SUMMARY","We're looking for an Instructional Designer to join the Product team and spread the power of Wiz. In this role, you will help build our Wiz Academy and produce end-to-end video courses. You will play a key role in ensuring our technical Wizards and customers get ramped up and stay at the top of their game when it comes to technical product skills and knowledge.","WHAT YOULL DO","WHAT YOULL BRING","2 years of experience in product training, frontal, instructional design andor tutorials.
Experience in SaaS a company (B2Bstartup) in a customer learningtraining role.
Experience with editing and design tools such as Adobe Suite, Figma, Camtasia, and text-to-speech.
Strong communication skills in every medium writing, designing, etc.
Excellent English
Cloud, security, or cloud security experience  Advantage","Public portfolios or sample videos will be required during the hiring process.","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","Produce high-quality videos from start to finish while maintaining a fast pace.
Develop and execute short video courses, including designing learning paths and writing curricula.
Extract, write and create coherent training scripts from product managers and other SMEs, documentation, and internal resources.
Keep the academy portal updated as the product changes, track new features and be on top of modifications.
Design infographics, including architecture diagrams, in collaboration with SMEs.
Collaborate with SMEs to plan, deliver, edit, and publish customer training webinars.",,,,,,,,,,,,,,,,,
2359295,"Cloud Networking Specialist","https://www.wiz.io/careers/job/4440183006/:title?gh_jid=4440183006","Wiz","Tel Aviv","No","3","Full time","2025-02-05T17:55:27.560030Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","SUMMARY","Were looking for a Cloud Networking Specialist to join the Product team and spread the power of Wiz. In this role, youll play a key part in safeguarding our customers cloud environments from cyber threats by expanding the Wizs cloud network modeling infrastructure. Using Infrastructure as Code, youll model complex environments, analyze networking relationships between components, and map their connectivity within Wiz.","WHAT YOULL DO","WHAT YOULL BRING","Strong knowledge of networking concepts in cloud infrastructure.
Experience using Terraform to build complex architectures leveraging cloud services and container services such as Kubernetes.
3 years of experience in Python development with a strong portfolio of projects.
Hands-on proficiency in Linux, Windows, Git, Python, Bash, Docker, Kubernetes, PowerShell, and a strong understanding of the OSI model.
Self-motivated and capable of working both independently and collaboratively within a team.
Strong communication skills.
Advantage - Bachelor's degree in Computer Science, Software Engineering, or a related field or 3 more years of experience as a DevOps Engineer.","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",,"Analyze cloud networking services such as API Gateways, Load Balancers, state-of-the-art Kubernetes frameworks, and configuration files of services such as nginx and Envoy.
Use Infrastructure as Code to simulate complex network environments.
Use Python to model the relationship between the different networking components and connectivity flow in Wiz.
Stay current with the latest technologies and industry trends.
Implement customer requests and industry standards to position Wiz as a market leader.
Collaborate with our Research and Backend teams.",,,,,,,,,,,,,,,,,
2280520,"People Experience Specialist","https://www.wiz.io/careers/job/4432026006/:title?gh_jid=4432026006","Wiz","Tel Aviv","No","2","Full time","2025-02-05T17:55:27.560047Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.","SUMMARY","We are looking for a talented People Experience Specialist to join our People Experience team in Tel Aviv.","WHAT YOULL DO","WHAT YOULL BRING","Minimum of 2 years of experience in a People Experience role within the Hi-Tech industry.
Experience in end-to-end execution of large-scale welfare activities and global events.
Experience working with vendors globally.
Ability to thrive in a global and matrixed organizational structure.
Availability to work flexible hours.
Full professional fluency (written and verbal) in both Hebrew and English.","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",,"Managing and executing various projects and initiatives for our employees, including company events, celebrations, holidays, happy hours, etc.
Overseeing the entire project operations, including budget management, planning, and deliveries.
Coordinating global social company activities and collaborating with various departments.
Collaborating with suppliers to ensure the high-quality execution of events, managing timelines, branding, and logistics.
Develop strong relationships within the Wiz community, embracing its culture and values.",,,,,,,,,,,,,,,,,
2357459,"Learning  Development Specialist","https://www.wiz.io/careers/job/4438885006/:title?gh_jid=4438885006","Wiz","New York City","No","2","Full time","2025-02-05T17:55:27.560065Z","Come join the company that is reinventing cloud security and empowering businesses to thrive in the cloud. As the fastest-growing startup ever, Wiz is on a mission to help organizations secure cloud environments that will accelerate their businesses. Trusted by security teams all over the world, we have a proven track record of success and a culture that values world-class talent.","Our Wizards from over 13 countries work together to protect the infrastructure of our hundreds of customers, including over 45% of the Fortune 100, who trust us to scan and secure over 230 billion files daily. Were the leading player in a massive and growing market, but its still early enough for you to make a significant impact. At Wiz, youll have the freedom to think creatively, dream big, and use your full range of skills to contribute to our record growth. Come join our team and help us create secure cloud environments that allow the best companies to move faster.","For candidates who receive an offer, the estimated pay range for this role is listed below and represents annual base salary range for non-commissionable roles or annual base salary  on-target earnings (""OTE"") for commissionable roles. The offered compensation may also include restricted stock units. Final compensation will be determined based on various factors, including but not limited to the candidate's experience and skills. We are committed to offering fair and equitable compensation in accordance with labor laws and regulations. For more information on our employee benefits, visit our Careers page.","SUMMARY","As a Learning  Development Specialist at Wiz you will be a part of our growing Global HR team, in its journey to be built in the best way to support our wizards through the hyper growth of the business and the company as it scales. Being an LD Specialist will be a hands-on role, focused in the operation of ongoing learning  development programs, management of LMS and opportunities to create content and facilitate trainings. They will work with all functions across the HR team and Wizards at all levels.","Our ideal candidate will be passionate about people's growth and building an always-learning culture. They will thrive in (SUPER) high pace and global environments, bring the energy and excitement to execute, and constantly optimize solutions. While being a team player they also feel comfortable being independent to lead end-to-end operations of learning  development projects. They address the business challenges and needs with creativity, growth mindset, proactive listening and excellent communication and collaboration skills.","Lead end-to-end onboarding journey, own the learning path of our new wizards, optimize and update the content and experience. Be the facilitator of the onboarding sessions and work closely with all related stakeholders across the org.
Manage our LMS assure all content is updated, create learning path per audience, upload new content, pull reports and analytic.
Manage all learning ops tasks for ongoing training programs- send invites, track registration, attendance, collect feedback, collaborate with the relevant training vendors, and more.
Collaborate with the team around ongoing Talent Development initiatives, be open and flexible to take ownership on opportunities to lead learning programs end to end.","WHAT YOU'LL BRING","2 years of experience as HRLD specialist in a tech global company  scaling teams-MUST. Experience with start ups- advantage.
BA in a related field, MAMBA - advantage.
Proficient in HR software, LMS, and MS Office Tools.
Strong knowledge of Talent Development processes and learning programs components.
Demonstrates project management experience.
Collaborator and a team player - an inclusive mindset and ability to build great relationships at all levels of the organization.
Strong verbal and written communication together with listening  influencing skills. Fluent in English.
Thrives in a dynamic, super-fast and changing environment
Extraordinary desire to provide a high level of excellence in everything they do.",,"Pay Range 92,000 - 127,000","WHAT YOU'LL DO","If your experience is close but doesnt fulfill all requirements, please apply. Wiz is on a mission to build a special company. To achieve our goal, we are focused on hiring Wizards with different backgrounds, perspectives, and experiences.","Wiz is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.","By submitting your application, you acknowledge that Wiz will process your personal data in accordance with Wiz's Privacy Policy.",,,,,,,,,,,,,,
