"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2102124,"Chef de Partie","https://jobs.smartrecruiters.com/AccorHotel/744000013376645-chef-de-partie","Accor","Paris","No","Not specified","Full time","2025-02-12T02:16:15.291011Z","Le Pullman Tour Eiffel vous réserve le plus beau rôle : Chef de Partie (H/F) !Technique métier et relation client :Réalise des préparations préliminairesFabrique, dresse les plats relevant de sa partie, conformément aux fiches techniques et envoie les plats dans les bons délais et à bonne températurePrend en compte des demandes clients particulièresVeille à la présentation, à la qualité et à la bonne température des platsPeut-être amené à effectuer une partie de la production en salle devant les clients selon les évènements ou l’organisation de l’offre de restaurationParticipe si besoin à la création de nouvelles fiches techniquesManagement des équipes / implication transverseEn collaboration avec le second de cuisine, il/elle organise et contrôle le travail du reste de l’équipeSuit et sensibilise son équipe sur l'optimisation des coûts et la réduction des pertes de matières premièresEst responsable du perfectionnement des commis de cuisine, des apprentis(es) et des stagiairesFait preuve d’exemplarité envers le reste de l’équipe, et développe ainsi la motivation et l’adhésion de ses équipes en créant un bon climat de travailSoutient le chef et le second de cuisine dans la prise de décisionParticipe aux réunions &amp; briefing organisés en cuisineTravaille en collaboration avec les différents services de l’hôtelEsprit d’équipeConnaissance des températures de cuisson et de refroidissementConnaissance des normes d’hygiène et de propretéApplication des normes de présentation du restaurantRapidité et efficacitéRigueurCréativitéAdaptabilité et réactivité face aux demandes particulièresForce de propositionPolyvalenceSens de l’organisationPrise d’initiativesPédagogie &amp; transmission de son savoir-faireSalaire 2316 euros brutIndemnités Nourriture (2 par jour)Une mutuelle prise en charge à 100%Primes de participation et d'intéressement collectifPlan Epargne Entreprise attractifRemboursement des titres de transport à hauteur de 75%Forfait Mobilité Durable pour encourager l'utilisation des vélos, vélos électriques, trottinettes électrique et covoiturageLa carte Heartists avec réduction sur les marques du groupe Accor, pratique pour partir en vacancesDes formations sur tous les métiers de l'hôtellerie, tout au long de ta carrière et des possibilités infinies d’évolution multi établissements et multi marques au sein des hôtels du groupe"
2416454,"Cocinero/a","https://jobs.smartrecruiters.com/AccorHotel/744000041720922-cocinero-a","Accor","Barcelona","No","Not specified","Full time","2025-02-12T02:16:15.291069Z","Reportando al Executive Chef, estas son las responsabilidades y funciones a título enunciativo, pero no limitativo:Ofrecer constantemente un servicio profesional, cálido y proactivo a los clientes, al tiempo que apoya a los demás compañeros.Asistir en la preparación y el servicio de todas las opciones de comidas para  la carta y/o buffet de acuerdo con las recetas y los estándares del hotel.Asegurarse de la limpieza y el mantenimiento de todas las áreas de trabajo, utensilios y equipos. Conocimiento de las normas APPCC y su aplicación práctica.Revisar y controlar el material de uso en la cocina, comunicando cualquier incidencia al respecto, así como reportar incidencias de mantenimiento.Informar al jefe de partida o al Sous Chef de exceso/falta de género para el uso diario, así como controlar y cuidar de la conservación y aprovechamiento de los productos puestos a su disposición.Preparación de los platos según recetas, estándares de calidad y presentación del hotel evitando desperdicios.Dar soporte al Chef de Partie en operaciones de training, evaluación y motivación del equipo.Se valorará experiencia en desayunos. Contar con experiencia previa en el ámbito CulinarioContar con Diploma \ Certificación en una disciplina Culinaria.Poseer fuertes habilidades interpersonales y de resolución de problemas.Ser altamente responsable y confiable.Contar con capacidad para trabajar bajo presión en un entorno acelerado.Capacidad para trabajar con cohesión como parte de un equipo.Contar con la capacidad de centrar su atención en las necesidades del huésped, siempre conservando la calma y siendo cortés.Idiomas: español, inglés es un plus.Experiencia en un puesto similar, se valorará experiencia en hoteles de similar categoría o restaurantes gastronómicos.Contrato : Indefinido¿Qué ofrecemos?-Tarjeta de beneficios con tarifas de descuentos en Accor en todo el mundo.-Tarjeta PayFlow (retribución flexible).-Formación continua a través de nuestra plataforma Academy y otras más.-Oportunidad de desarrollar tu talento y crecer dentro de la propiedad y en todo el mundo."
2416451,"Auxiliar de Recepção Tournant","https://jobs.smartrecruiters.com/AccorHotel/744000041723667-auxiliar-de-recepcao-tournant","Accor","São Paulo","No","Not specified","Full time","2025-02-12T02:16:15.291089Z","Recepcionar hóspedes / clientes, prestando informações diversas e cumprindo os procedimentos de check-in e check-out, sob orientação e atendendo aos padrões de excelência no atendimento.• Recepcionar hóspedes/clientes no balcão, identificando-os e prestando informações e esclarecimentos diversos (reservas, confirmação de passagem aérea, endereços/fones de locais, reclamações etc.), sob orientação.• Realizar o check-in dos hóspedes, providenciando o preenchimento de ficha, procedendo a entrega das chaves e encaminhando-os aos respectivos apartamentos.• Realizar o check-out dos hóspedes, executando o fechamento das faturas, recebendo os pagamentos, bem como montando/organizando os respectivos processos.• Assegurar o cumprimento aos procedimentos de recepção, bem como preparar os processos e procedimentos de “Auto-Controle”• Alimentar o sistema com as informações de reserva do cliente.• Efetuar a passagem de turno, seguindo, rigorosamente, os procedimentos preestabelecidos.• Realizar atendimento telefônico, seguindo os padrões da rede e da unidade. • Manter o arquivo da área devidamente organizado.• Executar outras atribuições correlatas de acordo com a necessidade da área.Desejável estar cursando Superior em Turismo, Hotelaria ou compatívelNecessário inglês intermediário. CriatividadeSolução de ProblemasContribuição para resultadosPrazer em ServirFlexibilidadeComprometimentoDinamismoTrabalho em EquipeLiderançaAgilidadeProatividadeDiscriçãoAtenção a detalhes Zelo/CaprichoDisciplinaAsseioExpressão OralRedaçãoComunicaçãoAll your information will be kept confidential according to EEO guidelines."
2416448,"Marketing & Communications Manager","https://jobs.smartrecruiters.com/AccorHotel/744000041722468-marketing-communications-manager","Accor","Chennai","No",8,"Full time","2025-02-12T02:16:15.291106Z","Coordinate marketing and effective implementation of the promotional strategies for all services the hotel has to offer;Create the annual marketing plan and follows it on a monthly basis;Manage the newsletter and social media including engagement, content creation, scheduling, monitoring, writing and posting all status updates within the brand guidelines;Optimize the awareness of different hotel outlets and events;Create the annual events calendar as well as initiate regular marketing meetings;Create marketing, PR reports and press tools; Delivers a monthly report, and newsletter for the hotelLiaise with local/regional media; prepare press releases of events;Assist departments with creative ideas;Ensure the consistency of all marketing collaterals with Accor, Novotel and ibis standards, create the promotional materials, brochures, and leaflets and follows production;Digital Acquisition marketing – SEO, OTA’s, Accor Loyalty Programs, website content Optimisation, Metasearch channel Optimisation.Assists in the implementation of the hotel's Marketing Communications Strategy (goals, tactics and actions) to achieve and exceed forecasted revenue figures in Rooms, Food and Beverage, and all other revenue-generating departments.Bachelor’s Degree Minimum 8 years of experience in a similar roleExcellent reading, writing and oral proficiency in English languageProficient in MS Excel, Word, &amp; PowerPoint"
2416446,"IT Manager","https://jobs.smartrecruiters.com/AccorHotel/744000041724282-it-manager","Accor","Chennai","No",4,"Full time","2025-02-12T02:16:15.291122Z","Manage and support all the systems in the hotelProvide In-house guest IT related matter troubleshootingCoordinate, manage and oversee projects, document processPerform regular system’s health check and capacities studies to ensure optimum performance of servers and networkManage system changes with appropriate support staff to ensure uninterrupted serviceLiaise with vendors and work with users at all levelMaintain inventory of all equipment, software and software licensesDiploma in Information TechnologyMinimum 4 years of relevant experience with at least 1 year in a similar capacityGood reading, writing and oral proficiency in English languageProficient in MS Excel, Word, &amp; PowerPoint"
2416444,"Chef De Cuisine - Banquet","https://jobs.smartrecruiters.com/AccorHotel/744000041724676-chef-de-cuisine-banquet","Accor","Chennai","No",12,"Full time","2025-02-12T02:16:15.291137Z","Check all equipment prior to service where applicable.Distribute work schedules in appropriate sections of the Kitchen and delegate work to ensure deadlines assigned by Senior Management are met. Liaise with Director of Restaurants &amp; Bar, Restaurant Managers &amp; Assistant Manager to facilitate service delivery and ensure standards are maintained.Monitor the presentation of food to ensure it complies with company standards and guidelines as per prescribed recipes.Record all recipes and update the manual as required to ensure the Kitchen has comprehensive information at all times. Oversee all front of house food set ups to ensure they are as per guidelines set by the Executive Chef.Organize rosters for casual, agency and section staff as per guidelines set by the Executive Chef.Promote an environment of team work to facilitate the achievement of department and hotel objectives. Monitor quantity and quality of food products for the assigned section to ensure compliance with hotel standards. Evaluate systems and procedures to facilitate continuous improvement in the delivery of products and services.  Monitor the operation of the Kitchen to ensure HACCP procedures are followed and clear records are kept at all times. High school education/GraduationTrade Certificate with a minimum of 12 years of experience in a similar capacityGood reading and oral proficiency in English language"
2416442,"RECEPTION AGENT (TURNANTE NOTTURNO)","https://jobs.smartrecruiters.com/AccorHotel/744000041725618-reception-agent-turnante-notturno-","Accor","Florence","No","Not specified","Full time","2025-02-12T02:16:15.291154Z","You are the beginning of an exceptional guest experience: you will make our guests feel welcome and reflect the exceptional experience the come when they arrive!How does your working day look like …At the reception, you’ll make sure that guests aren’t just contented, but enthusiasticYou’ll always keep your cool – even when all the guests turn up to check in at the same timeYou’ll get everything ready for the shift, and round it off with the Front Office fully cleaned upWhat is in it for you:
In 3-4 bullet points, showcase the benefits and perks of working at the property
Employee benefit card offering discounted rates in Accor worldwide
Learning programs through our Academies
Opportunity to develop your talent and grow within your property and across the world!

What you will be doing:
Consistently offer exceptional, friendly and engaging service
Ensure the best selection for the guest and ensure revenue is maximized through up-selling
Recommend property facilities and assist guests with information and special requests
Book room reservation requests, enter rooming lists, and update accurate information in the systemYour personality counts more than your CV …Guest focused personality is essentialYou’ve gained some professional experience, or completed a course of training in the hotel business and can speak English fluentlyYou can inspire your fellow staff just as you can inspire your guests. On top of this, you know your way around town and always have tips for partying up your sleeveYou’re not just bringing your abilities, but also your characterYour experience and skills include:
Guest focused personality is essentialExperience is an assetPrior experience working with Opera or a related systemStrong interpersonal and problem solving abilitiesFluency in English, additional languages are a plusAvailable to work shifts (including night shifts)What´s in it for you …Get to know our 25hours hotels and stay for free for a maximum of 10 nights per years as an employeeTake advantage of being part of Ennismore and get generous discounts when visiting our bars and restaurants as well as booking hotel rooms all over the worldBenefit from great offers from our numerous cooperation partnersBe part of our hilarious staff parties and much more …"
2416440,"Handyman/Manutentore","https://jobs.smartrecruiters.com/AccorHotel/744000041725733-handyman-manutentore","Accor","Florence","No","Not specified","Full time","2025-02-12T02:16:15.291170Z","What you’ll do…Fault repair, maintenance of equipment, plumbing, furniture, and lighting.Perform general tasks such as connecting equipment, lighting, installing locks and hinges etc.Conduct periodic maintenance.Carrying out installation work.Accurate control of the work and your own workspace and equipment.What we’re looking for…Individuals. You’re looking for a place where you can be you; no clones in suits here.Passion for hospitality – whether that’s a drink, a meal, an event or a bed for the night.You’re all about having a positive impact on the people you interact with, leaving them with a memorable experience.We leave our egos at the door and help get things done.You’re up for doing things differently and trying (almost) everything once.If we got stuck in a lift together, we’d have a good time and share a few laughs.You want to be part of a team that works hard, supports each other, and has fun along the way.You have building maintenance experience.Solid understanding of health &amp; safety regulations and practices.You’re all about the details!What's in it for you...The opportunity to work with an exciting new hospitality concept in Florence and have a real impact on its success.Join an innovative, fast-growing, international group that’s committed to not just building new hotels but building a global brand.The chance to challenge the norm and work in an environment that is both creative and rewarding.Become part of a team that’s very passionate about creating great hospitality experiences and building a portfolio of brands.Excellent discounts across The Hoxton and the global Ennismore family.A competitive package and plenty of opportunity for development.Time off to volunteer with one of our partner charities.Hox Hero and Nifty Fifty, our rewards for going the extra mile and living our values.An annual diversity and inclusion calendar of events creating opportunities for you to learn, celebrate and make a positive impact.Regular team get togethers, from our High Fives to our (pretty special!) team parties – we know how to have a good time!"
2416439,"Doorperson","https://jobs.smartrecruiters.com/AccorHotel/744000041727375-doorperson","Accor","London","No","Not specified","Full time","2025-02-12T02:16:15.291185Z","An exceptional opportunity presents itself for a Doorperson to join the Rooms Department at Raffles London at the OWO. Reporting into Head Concierge, you will be responsible for the arrival and departure experience of our guests, as well as managing the public areas of the hotel, ensuring that guest and departmental expectations are met exceeding the high standards required by the company.You will also support the Valet team with parking and retrieving cars. Specifically as the Doorperson:You will promote positive colleague relations through an environment that encourages open communication, trust, mutual respect and continuous feedback.You will be an effective communicator, who adheres to both legal/statutory responsibilities and Company Policies and procedures.Assist with managing guest experience throughout the guest journey.Communication with staff and guests in a friendly and professional manner.Building and developing good relationshipsManaging time sensitive targets What are we looking for?Driving licence essentialAbility to communicate clearly and efficiently in English, both verbal and written.Recent experience within in 5-star hotels or a similar role.Enthusiasm and commitment to delivering and offering the best service and experiences possible in any situation.Proven track record of surprising and delighting guests to provide exceptional serviceAble to work within a team.Ability to multitask and remain calm under pressure.To be detail-orientedDistinctive, professional and warm personalityWhy join our Raffles team? Not only will you be joining one of the worlds best hotels you will also receive great benefits including:You will be offered a competitive salary28 days holiday including bank holidays plus a day extra for every year of your service up to 5 yearsLength of service awards for every year of serviceWe offer Life Assurance to all our colleaguesEnhanced sick payEnhanced maternity, paternity and adoption payFree dry cleaning for uniform and an allowance for personal itemsSeason ticket loans and cycle to work schemeColleague gifting to celebrate special occasionsPaid days off to move house or give back time to a charity of your choice*Internal learning and development programmes tailored to you  Fun-filled events, whether that’s a pub quiz, team run or festive party.Employee benefit card offering discounted rates of up to 30% at Accor worldwideWorldwide development opportunities across Accor’s extensive brand portfolio What are the Raffles Values? Be You: Be creative, innovative, and enthusiastic, showing your personality and flair.Be Kind: Demonstrates humility and generosity through emotional connection with colleagues and guests.Be Happy: Consistently uplifting colleagues and guests through a joyful connection and positive personality.Be Confident: Openly shares knowledge and skills with other colleagues to achieve excellence.Have Your Purpose: Demonstrating care and responsibility within your role, to make a tangible impact on the business."
2416437,"Stewarding / Afwasser","https://jobs.smartrecruiters.com/AccorHotel/744000041728555-stewarding-afwasser","Accor","Amsterdam","No","Not specified","Part time","2025-02-12T02:16:15.291201Z","Do you have experience in cleaning or dishwashing, are you flexible, and want to work in a friendly team? Then this position is for you!🕒 Hours: ParttimeIbis Amsterdam City West is looking for an enthusiastic and flexible dishwasher to join our team! As a kitchen staff member, your working hours will be in the morning from 08:00 to approximately 14:00, or during group dinners in the evening from 19:00 to approximately 22:00.This is ideal as a side job alongside your studies or as a holiday/weekend job, as it involves a minimum of 1 and a maximum of 3 shifts per week.Thanks to you, the F&amp;B team can operate efficiently and fully focus on the guests and the delicious breakfast or dinner we serve. You play a crucial role in supporting the team, but also in ensuring our guests have a great experience!As a kitchen staff member, you'll be responsible for ensuring that all crockery, glassware, cutlery, and kitchen utensils are ready for use. Of course, we have an automatic washing and rinsing machine that makes your work much easier, but you will also perform manual tasks such as rinsing and polishing.Main Responsibilities and Tasks:✅ Washing dishes and cutlery.
✅ Transporting cutlery from the restaurant to the dishwashing area and vice versa.
✅ Cleaning the breakfast room (e.g., vacuuming and mopping).
✅Performing various cleaning tasks in the kitchen✅Performing other tasks related to the above as directed by the supervisor.What do we offer you?✨ A fun and friendly work environment with a dynamic team
✨ Competitive salary Eur 15.45 per hour.
✨ Growth opportunities within the company.
✨ Discounted stays, meals, and drinks at colleague hotels worldwide 🌍
✨ Easily accessible by public transport, bike and car.Want more information or apply directly?
Are you excited about the dishwasher position at Ibis Amsterdam City West? Send your CV and motivation letter to Justyna Klebczyk, justyna.klebczyk@accor.com. For more information, please contact Colin van Vliet at phone number 020-581 11 11."
