"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2477461,"市场专员(leasing)_BMG","https://jobs.smartrecruiters.com/BoschGroup/744000043853925--leasing-bmg","Bosch Group","Suzhou","No",3,"Full time","2025-02-21T22:26:16.549725Z","1. Bosch promotion visual material editor, such as technology video/animation, graphics poster and photos.2. Operate external communication platform to bridge BMG (Bosch manufacturing solutions) and customers getting latest technology, news such as WeChat account, Video account, official website etc.3. Operate internal communication platform to connect BMG associates understanding our technology, business and purpose such as newsletter.4. Gift management including selection, designs and system maintenance.5. Develop and create to B methods to band BMG technology and enhance brand image as innovative tech leader. New approaches by such as demos, show lines into public communication in trade fair, co-marketing activities.6. Orchestrate, drive and coordinate divisional customer event, trade fair, and other projects in a high standard. Ensures exchange and alignment with the relevant corporate departments and other divisions. Highly interconnect with cluster owners to deliver correct product messages and bridge customers.1. > 3 years experience in the automation industry, strong business execution ability, flexible use of various professional knowledge to implement differentiated product promotion and management, skilled in cooperation with departmental maintenance and proficient processing skills.2. Strong learning ability and willingness to learn, constantly learning product technology to update knowledge, being able to learn quickly and use it flexibly. Being creative, passion and agile reaction.3. Good skills of presenting, PS, movie edit tools, PPT, EXCEL, etc.,4. Education: bachelor or above. Major preferred in marketing, business administration, journalism and communication.5. Language skill: proficient in spoken and written English."
2477460,"IMU传感器专家（自动驾驶方向）_VM","https://jobs.smartrecruiters.com/BoschGroup/744000043854705-imu-vm","Bosch Group","Suzhou","No","Not specified","Full time","2025-02-21T22:26:16.549833Z","L2+/L2++(),IMU()IMU, IMU(++),,IMU,,,IMU(),L3,5IMU/,;L2+/L2++,(ISO 26262)ASPICEIMU(Allan),C++ /MATLAB(&lt;0.1m)IMU,()"
2477459,"Engineer - Simulation (R&D)","https://jobs.smartrecruiters.com/BoschGroup/744000043858585-engineer-simulation-r-d-","Bosch Group","Bayan Lepas","No","Not specified","Full time","2025-02-21T22:26:16.549866Z","Autonomously perform analysis of technical problems based on scientific approaches, give advice to project teams regarding questions in the area of expertise.Analyze, determine, and identify cause-effect relationship and functional parameters of a system.Analyze system throughput bottleneck and propose design improvements.Successful participation in DFR training, and support project team to prepare contents based on DfR approach.Perform measurement and testing for simulation correlation.Communicate and collaborate simulation/DfR activities internally &amp; externally.Development of simulation &amp; design standards, sharing best practices and guidelines to ensure synergy.Create and maintain simulation models, results, WI, Lesson-Learn and other technical documentation.Follow project schedule according to product development process.Successful participation in BES-PE training, and apply content-driven engineering (follow BES-PE principles).Apply all processes according to valid PT and Bosch procedures as published in BGN.Support and take over special tasks as assigned by superior.Bachelor degree, Master Degree or PhD in Mechanical Engineering, Mechanics, Aerospace Engineering, Automotive Engineering, or a closely related field.Experience in performing experimental testing and statistics analysis for correlation with simulation.Proof of expertise by past working projects and/or scientific/academic papers publications and/or company internal presentations.Exposure to product and component design (plastic/metal housing and machine element).Exposure to plastic and metal manufacturing process (injection molding, die casting, sintering, forging, machining, heat treatment).Exposure to Product Development Process.Exposure tin international project teams communicating in English.Competent in CAD software, preferably Creo.Competent in simulation software, preferably Abaqus, CFX, FloEFD, Hyperworks, MSC ADAMS, Maxwell.Competent in programming languages, preferably FAMOS, MATLAB, Python, R, VBA.PC applications: Excel, Word, PowerPoint.Job Summary:Support product development projects with his/her knowledge in simulation and Design for Reliability (DfR)."
2477458,"[SX] Automation Software Tester (Selenium/ Java)","https://jobs.smartrecruiters.com/BoschGroup/744000043859775--sx-automation-software-tester-selenium-java-","Bosch Group","Tân Bình","No",2,"Full time","2025-02-21T22:26:16.549896Z","Develop, maintain and execute automation test cases for major projects, maintenance, and emergency releases.Design and implement automation tests scripts, debug and define corrective actionsIdentify, analyze and report test resultsReport, track, and monitor defects in the defect tracking systemInvestigate defect reports from production support, isolate their causes, inform development teams for fixing and retest to ensure adequate resolutions.Work closely with the PO and development teams to design testing strategies.Work on the interpretation of quality assurance issues and problems for technical and non-technical users.2-3 year experience in automation testing for web-based, API and mobile applications with Selenium, Appium (Java, C#)At least one programming language or scripting language you are comfortable with (C#, Java)Good experience in writing new test cases based on requirementsAbility to effectively manage time, and arrange and carry out multiple tasks of different prioritiesExperience with cross-browser, cross-platform and responsive testing (Web, API and mobile)Familiar with source version control tools.Problem-solving and analytical thinking abilitiesWilling to learn and adopt new technologies and testing methodologies.Why BOSCH?Because we don't just follow trends, we create them.Because together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work.Benefits and Career OpportunitiesWorking in one of the Best Places to Work in VietnamJoin a dynamic and fast growing global company (English-speaking environment)13th-month salary bonus + attractive performance bonus (you'll love it!) + annual performance appraisal100% monthly basic salary and mandatory social insurances in 2-month probationOnsite opportunities: short-term and long-term assignments15++ days of annual leave + 1 day of birthday leavePremium health insurance for employee and 02 family membersFlexible working timeLunch and parking allowanceVarious training on hot-trend technologies/ foreign language (English/Chinese/Japanese) and soft-skillsFitness &amp; sport activities: football, badminton, yoga, AerobicFree in-house entertainment facilities and snackJoin in various team building, company trip, year-end party, tech talks and a lot of charity events"
2477457,"Area Manager ( Sales )","https://jobs.smartrecruiters.com/BoschGroup/744000043859835-area-manager-sales-","Bosch Group","Patna","No",3,"Full time","2025-02-21T22:26:16.549925Z","Responsible for dealer/channel management in the specified territory Responsible for achieving set targets of Turnover &amp; Receivables.Responsible for network expansion to fill the white spots if any.Develop &amp; maintain business plans for sales development in close cooperation with the Sales Managers and dealers. Customer Relationship ManagementFormulate secondary sales development plan for different products and customer segments.Ideate Strategies for the territorys development and their execution.       Initiate and implement Marketing &amp; Sales campaigns together with the Product ManagersTechnical Understanding of products and its usage as USP in salesPeople Management ( to help drive the key initiatives and policy deployment )Willingness for extensive travelling B.E/B. Tech from reputed Institutes, MBA/PGDBM would be an added advantage       3 or more Years of Work Experience in automotive Aftermarket       Knowledge and Experience of Sales Function       An Effective communicator with excellent relationship building &amp; interpersonal skills, problem solving organizational abilities       Knowledge of Excel / Word &amp; other IT tools       Experience of direct Sales and Distribution       Good knowledge and experience on Retail network       Ability to liaison between cross functional teams        Ability to influence       Should possess Leadership skills     Bright candidates having exceptional sales acumen and having  years of relevant Work Experience in other industries can be considered       Language   Hindi, English"
2477456,"IN_Bosch Rexroth India_Engineer/Executive_Procurement","https://jobs.smartrecruiters.com/BoschGroup/744000043861815-in-bosch-rexroth-india-engineer-executive-procurement","Bosch Group","Bangalore","No",6,"Full time","2025-02-21T22:26:16.549954Z","Planning and Procurement by coordination with Sales, Lead plants across the globe, Freight forwarders, GS
teams and ensure smooth materials flow and responsible for inventory optimization.
Operate MM/ PP transactions  Handle EDI POS, Scheduling agreements, MRP Parameters
Generate PR Reports, Raise POs, Scheduling Agreements, Coordinate with Central Teams, SAC, ADMs
Hands on Experience in SAP MM, QM &amp; SD Module, MS Tools. Follow up with WH for goods receipt &amp;
Damages.
Having discussion with Cross Functional teams, Follow-up for Backlog orders as well as Backlog stocks, Pro
Active approach. If any deviation, follow up with Escalations as per Authority Matrix.
Report generation for Open order status and Inventory forecasting.
Ensure the information flow is adhered to as per the Standard process. Maintenance of data as per Company
requirement and participate in C/AU Audit.
Visit External Warehouse/ LSP/ GS Teams &amp; have smooth Information flow.DIPLOMA/BE in Mechanical, 6-8 years of relavent experiencePreferred Exposure of SAP in MM / SD /QM
Module. Knowledge of Planning &amp; Procurement"
2477454,"IN_RBAI_ChiP1 _MSE Manager","https://jobs.smartrecruiters.com/BoschGroup/744000043862915-in-rbai-chip1-mse-manager","Bosch Group","Chennai","No",12,"Full time","2025-02-21T22:26:16.549982Z","Regular:Lead Daily leadership routines and ensure standards sustenance through process confirmationReview and achieve VS KPIs via clear systematics such as PDCAPlan and execute BPS maturity improvement,Plan and support implementation required I4.0, digital roadmap for the value streamCoordination with internal customers/ CFTs to achieve holistic KPI developmentIdentify training needs and ensure competency build up in the shop floorImplement Plant / RBU strategy, Implement EHS, IT security, compliance guidelinesResponsible for improving team / organizational performanceResponsible for respective QMS MP, MM related to production areaPeriodic:Lead and conduct system CIP workshops, review of system CIP projects, coaching of teamsOccassional:Coordination with IPN/ Lead plant for plant to plant product transferRealization of industrialization of new productsB.Tech (Electrical / Mechanical engineering), MBA (Operations)- optional 12+ years experience in handling / leading production line, production planningRequired competencies:Technical:Knowledge of motor manufacturingBosch production system / Operations excellenceAdvanced problem solving skillsBehavioral:Employee relations managementStrong communication skillsAttention to detailsStrong in result orientationFunctional depth and analytical skills"
2477452,"Export Control Process Expert","https://jobs.smartrecruiters.com/BoschGroup/744000043863555-export-control-process-expert","Bosch Group","Bengaluru","No",8,"Full time","2025-02-21T22:26:16.550006Z","Leading export control process automation initiatives and increasing process efficiencies within the global foreign trade organizationBeing the interface between foreign trade governance user departments and central process development team, e.g. IT, process owner and managerLeading &amp; coordinating the deploy of solutions within GTSCollecting and documenting of business requirements and support in the integration into GTSCoordination of tests, trainings, migration and go-live preparationOffering post Go-live support and defect resolution and process adjustment/ improvement during the stabilization phase and final handover to the line organizationUniversity Degree/ BE/CA/CMA/BE/ Master Diploma in Business, Accounting, Controlling, Economics, IT or a similar domainExperience:Sound knowledge of Export Control Regulations/ Foreign Trade8-10 years of experienceProcess management experience and IT know-howVery good knowledge of SAP GTS and its integration into SD/MM/FIBroader process understanding (E2E process thinking) Additional InformationFluent in English (spoken and written), German would be a plus;Strong communication and presentation skills, straightforward, reliable;Target oriented, well organized, willingness to take user perspective, ability and desire to understand processes in details;Passion for pioneering new approaches and interacting with people, passion for easy-to-use software solution in GTS and third party softwareWillingness to travel"
2477450,"Assistant Manager/Dy. Manager - Export Control","https://jobs.smartrecruiters.com/BoschGroup/744000043863765-assistant-manager-dy-manager-export-control","Bosch Group","Bengaluru","No",6,"Full time","2025-02-21T22:26:16.550032Z","Export Control ComplianceMonitor Export control regulations for Bosch India, Bangladesh &amp; Srilanka as per national and international legislations and implement processes to avoid risk of non-compliance and associated penalties.  Determine applicable export control regulations for Bosch India, Bangladesh &amp; Srilanka by ensuring compliance with global and national laws, managing internal and external audits, and overseeing risky exports. Risk ManagementContribute to Bosch Export Compliance Program by identifying risky exports.Monitor business activities to identify potential circumvention risk &amp; other export compliance violation risks ProjectsParticipate in Export Control Projects Test activities as required to improve business efficiency and meet statutory requirementsMasters in commerce/ MBA(Fin)/CA/CMA/BE/B.Tech. LLB would be advantageous6 to 8 years of experience at a large Multi-National Organizations in the area of Export ComplianceExperience in handling Export Control Regulations specially - US EAR, ITAR, EU export regulations &amp; SCOMET regulations.Working knowledge of SAP GTS is desirable.Knowledge of Export Control Classification of Goods (ECCN), Software &amp; TechnologyKnowledge of Customer classification &amp; Material ClassificationKnowledge of Export control regulations, Export License Management, Embargo Management &amp; Sanctioned Parties ListLicense application process &amp; also maintenance of sameFamiliarity with the review process and the release of holds on export documents.Knowledge of different SAP systems &amp; the processes such as O2C, S2P, I2P, B2R etcProficiency in recognizing potential red flags and conducting thorough due diligence."
2477448,"Internship 2025, Project Management, Packaging and Audit management (HmjP/MOE3.2)","https://jobs.smartrecruiters.com/BoschGroup/744000043866775-internship-2025-project-management-packaging-and-audit-management-hmjp-moe3-2-","Bosch Group","Hmaraj Eastern Seaboard Industrial Estate","No","Not specified","Internship","2025-02-21T22:26:16.550061Z","1) Organize and maintain project records, including plans, schedules, risk assessments, and meeting minutes.
2) Create and update work instructions, standard operating procedures (SOPs), and training materials for the relocated production line.
3) Collect and analyze data on equipment performance, downtime, and production output related to the relocation project.
4) Facilitate communication between different teams involved in the relocation project.
5) Support the supervisor in packaging development and lean process implementation in the packaging area.
6) Assist with internal and external audit preparation, including follow-up on open points from audit findings."
