"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2408103,"Regulatory Legal Counsel, Dubai","https://jobs.lever.co/crypto/5861fb12-df6a-45ea-9ab6-30713334f40c","Crypto.com","Dubai","No","Not specified","Full time","2025-02-12T02:16:15.120493Z","About the Role:Conduct in-depth legal research and analysis on regulatory and policy issues related to the crypto industry and blockchain technology, and leverage this knowledge to provide sound legal guidance and advice on tech-related financial regulation and crypto matters. Carefully draft and meticulously review legal documents and agreements, with a particular focus on tech-related corporate, litigation, and regulatory matters. Advise on ensuring compliance with the applicable laws and regulations governing financial services, crypto, blockchain technology, smart contracts, and decentralized applications. Collaborate closely with cross-functional teams, including product, engineering, and business, to offer legal guidance and advice across a wide range of tech-related matters. Represent the company with poise and professionalism in negotiations and interactions with regulators, policymakers, and industry stakeholders on tech-related topics. Maintain a vigilant awareness of legal and regulatory developments in the ever-evolving crypto industry and blockchain technology landscape, and proactively share insights and recommendations with the legal team and other key stakeholders. Interact with regulators when necessary."
2408102,"Managing Editor (Contract)","https://jobs.lever.co/crypto/9b66b48e-7619-468a-bd72-e1bfb7dd2b9b","Crypto.com","Hong Kong","No","Not specified","Full time","2025-02-12T02:16:15.120561Z","About the role:We’re on the hunt for a Managing Editor who lives and breathes the crypto world – someone who has a constant pulse on the latest trends, insights, and market shifts shaping crypto culture and can convey these in written content. You’ll plan, write, and edit engaging content that resonates with the community, from beginners to more advanced investors.As a creative powerhouse and seasoned writer and editor, you’ll plan, write, and edit dynamic articles, social media posts, newsletters, and product introductions while overseeing a small team responsible for long-form content. Your work will drive engagement and SEO, making complex ideas accessible while staying relevant in this ever-evolving space.To put it plainly, If you’re a talented writer and editor who’s a degen at heart and you’ve been dreaming of turning your crypto obsession into a career, this is your shot.This role will commence as a 15-month maternity cover contract with the possibility to turn into a permanent role for the right candidate.#LI-RL3#LI-mid#LI-HybridResponsibilities: Educational Content Creation: This role focuses on editorial planning and production evergreen long-form articles designed to educate our 100 million existing and many more potential users on how to leverage Crypto.com and the crypto industry for their pursuit of financial freedom.Content Creation for Social Media Channels: In addition to longform content, the role will also require you to produce high-quality content ideas and copy for social channels like X, TikTok, Instagram, LinkedIn, and others, working closely with the design team on the execution of both static and animated content.Trend Spotting: Stay attuned to crypto market movements, emerging trends, and cultural moments to craft timely and relevant content for our weekly newsletter with a readership of 3 million+ across the globe.Editorial Management &amp; Support: Editorial support for educational, product, research, and customer service content from various teams.Creative Ideation: Proactively brainstorm and pitch new content ideas that align with the brand’s SEO goals and the evolving crypto landscape.Agility: Work across different time zones, reacting quickly to breaking news, market trends, and cultural moments, delivering high-quality content in real time.Requirements: Crypto Native: A deep understanding of blockchain, Web3, DeFi, NFTs, and the broader crypto space. You instinctively know what the community is talking about (and why).Content Expertise: Proven ability to plan, write, and edit compelling written content across multiple formats (longform articles, newsletters, social media posts, press releases, product descriptions).Technical Skills: Proficiency in Google Suite, WordPress, and Generative AI Tools.Social Media Savvy: Expertise in creating engaging content specifically for crypto-heavy platforms (X, Discord, Telegram) and mainstream channels (TikTok, Instagram, YouTube).Fast-Paced Problem Solver: Comfortable producing content with short turnarounds while managing multiple projects.Self-Starter: Independent, proactive, and able to thrive in an ever-changing environment. This is a remote role preferably based in Asia.Why Join us?Be part of the leading edge of crypto storytelling, crafting content for one of the most passionate communities online.Work with a creative, forward-thinking team that values innovation and bold ideas.Shape the voice of our brand in one of the fastest-moving industries in the world."
2408101,"Managing Editor (Contract)","https://jobs.lever.co/crypto/140f53e0-ee76-4b74-a9bb-537f38120793","Crypto.com","Singapore","No","Not specified","Full time","2025-02-12T02:16:15.120599Z","About the role:We’re on the hunt for a Managing Editor who lives and breathes the crypto world – someone who has a constant pulse on the latest trends, insights, and market shifts shaping crypto culture and can convey these in written content. You’ll plan, write, and edit engaging content that resonates with the community, from beginners to more advanced investors.As a creative powerhouse and seasoned writer and editor, you’ll plan, write, and edit dynamic articles, social media posts, newsletters, and product introductions while overseeing a small team responsible for long-form content. Your work will drive engagement and SEO, making complex ideas accessible while staying relevant in this ever-evolving space.To put it plainly, If you’re a talented writer and editor who’s a degen at heart and you’ve been dreaming of turning your crypto obsession into a career, this is your shot.This role will commence as a 15-month maternity cover contract with the possibility to turn into a permanent role for the right candidate.#LI-RL3#LI-mid#LI-HybridResponsibilities: Educational Content Creation: This role focuses on editorial planning and production evergreen long-form articles designed to educate our 100 million existing and many more potential users on how to leverage Crypto.com and the crypto industry for their pursuit of financial freedom.Content Creation for Social Media Channels: In addition to longform content, the role will also require you to produce high-quality content ideas and copy for social channels like X, TikTok, Instagram, LinkedIn, and others, working closely with the design team on the execution of both static and animated content.Trend Spotting: Stay attuned to crypto market movements, emerging trends, and cultural moments to craft timely and relevant content for our weekly newsletter with a readership of 3 million+ across the globe.Editorial Management &amp; Support: Editorial support for educational, product, research, and customer service content from various teams.Creative Ideation: Proactively brainstorm and pitch new content ideas that align with the brand’s SEO goals and the evolving crypto landscape.Agility: Work across different time zones, reacting quickly to breaking news, market trends, and cultural moments, delivering high-quality content in real time.Requirements: Crypto Native: A deep understanding of blockchain, Web3, DeFi, NFTs, and the broader crypto space. You instinctively know what the community is talking about (and why).Content Expertise: Proven ability to plan, write, and edit compelling written content across multiple formats (longform articles, newsletters, social media posts, press releases, product descriptions).Technical Skills: Proficiency in Google Suite, WordPress, and Generative AI Tools.Social Media Savvy: Expertise in creating engaging content specifically for crypto-heavy platforms (X, Discord, Telegram) and mainstream channels (TikTok, Instagram, YouTube).Fast-Paced Problem Solver: Comfortable producing content with short turnarounds while managing multiple projects.Self-Starter: Independent, proactive, and able to thrive in an ever-changing environment. This is a remote role preferably based in Asia.Why Join us?Be part of the leading edge of crypto storytelling, crafting content for one of the most passionate communities online.Work with a creative, forward-thinking team that values innovation and bold ideas.Shape the voice of our brand in one of the fastest-moving industries in the world."
2408100,"Managing Editor (Contract)","https://jobs.lever.co/crypto/0a4fc9ed-1280-41a2-80e0-bec2aa0cb7c4","Crypto.com","Taipei","No","Not specified","Full time","2025-02-12T02:16:15.120615Z","About the role:We’re on the hunt for a Managing Editor who lives and breathes the crypto world – someone who has a constant pulse on the latest trends, insights, and market shifts shaping crypto culture and can convey these in written content. You’ll plan, write, and edit engaging content that resonates with the community, from beginners to more advanced investors.As a creative powerhouse and seasoned writer and editor, you’ll plan, write, and edit dynamic articles, social media posts, newsletters, and product introductions while overseeing a small team responsible for long-form content. Your work will drive engagement and SEO, making complex ideas accessible while staying relevant in this ever-evolving space.To put it plainly, If you’re a talented writer and editor who’s a degen at heart and you’ve been dreaming of turning your crypto obsession into a career, this is your shot.This role will commence as a 15-month maternity cover contract with the possibility to turn into a permanent role for the right candidate.#LI-RL3#LI-mid#LI-HybridResponsibilities: Educational Content Creation: This role focuses on editorial planning and production evergreen long-form articles designed to educate our 100 million existing and many more potential users on how to leverage Crypto.com and the crypto industry for their pursuit of financial freedom.Content Creation for Social Media Channels: In addition to longform content, the role will also require you to produce high-quality content ideas and copy for social channels like X, TikTok, Instagram, LinkedIn, and others, working closely with the design team on the execution of both static and animated content.Trend Spotting: Stay attuned to crypto market movements, emerging trends, and cultural moments to craft timely and relevant content for our weekly newsletter with a readership of 3 million+ across the globe.Editorial Management &amp; Support: Editorial support for educational, product, research, and customer service content from various teams.Creative Ideation: Proactively brainstorm and pitch new content ideas that align with the brand’s SEO goals and the evolving crypto landscape.Agility: Work across different time zones, reacting quickly to breaking news, market trends, and cultural moments, delivering high-quality content in real time.Requirements: Crypto Native: A deep understanding of blockchain, Web3, DeFi, NFTs, and the broader crypto space. You instinctively know what the community is talking about (and why).Content Expertise: Proven ability to plan, write, and edit compelling written content across multiple formats (longform articles, newsletters, social media posts, press releases, product descriptions).Technical Skills: Proficiency in Google Suite, WordPress, and Generative AI Tools.Social Media Savvy: Expertise in creating engaging content specifically for crypto-heavy platforms (X, Discord, Telegram) and mainstream channels (TikTok, Instagram, YouTube).Fast-Paced Problem Solver: Comfortable producing content with short turnarounds while managing multiple projects.Self-Starter: Independent, proactive, and able to thrive in an ever-changing environment. This is a remote role preferably based in Asia.Why Join us?Be part of the leading edge of crypto storytelling, crafting content for one of the most passionate communities online.Work with a creative, forward-thinking team that values innovation and bold ideas.Shape the voice of our brand in one of the fastest-moving industries in the world."
2408099,"(Senior)Quality Assurance Automation Engineer (Crypto.com APP)","https://jobs.lever.co/crypto/c2daa6f8-a6d4-419f-aaef-426f9b4eade8","Crypto.com","Hong Kong","No","Not specified","Full time","2025-02-12T02:16:15.120630Z","We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.Life @ Crypto.comEmpowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us - our internal mobility program offers employees a new scope.Work Perks: crypto.com visa card provided upon joiningAre you ready to kickstart your future with us?BenefitsCompetitive salaryAttractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.Work Perks: crypto.com visa card provided upon joiningOur Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.About Crypto.com:Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com.Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.Please note that only shortlisted candidates will be contacted.ResponsibilityDevelop and execute test plans and test cases with a strong emphasis on using code to solve technical challenges and shorten the test cycle through automation. Estimate test efforts, analyze and communicate test results and participate in day to day QA Activities. Develop/Maintain and improve the test frameworks, tools and technologies used by the organization to maintain a high quality bar. Work with Development, Test and Product Management to design and implement test and validation strategies. Execute and manage test cases and results, report on test and defect metrics. Create, execute and troubleshoot automated test scenarios across our systems. Contribute to robust, scalable, and high quality test automation solutions for functional, regression and performance testing Contribute to the building of a Continuous Integration (CI) environment and ongoing process improvement activities. Identify required improvements in the test and development processes; make contributions to our automation tools that address specific needs. Maintain a high quality bar in a complex and constantly evolving workspace. RequirementsExperience with mobile testing and automated test techniques with a strong focus on quality throughout the entire software development cycle. Experience in REST and WebSocket API automation testing with Python/Java. Experience in working with different frameworks like Pytest, Pytest-bdd, Appium, Selenium, Cucumber etc. Good knowledge of object oriented programming, along with requisite coding and debugging skills. Design and development skills in Python/Java. Understanding of software design principles, patterns, algorithms, data structures and multi-threading concepts. Proven ability to translate functional requirements and use cases into working test plans and test cases. Strong customer focus, excellent problem solving and analytical skills. Strong verbal and written communication skills. Some knowledge of continuous integration practices, Jenkins or CircleCI. Experience working in an agile environment is preferred.  Ability to work across Windows, Linux is a plus. Passion for improving code quality through interaction with the development team. Demonstrated skill in using coding standards and being an active participant in code reviews."
2408098,"(Senior)Quality Assurance Automation Engineer (Crypto.com APP)","https://jobs.lever.co/crypto/43a424c9-86f3-4aa1-8157-a2e218696975","Crypto.com","Taipei","Yes","Not specified","Full time","2025-02-12T02:16:15.120645Z","We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.Life @ Crypto.comEmpowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us - our internal mobility program offers employees a new scope.Work Perks: crypto.com visa card provided upon joiningAre you ready to kickstart your future with us?BenefitsCompetitive salaryAttractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.Work Perks: crypto.com visa card provided upon joiningOur Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.About Crypto.com:Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com.Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.Please note that only shortlisted candidates will be contacted.ResponsibilityDevelop and execute test plans and test cases with a strong emphasis on using code to solve technical challenges and shorten the test cycle through automation. Estimate test efforts, analyze and communicate test results and participate in day to day QA Activities. Develop/Maintain and improve the test frameworks, tools and technologies used by the organization to maintain a high quality bar. Work with Development, Test and Product Management to design and implement test and validation strategies. Execute and manage test cases and results, report on test and defect metrics. Create, execute and troubleshoot automated test scenarios across our systems. Contribute to robust, scalable, and high quality test automation solutions for functional, regression and performance testing Contribute to the building of a Continuous Integration (CI) environment and ongoing process improvement activities. Identify required improvements in the test and development processes; make contributions to our automation tools that address specific needs. Maintain a high quality bar in a complex and constantly evolving workspace. RequirementsExperience with mobile testing and automated test techniques with a strong focus on quality throughout the entire software development cycle. Experience in REST and WebSocket API automation testing with Python/Java. Experience in working with different frameworks like Pytest, Pytest-bdd, Appium, Selenium, Cucumber etc. Good knowledge of object oriented programming, along with requisite coding and debugging skills. Design and development skills in Python/Java. Understanding of software design principles, patterns, algorithms, data structures and multi-threading concepts. Proven ability to translate functional requirements and use cases into working test plans and test cases. Strong customer focus, excellent problem solving and analytical skills. Strong verbal and written communication skills. Some knowledge of continuous integration practices, Jenkins or CircleCI. Experience working in an agile environment is preferred.  Ability to work across Windows, Linux is a plus. Passion for improving code quality through interaction with the development team. Demonstrated skill in using coding standards and being an active participant in code reviews."
2406369,"Senior Manager, US and Americas Tax Compliance and Tax Accounting","https://jobs.lever.co/crypto/5d04268c-556e-4f31-8b11-66689d9762de","Crypto.com","Chicago","No",8,"Full time","2025-02-12T02:16:15.120670Z","We are looking to recruit a Senior Manager of US and Americas Tax Compliance and Tax Accounting, located in Chicago, to manage the rapidly growing tax compliance and tax accounting function in the Crypto.com Americas region. In this position, you will focus on US federal and state tax compliance, planning, and reporting matters of the US business, as well as manage the Canadian corporate tax compliance, tax accounting, and Canadian indirect tax reporting matters.  The successful candidate will also be expected to participate in Brazilian tax matters (with the assistance of external tax advisors).  This role offers the successful candidate a fantastic opportunity to be involved in key work streams of the tax function.  Reporting directly to the Global Head of Tax (located in Asia), and with a dotted reporting line to the Head of Finance - US, the successful candidate will work closely with one direct report, located in Chicago, and play a key role in managing all areas of the Americas tax function.   The ideal candidate will be a hands-on team player who also leads by example, implements tax plans and works with cross-functional teams to identify value creation opportunities and strategies to mitigate tax risk. #LI-CW1#LI-HybridResponsibilitiesActively manage the US federal and state tax compliance and tax accounting process, ensuring that all activities occur in a timely and accurate manner. Prepare and/or review detailed workpapers to support federal and state income tax compliance in a timely and accurate manner. Review and manage the quarterly US income tax provisions and deferred tax calculations, in accordance with ASC740 and IFRS, including rate reconciliation.Assist with tax audit review processes with external group auditors.Lead the US tax accounting aspects of acquisitions and other transactional activities and ensure proper integration of acquisitions.Work closely with the transfer pricing team and review aspects of key intercompany transactions (financing, support services)Lead or assist with other special projects and process improvementsRequirementsCPA or equivalent 8+ years of experience with Big 4 public accounting and/or multinational corporate tax department in a public companyStrong background in ASC740 and IFRS tax accounting and reporting and leading compliance processesProven experience with managing complex US tax mattersExperience with managing tax matters in multiple countries is preferredUnderstanding of transfer pricing principles and their practical implementationStrong leadership, project management, organizational and communication skillsA high-level of intellectual, professional and interpersonal agility and flexibility, combined with strong analytical and problem-solving skillsFlexible and open-minded personality and ""Hands-on"" work mentalityWell organized and hardworking, with the ability to thrive in a fast-paced work environment and manage numerous projects simultaneously under deadline pressureExcellent interpersonal, written and oral communication skills and great team player"
2406367,"Customer Experience Associate with German and English, Bulgaria","https://jobs.lever.co/crypto/d8f72282-c0f0-41e2-9a83-aebddd771e69","Crypto.com","Sofia","No","Not specified","Full time","2025-02-12T02:16:15.120685Z","#LI-OnsiteLife @ Crypto.com Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.   Are you ready to kickstart your future with us?  Benefits Competitive salary Medical insurance package with extended coverage to dependents Attractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.  Work Perks: crypto.com visa card provided upon joining  Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team. About Crypto.com: Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem. Learn more at https://crypto.com.  Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team. Personal data provided by applicants will be used for recruitment purposes only. Job Responsibilities:Acts with honestly, integrity and knowledge in supporting and strengthening Company’s culture, values and mission;Manages incoming contacts from existing or potential customers;Initiates outbound contacts to existing or potential customers;Identifies and assesses customers’ needs to achieve satisfaction;Resolves product or service problems by clarifying the customer's request, determining the cause of the problem, selecting and explaining the best solution to solve the problem, following up to ensure resolution;Follows communication procedures, guidelines and policies, covering interactions with both internal and external customers;Meets personal/team targets;Maintains customer records by updating account information;Recommends potential products or services to management by collecting customer information and analyzing customer needs;Prepares product or service reports by collecting and analyzing customer information if required;Contributes to team effort by accomplishing related results as needed;Works with their line manager and all respective functions to ensure proper customer service is being deliveredHandles changes;Goes the extra mile to engage customers;Executes other tasks related to the fulfillment of all described above.Job Requirements:High school Diploma;Based in Sofia;Experience in a relevant customer support role is mandatory;Experience in the field of fintech is not mandatory;The Associate must have a reasonable understanding of the Company’s business, its technical, financial, and organizational structure;The Associate must be able to communicate effectively with people at all levels both inside and outside the Company, and should have strong written and verbal communication skills. In addition, the Associate must stand out with excellent organizational skills, decision-making skills, effective problem-solving skills, as well as skills to work independently and in a team;Integrity, initiative, perseverance, discretion, ability to respect the personal dignity and rights of each employee, interest in the financial technologies and services field, and motivation to occupy the position;Proficiency in both English and German; excellent computer literacy."
2400359,"Senior Web Developer - Onchain Wallet","https://jobs.lever.co/crypto/3fa1bc13-f1f2-4462-b6ef-23f426663ecd","Crypto.com","Taipei","No",5,"Full time","2025-02-12T02:16:15.120701Z","We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.The Onchain team is dedicated to delivering a secure and user-friendly multi-chain digital currency wallet. It enables users to unlock the full potential of their crypto assets while providing seamless access to DeFi, dApps, and trading functionalities—all in one platform.Life @ Crypto.comEmpowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us - our internal mobility program offers employees a new scope.Work Perks: crypto.com visa card provided upon joiningAre you ready to kickstart your future with us?BenefitsCompetitive salaryAttractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.Work Perks: crypto.com visa card provided upon joiningOur Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.About Crypto.com:Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com.Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.Please note that only shortlisted candidates will be contacted.Responsibilities:Responsible for the development and maintenance of Onchain Wallet business modules Optimize and improve existing codes to enhance application performance and user experience, including memory optimization, performance monitoring, delay reduction and crash troubleshooting, etc. Conduct technical research and technical solution design according to product requirements Work closely with project managers, designers, QA and other team members to ensure on-time delivery of projects Record technical design and architecture, participate in code review, and ensure code quality Explore and implement new technologies applicable to the projectRequirements:5 years of front-end development experience Proficient in Web development tools and technologies, including front-end development technologies such as React/TypeScript/Vite/TailwindCSS/ReactQuery/ServiceWorker Have good programming habits and coding style, and be familiar with common algorithms and data structures Have certain back-end basic knowledge, such as database/network communication, etc. Be proactive and have good communication and teamwork skillsBonus to have:Web3 and blockchain project experienceExperience in projects such as React Native/Browser Extension is preferredOpen source project contributor"
2400358,"Senior Web Developer - Onchain Wallet","https://jobs.lever.co/crypto/1ccf5c2b-57d7-44e8-84bb-83bb42a5f9c2","Crypto.com","Shenzhen","No",5,"Full time","2025-02-12T02:16:15.120715Z","We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.The Onchain team is dedicated to delivering a secure and user-friendly multi-chain digital currency wallet. It enables users to unlock the full potential of their crypto assets while providing seamless access to DeFi, dApps, and trading functionalities—all in one platform.Life @ Crypto.comEmpowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us - our internal mobility program offers employees a new scope.Work Perks: crypto.com visa card provided upon joiningAre you ready to kickstart your future with us?BenefitsCompetitive salaryAttractive annual leave entitlement including: birthday, work anniversaryWork Flexibility Adoption. Flexi-work hour and hybrid or remote set-upAspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.Work Perks: crypto.com visa card provided upon joiningOur Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.About Crypto.com:Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com.Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.Please note that only shortlisted candidates will be contacted.Responsibilities:Responsible for the development and maintenance of Onchain Wallet business modules Optimize and improve existing codes to enhance application performance and user experience, including memory optimization, performance monitoring, delay reduction and crash troubleshooting, etc. Conduct technical research and technical solution design according to product requirements Work closely with project managers, designers, QA and other team members to ensure on-time delivery of projects Record technical design and architecture, participate in code review, and ensure code quality Explore and implement new technologies applicable to the projectRequirements:5 years of front-end development experience Proficient in Web development tools and technologies, including front-end development technologies such as React/TypeScript/Vite/TailwindCSS/ReactQuery/ServiceWorker Have good programming habits and coding style, and be familiar with common algorithms and data structures Have certain back-end basic knowledge, such as database/network communication, etc. Be proactive and have good communication and teamwork skillsBonus to have:Web3 and blockchain project experienceExperience in projects such as React Native/Browser Extension is preferredOpen source project contributor"
