"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2524209,"Staff Software Engineer","https://jobs.smartrecruiters.com/Cyberark1/744000045308266-staff-software-engineer","Cyberark","Santa Clara","No",8,"Full time","2025-03-01T16:45:25.529317Z","CyberArk is seeking a highly skilled and experienced Staff Software Engineer to join our Machine Identity Security team in charge of the Control Plane, our cloud platform for securing machine identities. You will play a significant role in taking machine identity management to the next level by extending the Control Plane with Certificate Lifecycle Management capabilities. This is a hybrid role for either our Santa Clara or Palo Alto, California.ResponsibilitiesDesign features that enhance the Machine Identity Cloud platform.Design, develop, and maintain high quality frontend applications for Machine Identity Security cloud platform using Typescript and React.Work with backend engineers to develop APIs to support the needs of the frontend, particularly using GraphQL.Collaborate with UX and Architects to align the UI architecture with the product strategy and goals.Troubleshoot and resolve complex technical issues that possibly involve other systems of the Machine Identity Security platform.Mentor team members.Contribute to the continuous improvement of our development processes and tools.Participate in the on-call process. We have a paid on-call rotation to ensure the systems are always up and running for our users.8+ years of professional experience in software development.The ideal candidate will have a strong background in building modern backend and/or web applications. At the core of the technology stack, we have Typescript, React, GraphQL and MUI X in the frontend and Java, Golang and Postgresql in the backend. The ideal candidate will be interested in understanding and working in both backend and frontend implementations.Since the core of the product is to protect machine identities, knowledge of x509 and PKI is desirable.Demonstrate teamwork, attention to detail, and excellent communication skills.#LI-HA1CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.
We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $141,000/year - $200,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2524208,"Staff Software Engineer, Java/Go, SaaS, Cloud-Native Architecture","https://jobs.smartrecruiters.com/Cyberark1/744000045323641-staff-software-engineer-java-go-saas-cloud-native-architecture","Cyberark","Palo Alto","No",10,"Full time","2025-03-01T16:45:25.529437Z","Design, develop, and maintain high quality APIs, features and services for the Machine Identity Security cloud platform.Collaborate with senior team members to build an architecture that aligns with the product strategy and goals.Contribute to the continuous improvement of our development processes and toolsExplore new technologies, patterns, frameworks, tools and services to deliver on our business needs.Troubleshoot and resolve complex technical issues that possibly involve other systems of the Machine Identity Security platformMentor team membersParticipate in the on-call process. We have a paid on-call rotation to ensure the systems are always up and running for our users.10+ years of professional experience in software development.Strong background in building highly scalable, supportable and operable cloud-nativeapplicationsStrong development experience in Go and Java.Strong domain knowledge of x509 and PKIDemonstrate teamwork, attention to detail, and excellent communication skills#LI-HA1CyberArk is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.
We are unable to sponsor or take over sponsorship of employment Visa at this time.
The salary range for this position is $185,000/year - 220,000/year, plus discretionary bonus and equity which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2522591,"Strategic Account Executive, Machine Identity - West","https://jobs.smartrecruiters.com/Cyberark1/744000045174185-strategic-account-executive-machine-identity-west","Cyberark","San Francisco","Yes",12,"Full time","2025-03-01T16:45:25.529464Z","As a Strategic Account Executive at CyberArk youll be part of an extremely motivated, dedicated, and experienced team that protects many of the largest organizations in the world.  The role will manage all sales activities and own an annual revenue target for a defined list of prospects, existing, target or named accounts. The position involves:Act as a trusted advisor to educate C-Level Executives about Machine Identity ProtectionEvangelize and sell Venafis software and service, following a land and expand strategyStrong ability to develop multiyear account strategy for customers and deliver on milestonesStrong focus on relationship building with executive decision makersAbility to build trust and credibility at multiple levelsDeep experience in consultative sales process, tracking all critical activities and understanding the status of a deal at every stage of the processUltimate point of accountability for customer opportunities &amp; communication to ensure long term relationships and maximum contract value with CyberArkCollaborate with other team members in CyberArks Sales, Support, and Services teams to foster a strong sense of community and information sharingExecute sales cycles following the CyberArk PlaybookWin against the competition selling the value of CyberArks platformWhat you need to succeed:Experience educating &amp; building relationships at the C-LevelSelling complex solutions in large &amp; complicated customer environmentsConsultative selling experienceAbility to work at with partner ecosystem to drive revenue and customer successParticipating &amp; networking at local conferences and eventsExperience selling both on-prem and SaaS solutions#LI-MR212+ years of Enterprise software selling experienceProven ability to sell multiyear enterprise multi-million dollars licensing agreementsProven track record of exceeding software sales revenue targetsExcellent critical thinking &amp; analytical skills a mustExperience managing and closing complex sales-cycles using solution selling techniquesExperience selling a subscription software modelExperience working in a fast pace, dynamic, agile sales teamTravel as necessary to client locations (approximately 30-50% of time traveling)CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $130,000  $180,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2522590,"Business Intelligence Intern","https://jobs.smartrecruiters.com/Cyberark1/744000045248265-business-intelligence-intern","Cyberark","Salt Lake City","No","Not specified","Internship","2025-03-01T16:45:25.529487Z","As a Business Intelligence Intern at CyberArk, you will help transform data into strategic insights, driving decision-making and operational efficiency. This role will provide visibility into key metrics that support proactive and informed business strategies.You will work with cross-functional stakeholders ranging from Product Managers, UX designers, Customer Support and Professional services team members to collaborate on key initiatives. This role requires a motivated self-starter with strong communication skills along with the ability to learn and deploy new tools/applications.This is a paid internship, with the potential to grow into a full-time position. A mentor will guide you on tasks to quickly develop new skills and competencies and you will have ample opportunity to work on high-impact projects.ResponsibilitiesUncover actionable insights from data to support strategic decision-making.Analyze product telemetry and customer datapoints to understand new customer problems that we can address with the available data.Design and build BI dashboards to provide visibility into business metrics.Develop an overview of the state of our customer base, and how that relates to the future problems that we solve.Collaborate with cross-functional teams to embed insights and metrics into daily business activities.Strong communication and collaboration skills for effective cross-functional work.The desire &amp; ability to understand the customer and the problem we serve, and the products we offer to solve them.Ability to interpret and analyze data to derive actionable insights.Experience with data visualization and dashboard design.Proficiency in SQL and experience with BI tools such as Tableau, Snowflake, or similar.Progress towards or a recent graduate in either business, economics or relevant STEM field.CyberArk is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time. The salary range for this position is $25-$29/hour."
2522589,"Solutions Engineer SME - Machine Identity","https://jobs.smartrecruiters.com/Cyberark1/744000045258535-solutions-engineer-sme-machine-identity","Cyberark","Newton","Yes","Not specified","Full time","2025-03-01T16:45:25.529508Z","Join CyberArk as a Solution Engineer, where you'll play a pivotal role as the primary technical expert supporting our sales team. You'll drive the technology evaluation phase of the sales cycle, partnering closely with sales executives as the key technical advisor on Venafi solutions. Your mission will be to clearly articulate how Venafi technology delivers tangible business value to both business and technical stakeholders.As a Solution Engineer, you'll meticulously identify all technical decision criteria, guiding customers through a structured process to ensure well-informed decisions. Building credibility and trust, you'll cultivate strong relationships with customers, positioning yourself as a trusted advisor capable of solving real business challenges.Your responsibilities will include determining the necessity of demonstrations or proof-of-concepts (POCs), aligning them with specific success criteria. You'll proficiently showcase Venafi product features and functionalities, conducting POC integrations where necessary, including within customer environments to validate solution suitability.In collaboration with Account Executives, you'll adopt a consultative approach to help customers grasp the essential components of a Venafi solution aligned with their objectives, while addressing any potential obstacles to success. Continually staying informed about industry trends and relevant technologies, you'll effectively communicate how Venafi solutions are the optimal choice.Ideal candidates will possess strong communication skills, technical acumen, and a proactive mindset to drive successful customer engagements. At CyberArk, you'll find a dynamic environment offering competitive compensation and ample opportunities for professional growth.#LI-IR1What you need to succeed:Must be (or become) SME on Venafi.  Must have ability to architect solutions using Venafi products.Working knowledge of common IT technologies in large enterprise environments such as Windows server, Linux/Unix, AD/LDAP, load balancers, web servers, virtualization, end-user devicesShould have strong knowledge of some specific technologies and products, as well as a willingness to learn additional.  Will use hands-on skills to perform product demonstrations and proof-of-concept integrations between Venafi and many other technologies.Understand basic uses of cryptography in IT environments and common products or technologies used, in areas such as SSL/TLS, SSH, PKI, and HSMs.Strong communication and organization skills.  Help bring order to chaotic environments.  With an end-state in mind, must be able to identify projects or actions that need to be undertaken to achieve the end-state.  Must have ability to help others sort out priorities, including the ability to see people/process/technology interdependencies among projects or actions.  Recognize when projects have the people, processes, and technologies required to succeed, and help identify when additional resources are needed.Understand and promote IT and security best practices, especially as it relates to protecting machine identities.Must be able to educate and persuade both technical and non-technical audiences regarding how to think about protecting machine identities and the actions they need to take.  Persuading them to take actions and aligning those actions with best practices is a key ability.How you will stand out from the crowd:Must have strong understanding of SaaS delivery models including features, benefits, limitations, and how it compares to competitors in the market. Ability to demonstrate how a SaaS solution addresses customer needs better than alternatives including cost savings, efficiency improvements, scalability, ease of use, and unique features.Must be aware of DevOps practices and toolsets.  Experience with DevOps tools is desirable, and hands-on experience with CM/Orchestration tools (e.g., Terraform, Salt, Chef), CI/CD tools (e.g., Jenkins), and container technology (e.g., Docker) are a huge benefit.Must have good note taking and writing skills.  While there will not be a large volume of writing required, it will be essential to document solutions, plans, meeting notes, recommendations, and otherwise communicate effectively in writing with customers as well as colleagues.Share learnings regarding customer usage of our products and ideas how CyberArk might make it easier for customers to use our products more fully.CyberArk is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.

The salary range for this position is $111,000  $154,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2516433,"Privilege Cloud Engineer","https://jobs.smartrecruiters.com/Cyberark1/744000045121336-privilege-cloud-engineer","Cyberark","Hyderabad","No",3,"Full time","2025-03-01T16:45:25.529529Z","Job Description:Privilege Cloud is CyberArk's Software-as-a-Service Privileged Access Management solution. CyberArk Privilege Cloud is a strategic offering that provides customers of all sizes with a cloud-native, SaaS solution to protect privileged access in their organization. CyberArk's Privilege Cloud Services team is looking for technical experts and customer focused enthusiasts to join our fast-growing global team.The Privilege Cloud Engineer will be responsible for the delivery and ongoing success of the CyberArk Privilege Cloud customers and will accompany the customer th roughout all stages of the deployment life cycle. This includes planning, deploying, integrating, providing technical support, expanding and secu ring the customer's environment using the solution, setting the customer up for success with CyberArk's Privilege Cloud.Responsibilities:Work directly with the customer to deploy and configure the on -premise components, and integrate the service with the customer's environmentServe as the primary point of contact during planning, deployment and post implementation stagesExecute the Privilege Cloud Jump Start plan with the customer, created as a Privilege Access Management enablement services package with the goal of setting the customer on a path to meet their Privilege Access Management goalsAssist Privilege Cloud customers with service requests, upgrades, integrations and technical support issuesAssist Privilege Cloud customers with developing, managing, and executing project plans and timelinesGuide the customer through both Privilege Access Management and Secu rity best practices aimed at rapid risk reduction in the customer's environmentProcessing and analyzing customer and product usage data in a SaaS environment for the benefit of both customers and CyberArk#LI-HK01Requirements:3+ years of professional work experience as part of an enterprise software company or systems integrator2+ years of experience at a SaaS, security or IT vendor in a technical customer facing roleExperience setting up and installing enterprise software on Windows and Unix platformsExperience with Active Directory and IDP systemsAbility to understand critical issues and bring appropriate resolution to complex problemsAbility to anticipate risks and devise solutions in the momentAbility to understand enterprise customers and their needsExcellent organizational skillsExcellent communication skills and extensive experience working with clients and partners.Strong written and verbal communication skillsSecurity software or internal IT security experience a plus"
2516432,"Senior Solutions Engineer - ASEAN","https://jobs.smartrecruiters.com/Cyberark1/744000045122870-senior-solutions-engineer-asean","Cyberark","Singapore","No",8,"Full time","2025-03-01T16:45:25.529553Z","CyberArk is seeking a Solutions Engineer to join our team in Singapore. In this role, you will seamlessly blend technical expertise with sales acumen, playing a pivotal role in securing technical wins during the sales cycle. You will proactively guide and oversee the technology evaluation stage of the sales process, working closely with the sales and product management teams to advocate for our solutions.Responsibilities:Cultivate a deep technical understanding of CyberArk and associated technologies, staying at the forefront of industry advancements.Lead technical pre-sales activities and secure opportunities.Navigate the technical process and address any escalations that may arise.Proactively identify new sales prospects by cultivating and nurturing relationships with potential and existing clients.Present CyberArks technical value proposition with eloquence and precision.Craft compelling responses to the functional and technical elements of RFIs/RFPs.Ensure the success of customer proof-of-concepts (POCs).Effectively convey client requirements to our Product Management teams and provide technical perspectives at CyberArks and partners seminars and industry trade shows.#LI-HYBRID#LI-ZL18 - 10 years of presales experience within the high-tech sales sector, with a demonstrated track record of success.Strong experience with Windows/Active Directory administration and operations, with some knowledge of UNIX/Linux.Excellent presentation and communication skills, with the ability to deliver high-quality product demonstrations to both technical and executive audiences.An understanding of security concepts and the development of security roles within organizations that meet functional, technical, and regulatory requirements.Operational experience with LDAP Directories and LDAP Authentication methods.Enterprise application authentication experience is a plus (e.g., .NET, Java, CLI).Application development experience and scripting knowledge are preferred.Certifications such as CISSP or SANS are a plus.A smart, bold, but humble attitude to work collaboratively with CyberArkers across the organization.Relevant certifications such as Certified Information Systems Security Professional (CISSP), AWS Certified Solutions Architect, Azure Solutions Architect Expert, Google Cloud Professional Cloud Architect, or similar are highly desirable."
2511152,"QA Lead","https://jobs.smartrecruiters.com/Cyberark1/744000044884495-qa-lead","Cyberark","Petach Tikva","No",5,"Full time","2025-03-01T16:45:25.529574Z","We are seeking a highly skilled and motivated QA Lead to join our team. The ideal candidate will be responsible for leading quality activities across groups' solution-level features, ensuring the highest standards of quality are met. This role requires a proactive individual with excellent leadership and communication skills, capable of driving quality initiatives and fostering a quality-focused mindset within the organization. Key Responsibilities: Lead Quality activities: Oversee and manage quality activities for cross-group solution-level features, ensuring alignment with overall quality goals. Facilitate Quality actions: Coordinate and facilitate quality actions within different groups involved in solution-level features, promoting collaboration and consistency.Define Solution-Level Scenarios: Collaborate with End-to-End (E2E) automation teams to define and implement solution-level scenarios, ensuring comprehensive test coverage.Quality Point of Contact: Serve as the primary point of contact for all quality-related matters concerning the solution-level statusPromote Quality mindset: Work closely with the different personas in the groups to promote quality mindset, best practices and tools to improve the overall quality. Strive for holistic solutions: Identify gaps that require a centralized solution and work with the centralized QA and other solution quality leads to promote a holistic solution. #LI-HR1Proven experience of at least 5 years in a quality leadership role, preferably within a complex, multi-departmental environment.Strong understanding of quality assurance methodologies, tools, and processes.Excellent communication and interpersonal skills, with the ability to influence and drive change.Strong technical understanding in cloud based large scale SaaS products, continuous CI tools, testing and monitoring tools. Ability to mentor and develop team members, fostering a culture of continuous improvement.Strong problem-solving skills and attention to detail."
2511151,"Tech Alliance Marketing Engineer","https://jobs.smartrecruiters.com/Cyberark1/744000044909000-tech-alliance-marketing-engineer","Cyberark","Newton","No",4,"Full time","2025-03-01T16:45:25.529594Z","CyberArk is seeking a dynamic and skilled Technical Content Engineer to join our Technology Alliances team. This role is pivotal in developing and executing a comprehensive technical marketing content plan that supports our technology partnerships. The ideal candidate will be both a strategic thinker and a hands-on content creator, with a strong background in technical product marketing or alliances.In this role, you will be responsible for creating and maintaining a wide range of technical content, including solution briefs, demo videos, enablement materials, and product integration resources. Your work will drive engagement across CyberArks sales, technical teams, customers, and partners.Key Responsibilities: Develop and maintain technical content, including user guides, how-to videos, architecture diagrams, demo environments, solution briefs, whitepapers, press releases, blogs, and training materials for sales, customers, and partners. Create resources to help technology partners develop integrations, including technical guides, use cases, best practices. Support internal and external technical enablement by presenting in customer webinars, partner enablement sessions, and other client-facing activities. Manage and update content for CyberArks technology partners portal, providing access to integration resources, technical documentation, and go-to-market (GTM) content. Assist in crafting messaging and positioning that aligns with CyberArks value proposition, collaborate with partners to create GTM assets, and support go-to-market activities such as webinars. Partner with cross-functional teams, including product management, sales, and engineering, to gather insights and ensure accurate, impactful messaging. #LI-CT1 4+ years of experience in technical marketing, solution engineering, professional services, or a related field, with a focus on cybersecurity. Proven hands-on experience in creating technical content, demo videos, and enablement materials. Strong understanding of technology partnerships, integrations, and cybersecurity solutions. Proven ability to translate technical concepts into compelling marketing content. Excellent writing, editing, and communication skills. Experience managing content for partner portals or technical websites. Collaborative mindset with a focus on driving results through teamwork. CyberArk is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $79,000  $110,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2511149,"Accelerator Architect","https://jobs.smartrecruiters.com/Cyberark1/744000044939185-accelerator-architect","Cyberark","Newton","Yes",7,"Full time","2025-03-01T16:45:25.529613Z","As an Accelerator Architect at Venafi, youll be part of an extremely motivated, dedicated, and experienced team that protects many of the largest organizations in the world. Venafi is seeking a highly motivated, proactive, and customer-focused Accelerator Architect that can translate and deliver upon our customers business and technical Machine Identity Management needs. In this role you will demonstrate expertise with the Venafi Trust Protection Platform by preparing and delivering specialized solution workshops, evaluating existing business processes, proposing process improvements, and tracking the success of a customers Machine Identity Management program. An Accelerator Architect is responsible for ensuring the success of multiple customer accounts. You will serve as both a customer advocate within Venafi as well as a Venafi subject matter expert within the customer organization. Collaboratively maintaining close working relationships with all groups across the Venafi team, partner organizations, and customer organizations is crucial.  Machine Identity is a critical component of a secure enterprise and permeates every technology in the enterprise. As a result, a successful Accelerator Architect has wide-ranging experience with a variety of IT related technologies. As every organization shifts towards automated processes, cloud-technologies and DevOps methodologies, experience in these spaces become increasingly important. The ideal Accelerator Architect can demonstrate to developer and cloud teams how Machine Identity Management increases security posture, streamlines processes and is able to document patterns and blueprints to provide compelling solutions in this space. This role offers an opportunity to guide and advise in the emerging space of Machine Identity Management while leveraging existing technical knowledge across a wide variety of industry technologies. This is a remote position that will require approximately 20% travel to the customer sites and Venafi headquarters.  #LI-HA17+ years of consulting experience working within enterprise IT environments  A strong desire to drive success through technical mentorship and establishing effective working relationships with customers. Proven business acumen and ability to identify critical business problems to be solved and to articulate the solution to customers. Experience automating Machine Identity Management using the Venafi Trust Protection Platforms (Datacenter, TLSPC &amp; TLSPK) and integrating with critical customer technologies. Strong expertise with scripting and APIs for automation using PowerShell or other scripting languages (Go, Python, JavaScript, etc.) Experience with modern containerization and associated technologies such as Docker, Kubernetes, and OpenShift. Direct working experience with cloud technologies (Amazon AWS, Microsoft Azure, or Google Cloud). Proficiency with orchestration and CI/CD technologies such as Terraform, Ansible, Chef, Jenkins, etc. Experience with technologies that heavily use TLS/SSL encryption (e.g. F5, NetScaler, IIS, Apache, WebLogic, WebSphere, etc.) desirable. Excellent presentation, verbal, and written communications skills. Proven experience successfully working with sales, client IT, and client end-user groups in critical customer situations. What sets you apart? Technical understanding of the major cloud providers use of machine identities, native capabilities, multi-cloud environment architecture and hybrid environments. Previous experience in a consultative, sales engineer, or enterprise architect role. Software development training and experience. VSA certification. Industry recognized security certifications (CISSP) CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.
We are unable to sponsor or take over sponsorship of employment Visa at this time.
The salary range for this position is $99,000  $145,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
