"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2524446,"Senior Solutions Consultant - AdTech","https://jobs.smartrecruiters.com/Experian/744000045410715-senior-solutions-consultant-adtech","Experian","New York","Yes",5,"Full time","2025-03-01T16:45:26.749525Z","As a Senior Solutions Consultant for EMS Identity Solutions, reporting to the Director of Graph Solutions, you will help team efforts to win new business and service existing accounts by contributing important technical and product expertise. The Senior Solutions Consultant - AdTech will influence pre-sales strategy and configure and implement client data flows. You will become an expert in varying requirements and use cases across our broad portfolio of customers and develop the skills to apply EMS Identity Solutions to meet client goals best. Technical expertise and knowledge of digital marketing (AdTech) is necessary to explain details, answer questions, and architect solutions using EMS technology. In this client-facing role, you will work with the EMS Product Management and Engineering teams to create solutions and enhance EMS Identity products based on customer feedback and market demand. The Senior Solutions Consultant must explain the technology and product positioning to business and technical audiences while maintaining customer relationships.You are a technical product expert and AdTech solutions consultant during client meetings to explain core EMS Identity solutions and valueYou will be the technical contact for follow-up questions, integration, and pilot setup and provide documentationOrganize and provide responses to functional and technical elements of RFIs/RFPsManage client data ingestion process for pilots and testsEscalate, track, and solve client implementation issuesAccess internal systems and tools to fulfill requests for data and analysisBe the technical resource to support ongoing business development projectsDocument and report internally relevant marketplace insights and client requests to inform future product developmentGather technical requirements from clients and work with the product team to architect solutionsConfigure client solutions using standard EMS Identity products and work with relevant product and engineering teams to develop custom solutions within the product development framework whenever necessaryCreate reports and presentations to convey EMS value to prospects and clientsMaintain active relationships with main client team membersHelp train new employees on the technical aspects of our products and servicesYou will help identify and communication information both internally and externallyYou have 5+ years of experience as a Solutions Engineer with knowledge of the online media business and underlying technology, AdTech worldYou are comfortable with SQL and data analysisYou understand core internet/web technologies and digital marketing/advertising technologiesYou can ask critical questions to scope projects, qualify/disqualify opportunities, gather detailed product requirementsYou can create PowerPoint presentations and reports to convey EMS valueYou can handle multiple prospect accounts simultaneouslyBenefits/PerksGreat compensation package and bonus planCore benefits including full medical, dental, vision, and matching 401KFlexible schedule, ability to work remotely, hybrid, or in-officeFlexible time off, including volunteer time off, vacation, sick, and 12-paid holidaysOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people's agenda very seriously and focus on what matters: DEI, work/life balance, development, authenticity, engagement, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people-first approach is award-winning: Great Place To WorkTM in 24 countries, FORTUNE Best Companies to Work, and Glassdoor Best Places to Work (globally 4.4 Stars), to name a few. Check out Experian Life on social media or our careers site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, color, sexuality, physical ability, or age. If you have a disability or special need that requires accommodation, please let us know as soon as possible.#LI-Hybrid"
2524445,"Lead Software Engineer","https://jobs.smartrecruiters.com/Experian/744000045409800-lead-software-engineer","Experian","Austin","No",3,"Full time","2025-03-01T16:45:26.749629Z","Experian's contact center technology team is at the forefront of innovation and is dedicated to creating the latest solutions that enhance customer interactions. We are looking for an experienced Lead Software Development Engineer to join our dynamic team and lead the development of Intelligent Virtual Assistant (IVA) customer experiences using natural language processing (NLP) and machine learning (ML) technologies.This role is ideal for someone who excels and has experience managing large-scale projects, collaborating with cross-functional teams by making data-driven decisions. You will report to the Director Customer Experience Engineering.Responsibilities:You will design, develop, and maintain scalable and maintainable software systems using Groovy, Python, and Java.You will collaborate with product managers and internal customers to define new solutions to increase containment, consumer satisfaction and implement new features for Intelligent Virtual Assistant (IVA) applications.You can conduct code reviews and ensure adherence to best practices for software development, including testing and documentation.You will provide technical guidance and mentorship to junior developers, promoting a collaborative team environment.You can assess and optimize the performance of IVA applications, ensuring performance and responsiveness.You will implement and maintain CI/CD pipelines to automate the build, test, and deployment processes.You can troubleshoot and resolve complex technical issues, ensuring the stability and reliability of the software.You will create comprehensive technical documentation for developed features, configurations, and systems.You have 3 to 5 years of relevant product or engineering experience, with a focus on Amelia and NICE CXone.You are proficiency in Groovy and Python. Experience in Java. In-depth understanding of AWS technologies such as DynamoDB and Lambda. Experience with tools like Git, Insomnia, VS Code, and Co-Polit.You will participation in an on-call rotation is required.Familiarity with CI/CD pipelines and tools like Jenkins or GitLab CI.Understanding of microservices architecture and RESTful API design.Knowledge of security best practices and tools for secure software development.Benefits/PerksGreat compensation package and bonus planCore benefits including full medical, dental, vision, and matching 401KFlexible schedule, ability to work remotely, hybrid, or in-officeFlexible time off, including volunteer time off, vacation, sick, and 12-paid holidaysAdditional InformationOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people's agenda very seriously and focus on what matters: DEI, work/life balance, development, authenticity, engagement, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people-first approach is award-winning: Great Place To WorkTM in 24 countries, FORTUNE Best Companies to Work, and Glassdoor Best Places to Work (globally 4.4 Stars), to name a few. Check out Experian Life on social media or our careers site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, regardless of gender, ethnicity, religion, color, sexuality, physical ability, or age. If you have a disability or special need that requires accommodation, please let us know as soon as possible.#LI-Hybrid"
2522202,"Lead Product Designer","https://jobs.smartrecruiters.com/Experian/744000045156395-lead-product-designer","Experian","London","No","Not specified","Full time","2025-03-01T16:45:26.749665Z","We're looking for a Lead Product Designer to help consumers better understand, improve and monitor their credit score and report.Reporting to the Head of Product Design, you will create exceptional experiences, and manage a small team of designers. You'll be a part of the design leadership team shaping the design team's culture and enhancing design thinking across the organisation.You will partner with the Head of Product for your area of the product to define the UX strategy, roadmap, and direction. You will also lead and inspire a team of designers within their cross-functional product teams. You will collaborate with product managers, engineers, researchers, and product marketing to define and iteratively deliver the vision and design strategy for your product domain. Responsibilities Define and lead work across the full end-to-end product design process. You're comfortable working in both of the ""diamonds"" from discovery (qual and quant research, workshops, journey, system and empathy maps) to delivery (Prototypes, AB tests, High fidelity designs) and everything in between.Conduct regular 1:1s and informal interactions to understand your direct reports' personal and professional goals, helping them set clear and realistic goals.Support your team of designers within their cross-functional product teams to navigate complex design challenges by sharing your expertise.Facilitate design critiques, collaborative workshops, and refine processes and rituals to spread design thinking and customer centricity.Understand the product strategy and priorities and define and develop creative solutions to get there.Proven experience working in-house within cross functional, Agile product teams on software products that address complex user needsA portfolio showcasing your strategy and process - not just the final solution, showing an understanding of the problem space, a design approach with hypotheses and clear measures of success on top of the final executionGood stories to tell about mentoring or managing designers, and how you have helped others achieve their goals.Experience consuming from and contributing to existing design systems, Figma is desirable.Experience designing for and building exceptional native apps (iOS or Android) and responsive web designs.Benefits package includes:Flexible hybrid workingGreat compensation and bonus schemeCore benefits include pension, Bupa healthcare, Sharesave scheme and more25 days annual leave with 8 bank holidays and 3 volunteering days. You can purchase additional annual leave.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.#LI-DS1 #LI-HybridExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
2522201,"Technical Support Analyst with French (1st line)","https://jobs.smartrecruiters.com/Experian/744000045190084-technical-support-analyst-with-french-1st-line-","Experian","Sofia","No","Not specified","Full time","2025-03-01T16:45:26.749696Z","You will provide the service support of Decision Analytics software applications to all EMEA clients during the agreed Service Hours and to log all issues into the support incident management software and work with the dedicated support teams to provide effective resolution to clients. You will report into the Customer Service Manager.What you will do:Be a first point of contact for internal users and external users;Participate in the management &amp; Incident desk functions to support DA Software and Hosted Solutions;Incident desk - Logging, management, escalation, prioritization, and communication back to end-users;Ensure all services are delivered within the agreed service levels and performance standards;Provide clients with monthly reports related to both Hunter and Transact utilisation;Assist the service manager in the creation, implementation and management of SLA's and OLA's for both internal and external clients.We look for you to bring:High level of French language;High level of English language;Client focus - readiness to listen and respond to Client issues and requests;Readiness to develop close relationships with other teams and external clients;Strong communication skills;Previous Service Desk experience;Experience with analysis of reported issues and logging as either Incidents or requests;Familiarity with Service Desk User Manual.What you will get:Work environment - excellent work conditions with friendly environment, recognized strong team spirit, and fun and quality recreation time.Social benefits package including life insurance, food vouchers, additional health insurance for you and a family member, monthly flex allowance including internet bill coverage, sick leave allowance, corporate discounts, marriage and childbirth / adoption allowance, Multisport card, Sharesave plan, Employee assistance program,  birthday gift and many more!Work-life balance - 25 days paid vacation, 1 additional day off for your birthday and extra 3 paid days for participation in social responsibility events.Opportunity for flexible working hours and home office.Personal Development - career pathways for professional growth supported by learning and development programmes and unlimited access to online educational training courses, learning materials &amp; books.Experian is an Equal opportunity employer. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.#LI-HybridExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
2522199,"Technical Support Analyst with Italian (1st line)","https://jobs.smartrecruiters.com/Experian/744000045189472-technical-support-analyst-with-italian-1st-line-","Experian","Sofia","No","Not specified","Full time","2025-03-01T16:45:26.749728Z","You will provide the service support of Decision Analytics software applications to all EMEA clients during the agreed Service Hours and to log all issues into the support incident management software and work with the dedicated support teams to provide effective resolution to clients. You will report into the Customer Service Manager.What you will do:Be a first point of contact for internal users and external users;Participate in the management &amp; Incident desk functions to support DA Software and Hosted Solutions;Incident desk - Logging, management, escalation, prioritization, and communication back to end-users;Ensure all services are delivered within the agreed service levels and performance standards;Provide clients with monthly reports related to both Hunter and Transact utilisation;Assist the service manager in the creation, implementation and management of SLA's and OLA's for both internal and external clients.We look for you to bring:High level of Italian language;High level of English language;Client focus - readiness to listen and respond to Client issues and requests;Readiness to develop close relationships with other teams and external clients;Strong communication skills;Previous Service Desk experience;Experience with analysis of reported issues and logging as either Incidents or requests;Familiarity with Service Desk User Manual.What you will get:Work environment - excellent work conditions with friendly environment, recognized strong team spirit, and fun and quality recreation time.Social benefits package including life insurance, food vouchers, additional health insurance for you and a family member, monthly flex allowance including internet bill coverage, sick leave allowance, corporate discounts, marriage and childbirth / adoption allowance, Multisport card, Sharesave plan, Employee assistance program,  birthday gift and many more!Work-life balance - 25 days paid vacation, 1 additional day off for your birthday and extra 3 paid days for participation in social responsibility events.Opportunity for flexible working hours and home office.Personal Development - career pathways for professional growth supported by learning and development programmes and unlimited access to online educational training courses, learning materials &amp; books.Experian is an Equal opportunity employer. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.#LI-HybridExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
2522197,"Agile Software Developer Engineer","https://jobs.smartrecruiters.com/Experian/744000045200387-agile-software-developer-engineer","Experian","Heredia","Yes",2,"Full time","2025-03-01T16:45:26.749761Z","We are looking for an Agile Developer II to join our development team. You will analyze, develop, and maintain software applications using .NET, React.js, Kubernetes, and other modern technologies. You will collaborate with teams, operates under direct supervision in a structured environment, and receives detailed instructions.Job ResponsibilitiesSoftware DevelopmentAnalyze, develop, code, and implement programs in one or more programming languages.Modify existing programs, prepare test data, and provide program specifications.Troubleshoot and resolve issues in both applications and databases.Test &amp; Quality AssuranceBuild given test scripts, record results, and report issues.Assess the health and performance of software applications and databases.Collaboration &amp; ResearchMaintain relationships with departments, customers, and IT subject matter experts to stay updated on project direction, risks, and technical challenges.Provide research support, advising on system impacts, business process understanding, and technology optionsDatabase &amp; Cloud ResponsibilitiesImplement basic SQL concepts, ensuring optimized queries and indexing (Microsoft SQL Server &amp; T-SQL).Work with NoSQL/document databases (e.g., MongoDB, DynamoDB).Use Cloud Technologies (AWS preferred) for deployment and infrastructure management.Agile &amp; DevOps PracticesParticipate in Agile processes (sprint planning, stand-ups, retrospectives).Apply best practices in CI/CD, container orchestration (Kubernetes, OpenShift), and Infrastructure as Code (Terraform/CloudFormation).GeneralBachelor's degree in computer science or related field or equivalent experience.0  2 years of experience in a computing environment.Basic programming skills in one or more languages and operating environments.Basic software engineering knowledge, including testing, source control, and Agile planning.RequiredProficiency in .NET Framework and .NET Core / ASP.NET Core.Experience in design principles such as SOLID and GRASP.Hands-on experience in WebForms, MVC, and C# development.Proficiency with Visual Studio (2022 or later) and Git for version control.Familiarity with Kubernetes and OpenShift for container orchestration.Basic SQL knowledge with experience in joins, indexing, normalization, and query performance tuning.Understanding of RESTful APIs, microservices architecture, and securit5y best practices.Cloud experience with AWS or Azure (deployment, infrastructure management).US healthcare industry experience (HIPAA compliance, EDI, FHIR, or HL7).Experience with VB.NET in legacy or hybrid applications.Exposure to NoSQL and document databases (e.g., MongoDB, DynamoDB, or Cosmos DB).Familiarity with serverless computing and event-driven architectures.Knowledge of Azure DevOps, GitHub Actions, Jenkins, or similar CI/CD tools.Docker for containerization and message brokers (RabbitMQ, Kafka).Monitoring tools such as Prometheus, Grafana, and AWS CloudWatch.This is a permanent home-based role in Costa Rica. No Visa sponsorship or relocation available.**Our benefits include: Medical, life and dental insurance, Asociacin Solidarista, International Share Save Plan, Flex Work/Work from home, Paid time off, Annual Performance Bonus, Education Reimbursement, Family Bonding, Bereavement Leave, Referral Program, and more.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Our goal is to create a successful, inclusive and diverse team where people love their work and love working together. We believe that diversity, equity and inclusion is important to our purpose of creating a better tomorrow. We value the uniqueness and want you to bring your whole, authentic self to work. For us, this is The Power of YOU and it ensures that we live what we believe.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here#LI-REMOTE #LI-SA1"
2522196,"PV | Full External Sales Executive in Taubaté/SP","https://jobs.smartrecruiters.com/Experian/744000045228995-pv-executivo-a-de-vendas-externas-pleno-em-taubate-sp","Experian","São Paulo","No","Not specified","Full time","2025-03-01T16:45:26.749791Z","B2B Customer Prospeco: Identify and approach potential customers forming a slight wallet. Wallet Manteno: Maintain an active customer wallet, offering excellence service and ensuring loyalty. established goals.Mobility: have a proper vehicle for displacement in the region. Customer Prospecies Planning Plastgest Management Plasting in the adchircity -Facility segment with Processesa Serasa Experian much more than you imagine. With the purpose of creating a better future, expanding opportunities for people and businesses, in Brazil we are more than 4,000 people who work in various teams and specialties. Here, every knowledge and diversity is complemented and you can work on what you love most, we are committed to building an inclusive culture and an environment in which people can balance their career with their personal commitments and interests, valuing well-being. People are greatly devoted to being one of the best and most innovative companies to work from PAS, enabling experiences and amazing careers for our people. Our strong approach to people in the first place recognized externally through various market certifications: we were awarded by the Great Place to Worktm in 24 countries and the Top Employers international certification, as well as being recognized as one of the best companies for young professionals and having an assessment of 4.6 in Glassdoor. Each recognition tells us that we are on the right track, providing an increasingly better work environment for our talents. Come be #timeveloz! Let's grow together! We really want to contribute to the growth of those around us. Our purpose? Improve lives, share dreams and achievements."
2522195,"Senior Product Manager","https://jobs.smartrecruiters.com/Experian/744000045242475-senior-product-manager","Experian","Costa Mesa","Yes",5,"Full time","2025-03-01T16:45:26.749819Z","As a Product Manager on the Analytics team, you will create the strategy of our analytics platforms. You will report to the Senior Director of Product Management and will collaborate with teams to create solutions that meet market demands and customer expectations. We are looking for a blend of strategy and technical expertise. As a Product Manager, you will be reporting to the Senior Director of Organization Effectiveness.Responsibilities:Define and communicate the product strategy for the incremental feature on the platformConduct market research and analysis to identify opportunities and threats.Develop and maintain a product roadmap that aligns with our goals and customer needs.Lead the end-to-end product development lifecycle, from ideation to launch.Collaborate with engineering, design, data science, and other teams to deliver high-quality products on time.Prioritize features, enhancements, and bug fixes based on customer feedback and prioritiesHigh degree of empathy to engage with customers to understand their needs, pain points, and feedback.Translate customer insights into relevant product requirements and features.Monitor product performance and usage metrics to inform continuous improvement.Work with sales, marketing, and customer support teams to ensure successful product launches and adoption.Communicate product updates, strategy, and performance to senior leadership and team members.Develop and deliver product training and support materials for internal teams and customers.Evaluate new technologies, trends, and market opportunities to drive product innovation.Foster a culture of continuous learning and improvement within the product team.Lead efforts to expand the platform capabilities and market presence.Bachelor's degree in Business, Engineering, or a related field5+ years of product management experience in the technology, data analytics, or software industriesExperience managing and launching complex productsExperience defining and tracking metrics that measure the success of products to make quick and data-driven decisionsExperience with data analytics, machine learning, and artificial intelligence technologiesExperience with Agile development methodologies and toolsBenefitsHealth, Dental, Vision Insurance401k match up to 4%Remote work environment #li-remoteOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity."
2522194,"Full Quality Guarantee Analyst - Affirmative vacancy for women","https://jobs.smartrecruiters.com/Experian/744000045250475-analista-de-garantia-de-qualidade-pleno-vaga-afirmativa-para-mulheres","Experian","Blumenau","No","Not specified","Full time","2025-03-01T16:45:26.749850Z","Plan, design, document and implement cases of manual and automated tests; Create and perform automated tests and analyze results; Assist in the execution of manual tests; Develop and maintain test scripts using selenium, Cucumber, Playwright, Flutter, Cypress and/or Postman; Using GIT to version automation cdiges/scripts; I use tools such as task monitoring and bugs; use of test planning and management tools; ensure that quality requirements are met at all stages of product development; to be the quality guard in the team and project, evangelizing quality culture for people and the customer. Experience with test automation tools such as REST Assure, Selenium, Cucumber, Playwright, Flutter, Cypress and/or Postman; Automation Script Skill and Create Automated Test Subs; Crypt, used in test automation; this is an affirmative position for women, as part of our commitment to the advancement of gnero equity in the workplace. In addition, we join the movement 'They lead 2030, and we united UN Women to reduce the inequality of GNERO AT 2030 !! We also have the Women in Experian group that seeks to improve the gnero equity for women, creating development opportunities, different perspectives, skills, among others. Be part of this transformation! If you do not identify with this group, we invite you to explore other opportunities in our careers. We have several vacancies that can connect with your profile and interests.Experian Careers - Creating A Better Tomorrow Togetherfind Out Whats Like to Work for Experian by Clicking Here"
2522193,"PV | Senior Legal Operations Analyst","https://jobs.smartrecruiters.com/Experian/744000045250905-pv-analista-de-operacoes-juridicas-senior","Experian","Blumenau","No","Not specified","Full time","2025-03-01T16:45:26.749879Z","Responsible to accompany, read, interpret and treat offenses, receipted through the regulatory rgos BC Post Office, Sisbajud or any other means, whether physical or electronic.Curbs lock, unlocking and judicial transfers received via sisbajud. and transfer of values ​​to meet the judicial determinations. It should be valued for the correct response and within the deadlines of requests, always with data security and bank confidentiality, reporting the company and scaled any difficulty in meeting the requests. As well as contributing to suggestions for evolution and improvements to be implemented in the department. Actively work in the process improvement of processes and familiarity with projects. Have legal knowledge (forming, formed, or proven experience) knowledge of circular letters, normatives and resolutions necessary for the activity (eg circular letter 3454) has acted in financial institutions, or payment institutions an experience in administrative routines in the analysis of the analysis and response to authorities in the breach of confidentiality. JIRA, or the like Facility of Communication and Good Interpersola Relationship Serasa Experian much more than you think. With the purpose of creating a better future, expanding opportunities for people and businesses, in Brazil we are more than 4,000 people who work in various teams and specialties. Here, every knowledge and diversity is complemented and you can work on what you love most, we are committed to building an inclusive culture and an environment in which people can balance their career with their personal commitments and interests, valuing well-being. People are greatly devoted to being one of the best and most innovative companies to work from PAS, enabling experiences and amazing careers for our people. Our strong approach to people in the first place recognized externally through various market certifications: we were awarded by Great Place to Worktm in 24 countries and the international Top Employer certification, besides being recognized as one of the best companies for young pr #li-hybridvm be #timeveloz! Let's grow together! We really want to contribute to the growth of those around us. Our purpose? Improve lives, share dreams and achievements."
