"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2769719,"Gruppchef Byggkonstruktion","https://jobs.smartrecruiters.com/AFRY/744000053101441-gruppchef-byggkonstruktion","Afry","Örnsköldsvik","No","Not specified","Full time","2025-04-11T01:55:05.230350Z","Nu sker vi en engagerad gruppchef till vr grupp inom Byggkonstruktion i rnskildsvik. Du rapporterar till sektionschefen och tillsammans leder och driver vi verksamheten framt.Som gruppchef r ditt frmsta uppdrag att vara en god ledare fr gruppens medarbetare men ven att bearbeta marknaden i norra Sverige fr att hitta nya kunder. I din roll som ledare ingr att skapa engagemang och motivation, liksom frutsttningar fr medarbetare att kunna utvecklas och ta eget ansvar. Du har ocks en viktig uppgift att forma ett positivt arbetsklimat och en dynamisk arbetsplats dr ml, arbetsuppgifter med tillhrande ansvar r tydligt och dr man samtidigt har roligt och utvecklas. Detta r en tjnst med stor frihet att bygga upp, driva vidare och utveckla gruppen med befogenhet ver gruppens tillvxt, rekrytering, personal, kunder och marknadsfring. Du har fullt personalansvar vilket innebr; rekrytering, utveckling, lnesttning etc.Fr rtt person finns stora mjligheter till personlig utveckling att fortstta utvecklas inom AFRY. Du ingr i sektionens ledningsgrupp tillsammans med flera andra gruppchefer i ett nra samarbete som prglas av tillit och arbetsgldje. Din chefsroll kombinerar du med att ven sjlv arbeta som konsult, frslagsvis som konstruktr.Vi sker dig som brinner fr teamutveckling, njda kunder och har ett stort intresse fr att mta svl pgende som kommande byggprojekt i Norr!Vi tnker att du som person r den som skapar sjlvdrivande medarbetare och har ett innefattande ledarskap. Du visar stort engagemang och r en trygg beslutsfattare, som uthlligt driver organisationen framt med en god kommunikativ frmga. Tempot r emellant hgt och det r viktigt att du kan planera och strukturera svl gruppens arbete som ditt eget. I din roll r det viktigt att du r engagerad, tydlig, strukturerad och tycker om att driva frndringar.Vra vrdefulla medarbetare och fina gemenskap r den viktigaste kraften bakom framgng, s vi lgger stor vikt vid att du r en lyhrd, inkluderande ledare med hg integritet och stark moralisk kompass.Fr denna roll ser vi grna att du har mngrig erfarenhet frn branschen som konsult, entreprenr eller bestllare, r en fena p att gra affrer och r vl infrstdd i konsultaffren.Du som sker har en akademisk utbildning med teknisk inriktning eller annan likvrdig arbetslivserfarenhet.Vi ser ven att du behrskar svenska och engelska obehindrat och har ltt fr att uttrycka dig i tal och skrift.Vi sker dig som vill vara en del av AFRYs framgngssaga. Brinner du fr teknisk utveckling? Gillar du att samarbeta fr att hitta den bsta lsningen? D kan vi erbjuda dig karrirmjligheter p en modern arbetsplats med utmanande arbetsuppgifter och spnnande projekt vrlden ver.AFRY r rankat som en av Sveriges mest populra arbetsgivare bland ingenjrer. Hos oss r du med och utvecklar innovativa och hllbara lsningar inom infrastruktur, energi och industri. Just nu sker vi marknadens vassaste kompetens som tillsammans med oss vill skapa framtidens samhlle. Vi hoppas ocks att du kommer lra dig lika mycket av oss som vi kommer gra av dig.Ansk senast 18 Maj 2025Kontaktuppgifter fr frgorNiklas Svensson, Sektionschef Buildings
CM, PM, Structural Engineering+46 10 505 78 66
niklas.d.svensson@afry.comP AFRY driver vi frndring i allt vi gr. Vi anser att frndring sker nr modiga ider mts, nr vi samarbetar, skapar innovation och omfamnar kreativa lsningar, det r s vi skapar framtiden. Vi sker konstant kvalificerade kandidater som vill ansluta sig till vra inkluderande  team runt om i vrlden. Bli en del av oss och pskynda den grna omstllningen"
2769718,"Kontroler projektu / Project controller","https://jobs.smartrecruiters.com/AFRY/744000053130295-kontroler-projektu-project-controller","Afry","Poznań","No","Not specified","Full time","2025-04-11T01:55:05.230441Z","Twoja rola Jako czonek zespou zarzdzania projektami w AFRY bdziesz mia(a) moliwo pracy nad zrnicowanymi i wymagajcymi zadaniami, ktre maj realny wpyw na otoczenie. W ramach Design Center bdziesz wsppracowa z wysoko wykwalifikowanymi specjalistami ze Szwecji, wykorzystywa nowoczesne technologie i odgrywa kluczow rol w dostarczaniu innowacyjnych rozwiza dla naszych klientw. Wane jest, aby by graczem zespoowym, lubi pracowa z osobami o rnych kompetencjach oraz by otwarty na nauk nowych rzeczy. O zespole w Szwecji W Twoim przyszym zespole Szwecji mamy obecnie dziewiciu kontrolerw finansowych projektw, ktrzy wsppracuj przy najwikszych przedsiwziciach AFRY w obszarze infrastruktury. Zakres naszych zada obejmuje zarwno etap planowania, jak i wykonanie dokumentacji projektowej na potrzeby produkcji. Zwykle pracujemy w dwuosobowych zespoach przypisanych do rnych projektw, a kady kontroler finansowy obsuguje od 2 do 4 biecych projektw. Jako kontroler finansowy projektu bdziesz kluczowym wsparciem oraz czonkiem zespou zarzdzania projektem, dostarczajc interesariuszom, menederom projektw oraz zarzdowi informacje na temat sytuacji ekonomicznej projektu. Kluczowe obowizkiMonitorowanie budetu projektu, prognozowanie kosztw i budetu, analiza wartoci wypracowanej (EVA)Przygotowywanie zleconych dokumentw wymaganych przy fakturowaniu, raportw finansowych, dziennikw informacji zarzdczych dla inwestorw i kierownikw projektwWykonywanie koniecznych dziaa administracyjnychBezporedni kontakt z klientem wewntrznym i zewntrznymWsppraca z pozostaymi dziaami spkiOczekujemy, e posiadasz:Wyksztacenie wysze w dziedzinie ekonomiiOd 2 do 5 lat dowiadczenia w ekonomii, ze szczeglnym uwzgldnieniem zarzdzania duymi zbiorami danychDobr znajomo jzyka angielskiego (minimum poziom B2 wedug CEFR)Bardzo dobr znajomo programw MS Office, w szczeglnoci Excela (w tym tabel przestawnych, funkcji z zakresu PowerPivot oraz baz danych)atwo w nawizywaniu kontaktw i umiejtno pracy w zespole oraz wysok dokadno i skrupulatno w pracyMile widziane, jeli masz:Dowiadczenie w pracy za granic, zwaszcza przy projektach w krajach nordyckichDowiadczenie z oprogramowaniem MaconomyZnajomo narzdzi takich jak Power BI, PivotTable oraz PivotChartsUmiejtno pisania prostych makrZnajomo jzyka szwedzkiegoOsobom, ktre docz do naszego zespou oferujemy:Zatrudnienie na podstawie umowy o pracUczestnictwo w ciekawych midzynarodowych projektachPrzyjazne rodowisko pracy w midzynarodowym zespole inynierwWynagrodzenie adekwatne do posiadanych kwalifikacjiDostp do nowoczesnych narzdzi informatycznychCige podnoszenie kwalifikacji zawodowychwiadczenia socjalnePakiety medyczneKart sportowPROSIMY ZACZA CV W JZYKU ANGIELSKIMW codziennej pracy, w AFRY, nie boimy si odwanych pomysw wprowadzajcych zmiany w wiecie inynierii. Wsppraca z nami opiera si na ambitnych punktach widzenia oraz wprowadzaniu nowych technologii. W ten sposb tworzymy przyszo. Poszukujemy wykwalifikowanych kandydatw, ktrzy docz do naszych zespow na caym wiecie i pomog nam wsplnie przej do zrwnowaonej przyszoci."
2764258,"Erfaren ritningsgranskare till försvarsindustrin ","https://jobs.smartrecruiters.com/AFRY/744000053040862-erfaren-ritningsgranskare-till-forsvarsindustrin-","Afry","Örnsköldsvik","No","Not specified","Full time","2025-04-11T01:55:05.230471Z","Vi ser just nu behov hos vr nra kund som levererar avancerade, tekniska lsningar inom frsvar, flyg och skerhet med fokus p utveckling, tillverkning och support fr vrldsmarknadenVi sker drfr en ritningsgranskare som har kunskaper inom standarder fr form och lgestoleranser och har erfarenhet att granska ritningsunderlag i enlighet med gllande ISO standarder. Du har uppdaterade kunskaper gllande produktionsprocesser och god frmga kommunicera och inhmta rd frn kollegor utanfr ditt arbetsomrde. Detta fr att  kunna avgra om producerbarhet r rimlig i frga om kvalitet och kostnad.Vi ser helst att du har erfarenhet frn tillverkande industri i roller inom produktionsteknik, kvalitetsteknik, produktutveckling eller NPI. Du har god kommunikationsfrmga, samt r en detaljorienterad och strukturerad person. Du som sker skall ha goda kunskaper i svenska och engelska, bde i tal och i skrift.Fr vissa av vra kunder r det obligatoriskt med skerhetskontroll och drogtest, vilket du mste vara bekvm med. Fr att vara aktuell fr denna tjnst mste du ven ha svenskt medborgarskap.Fr frgor gllande tjnsten, teamet och din framtida chef, kontakta Business Section Manager Jonas Enberg, jonas.enberg@afry.comFr frgor gllande rekryteringsprocessen, kontakta Rekryteringspartner Fanny Sjdell, fanny.sjodell@afry.comVi har ej mjlighet att ta emot anskningar via e-post. Var medveten om att vi tillstter rollen lpande.Vlkommen med din anskan !P AFRY driver vi frndring i allt vi gr. Vi anser att frndring sker nr modiga ider mts, nr vi samarbetar, skapar innovation och omfamnar kreativa lsningar, det r s vi skapar framtiden. Vi sker konstant kvalificerade kandidater som vill ansluta sig till vra inkluderande  team runt om i vrlden. Bli en del av oss och pskynda den grna omstllningen"
2764256,"Health & Safety Project Specialist","https://jobs.smartrecruiters.com/AFRY/744000053051436-health-safety-project-specialist","Afry","Gothenburg","No","Not specified","Full time","2025-04-11T01:55:05.230500Z","AFRY:s uttalade satsning mot Processindustrin ger oss mjligheter att rekrytera ytterligare eftersom vi har mnga intressanta projekt och uppdrag framfr oss. I affrsomrdet Process Industry Sverige har vi samtliga discipliner och teknisk kompetens som krvs fr att driva EPCM-projekt i processindustrin. Detta ger oss en bred kompetens att marknadsfra gentemot vra kunder och mjligheter att ta strre in-house projekt. Project Management Office (PMO) r idag ett team med 60+ hrliga kollegor med placering ver hela landet. Vi driver och hjlper vr organisation med projektledning, planering, dokumentkontroll, ekonomisk uppfljning, inkp, teknisk ledning samt samordning av hlsa, milj och skerhet (HSE). Personal inom PMO tillhandahller ven tekniska tjnster utanfr stora projekt dr vr expertis behvs.Fr att genomfra vr strategi fr framtiden vill vi nu vidareutveckla PMO genom att rekrytera Health &amp; Safety Project Specialist. Vi rekryterar till en tjnst med placering i Stockholm och Gteborg. Vissa resor r att frvnta och baseras p kundens behov och projektort.Du kommer ing i ledningen av vra strre projekt som ansvarig fr hlsa och skerhet och rapporterar till huvudprojektledaren. Du kommer ocks att stdja mindre projekt dr det ligger i linje med PMO:s vergripande strategi. I linjen rapporterar du till chef fr HSE management inom PMO.Som Health &amp; Safety Project Specialist kommer du leda och koordinera H&amp;S disciplinen i en rad olika slags multidisciplinra projekt inom processindustri. Du har mjlighet att stdja projekt i deras utvecklingsfas som H&amp;S specialist. Detta innebr allt ifrn att skapa arbetsmiljplaner utifrn AFRY standarder och lagstiftning, gra riskbedmningar, hlla utbildningar, genomfra interna revisioner till att koordinera H&amp;S aktiviteter fr entreprenrer p en site.Du har flera rs erfarenhet inom arbete med Hlsa och Skerhet, frdelaktigt inom strre industriprojekt.Du har en bred H&amp;S-erfarenhet, viss erfarenhet av processkerhet, teknisk skerhet, maskinskerhet och/eller byggskerhet r mycket nskvrt.Har hgt skerhetsfokus och kan agera som ambassadr fr att genomfra en stark skerhetskultur i vr organisation och inom vra projekt.Du r en driven person som tar egna initiativ och kan jobba sjlvstndigt men ven gillar att samarbeta med kollegor och olika intressenter.Du r strukturerad och ordningsam.Du r coachande i din ledarstil och har bra mnniskoknnedom.Du har erfarenhet av att arbeta med program i Office 365.Det r viktigt att du r intresserad av att bygga kontakter bde internt och externt samt att du r lyhrd och kommunikativ fr att kunna vrda de kontakterna p bsta stt. Att dela med dig av dina kunskaper till kunder och kollegor r en sjlvklarhet. Hos oss blir du delaktig i ett varierande arbete med tta kundkontakter. Vi frutstter att du har krkort B d resor r en naturlig del av din roll och att du behrskar bde svenska och engelska bra i svl tal som skrift. Vi erbjuder dig:Fast ln och kollektivavtalFlexibel arbetsmilj med frihet och ansvar fr att uppn en sund balans mellan arbete och privatliv.Utbildningsmjligheter via AFRY Academy: vr in-house utbildningsplattformClub AFRY  vr personalfrening med mjligheter till olika idrotts och kulturevenemang, stugbokning, skidresor mm.Mngfald av intressanta arbetsuppgifter och stora mjligheter att frdjupa din expertis inom ett specifikt omrde eller bredda dina kunskaper till nya omrden, efter dina egna intressen. Vi stdjer din karrirutveckling och professionella tillvxt.P AFRY driver vi frndring i allt vi gr, frn de lsningar vi skapar till hur vi upprtthller en hlsosam balans mellan arbete och fritid. Vi gr detta med ett hgre syfte, att pskynda vergngen mot ett hllbart samhlle. Det r s vi formar framtiden.Med vr starka ingenjrsarv och expertis inom olika branscher har vi en unik position fr att ta itu med ngra av vrldens mest komplexa utmaningar. Men det som verkligen gr oss unika r hur vi gr saker, vad som ligger bakom vra lsningar och vr fretagskultur. Ls mer p: https://afry.com/en/about-us Vlkommen med din anskan, sista anskningsdag r 2025-05-04

Kontaktperson fr frgor:
Eric Sanderson, Project Leader HSE
eric.sanderson@afry.com

Vi undanber oss direktkontakt med bemannings- och rekryteringsfretag samt sljare av ytterligare jobbannonser.P AFRY driver vi frndring i allt vi gr. Vi anser att frndring sker nr modiga ider mts, nr vi samarbetar, skapar innovation och omfamnar kreativa lsningar, det r s vi skapar framtiden. Vi sker konstant kvalificerade kandidater som vill ansluta sig till vra inkluderande  team runt om i vrlden. Bli en del av oss och pskynda den grna omstllningen"
2764254,"Health & Safety Project Specialist","https://jobs.smartrecruiters.com/AFRY/744000053054171-health-safety-project-specialist","Afry","Stockholm","No","Not specified","Full time","2025-04-11T01:55:05.230528Z","AFRY:s uttalade satsning mot Processindustrin ger oss mjligheter att rekrytera ytterligare eftersom vi har mnga intressanta projekt och uppdrag framfr oss. I affrsomrdet Process Industry Sverige har vi samtliga discipliner och teknisk kompetens som krvs fr att driva EPCM-projekt i processindustrin. Detta ger oss en bred kompetens att marknadsfra gentemot vra kunder och mjligheter att ta strre in-house projekt. Project Management Office (PMO) r idag ett team med 60+ hrliga kollegor med placering ver hela landet. Vi driver och hjlper vr organisation med projektledning, planering, dokumentkontroll, ekonomisk uppfljning, inkp, teknisk ledning samt samordning av hlsa, milj och skerhet (HSE). Personal inom PMO tillhandahller ven tekniska tjnster utanfr stora projekt dr vr expertis behvs.Fr att genomfra vr strategi fr framtiden vill vi nu vidareutveckla PMO genom att rekrytera Health &amp; Safety Project Specialist. Vi rekryterar till en tjnst med placering i Stockholm och Gteborg. Vissa resor r att frvnta och baseras p kundens behov och projektort.Du kommer ing i ledningen av vra strre projekt som ansvarig fr hlsa och skerhet och rapporterar till huvudprojektledaren. Du kommer ocks att stdja mindre projekt dr det ligger i linje med PMO:s vergripande strategi. I linjen rapporterar du till chef fr HSE management inom PMO.Som Health &amp; Safety Project Specialist kommer du leda och koordinera H&amp;S disciplinen i en rad olika slags multidisciplinra projekt inom processindustri. Du har mjlighet att stdja projekt i deras utvecklingsfas som H&amp;S specialist. Detta innebr allt ifrn att skapa arbetsmiljplaner utifrn AFRY standarder och lagstiftning, gra riskbedmningar, hlla utbildningar, genomfra interna revisioner till att koordinera H&amp;S aktiviteter fr entreprenrer p en site.Du har flera rs erfarenhet inom arbete med Hlsa och Skerhet, frdelaktigt inom strre industriprojekt.Du har en bred H&amp;S-erfarenhet, viss erfarenhet av processkerhet, teknisk skerhet, maskinskerhet och/eller byggskerhet r mycket nskvrt.Har hgt skerhetsfokus och kan agera som ambassadr fr att genomfra en stark skerhetskultur i vr organisation och inom vra projekt.Du r en driven person som tar egna initiativ och kan jobba sjlvstndigt men ven gillar att samarbeta med kollegor och olika intressenter.Du r strukturerad och ordningsam.Du r coachande i din ledarstil och har bra mnniskoknnedom.Du har erfarenhet av att arbeta med program i Office 365.Det r viktigt att du r intresserad av att bygga kontakter bde internt och externt samt att du r lyhrd och kommunikativ fr att kunna vrda de kontakterna p bsta stt. Att dela med dig av dina kunskaper till kunder och kollegor r en sjlvklarhet. Hos oss blir du delaktig i ett varierande arbete med tta kundkontakter. Vi frutstter att du har krkort B d resor r en naturlig del av din roll och att du behrskar bde svenska och engelska bra i svl tal som skrift. Vi erbjuder dig:Fast ln och kollektivavtalFlexibel arbetsmilj med frihet och ansvar fr att uppn en sund balans mellan arbete och privatliv.Utbildningsmjligheter via AFRY Academy: vr in-house utbildningsplattformClub AFRY  vr personalfrening med mjligheter till olika idrotts och kulturevenemang, stugbokning, skidresor mm.Mngfald av intressanta arbetsuppgifter och stora mjligheter att frdjupa din expertis inom ett specifikt omrde eller bredda dina kunskaper till nya omrden, efter dina egna intressen. Vi stdjer din karrirutveckling och professionella tillvxt.P AFRY driver vi frndring i allt vi gr, frn de lsningar vi skapar till hur vi upprtthller en hlsosam balans mellan arbete och fritid. Vi gr detta med ett hgre syfte, att pskynda vergngen mot ett hllbart samhlle. Det r s vi formar framtiden.Med vr starka ingenjrsarv och expertis inom olika branscher har vi en unik position fr att ta itu med ngra av vrldens mest komplexa utmaningar. Men det som verkligen gr oss unika r hur vi gr saker, vad som ligger bakom vra lsningar och vr fretagskultur. Ls mer p: https://afry.com/en/about-us Vlkommen med din anskan, sista anskningsdag r 2025-05-04

Kontaktperson fr frgor:
Eric Sanderson, Project Leader HSE
eric.sanderson@afry.com

Vi undanber oss direktkontakt med bemannings- och rekryteringsfretag samt sljare av ytterligare jobbannonser.P AFRY driver vi frndring i allt vi gr. Vi anser att frndring sker nr modiga ider mts, nr vi samarbetar, skapar innovation och omfamnar kreativa lsningar, det r s vi skapar framtiden. Vi sker konstant kvalificerade kandidater som vill ansluta sig till vra inkluderande  team runt om i vrlden. Bli en del av oss och pskynda den grna omstllningen"
2764252,"Projektant potrubí se zkušeností ve 3D","https://jobs.smartrecruiters.com/AFRY/744000053084005-projektant-potrubi-se-zkusenosti-ve-3d","Afry","Prague","No","Not specified","Full time","2025-04-11T01:55:05.230556Z","Hledme ikovn kolegy, kte roz ady naich tm ""stroja"". Tmy se vnuj projekn innosti v oboru strojrenstv pokrvajc oblasti klasick i jadern energetiky, teplrenstv i chemickho a paprenskho prmyslu.Projektovn potrub a zazen ve 3DNsledn tvorba projektov dokumentace ve vech stupnchOsobn rozvoj a spoluprce na velkch a mezinrodnch projektechV | S vzdln v oboru strojrenstvZnalost nstroj CAD, E3D a/nebo  Auto CAD Plant3DKatalogy a administrace projekt vtnaAnglitina na komunikativn rovniidisk prkaz sk. BWorklife balance nm nen ciz  mme prunou pracovn dobu i home-officePispvme na jdlo (formou stravenkovho paulu)Podporujeme vzdlvn a mme vlastn kurzy anglitiny/nminyK odpoinku mme 5 tdn dovolenPro rodinu mete mt vhodnj tarif i slevu na koln potebyVbr dalch benefit nechme na Vs  v rmci naeho benefitnho balku mete vyuvat MultiSport kartu, pspvek na penzijn spoen, rzn volnoasov aktivity a mnoho dalho.Pidejte se k nm! Jsme nadenci a rdi se potkme s kadm, kdo se o obor zajm.V AFRY navrhujeme zmny ve vem, co dlme. Zmny nastvaj, pokud se setkvaj odvn npady, pokud spolupracujeme, inovujeme a vtme vzvy v podob odlinch hl pohledu. Takto tvome budoucnost. Aktivn hledme kvalifikovan kandidty, kte by rozili nae rznorod tmy po celm svt. Pipojte se k nm a pomozte nm urychlit pechod k udriteln budoucnosti."
2764250,"Rådgivende ingeniør byggeteknikk","https://jobs.smartrecruiters.com/AFRY/744000053091675-radgivende-ingeni-r-byggeteknikk","Afry","Trondheim","No","Not specified","Full time","2025-04-11T01:55:05.230583Z","Til AFRYs kontor p Solsiden sker vi deg som er engasjert og kvalitetsbevisst, og som nsker  bli del av et sosialt, humrfylt og solid faglig arbeidsmilj. Din fremste oppgave vil vre  lse avdelingens oppdrag innen byggeteknikk gjennom strukturert planlegging, gjennomfring og oppflging som oppdragsleder og oppdragsmedarbeider. Du m ha gode kunnskaper i statikk og dimensjonering i tillegg til vilje og motivasjon til  planlegge ditt eget og andres arbeid. Du vil kunne sttte deg p hyt kompetente og srdeles trivelige medarbeidere i Trondheim og resten av landet.Byggverkene vi jobber med kan vre alt fra mindre spesialkonstruksjoner til strre leilighetskomplekser, institusjoner, industri- og nringsbygg, skoler og idrettsanlegg og oppdragene vil kunne variere tilsvarende i strrelse og bemanning. Vre kunder er hovedsakelig offentlige og private oppdragsgivere i hele landet.ArbeidsoppgaverPlanlegging og gjennomfring av en- og flerfaglige oppdrag med utgangspunkt i byggeteknikk.Oppdragene vil dreie seg om:Byggeteknisk rdgivning for private og offentlige kunder.dimensjonering av konstruksjoner i betong, stl og tre.modellering og utarbeidelse av arbeidsgrunnlag og beskrivelser.I flerfaglige oppdrag vil du ogs koordinere med ressurser innen andre disipliner; som ventilasjon, brann, elektro, geoteknikk, akustikk osv.Aktiv kundekontakt og oppflging av eksisterende og nye kunder.Personlige egenskaper:pen og innkluderendeGode evner til samarbeid og relasjonsbygging.Ivrig p  utforske nye metoder og verkty, samt evnen til  tenke nytt.M krav:Sivilingenir eller ingenir med minst 5 rs erfaring.Relevant erfaring fra byggebransjen, industri eller offshorevirksomhet innen:Global og lokal statikk.Modellbasert prosjektering.Erfaring innen oppdragsledelse og/eller disiplinledelse.God erfaring innen oppdragsportefljen nevnt ovenfor.Br krav:Erfaring med verkty innen FEM-analyse, BIM og utvikling av arbeidsgrunnlag.kompetanse p stlprosjektering inkludert knutepunkt.Eksempler fra nylige og pgende oppdrag:Totalentrepriser:Nye Mosjen skole, for- og detaljprosjektering Yippi Flatsen, boligprosjekt, for- og detaljprosjekteringVia Rosendal, boligprosjekt, detaljprosjektIndustri og infrastruktur:Nutrimar, ny inndamper, detaljprosjekteringNexans Halden, tilbygg og kabelbaner, detaljprosjekteringHelmikstl trafostasjon, detaljprosjekteringTromstunnelene, detaljprosjekteringMuligheterDu vil ha stor pvirkning p egen arbeidshverdag. Du fr faglige utfordringer og kan videreutvikle din kompetanse i spennende prosjekter. Hos oss kommer du til et tverrfaglig milj med dyktige og erfarne kolleger i en trygg bedrift.I tillegg tilbyr vi:Konkurransedyktige betingelser og pensjonsordninger.Fleksibilitet i arbeidstid og arbeidssted.Fem ukers ferie samt fri med lnn i jul og pskeukenGode personlige utviklingsmuligheter i sterke og tverrfaglige miljer med tilgang til ledende og anerkjent bransjekunnskap.Kursing og utdanning internt og eksternt.Allsidige og utfordrende prosjekter.Vi tar i mot skere frem til 20.05.2025, men intervjuer fortlpende, s ikke vent med  vise interesse. Vi er ikke opptatt av et utfyllende sknadsbrev, CV holder lenge. For sprsml vedrrende stillingen ta kontakt med Leif-Owe Fjrtoft p tlf. 45606606Skere som ikke oppfyller kvalifikasjonskravet om minst 5 rs erfaring, vil ikke bli vurdert i denne omgang. I AFRY er vi opptatt av  skape en forskjell i alt vi gjr, og vi tror p at endringer skjer nr vi tar modige valg sammen. Gjennom samarbeid, innovasjon og ulike perspektiver, er vi med p  skape lsninger for fremtiden. Vi er alltid p utkikk etter flere dyktige kollegaer som nsker  bli en del av vrt inkluderende og mangfoldige lag. Bli med oss og bidra til omstillingen mot et mer brekraftig samfunn."
2762648,"Projektant | Silnoproudé zařízení - VN/NN","https://jobs.smartrecruiters.com/AFRY/744000052879165-projektant-silnoproude-zarizeni-vn-nn","Afry","Prague","No","Not specified","Full time","2025-04-11T01:55:05.230610Z","Hledme ikovn kolegy, kte roz ady naeho tmu elezni, kte se zabvaj projektovnm elezninch staveb vetn jejich technologickho vybaven.Zpracovn projektov dokumentace silnoproudch zazen elezninch staveb (elektrick ppojky NN a VN, trafostanice NN/VA, peloky veden NN a VN, nvrh venkovnho osvtlen)Projednvn dokumentace s partnery investin vstavbyS ohledem na zkuenosti budete mt odpovdnost za kontrolu, sprvnost a efektivitu navrench een.Vysokokolsk vzdln v oboru elektrotechniky nebo energetikyidisk prkaz sk. BZnalost softwarovch nstrojWorklife balance nm nen ciz  mme prunou pracovn dobu, home-office a k odpoinku 25 dn dovolenPispvme na jdlo a v kanceli mme vdy vbornou kvu i ajPodporujeme vzdlvn, profesn a osobn rozvoj zamstnanc, mme vlastn kurzy anglitiny/nminyVbr dalch benefit nechme na Vs  v rmci naeho benefitnho balku mete vyuvat napklad MultiSport kartu, pspvek na penzijn pojitn, rzn volnoasov aktivity a mnoho dalho...Zamstnaneck tarif pro rodinn pslunky a zajmav slevov programy u naich partnerV AFRY navrhujeme zmny ve vem, co dlme. Zmny nastvaj, pokud se setkvaj odvn npady, pokud spolupracujeme, inovujeme a vtme vzvy v podob odlinch hl pohledu. Takto tvome budoucnost. Aktivn hledme kvalifikovan kandidty, kte by rozili nae rznorod tmy po celm svt. Pipojte se k nm a pomozte nm urychlit pechod k udriteln budoucnosti."
2762647,"Projektant | Silnoproudé zařízení - VN/NN","https://jobs.smartrecruiters.com/AFRY/744000052878476-projektant-silnoproude-zarizeni-vn-nn","Afry","Brno","No","Not specified","Full time","2025-04-11T01:55:05.230637Z","Hledme ikovn kolegy, kte roz ady naeho tmu elezni, kte se zabvaj projektovnm elezninch staveb vetn jejich technologickho vybaven.Zpracovn projektov dokumentace silnoproudch zazen elezninch staveb (elektrick ppojky NN a VN, trafostanice NN/VA, peloky veden NN a VN, nvrh venkovnho osvtlen)Projednvn dokumentace s partnery investin vstavbyS ohledem na zkuenosti budete mt odpovdnost za kontrolu, sprvnost a efektivitu navrench een.Vysokokolsk vzdln v oboru elektrotechniky nebo energetikyidisk prkaz sk. BZnalost softwarovch nstrojWorklife balance nm nen ciz  mme prunou pracovn dobu, home-office a k odpoinku 25 dn dovolenPispvme na jdlo a v kanceli mme vdy vbornou kvu i ajPodporujeme vzdlvn, profesn a osobn rozvoj zamstnanc, mme vlastn kurzy anglitiny/nminyVbr dalch benefit nechme na Vs  v rmci naeho benefitnho balku mete vyuvat napklad MultiSport kartu, pspvek na penzijn pojitn, rzn volnoasov aktivity a mnoho dalho...Zamstnaneck tarif pro rodinn pslunky a zajmav slevov programy u naich partnerV AFRY navrhujeme zmny ve vem, co dlme. Zmny nastvaj, pokud se setkvaj odvn npady, pokud spolupracujeme, inovujeme a vtme vzvy v podob odlinch hl pohledu. Takto tvome budoucnost. Aktivn hledme kvalifikovan kandidty, kte by rozili nae rznorod tmy po celm svt. Pipojte se k nm a pomozte nm urychlit pechod k udriteln budoucnosti."
2762646,"Projektant | Silnoproudé zařízení - VN/NN","https://jobs.smartrecruiters.com/AFRY/744000052879265-projektant-silnoproude-zarizeni-vn-nn","Afry","Ostrava","No","Not specified","Full time","2025-04-11T01:55:05.230663Z","Hledme ikovn kolegy, kte roz ady naeho tmu elezni, kte se zabvaj projektovnm elezninch staveb vetn jejich technologickho vybaven.Zpracovn projektov dokumentace silnoproudch zazen elezninch staveb (elektrick ppojky NN a VN, trafostanice NN/VA, peloky veden NN a VN, nvrh venkovnho osvtlen)Projednvn dokumentace s partnery investin vstavbyS ohledem na zkuenosti budete mt odpovdnost za kontrolu, sprvnost a efektivitu navrench een.Vysokokolsk vzdln v oboru elektrotechniky nebo energetikyidisk prkaz sk. BZnalost softwarovch nstrojWorklife balance nm nen ciz  mme prunou pracovn dobu, home-office a k odpoinku 25 dn dovolenPispvme na jdlo a v kanceli mme vdy vbornou kvu i ajPodporujeme vzdlvn, profesn a osobn rozvoj zamstnanc, mme vlastn kurzy anglitiny/nminyVbr dalch benefit nechme na Vs  v rmci naeho benefitnho balku mete vyuvat napklad MultiSport kartu, pspvek na penzijn pojitn, rzn volnoasov aktivity a mnoho dalho...Zamstnaneck tarif pro rodinn pslunky a zajmav slevov programy u naich partnerV AFRY navrhujeme zmny ve vem, co dlme. Zmny nastvaj, pokud se setkvaj odvn npady, pokud spolupracujeme, inovujeme a vtme vzvy v podob odlinch hl pohledu. Takto tvome budoucnost. Aktivn hledme kvalifikovan kandidty, kte by rozili nae rznorod tmy po celm svt. Pipojte se k nm a pomozte nm urychlit pechod k udriteln budoucnosti."
