"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3223175,"Human Resources Assistant (Latin America)","https://jobs.lever.co/getwingapp/7bb3a479-96dd-4208-b1e5-1c430875861d","Assistant","Bogota","Yes",5,"Full time","2025-07-09T02:09:01.167896Z","Please whitelist the domains ""lever.co"" and ""hire.lever.co"" with your email provider to make sure you get our emails.Disclaimer: This is a generic job description for the position stated below. Actual tasks and tools will be discussed further when you reach the final interview stage. Please ensure you apply for the right job based on your location and experience. We prioritize people who can do this successfully!Human Resources Assistant (Remote)Wing is on the exciting mission of redefining the future of work for companies worldwide! We are looking to be the one-stop shop for companies that are looking to build world-class teams &amp; place their operations on autopilot. And were looking for a bilingual Spanish/English speaker for Human Resources Assistant position to start immediately!Duties and Responsibilities include but are not limited to:HR Administration: Maintain and update employee records in HRIS platforms and internal databases. Prepare HR-related reports such as headcount, turnover, and leave tracking. Assist with benefits enrollment and respond to general employee inquiries.Policy &amp; Compliance: Help ensure company policies, procedures, and employee handbooks are up to date. Support compliance audits by organizing documentation and records. Track mandatory training completion and help enforce HR compliance requirements.Employee Engagement &amp; Communication: Help coordinate internal HR programs, announcements, and engagement initiatives. Support employee feedback surveys and gather data for review. Assist with organizing virtual events and recognition activities.Onboarding &amp; Offboarding: Assist in preparing new hire documentation and scheduling onboarding sessions. Coordinate access to tools, systems, and training for new employees. Support exit interview processes and offboarding documentation.General Administrative HR Support: Draft HR communications, letters, and forms as required. Maintain HR files, templates, and documentation securely and confidentially. Provide day-to-day support to the HR Manager and Talent Acquisition team.Recruitment Support: Post job openings on internal systems and external job boards. Screen resumes, schedule interviews, and coordinate candidate communications. Maintain applicant tracking systems and support the recruitment team with hiring pipelines.Qualifications: At least 1 year of proven experience as an HR Assistant, Recruitment Coordinator, or similar HR support role. Familiarity with HR systems such as BambooHR, Workday, or similar platforms is a plus. Proficiency in Google Workspace (Gmail, Sheets, Docs, Calendar) and Microsoft Office (Word, Excel, Outlook). Strong attention to detail and a high level of accuracy in administrative work. Excellent English communication skills, both written and verbal. Ability to handle confidential information with professionalism and discretion. Strong time management, coordination, and multitasking abilities. Proactive and eager to learn HR processes and best practices.Technical Requirements: USB Headset with Noise Cancellation feature Working Webcam Computer with at least 1.8 GHz processor and at least 4GB RAM Main Internet Service Speed: at least 25 Mbps cable connection Backup Internet Service Speed: at least 10 MbpsBenefits: Performance Incentives Job Security and Stability Paid Training Inclusive Culture Upskilling Opportunities 100% Work-From-Home Exceptionally Supportive Team Opportunities for Career Growth Fun Work Environment Holiday &amp; Overtime PaySchedule: US work hours (20-40 hours per week)Location: This is a remote jobSalary Package per month:  Entry Level (1-3 years of experience): Up to $770 Intermediate Level (3-5 years of experience): Up to $820 Expert Level (5+ years of experience): Up to $930Please note: Only qualified candidates will be invited to take the assessment &amp; scheduled for an interview. We have other vacancies that might interest your friends &amp; colleagues. They can check us out at our Jobs Website. You may also refer your friends using our Affiliate Marketing Program and earn up to $30 if your referral is hired."
3217551,"Associate Product Manager (Remote)","https://jobs.lever.co/getwingapp/9d4aa7a6-88fa-435b-92b0-31778a5e272b","Assistant","Canada","Yes",1,"Full time","2025-07-09T02:09:01.167973Z","About M32 AIM32.ai builds AIpowered tools that automate workflows for SMBs and enterprises. We ship quickly, talk to users daily, and obsess over measurable impact. Youll join a tight, founderled team turning 0  1 ideas into revenuegenerating products.The RoleYoull partner with the founder, designers, and engineers to translate root user problems into delightful, datadriven solutions. Expect to:  Gather insightsrun user interviews, dig into analytics, map JTBDs and pain points  Draft lightweight PRDs, define success metrics, and keep the scope laserfocused  Manage sprints, write tickets, QA features, and remove blockers  Coordinate design handoffs and ensure pixelperfect implementation  Launch, instrument, and analyzeiterate based on retention, activation, and revenue data  Document learnings, keep the roadmap current, and share progress with stakeholdersOutcomesOutcome 1: Ship HighImpact Features  Deliver at least one userfacing release every 46 weeks that hits agreed KPIsOutcome 2: Tight Feedback Loops  Cut featuretoinsight cycle time to &lt;14 days via structured user testing and metrics dashboardsOutcome 3: Scalable Processes  Create clear templates for PRDs, spec reviews, and experiment tracking that let the team move 2 fasterYou Should Apply If You... Have 12 years in product, growth, or a similarly analytical role (startup internship counts)  Love talking to users and can turn raw feedback into clear problem statements  Are comfortable with metricsSQL, Mixpanel, or basic Python/Sheets analysis a plus  Can write crisp docs and user stories that engineers appreciate  Thrive in ambiguity, selfprioritize, and default to action  Want founderlevel visibility and a steep learning curve in AI, SaaS, and automationHiring Process Intro Call (20 min)  Culture and goal alignment  Async Product Challenge  Short case to see your thinking  Final Call (45 min)  Deep dive with founder &amp; lead engineer  Offer  Total turnaround in ~10 daysWhat You Get Competitive salary + performancebased bonuses  Rapid growth tracktop performers can level up to PM within 12 months  Remotefirst flexibility and quarterly inperson summits (HK, India, London)  Full AI tool stackGPT4, Claude, PostHog, Framer, v0, Make.com  Learning budget for courses, conferences, or certifications  Ownership, autonomy, and real product impact from day oneWe hire for output, not pedigree. If you ship measurable results, we want you on board."
3209273,"Technical Recruiter","https://jobs.lever.co/getwingapp/ee30ff87-c605-49f8-8958-e67a0f9f2b80","Assistant","Bengaluru","Yes","Not specified","Full time","2025-07-09T02:09:01.167995Z","Wing is hiring elite talent for M32 Labs, an innovative venture-backed company based in Silicon Valley dedicated to building cutting-edge AI-powered products for business clients worldwide.At M32, we're not just another tech company - were creating world-class AI solutions that redefine industries. If youre looking for a challenging and high-impact role, this is it. Why M32M32 builds AI-powered products that move from idea to production fast. Engineers own entire products end-to-end in two-person micro-teams, working in a zero-bureaucracy environment where every week feels like a hackathon. Product managers partner directly with founders, shipping user-facing releases every 4 - 6 weeks and iterating in tight feedback loops. To keep that pace, we need a recruiter who can spot builders with both elite technical skills and a bias for action; product &amp; engineering teams that are excited to go from 0 - 1. What Youll Do- Own the full recruiting funnel for:- Software Engineers: ML/AI, or full-stack candidates who can architect, build, and ship green-field products solo or in tiny teams, focused on Asia (primarily India)- Product Managers: Early-career product owners in the UK / Europe or Asia who live and breathe product, working directly with engineers and leadership- Partner with hiring managers (namely CEO, CTO, CPO and CoS) to achieve hiring goals- Source creatively: LinkedIn X-ray, LinkedIn Recruiter, GitHub, Kaggle, local Indian tech communities, mini-hackathons, university alumni, Discord/Slack groups, etc.- Run fast, data-driven pipelines: same-day outreach,  10-day total turnaround, with weekly funnel metrics- Run engineering interviews, engineering project- Conduct high-signal screens: evaluate depth in Python, RAG/LLM stacks, cloud infra, and product sense; schedule technical challenges and founder interviews.- Champion candidate experience that mirrors our speed and transparency- Own the ATS (Lever) and employer branding - from compelling job posts to async interview guides.Requirements- 3 - 5 yrs hands-on tech recruiting in a startup or boutique search firm; youve closed highly skilled and motivated software engineers before- Strong techstack understanding (Python, PyTorch/TensorFlow, LangChain, vector DBs, AWS/GCP/K8s) so you can distill whether or not a candidate is a right fit from a technical standpoint- Global reach: you know where Indias top devs hang out online and how to attract Product specialists in cities across the world like London, Toronto, Bangalore, and Singapore.- Operator mindset: you treat recruiting like a product - iterate, instrument, automate.- Stellar written &amp; verbal English; bonus Hindi or another Indian language for local rapport Nice to Have- Experience setting up basic HR ops (policies, benefits, onboarding) for &lt;50person remote teams.- Experience hiring non-technical roles as we grow (e.g. marketers, accountants)- Rare travel as needed to recruiting events, as needed, in the future- Prior hiring in AI or agentic, SaaS, or developercentric products spaceBenefits- Competitive Pay: Above-market compensation for exceptional talent.- Remote-first.- Reimbursement for health insurance premium &amp; gym membership, total up to 4,000 INR per month.- Top-tier AI tool stack as required (GPT4, Claude)- Food Delivery Reimbursement: Swiggy/Zomato reimbursement of 2,000 INR per month.- Clear path to Head of Talent or People Lead as you grow the functionCompensation: 10  18 LPA"
3209272,"Technical Recruiter","https://jobs.lever.co/getwingapp/a90db4f2-546c-434c-9fe4-2a9bff9cb26a","Assistant","New Delhi","Yes","Not specified","Full time","2025-07-09T02:09:01.168014Z","Wing is hiring elite talent for M32 Labs, an innovative venture-backed company based in Silicon Valley dedicated to building cutting-edge AI-powered products for business clients worldwide.At M32, we're not just another tech company - were creating world-class AI solutions that redefine industries. If youre looking for a challenging and high-impact role, this is it. Why M32M32 builds AI-powered products that move from idea to production fast. Engineers own entire products end-to-end in two-person micro-teams, working in a zero-bureaucracy environment where every week feels like a hackathon. Product managers partner directly with founders, shipping user-facing releases every 4 - 6 weeks and iterating in tight feedback loops. To keep that pace, we need a recruiter who can spot builders with both elite technical skills and a bias for action; product &amp; engineering teams that are excited to go from 0 - 1. What Youll Do- Own the full recruiting funnel for:- Software Engineers: ML/AI, or full-stack candidates who can architect, build, and ship green-field products solo or in tiny teams, focused on Asia (primarily India)- Product Managers: Early-career product owners in the UK / Europe or Asia who live and breathe product, working directly with engineers and leadership- Partner with hiring managers (namely CEO, CTO, CPO and CoS) to achieve hiring goals- Source creatively: LinkedIn X-ray, LinkedIn Recruiter, GitHub, Kaggle, local Indian tech communities, mini-hackathons, university alumni, Discord/Slack groups, etc.- Run fast, data-driven pipelines: same-day outreach,  10-day total turnaround, with weekly funnel metrics- Run engineering interviews, engineering project- Conduct high-signal screens: evaluate depth in Python, RAG/LLM stacks, cloud infra, and product sense; schedule technical challenges and founder interviews.- Champion candidate experience that mirrors our speed and transparency- Own the ATS (Lever) and employer branding - from compelling job posts to async interview guides.Requirements- 3 - 5 yrs hands-on tech recruiting in a startup or boutique search firm; youve closed highly skilled and motivated software engineers before- Strong techstack understanding (Python, PyTorch/TensorFlow, LangChain, vector DBs, AWS/GCP/K8s) so you can distill whether or not a candidate is a right fit from a technical standpoint- Global reach: you know where Indias top devs hang out online and how to attract Product specialists in cities across the world like London, Toronto, Bangalore, and Singapore.- Operator mindset: you treat recruiting like a product - iterate, instrument, automate.- Stellar written &amp; verbal English; bonus Hindi or another Indian language for local rapport Nice to Have- Experience setting up basic HR ops (policies, benefits, onboarding) for &lt;50person remote teams.- Experience hiring non-technical roles as we grow (e.g. marketers, accountants)- Rare travel as needed to recruiting events, as needed, in the future- Prior hiring in AI or agentic, SaaS, or developercentric products spaceBenefits- Competitive Pay: Above-market compensation for exceptional talent.- Remote-first.- Reimbursement for health insurance premium &amp; gym membership, total up to 4,000 INR per month.- Top-tier AI tool stack as required (GPT4, Claude)- Food Delivery Reimbursement: Swiggy/Zomato reimbursement of 2,000 INR per month.- Clear path to Head of Talent or People Lead as you grow the functionCompensation: 10  18 LPA"
3209271,"Technical Recruiter","https://jobs.lever.co/getwingapp/22484222-68f7-4a66-a019-2680bc36e3a2","Assistant","Mumbai","Yes","Not specified","Full time","2025-07-09T02:09:01.168030Z","Wing is hiring elite talent for M32 Labs, an innovative venture-backed company based in Silicon Valley dedicated to building cutting-edge AI-powered products for business clients worldwide.At M32, we're not just another tech company - were creating world-class AI solutions that redefine industries. If youre looking for a challenging and high-impact role, this is it. Why M32M32 builds AI-powered products that move from idea to production fast. Engineers own entire products end-to-end in two-person micro-teams, working in a zero-bureaucracy environment where every week feels like a hackathon. Product managers partner directly with founders, shipping user-facing releases every 4 - 6 weeks and iterating in tight feedback loops. To keep that pace, we need a recruiter who can spot builders with both elite technical skills and a bias for action; product &amp; engineering teams that are excited to go from 0 - 1. What Youll Do- Own the full recruiting funnel for:- Software Engineers: ML/AI, or full-stack candidates who can architect, build, and ship green-field products solo or in tiny teams, focused on Asia (primarily India)- Product Managers: Early-career product owners in the UK / Europe or Asia who live and breathe product, working directly with engineers and leadership- Partner with hiring managers (namely CEO, CTO, CPO and CoS) to achieve hiring goals- Source creatively: LinkedIn X-ray, LinkedIn Recruiter, GitHub, Kaggle, local Indian tech communities, mini-hackathons, university alumni, Discord/Slack groups, etc.- Run fast, data-driven pipelines: same-day outreach,  10-day total turnaround, with weekly funnel metrics- Run engineering interviews, engineering project- Conduct high-signal screens: evaluate depth in Python, RAG/LLM stacks, cloud infra, and product sense; schedule technical challenges and founder interviews.- Champion candidate experience that mirrors our speed and transparency- Own the ATS (Lever) and employer branding - from compelling job posts to async interview guides.Requirements- 3 - 5 yrs hands-on tech recruiting in a startup or boutique search firm; youve closed highly skilled and motivated software engineers before- Strong techstack understanding (Python, PyTorch/TensorFlow, LangChain, vector DBs, AWS/GCP/K8s) so you can distill whether or not a candidate is a right fit from a technical standpoint- Global reach: you know where Indias top devs hang out online and how to attract Product specialists in cities across the world like London, Toronto, Bangalore, and Singapore.- Operator mindset: you treat recruiting like a product - iterate, instrument, automate.- Stellar written &amp; verbal English; bonus Hindi or another Indian language for local rapport Nice to Have- Experience setting up basic HR ops (policies, benefits, onboarding) for &lt;50person remote teams.- Experience hiring non-technical roles as we grow (e.g. marketers, accountants)- Rare travel as needed to recruiting events, as needed, in the future- Prior hiring in AI or agentic, SaaS, or developercentric products spaceBenefits- Competitive Pay: Above-market compensation for exceptional talent.- Remote-first.- Reimbursement for health insurance premium &amp; gym membership, total up to 4,000 INR per month.- Top-tier AI tool stack as required (GPT4, Claude)- Food Delivery Reimbursement: Swiggy/Zomato reimbursement of 2,000 INR per month.- Clear path to Head of Talent or People Lead as you grow the functionCompensation: 10  18 LPA"
3201856,"Sales Quality Assurance Specialist","https://jobs.lever.co/getwingapp/b815275d-4a0c-4599-9268-a8c337694476","Assistant","Manila","No",2,"Full time","2025-07-09T02:09:01.168047Z","Position OverviewThe Sales Quality Assurance Specialist is responsible for monitoring, evaluating, and enforcing sales process quality across the team. This includes reviewing demo calls, auditing CRM usage in Pipedrive, evaluating won deals for compliance and readiness, and contributing insights to strengthen sales playbooks and training programs.This role reports directly to Sales Managers and collaborates closely with the Sales Trainer (Enablement) to identify actionable trends and support continuous improvement across the sales team.Key ResponsibilitiesDiscovery and Solution Walkthrough Call AuditsMonitor and score sales calls involving both discovery and solution walkthroughs using a standardized rubricEvaluate reps on qualification depth, solution alignment, objection handling, and clarity of next stepsDocument findings and deliver written feedback in a timely manner to Sales Managers for coaching and performance trackingMonitor Pipedrive Hygiene and Cadence ComplianceAudit CRM records to ensure accurate, timely, and complete data entryVerify correct use of deal stages, contact notes, tasks, and follow-up cadencesEscalate recurring CRM hygiene issues or cadence gaps to Sales Squad Leads and Sales Managers for correction or retrainingWon Deal AuditsReview closed-won deals to confirm qualification standards and ICP fitValidate that all required documentation is logged for post-sale handoffFlag deals with potential risk indicators or missing transition details and report findings to Sales ManagersSales Knowledge Base and Playbook SupportDocument areas for improvement, effective messaging, and high-impact rep behaviors observed during QA reviewsWork with Sales Managers and the Sales Trainer to update playbooks, talk tracks, and internal knowledge bases based on audit findingsReporting and CollaborationMaintain accurate QA scoring logs and generate summary reports for reviewParticipate in weekly calibration meetings to review sample calls, CRM records, emails, and templatesPresent trends, rep behaviors, and process gaps that require managerial or enablement attentionShare insights regularly with the Sales Trainer to support coaching priorities and training content updatesQualifications2+ years of experience in Sales QA, Sales Operations, Sales Enablement, or Revenue SupportPrior experience (12 years) in a frontline sales role (SDR, Account Executive, or similar) preferredStrong understanding of the B2B sales cycle and pipeline stagesProficiency in using CRM systems, particularly PipedriveFamiliarity with outreach cadences, CRM hygiene standards, and pipeline management best practicesExperience reviewing and evaluating sales calls for quality and performanceExcellent written communication and documentation skillsHigh attention to detail and ability to identify performance patterns or process gapsComfortable handling performance-sensitive data and delivering objective, actionable feedbackExperience with sales QA tools (e.g., Gong, Chorus) is a plus"
3199071,"In-House Legal Counsel","https://jobs.lever.co/getwingapp/a1993951-3941-42b9-9ce4-7b0df1edf494","Assistant","Manila","Yes",5,"Full time","2025-07-09T02:09:01.168092Z","In-House Legal Counsel (Philippines-Based)Reports To: Chief Operating Officer / General Counsel (US)Location: Philippines  Remote or Hybrid (preferred Metro Manila or Cebu)Employment Type: Full-TimeAbout UsWing is a US-based company revolutionizing the way businesses scale through a powerful blend of human talent and AI-driven workflows. We provide fully managed virtual assistant services to companies around the world, helping organizations of all sizes unlock productivity and focus on what matters most.Role OverviewThis role is responsible for supporting all legal aspects of our business, including drafting and reviewing contracts governed by US and Philippine law, advising on compliance and employment matters, assisting with risk management, and engaging directly with prospects and clients regarding contract requirements.Key ResponsibilitiesContract Review and NegotiationDraft, review, and negotiate a variety of agreements, including Master Service Agreements (MSAs), vendor contracts, Service Agreements, NDAs, and other commercial documents.Review and revise contract provisions to align with company risk appetite and applicable laws.Client &amp; Prospect EngagementServe as the primary point of contact for prospects and clients requesting to discuss legal terms, contract provisions, and compliance requirements.Participate in calls or correspondence to clarify legal positions and support the sales process.Philippine Legal SupportAdvise on Philippine employment law, HR policies, and labor compliance.Assist with establishing and maintaining corporate entities in the Philippines.Risk Management &amp; PoliciesIdentify legal and compliance risks and recommend mitigation strategies.Develop, implement, and maintain internal policies, templates, and procedures to ensure regulatory compliance and operational consistency.Stakeholder CommunicationLiaise effectively with senior management, external counsel, and internal teams in the US and the Philippines.QualificationsLicensed attorney in the Philippines in good standing.Minimum 5 years of post-qualification legal experience, including:Corporate and commercial contract drafting and negotiation.Philippine employment law advisory.Cross-border matters or working with US-based clients or companies.Demonstrated experience reviewing MSAs, vendor agreements, and other commercial contracts.Excellent English communication skills, both written and verbal.Strong organizational skills and the ability to manage multiple priorities autonomously.High degree of professional ethics and integrity.Preferred QualificationsPrior in-house counsel experience in a technology, SaaS, BPO, or multinational environment.Experience supporting sales teams and engaging directly with clients or prospects regarding legal documentation.BenefitsCompetitive compensation package.Remote or hybrid working arrangement.Opportunities for career growth and professional development.Collaborative, global team environment."
3165830,"E-Commerce Specialist (Latin America)","https://jobs.lever.co/getwingapp/46d7198f-5e22-42db-9386-131b24325eda","Assistant","Bogota","Yes",5,"Full time","2025-07-09T02:09:01.168109Z","Please whitelist the domains ""lever.co"" and ""hire.lever.co"" with your email provider to make sure you get our emails.Disclaimer: This is a generic job description for the position stated below. Actual tasks and tools will be discussed further when you reach the final interview stage. Please ensure you apply for the right job based on your location and experience. We prioritize people who can do this successfully!E-Commerce Specialist (Remote)Wing is on the exciting mission of redefining the future of work for companies worldwide! We are looking to be the one-stop shop for companies that are looking to build world-class teams &amp; place their operations on autopilot.And were looking for an E-Commerce Specialist to start immediately!Duties and Responsibilities include but are not limited to:1. Manage the overall operation of the website and maintain a seamless user experience.2. Respond to customer inquiries and concerns and provide assistance with customer selections.3. Optimize product listings and content with detailed descriptions, visual assets, and specifications.4. Build customer relationships and develop partnerships with content creators, influencers, and compatible businesses.5. Collaborate with internal teams on developing concepts, layouts, and promotional activities. 6. Set prices in accordance with industry trends and sales strategy.7. Monitor inventory levels and coordinate with suppliers and logistics partners on stock availability and delivery.8. Develop and maintain initiatives for PPC advertisement campaigns &amp; social media engagement.9. Ad hoc tasksQualifications: At least 1 year experience in eCommerce, website maintenance, and related industries Experience with content, product, and inventory management Experience with SEO &amp; knowledge of non-technical SEO best practices Skills and knowledge of Shopify, Amazon &amp; eBay platforms Excellent English communication skills, both written and verbal (at least B2 levels) Strong copywriting and editing skills Experience with using Google Analytics for project management and reporting Proficient in MS Office, esp. Excel Knowledge of CSS Media queriesTechnical Requirements: USB Headset with Noise Cancellation feature Working Webcam Computer with at least 1.8 GHz processor and at least 4GB RAM Main Internet Service Speed: at least 25 Mbps cable connection Backup Internet Service Speed: at least 10 MbpsBenefits: Performance Incentives Job Security and Stability Paid Training Inclusive Culture Upskilling Opportunities 100% Work-From-Home Exceptionally Supportive Team Opportunities for Career Growth Fun Work Environment Holiday &amp; Overtime PaySchedule: US work hours (40 hours per week)Location: This is a remote jobSalary Package:  Entry Level (1-3 years of experience): Up to $660 Intermediate Level (3-5 years of experience): Up to $880 Expert Level (5+ years of experience): Up to $1100Please note: Only qualified candidates will be invited to take the assessment &amp; scheduled for an interview. We have other vacancies that might interest your friends &amp; colleagues. They can check us out at our Jobs Website. You may also refer your friends using our Affiliate Marketing Program and earn up to $30 if your referral is hired."
3158842,"Digital Marketing Assistant (Latin America)","https://jobs.lever.co/getwingapp/1dd9ff4e-2eb6-4fa4-83d6-101a961016bc","Assistant","Bogota","Yes",5,"Full time","2025-07-09T02:09:01.168124Z","Please whitelist the domains ""lever.co"" and ""hire.lever.co"" with your email provider to make sure you get our emails.Disclaimer: This is a generic job description for the position stated below. Actual tasks and tools will be discussed further when you reach the final interview stage. Please ensure you apply for the right job based on your location and experience. We prioritize people who can do this successfully!Digital Marketing Assistant (Remote)Wing is on the exciting mission of redefining the future of work for companies worldwide! We are looking to be the one-stop shop for companies that are looking to build world-class teams &amp; place their operations on autopilot.And were looking for a Digital Marketing Assistant to start immediately!Duties and Responsibilities include but are not limited to:1. Upload videos and graphics, keep the account up-to-date &amp; manage reviews.2. Develop, execute, and monitor the execution of marketing campaigns on various digital platforms.3. Ensure consistency of branding across all accounts and channels.4. Create events or promos to increase customer engagement.5. Manage the contact database &amp; assist with lead generation activities.6. Research influencers, compatible products, and businesses to form strategic partnerships.7. Set up accounts, liaise with affiliates &amp; manage affiliate partners payouts.8. Check KPIs, modify bids or budgets &amp; review keyword performance.9. Gather information on the brand's audience profiles and develop a content strategy with internal teams.10. Create progress reports and monitor the performance and effectiveness of marketing campaigns.11. Research on trends, promotional activities utilized by competitors, and competitive marketing insights.12. Execute SEO strategies and conduct keyword research.13. Conduct general administration.14. Use tweak builders to tweak the content.15. Ad hoc tasksQualifications: Bachelor's degree in any field or professional certification in marketing or business-related courses 2+ years experience in social media or 1-2 years in digital marketing Proven content writing or copywriting experience Working knowledge of content management systems Excellent English communication skills, both written and verbal (at least B2 level) Solid organizational and time management skills Knowledgeable in layouts, typography, print, and web design Experience/Proficient in Adobe Photoshop, Illustrator, Sketch, InDesign, and other graphic design software Compelling portfolio of work over a wide range of creative projects Able to work on a graveyard shiftTechnical Requirements: USB Headset with Noise Cancellation feature Working Webcam Computer with at least 1.8 GHz processor and at least 4GB RAM Main Internet Service Speed: at least 25 Mbps cable connection Backup Internet Service Speed: at least 10 MbpsBenefits: Performance Incentives Job Security and Stability Paid Training Inclusive Culture Upskilling Opportunities 100% Work-From-Home Exceptionally Supportive Team Opportunities for Career Growth Fun Work Environment Holiday &amp; Overtime PaySchedule: US work hours (40 hours per week)Location: This is a remote jobSalary Package:  Entry Level (1-3 years of experience): Up to $1100 Intermediate Level (3-5 years of experience): Up to $1350 Expert Level (5+ years of experience): Up to $1550Please note: Only qualified candidates will be invited to take the assessment &amp; scheduled for an interview. We have other vacancies that might interest your friends &amp; colleagues. They can check us out at our Jobs Website. You may also refer your friends using our Affiliate Marketing Program and earn up to $30 if your referral is hired."
3142515,"Sales Manager","https://jobs.lever.co/getwingapp/0cdef55d-4edb-4922-ad43-c8c343795744","Assistant","Manila","Yes",4,"Full time","2025-07-09T02:09:01.168139Z","About WingWing helps companies scale by providing them with highly trained, full-time remote talentvirtual assistants, SDRs, marketers, and more. Were building a high-performance sales org and are looking for a Sales Manager to drive execution, enforce standards, and help our reps hit quota consistently.This is a hands-on, middle management role. Youll report to Management, directly manage a team of SDRs and/or AEs, and be responsible for ensuring accountability, enforcing our sales process, and developing reps through structured feedback.You're not here to make excusesyoure here to get results through people.Salary Range: PHP 45,000 to PHP 65,000/moKey ResponsibilitiesEnforce Sales Process: Ensure reps follow our CRM workflow, follow-up structure, and call scripts. No skipping steps. No freelancing.Drive Accountability: Own rep performance. Monitor activity metrics, conversion rates, follow-up quality, and enforce weekly expectations.Coach for Growth: Provide structured feedback based on call reviews (Fireflies), email audits, and outcomes. Promote a growth mindset with high standards.Run the Day-to-Day: Lead daily huddles, set targets, review dashboards (Pipedrive), and manage rep progress with urgency.Remove Roadblocks: Identify performance issues early and take actionwhether its additional training, call shadowing, or direct intervention.Improve Execution: Track conversion gaps and refine talk tracks, follow-up copy, and revival cadences. Collaborate with senior leadership to iterate quickly.Performance Reporting: Report weekly to the Head of Sales on KPIs, issues, and rep health. Own the story behind the numbers.What You Bring24 years of B2B sales experience; 1+ years managing a sales team or mentoring repsStrong understanding of outbound sales and lead conversionConfident in giving clear, honest feedbackand holding people to itStrong operator mindset: organized, action-oriented, and able to run a tight shipFamiliarity with Pipedrive, Fireflies, and Google WorkspaceComfortable working across time zones (especially US or PH hours)Youll Thrive Here If You...Believe in radical accountabilityHave high expectationsand help people rise to meet themDont tolerate excuses, ghosting, or sloppy pipeline managementBalance empathy with directnessWant to be part of a fast-paced, no-fluff environmentPerksWork with a performance-based cultureCompetitive base pay + team performance bonusesRoom for promotion to Senior Sales Manager or Director-level rolesSupportive leadership, fast feedback loops, and real responsibility"
