"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3547989,"Working Student - Production Area","https://jobs.smartrecruiters.com/BoschGroup/744000079906541-working-student-production-area","BoschGroup","Blaj","No","Not specified","Full time","2025-09-05T01:52:06.954278Z","Support in defining and describing the assembly processes: create documents, procedures and work instructions for the assembly processes within the department;Tracking of process parameters: tracking and evaluation of process parameters, statistical analysis of the process parameters;5S responsible: Implement and maintain 5S standards in the production area and at the assembly processes;Support in collecting information regarding the changes that took place at the assembly processes;Support in executing production trial runs: Organize availability of needed components, collecting information (defined prior the test) during the trial runs, create the required reports after the trials are finalized.Ongoing Technical University; English level: advanced; Works well in a team;Fast adaptation to changes;Self-driven and self motivated;Good communication and cooperation skills;Good Office tools skills (especially in excel).#LikeABosch Benefits:  Meal Vouchers  Benefit of meal vouchers to support your daily expenses.25 Days of Annual Leave  Enjoy an extended holiday package to maintain a healthy work-life balance.Flexible Work Schedule within Romania  Balance your working time according to business and personal needs.Inspiring Working Conditions  We are committed to provide our employees a positive and fulfilling work experience.Company performance bonus - Your contribution to our success is rewarded with a company performance bonus.Various bonuses - Spring Bonus, Summer Bonus and Christmas Bonus to enjoy additional financial rewards during these key moments of the year.Loyalty bonus - Your dedication and commitment to Bosch are acknowledged through our loyalty rewards.Seniority bonus  Monthly recognition of your Bosch experience, and as your seniority grows, so do your benefits.Childbirth Support  We celebrate your new family member with financial support for this special moment.Referral Bonus  Recommend a friend to join Bosch, and if they are hired, you receive a bonus as a thank you.Language Courses  A new language is the key to a new world and opens doors . We offer in-company courses to help you grow.Medical Services  Your health comes first. Benefit from free medical consultations and check-ups, including services at our factory premises.Sports &amp; Recreational Activities  Being active fosters great performance therefore we offer discounts for various sports activities.Bosch projects that take you out of your comfort zone - We work on projects from start to finish and we take full responsibility for our products.Various internal development programs  From specialist to project management and leaders we continuously develop.Trainings &amp; Certifications  Grow professionally with access to national and international technical and soft skills training.Diversity and multicultural mindset - Work in a multicultural environment with over 10 nationalities represented, fostering an inclusive and global mindset."
3547988,"Vzdrževalec strojnih naprav","https://jobs.smartrecruiters.com/BoschGroup/744000079907091-vzdrzevalec-strojnih-naprav","BoschGroup","Leskovec pri Krškem","No","Not specified","Full time","2025-09-05T01:52:06.954372Z","preventivno in kurativno vzdrevanje strojev in napravkontrola strojnih elementov, pnevmatike in hidravlike ter poroanje o stanjupopravila strojev in naprav (mehanska, pnevmatika ter hidravlika)montaa novih strojev in napravzagotavljanje istoe, reda in urejenosti delovnega okoljavzdrevanje potrebnih evidenc - delovnih nalogov (zapisi ter poroila)izvajanje drugih del po navodilih nadrejenega, ki so v skladu s strokovno usposobljenostjosrednja strokovna izobrazba, metalurgija, strojnitvo in kovinarstvovsaj eno leto na podobnem delovnem mestuosnovna usposobljenost za delo z MS Office, delo z preglednicamivozniko dovoljenje B kategorijerone spretnosti,  timsko sodelovanje, natannost, samostojnost,  smisel za reevanje tehninih problemovZaposlitev za nedoloen as, prietek 17.11.2025 s poskusno dobo2 izmensko deloVsak uspeh ima svoj zaetek. Ponujamo vam:pridobivanje delovnih izkuenj v mednarodnem okolju,timsko delo v urejenem delovnem okolju s prijaznimi sodelavci,strokovno izpopolnjevanje,kolektivno nezgodno zavarovanjeV kolikor elite svojo karierno pot nadaljevati z nami, nam poljite spremno pismo z ivljenjepisom v slovenskem jeziku, s prijavo na povezavi do 14.09.2025.Veselimo se vae prijave!"
3547987,"Senior Software Developer for a Sustainable Future (f/m/div.)","https://jobs.smartrecruiters.com/BoschGroup/744000079909957-senior-software-developer-for-a-sustainable-future-f-m-div-","BoschGroup","Karlsruhe","No",5,"Full time","2025-09-05T01:52:06.954396Z","As a SW-Developer at C-ECO you will join the engineering team to develop IT-services that enable circular economy for re-use, re-cylce and re-manufacturing for a more sustainable automotive aftermarket.* In addition to the feature implementation itself, you will join the development process as a full stack developer from specification until verification for our next generation IT service
* As part of a small, growing and agile company you will use your technical knowledge and strong communication skills to derive requirements for new features together with our internal and external stakeholders
* You work in close collaboration with other C-ECO teams and external IT service providers/development partners as part of the C-ECO ENG Team
* Strong contribution to cross-domain activities like engineering quality improvements and SW-/system-architecture
* You engage yourself into the team with positive energy and enjoy having fun at work within our C-ECO family
* You see diversity of teams and know-how as an enabler to grow and to find the best technical solution to successfully develop exciting SW solutions for a more sustainable futureEducation: Master Degree in Software Engineering, Information Technology or similar fieldsExperience and know-how: You are an experienced SW developer for more than five years in a cloud-based system architecture with MS Azure, Kubernetes, Docker and are used to working in an agile framework. Furthermore, you are familiar with frontend technologies Angular, Javascript/Typescript, React, C# .NET, with backend technologies Node.js, Java, Spring Bootand with database technologies PostgreSQL and OracleHybrid workmode: High flexibility with remote work share is given, nevetheless regular on site work in Karlsruhe for team-days and events is requiredPersonality: You are team-oriented, you like to work proactive, well-structured and with a hands-on mindsetLanguages: German and fluent English skillsFor us, diversity and inclusion are not just trends, but are firmly anchored in our corporate culture. We therefore welcome all applications, regardless of gender, age, disability, religion, ethnic origin or sexual identity.The contractual place of work is Karlsruhe. Do you have any questions about the application process?
Alexandra Heilig (Personnel department)
+49 160 90166334Do you have technical questions about the job?
Florian sterle (Specialist department)
+49 151 2349 7096"
3547986,"Project Quality Engineer Intern","https://jobs.smartrecruiters.com/BoschGroup/744000079914705-project-quality-engineer-intern","BoschGroup","Maklár","No","Not specified","Internship","2025-09-05T01:52:06.954419Z","Mivel jrulhatsz hozz a kzs cljaink megvalstshoz?Projekt minsggyi mrnkk feladatainak tmogatsa adminisztrcis tmkbanBels s kls elsminta jvhagysok dokumentciinak elksztseVevi fot dokumentcik ksztse a flksz/ksz kormnymvekrlKlnbz mrsi eredmnyek bedolgozsa a megfelel formtumokba, applikcikbaSzksg esetn vevi ltogatsok tmogatsaMi tesz Tged klnlegessAktv vagy passzv hallgati jogviszony nappali vagy levelez tagozaton 

 Kzpfok angol nyelvtuds

 Mszaki vagy gazdasgi tanulmnyok

 J kommunikcis kszsg, rugalmassg

 Heti 40 rs munkaid vllalsaJvbeli munkahelyed az albbiakat knlja:Biztos httr, szakmai kihvsok, vilgos karrierlehetsg s folyamatos fejldsi, tanulsi lehetsg vr a vilg egyik legjelentsebb cgnl.Ingyenes oktatsokkal, trningekkel tmogatjuk munkatrsaink szakmai s szemlyes fejldst, s jutalommal djazzuk a lojalitst. Fiatal s innovatv csapatban zajl munka mellett teljestmnyalap bnuszra, egyb bren kvli s szocilis juttatsokra, cges buszjrat hasznlatra is jogosult leszel. Hasznld ki a dolgozi ajnlsi rendszer nyjtotta elnyket, a szles kr sportolsi lehetsgeket, vegyl rszt a Bosch rendezvnyeken s lj a Bosch dolgozknak jr kedvezmnyekkel!"
3547984,"Regional Network Engineer (f/m/div.) (Salary: ~80.000 EUR p.a.*)","https://jobs.smartrecruiters.com/BoschGroup/744000079913610-regional-network-engineer-f-m-div-salary-80-000-eur-p-a-","BoschGroup","Stuttgart","No","Not specified","Full time","2025-09-05T01:52:06.954439Z","We are Bosch Digital. Our mission is to shape the digital future of Bosch together with our business divisions. We invent, code and create digital products, services and solutions that spark enthusiasm and improve quality of life. Bosch Digital is home to more than 10,000 unique and diverse talents around the world. Our agile mindset and working culture are a key driver of digital transformation at Bosch and gives both our associates and their ideas room to grow. As a Regional Network Engineer, you are responsible for the network operations at assigned sites (Build and Run), including operational support in accordance with relevant O-processes (Incident, Problem, Change, Asset Management).Part of your work entails collaborating and coordinating overarching network / infrastructure projects (e.g. M&amp;A, Rollout, Central Service Development).You are responsible for requirements management and clarification of customer requests considering existing network services and standards.The lifecycle management of network components (procurement, configuration and installation of network components) is tackled by you.You are in charge of aligning and steering relevant issues with our stakeholders (product team Campus Connectivity, central departments, PA-IS departments, FCM, customers in Business Units and ESPs).Last but not least, you take on the training of local network partners at the locations regarding current network standards and practices for better support.Education: completed university degree with a focus on Information Technology or similar qualificationExperience and Knowledge: experience in setting up and operating networks LAN and WLAN; knowledge of LAN and WLAN technologies for vendor HPE Aruba and Cisco; experience in operating big enterprise networks and in project managementPersonality and Working Practice: you are a team-oriented person with good communication skills and the ability to work in an agile environmentEnthusiasm: you have an interest in new technologies and tools and enjoy working in project and operation teamsLanguages: fluent in written and spoken English and German*In accordance with our regulations, the gross annual salary for this position is at least 80.000 EUR for a 35h week (for a full year of employment and fulfillment of the eligibility requirements based on collective agreements) in the case of a comprehensive execution of job requirements. In addition, there is an individual, performance-related pay, a bonus based on the company's success, as well as employer benefits for the Bosch pension plan. We will be happy to discuss further details of our remuneration package, as well as (remuneration) development opportunities, with you during the application process.We offer flexible working models: from various part-time options to mobile working and job sharing. Feel free to contact us.Diversity and inclusion are not just trends for us but are firmly anchored in our corporate culture. Therefore, we welcome all applications, regardless of gender, age, disability, religion, ethnic origin or sexual identity.What makes working at BD special?
Bosch Backstage - Bosch Digital - Part 1Need support during your application?
Miriam Scherer (Human Resources)
+49 711 811 31048Need further information about the job?
Mirjam Elisabeth Schmidt (Functional Department)
+49 152 22591685"
3547983,"Praktikum: Fertigungsprozesse von Luftmassensensoren","https://jobs.smartrecruiters.com/BoschGroup/744000079916625-praktikum-fertigungsprozesse-von-luftmassensensoren","BoschGroup","Eisenach","No","Not specified","Full time","2025-09-05T01:52:06.954460Z","Dich erwartet ein Praktikum in einer vollautomatisierten Fertigungsumgebung in der du den Herstellungsprozess von Luftmassensensoren hautnah miterleben kannst. Deine Aufgabe besteht in der Untersttzung bei der Fehlerreduzierung und Prozessanalyse. Durchdenke Fertigungsprozesse und begleite die Betreuung von Serienanlagen, dabei wirst du Aufgaben in Zusammenarbeit mit Entwicklung, Logistik und Prozesstechnik bernehmen. In Zusammenarbeit mit dem Planungsteam kannst du ein eigenes Projekt betreuen. Deine im Studium theoretisch erworbenen Kenntnisse ber Datenverarbeitung und -Aufbereitung kannst du in der Erstellung, Bearbeitung und Ausfhrung von Skripten zur Datenanalyse einbringen. Gemeinsam im Team mit anderen Praktikanten und Prozessingenieuren sollen die gewonnen Erkenntnisse einem Fachgremium vorgestellt, Manahmen gefunden und Ursachen abgestellt werden.Du bist in einem ingenieurtechnischem oder vergleichbarem Studium und willst neue Herausforderungen und Einblicke in die Ttigkeit eines Ingenieurs bekommen? Dann werde jetzt Teil unseres Teams bei der Robert Bosch Fahrzeugelektrik Eisenach GmbH.Bringe dein Wissen ein: Untersttze das Projekt zur Fehlerreduzierung im Herstellungsprozess des Heifilmluftmassenmessers.Optimiere Fertigungsanlagen: Trage mit Prozess- und Datenanalysen zur Effizienzsteigerung bei.Begleite die Serienfertigung: Analysiere Fertigungsprozesse, untersttze bei der Freigabe neuer Linien und betreue bestehende Anlagen.Arbeite bereichsbergreifend: bernimm Aufgaben in Zusammenarbeit mit Entwicklung, Logistik und Technik, um Fertigungsprozesse zu optimieren.Gestalte Prozesse aktiv mit: Arbeite im Planungsteam an der Optimierung von Fertigungsprozessen und leite ein eigenes Projekt.Ausbildung: Studium in Elektrotechnik, Maschinenbau, Ingenieurwissenschaften oder einem vergleichbaren FachgebietQualifikation: sicherer Umgang mit Office-Anwendungen, Kenntnisse in Datenvisualisierung und deren Aufbereitung, Programmiergrundkenntnisse von VorteilArbeitsweise: Verantwortungsbewusste, zielorientierte und selbststndige ArbeitsweisePersnlichkeit: Hohes Ma an Eigeninitiative, Teamfhigkeit und KommunikationsstrkeSprachen: Sehr gute Deutschkenntnisse und gute EnglischkenntnisseBeginn: ca. August 2025
Dauer: 6 Monate Voraussetzung fr das Praktikum ist die Immatrikulation an einer Hochschule.Bitte fgen Sie Ihrer Bewerbung folgende Dokumente bei:Lebenslaufaktuelle ImmatrikulationsbescheinigungNotenspiegelggf. Nachweis ber Sprachniveau C1ggf. Prfungsordnung aus der die Dauer eines Pflichtpraktikums hervorgehtggf. eine gltige Arbeits- und Aufenthaltserlaubnis
Du hast Fragen zum Bewerbungsprozess?
Noah Suck (Personalabteilung)
+49 3691 64 5511"
3547982," Pflichtpraktikum im Bereich SAP-Prozessabläufe S/4HANA","https://jobs.smartrecruiters.com/BoschGroup/744000079915957--pflichtpraktikum-im-bereich-sap-prozessablaufe-s-4hana","BoschGroup","Lohr am Main","No","Not specified","Full time","2025-09-05T01:52:06.954480Z","Ist es deine Leidenschaft, komplexe Datenlandschaften zu ordnen und digitale Transformationen aktiv mitzugestalten? Du siehst in przisen Stammdaten den Schlssel zu effizienten Prozessen und mchtest den Wandel hin zu einer modernen Systemlandschaft vorantreiben? Dann gestalte mit uns die digitale Zukunft und sorge fr die Datenbasis, die unser Unternehmen voranbringt.Du stellst die Qualitt und Aktualitt unserer SAP-Stammdaten sicher, indem du nderungen przise umsetzt und pflegst.Im Bemusterungsprozess von Neuteilen untersttzt du aktiv und sorgst fr die korrekte Abbildung in SAP, um reibungslose Ablufe zu gewhrleisten.Du wirkst mageblich an unserer S/4 HANA Transformation mit und bringst deine Expertise ein, um den bergang erfolgreich zu gestalten.Fr wichtige Prsentationen bereitest du komplexe Daten auf, analysierst sie und visualisierst Erkenntnisse verstndlich.In enger Zusammenarbeit mit verschiedenen Fachbereichen erarbeitest du Inhalte und Konzepte zur weiteren Digitalisierung unserer Geschftsprozesse.Deine Perspektive und dein Fachwissen bringst du aktiv in relevante Meetings ein.Ausbildung: Studium im Bereich Betriebswirtschaftslehre, Wirtschaftsingenieur, Wirtschaftsinformatik oder vergleichbarErfahrungen und Know-how: Kenntnisse in MS Office, Erfahrungen mit SAP sind von VorteilPersnlichkeit und Arbeitsweise: du bist in der Lage sowohl eigenstndig und strukturiert zu arbeiten als auch dich aktiv in ein Team einzubringen; du hast eine Affinitt zur ITSprachen: gutes Deutsch und EnglischBeginn: 01/02/2026
Dauer: 6 MonateVoraussetzung fr das Praktikum ist die Immatrikulation an einer Hochschule. Bitte fgen Sie Ihrer Bewerbung Ihren Lebenslauf, Ihren aktuellen Notenspiegel, eine aktuelle Immatrikulationsbescheinigung, Ihre Prfungsordnung sowie ggf. eine gltige Arbeits- und Aufenthaltserlaubnis bei.Vielfalt und Inklusion sind fr uns keine Trends, sondern fest verankert in unserer Unternehmenskultur. Daher freuen wir uns ber alle Bewerbungen: unabhngig von Geschlecht, Alter, Behinderung, Religion, ethnischer Herkunft oder sexueller Identitt.Sie haben fachliche Fragen zum Job?
Johannes Latzko (Fachabteilung)
+49 172 571 1904Weitere Informationen zu uns findest du auch auf www.boschrexroth.de/karriere sowie auf unseren Social Media Kanlen, beispielsweise Instagram.Move with us. Win together.In diesem Team sind wir per du. Werde ein Teil davon! Work #LikeABosch"
3547981,"General Manager, Bosch China Software Center_Wuxi, China_SL3 m/f/div.","https://jobs.smartrecruiters.com/BoschGroup/744000079919297-general-manager-bosch-china-software-center-wuxi-china-sl3-m-f-div-","BoschGroup","Wuxi","No",5,"Full time","2025-09-05T01:52:06.954499Z","The Bosch China Software Center (BCSC) is dedicated to supporting local development and implementing customer-specific changes for Bosch Business Units in China, employing over 1000 associates. It plays a crucial role in driving market-driven product development in areas such as Connectivity, Fuel Cells, Intelligent Connected Vehicles (ICV), Advanced Driver Assistance Systems (ADAS) and household appliance.As the General Manager, you will be responsible for defining and executing the mid-term and long-term strategy of the Software Center, driving business growth, fostering a high-performance culture, and ensuring technical excellence across all software development activities.Develop and execute the mid- and long-term strategy and annual business plan for the Software Center, including full P&amp;L responsibility.Drive software engineering excellence and lean processes to meet customer needs in terms of speed, quality, and cost-effectiveness.Lead the design and execution of the software technology roadmap and competence management initiatives to maintain a competitive edge in the industry.Foster innovation in software products, solutions, processes, and business models in close collaboration with customers and internal stakeholders.Build and lead an organization with an open, fair, trust-based, and innovative culture that attracts, develops, and retains top young talent.Bachelors or masters degree in Computer Science, Software Engineering, or a related field.Excellent leadership in building and managing a sizable, high-performing team with a strong talent pipeline.Experience in engineering, AI, or a related field is preferred, with at least 5 years in leadership role in a sizable organization.Strong strategic thinking capabilities, with a customer-oriented and results-driven mindset.Excellent communication skills, with the ability to effectively engage in an international environment.Fluency in English, both verbal and written."
3547980,"Research Scientist – Computer Vision","https://jobs.smartrecruiters.com/BoschGroup/744000079919755-research-scientist-computer-vision","BoschGroup","Bengaluru","No","Not specified","Full time","2025-09-05T01:52:06.954519Z","Job Description -We are looking for a highly motivated Research Scientist  Computer Vision to join our advanced research team at Boschs Corporate Research and Technology Center India (CR/RTC-IN), Bangalore. This role focuses on scientific innovation and foundational research in areas such as object recognition, visual perception for autonomous systems, scene understanding, and robust visual AI for real-world industrial and mobility environments.The ideal candidate will develop novel vision algorithms and contribute to Boschs global technology roadmap through publications, prototypes, and collaboration with academic and business stakeholders. Key Responsibilities -Conduct original research in:
- Image and video understanding (object detection, tracking, segmentation)
- Scene understanding, 3D perception, and sensor fusion
- Multimodal visual grounding (vision-language models, visual question answering)
- Lightweight vision models for real-time and embedded applicationsDevelop and maintain reproducible research pipelines for experimentationCollaborate with Bosch units globally to align research with mobility and manufacturing use casesPublish results in top-tier conferences (CVPR, ICCV, ECCV, NeurIPS, ICRA, IROS)Contribute to patents and strategic IP in the area of computer vision and perceptionMentor interns, junior researchers, and actively contribute to the internal AI communityEducational qualification:Ph.D. or Masters in Computer Science / Electrical Engineering / AI / Vision or equivalentExperience :48 years in Computer Vision / Deep Learning ResearchMandatory/requires Skills :Deep understanding of computer vision and machine learning fundamentalsHands-on experience with:
- Deep learning frameworks (PyTorch, TensorFlow, OpenCV)
- Visual perception pipelines: object detection (YOLO, Faster R-CNN), segmentation (Mask R-CNN, SAM), depth estimation
- Camera/LiDAR/RGB-D fusion or 3D point cloud processingStrong programming skills in Python/C++Demonstrated publication record in CV/AI/robotics venuesFamiliarity with evaluation protocols, datasets (KITTI, COCO, Waymo, Cityscapes)Preferred Skills :Experience with:
- Vision-Language Models (e.g., CLIP, BLIP, Kosmos)Self-supervised / few-shot / continual learning for visual tasksIndustrial visual inspection or anomaly detection in manufacturingReal-time deployment on edge or embedded systems (e.g., NVIDIA Jetson, DSPs) - Prior contributions to open-source vision projectsAt Bosch Research, you will work on solving real-world industrial problems with the full support of Boschs global innovation network. This role combines deep technical execution with strategic leadership, offering the unique opportunity to shape the future of AI/ML at Bosch and beyond."
3547979,"SO_AA_Platform_Administrator_TM","https://jobs.smartrecruiters.com/BoschGroup/744000079920435-so-aa-platform-administrator-tm","BoschGroup","Coimbatore","No",3,"Full time","2025-09-05T01:52:06.954539Z","Roles &amp; Responsibilities :Interfaces directly with customers at all stages of problem resolution process (including understanding issues that customers are facing, communicating action plans, explaining ongoing developments, and conveying resolution)Validates technical information, sets fair expectations, and disseminates information as neededSchedule, participate and where relevant lead Customer facing calls (being well prepared knowing his/her audience, their related needs, and shares information accordingly)Demonstrates good judgement to actively assess situations, engage senior resources/management (as and when needed) to resolve complex/escalated Customer issuesAbility to work under pressure, multitasking and prioritizing, with a great sense of urgency, collaborating with relevant stakeholders, handling major incidents and/or high severity situationsSystematically gathers relevant information and analyzes a broad range of factors while investigating and resolving issuesMaintains a ""closed-loop"" communication style that ensures proper and consistent documentation in service request/incident case notes; ensuring all stake holders are notified in a timely fashion, of ongoing investigation and problem resolution statusAs a 24 x 5 x 365 organization, MUST BE willing to work in shiftsSupport business needs via taking-up On-Call responsibilities during weekends and/or public holidays (as and when need arises)Create knowledge base (where nonexistent) and refine existing knowledge base content to keep it up to date/relevant; may perform senior or expert level tasks for assigned products and skills Educational qualification:BE/B-Tech in computer science/Electronics or equivalent. 3+ years of Experience in IT Infrastructure supportExperience :3+ years of Experience in IT Infrastructure supportMandatory/requires Skills :Possesses extensive knowledge in RPA Platform Automation Anywhere (A360 versions) in Platform administrationThrive &amp; excel in a high-pressure, time sensitive enterprise environment between RPA Application and IT InfrastructureFantastic Customer focused service skill (Empathy-based listening, written and verbal skills)Excellent Analytical &amp; Technical Troubleshooting skillsGreat Team Player, Interpersonal skills, and Presentation skillsFair understanding of Automation Anywhere Key functionalities (like RPA, AARI, IQBOT &amp; Process Discovery) and their value proposition to the customerGood knowledge on Windows Server Operating system environmentsExcellent understanding on RDBMS (MS-SQL &amp; MySQL)Basic understanding of web scripting programs &amp; Git/BitBucketKnowledge on Automation Anywhere A360 migration is added advantageSoft Skills:Excellent problem-solving abilities and attention to detail.Strong communication and teamwork skills.Ability to work in a fast-paced environment and manage multiple tasks simultaneously.Proactive attitude towards learning and adapting to new technologies."
