"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2800295,"Software Engineer (.NET)","https://jobs.smartrecruiters.com/Cyberark1/744000054244905-software-engineer-net-","cyberark","Hyderabad","No",3,"Full time","2025-04-17T01:55:40.339933Z","Responsibilities:Help guide and contribute to feature design and implementation to bring the product to the next level.Participate in continuous and iterative engineering cycles with emphasis on code quality, supportability, scalability and performance.Develop and review unit test cases to ensure comprehensive unit testing.Diagnose and fix product issues found internally or in the field.Interface with Support to handle customer escalation issues.Mentor junior members of the team in their assigned tasks and their technical skills development.#LI-HK01Requirements:3-5 years in enterprise scale application development and hands-on software development experience, with the most recent experience preferably in cloud/SaaS environment.BS in Computer Science or equivalent combination of technical education and work experience.Expertise with C#, ASP.NET MVCExpertise and hands-on experience with web services (e.g. REST, SOAP).Experience with Javascript, CSS, HTML.Familiarity with general software development release lifecycle, source code management and defect management methodologies.Proficient understanding of SQL and relationship databases.Preferred experience with AWS serverless architectures, microservices, and distributed systemsKnowledge and experience with authentication standards such as SAML, WS-Fed, OpenId or OAuth a plus.Solid understanding of security and networking implementation and best practices.Demonstrate ability to complete highly detailed tasks with strict attention to detail, quality and timeliness.Strong organizational and self-management skills.Excellent analytical and troubleshooting skills.Excellent oral and written communication skills."
2800294,"Senior Business Intelligence Analyst, Finance","https://jobs.smartrecruiters.com/Cyberark1/744000054258834-senior-business-intelligence-analyst-finance","cyberark","Newton","No",4,"Full time","2025-04-17T01:55:40.340021Z","CyberArk is seeking a Senior Business Intelligence Analyst to join our Business Analytics organization. In this role, you will serve as a strategic partner to our FP&amp;A, Treasury, Billing, and broader Finance teams, leveraging advanced analysis methods to proactively identify trends, shape data-driven narratives, and drive high-impact decision-making.You will use your expertise in data storytelling, SQL, and BI tools to not only build dashboards but also to influence and guide stakeholders. A deep understanding of subscription-based revenue models, key financial metrics (e.g., ARR), and stakeholder management is essential to excel in this role. By delivering meaningful recommendations and insights on forecasting, budgeting, cash flow, and broader SaaS metrics, you will have a direct impact on our growth and financial performance.Independently design and deliver compelling data stories for Finance leadership, articulating how specific findings connect to strategic decisions. Strong presentation and communication skills are criticalConduct ad-hoc analyses using Snowflake to provide real-time support for critical business questionsIdentify potential issues and opportunities before they become urgent, proposing smart solutions proactivelyAnalyze large datasets to identify trends and anomalies, summarize findings, and provide clear, concise recommendationsCollaborate with the different teams within the Finance organization to identify opportunities for process improvement and automation of legacy processesDrive adoption and usage of reporting and KPI metrics #LI-IR1Bachelors degree in quantitative or related field4+ years of experience in business intelligence, analytics, or related role, preferably supporting finance teamsHands-on experience with BI tools (e.g., Tableau, Power BI)High proficiency in SQL for querying and manipulating complex datasetsFamiliarity with Salesforce (for CRM and pipeline data) and ERP systems like NetSuite (for financial data management)Strong understanding of financial conceptsAbility to prioritize multiple projects and work in a dynamic, fast-changing environment across distinct functions, countries, and levels of seniority.Excellent verbal and written communication skillsSmart, bold, and humble attitude to work collaboratively with CyberArk colleaguesCyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $87,000  $121,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2800293,"Enterprise Account Executive- Four Corners","https://jobs.smartrecruiters.com/Cyberark1/744000054275160-enterprise-account-executive-four-corners","cyberark","Denver","Yes",3,"Full time","2025-04-17T01:55:40.340056Z","CyberArk is looking for an experienced Enterprise Account Executive who is a true A-player, able to deliver consistent excellence and help take CyberArk to the next level. If you are hungry for results and want to join a company that can accelerate your career and earnings, then this is the role for you! As an Enterprise Account Executive, you will build, advance and close pipelines predominantly through the Channel, with responsibility for your own quota.  Responsibilities: Qualify, progress and close deals alongside CyberArk Partners to meet and exceed your own personal quota (predominantly to customers with less than $1billion annual revenue)  Proactively prospect new business opportunities with focus accounts via cold call, email, prospecting tools &amp; marketing leads provided, working with CyberArk Partners where appropriate  Manage and track opportunities and pipeline in Salesforce  Collaborate closely with our Channel partners in finding, progressing and closing deals  Understand and communicate CyberArks features, benefits as well as role in the privileged access security space  Support both internal and partner marketing campaigns and events  Collaborate with members of the assigned territory  Perform other duties as assigned #LI-MR2Minimum of 3 years experience in leading Sales cycles and successfully carrying quota (USD +500k annually) Experience of solution-based selling in the Technology/IT sector Proven track record of success (consistent quota achievement) Proven sales methodology and negotiation skills Knowledge of CRM software (preferably Salesforce) Ability to multi-task and prioritize while achieving quota Works well in a matrix organization Ideally experience in indirect selling and working with Channel Partners Creative problem-solving, strong interpersonal skills and willingness to take the initiative Self-Motivated and persistent with a desire to grow with the company Ability to embrace the CyberArk culture  Some travel outside of the office and/or country will be required CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $72,000  $95,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2800292,"Site Reliability Engineer Intern","https://jobs.smartrecruiters.com/Cyberark1/744000054284579-site-reliability-engineer-intern","cyberark","Boston","Yes","Not specified","Internship","2025-04-17T01:55:40.340087Z","CyberArk is seeking college undergraduates and graduates looking for an immersive learning experience. Whether youre looking to build career-specific skills, get a better understanding of what company culture suits you, or start your career, we provide the opportunity to jump right in and make an immediate impact. No matter what team youre on, youll be involved in projects from day one and get true hands on, practical experience. Dont be surprised if your teammates are there to give you a helping hand and allow you to grow professionally all while creating strong relationships.   What you need to succeed Management of AWS infrastructure components such as VPCs, EC2, EKS, S3, tagging schemes, CloudFormation, etc.  Deployment and management automation of cloud-based infrastructure and software  Working with configuration management tools in both Windows and Linux - Cloudformation, Helm, Terraform, Salt, Ansible  Ensuring cloud-based architectures meet availability and recoverability requirements  Architecture and implementation of cloud-based monitoring, alerting and reporting  Datadog, Logz.io, InfluxDb, CloudWatch, Catchpoint, ELK, Grafana  Develop tools to enable teams for greater output and reliability.   #LI-JA1Pursuing a B.S. in Computer Science or similar field of study  Other intern experience in designing and delivering software products  Ability to manage using a preferred scripting language  Demonstrated aptitude in quickly mastering new languages and technologies  Good communication and interpersonal skills  Excellent problem solving and troubleshooting skills  Security Experience a plus  CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time. The salary range for this position is $32- $40/hour."
2800291,"Deal Support Specialist - LATAM","https://jobs.smartrecruiters.com/Cyberark1/744000054291355-deal-support-specialist-latam","cyberark","Mexico City","Yes",3,"Full time","2025-04-17T01:55:40.340121Z","The Deal Support Specialist  LATAM plays a strategic role in driving efficiency, compliance, and deal velocity across the region. This role supports the sales team by enabling high-quality, financially viable deal structures, and ensuring alignment with CyberArks sales policies, business rules and internal processes. The position contributes value in four keyways:1. Removing operational barriers that impact seller productivity.2. Protecting company interests by ensuring compliant, financially sound deal structures.3. Improving CRM hygiene, enabling cleaner, more accurate data in sales systems.4. Helping Account Executives (AEs) align customer needs with CyberArks sales processes, operational rules, and best practices to generate valid business proposals.This role reports into the Revenue Operations organization and supports the Americas Sales Organization, with a primary focus on LATAM.Key Responsibilities:Act as a trusted business partner to the LATAM Sales Team on deal structuring, commercial terms, internal processes, and best practices to drive deal closure.Guide AEs on pricing, quoting, approvals, and policy compliance to ensure well-structured and accurate proposals.Partner cross-functionally with Finance, Legal, Operations, and other internal teams to streamline deal execution.Become an expert in CyberArks pricing models, license structures, and historical deal patterns to provide relevant guidance.Collaborate with Sales Operations to recommend and implement process improvements, sales enablement initiatives, and special projects.Contribute to the development and maintenance of global and regional sales policies and procedures.Assist in onboarding and ongoing training for sales teams on deal support, order processes, and internal tools.Offer insight into deal structuring by understanding customer business needs and suggesting optimized solutions, services, and pricing packages.#LI-IR1BS/BA degree required.Fluent in Spanish and English; Portuguese is highly desirable.Strong quantitative and analytical skills.Proficient in Excel, PowerPoint, Salesforce.com, and CPQ platforms.Solid understanding of software revenue recognition principles and order management processes.Highly organized with the ability to manage multiple priorities in a high-volume environment.Excellent problem-solving, reporting, and project management abilities.Minimum of 3 years of sales or sales operations experience, ideally in Cybersecurity or Identity Security solutions."
2800290,"Accounting Intern","https://jobs.smartrecruiters.com/Cyberark1/744000054296055-accounting-intern","cyberark","Newton","No","Not specified","Internship","2025-04-17T01:55:40.340164Z","CyberArk Software is seeking a detail-oriented and motivated Accounting Intern to join our team. This internship offers an exciting opportunity to gain hands-on experience in a fast-growing, publicly traded cybersecurity company. The intern will support the accounting team by assisting with employee expense reimbursement, cash processes, and other general accounting functions.Key Responsibilities:Support global Travel &amp; Expense (T&amp;E) processes, ensuring compliance with company policies and audit requirements.Review and approve employee expense reports; resolve discrepancies and provide policy guidance.Assist with monthly reconciliations and journal entries related to T&amp;E and cash accounting.Apply cash payments to customer invoices and confirm payroll funding.Reconcile cash accounts and support month-end close activities.Leverage Excel (PivotTables, VLOOKUP, formulas) to support reporting, and reconciliation.Collaborate with cross-functional teams to identify and resolve accounting discrepancies.Currently enrolled in a Bachelors degree program in Accounting, Finance, or a related field.Self-motivated, enthusiastic, and a strong team player.Ability to work independently and cross-functionally in a fast-paced environment.Exceptional attention to detail and the ability to identify and resolve discrepancies.Strong written and verbal communication skills.Proficiency in Microsoft Excel, including PivotTables, VLOOKUP, and advanced formulas.Basic knowledge of Generally Accepted Accounting Principles (GAAP) is a plus.CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time. The salary range for this position is $23- $37/hour."
2800289,"Sales Development Representative- Public Sector","https://jobs.smartrecruiters.com/Cyberark1/744000054337501-sales-development-representative-public-sector","cyberark","Salt Lake City","No","Not specified","Full time","2025-04-17T01:55:40.340194Z","CyberArk is looking for early career professionals who are excited to build a career in technology sales. Our Sales Development Representatives are resourceful, organized, enthusiastic, and driven to make an impact. They are team players who take initiative, ask questions, and push themselves to grow. In this role, youll partner with account executives to identify and open new business opportunities across state, local, and education accounts. Youll engage prospective customers through email, phone, and prospecting tools to uncover challenges and spark meaningful conversations. Youll be expected to consistently manage your pipeline, hit outreach goals, and build a strong foundation in the cybersecurity space. Success in this role requires focus, curiosity, and a willingness to learn. Prior lead generation, sales prospecting, or customer-facing experience is not required but may enhance your candidacy for this role. Comfort using technology and communicating across multiple channels is also a strong advantage. What You Will Do: Prospect new business opportunities with public sector accounts through cold calling, email, and prospecting tools Follow up on marketing-generated leads and identify customer pain points Communicate CyberArks value and align solutions to customer needs Stay organized and on track using Salesforce and other sales engagement tools Collaborate closely with the sales team to qualify and transition opportunities Represent yourself and CyberArk with professionalism, curiosity, and confidence Take ownership of your development by asking for feedback and embracing growth #LI-IR1Organized, focused, and comfortable managing multiple priorities Clear and confident communicator by phone and email Tech-savvy and comfortable using digital sales tools Motivated, self-starting, and goal-oriented Competitive, collaborative, and positive under pressure Willing to ask for help and continuously improve Experience or interest in supporting public sector is strongly preferred Bachelors degree is a plus  CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $50,000  $67,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2800288,"Corporate Development Intern","https://jobs.smartrecruiters.com/Cyberark1/744000054350744-corporate-development-intern","cyberark","Newton","No","Not specified","Internship","2025-04-17T01:55:40.340224Z","We are seeking a motivated and analytical Summer Intern to join our Corporate Development team. This is an exciting opportunity to gain hands-on experience in M&amp;A strategy, market intelligence, and strategic planning at a fast-paced cybersecurity company. As part of the team, youll contribute to projects that support long-term growth initiatives, strategic partnerships, and investment decisions.What Youll Do:Support the identification, evaluation, and execution of M&amp;A opportunities and strategic partnerships.Conduct market and competitive research to assess industry trends, potential acquisition targets, and emerging technologies.Help build financial models and valuation analyses to support decision-making.Assist in preparing presentations and materials for senior leadership and Board discussions.Collaborate with cross-functional teams including finance, legal, product, and engineering to support due diligence efforts.Track key metrics and support the development of dashboards for pipeline and strategic initiatives.#LI-JA1Current undergraduate (junior/senior) or MBA student with a strong academic record.Background in finance, economics, business, or a related field; interest in cybersecurity is a plus.Strong analytical, problem-solving, and financial modeling skills.Excellent communication and presentation abilities.Self-starter who thrives in a fast-paced, dynamic environment.Proficiency in Excel and PowerPoint; familiarity with databases like PitchBook or Capital IQ is a plus.CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time. The salary range for this position is $25- $29/hour."
2800287,"Sales Development Representative","https://jobs.smartrecruiters.com/Cyberark1/744000054356705-sales-development-representative","cyberark","Salt Lake City","No","Not specified","Full time","2025-04-17T01:55:40.340253Z","CyberArk is looking for early career professionals who are excited to build a career in technology sales. Our Sales Development Representatives are resourceful, organized, enthusiastic, and driven to make an impact. They are team players who take initiative, ask questions, and push themselves to grow.In this role, youll partner with account executives to identify and open new business opportunities. Youll engage prospective customers through email, phone, and prospecting tools to uncover challenges and spark meaningful conversations. Youll be expected to consistently manage your pipeline, hit outreach goals, and build a strong foundation in the cybersecurity space.Success in this role requires focus, curiosity, and a willingness to learn. Prior lead generation, sales prospecting, or customer-facing experience is not required but may enhance your candidacy for this role. Comfort using technology and communicating across multiple channels is also a strong advantage.What You Will Do:Prospect new business opportunities with commercial accounts through cold calling, email, and prospecting toolsFollow up on marketing-generated leads and identify customer pain pointsCommunicate CyberArks value and align solutions to customer needsStay organized and on track using Salesforce and other sales engagement toolsCollaborate closely with the sales team to qualify and transition opportunitiesRepresent yourself and CyberArk with professionalism, curiosity, and confidenceTake ownership of your development by asking for feedback and embracing growth#LI-IR1Organized, focused, and comfortable managing multiple prioritiesClear and confident communicator by phone and emailTech-savvy and comfortable using digital sales toolsMotivated, self-starting, and goal-orientedCompetitive, collaborative, and positive under pressureWilling to ask for help and continuously improveSales or customer-facing experience is strongly preferredBachelors degree is a plus CyberArk is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status. We are unable to sponsor or take over sponsorship of employment Visa at this time.The salary range for this position is $51,000  $67,000/year, plus commissions or discretionary bonus, which will be based on the employees performance. Base pay may also vary considerably depending on job-related knowledge, skills, and experience. The compensation package includes a wide range of medical, dental, vision, financial, and other benefits."
2793570,"Learning & Development Intern","https://jobs.smartrecruiters.com/Cyberark1/744000054191783-learning-development-intern","cyberark","Petach Tikva","No","Not specified","Internship","2025-04-17T01:55:40.340282Z","CyberArks Learning &amp; Organizational Development team is looking for a motivated and detail-oriented Learning Intern to support the day-to-day operations of our learning ecosystem. This student role is ideal for someone passionate about learning, technology, and operations, who wants hands-on experience in managing learning systems and training logistics in a global environment.Responsibilities:Provide operational support for managing the learning management system: build classes, upload content, assign trainings, and mark completions.Support the ongoing migration of content and workflows between learning systems, ensuring accuracy and functionality.Manage course administration end-to-end, including communication with vendors, sending invitations to participants, updating learning plans, and hosting sessions.Coordinate logistics for technical trainings, including room scheduling, attendance tracking, and handling waiting lists.Generate and schedule automated reports to stakeholders and analyze learning data.Respond to IT tickets and system-related inquiries, and follow up on resolution.Support license management processes by tracking usage and maintaining records.Maintain internal resources and updates, including monthly content refreshes and survey creation.#LI-CR1Second-year student pursuing a degree in Learning Technologies, Human Resources, Organizational Psychology, or a related field with a focus on learning.Available to work at least three days a week for at least three semesters.Strong organizational skills and attention to detail.Ability to work independently while collaborating closely with global team members and vendors.Tech-savvy, with a proactive mindset and willingness to learn new systems and tools.Excellent communication skills in English (verbal and written).Customer-oriented and responsive.Preferred Qualifications:Familiarity with learning systems or digital tools.Experience managing logistics or coordination of events/trainings.Interest in reporting, data, or process improvement."
