"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3262354,"PV | Analista de Pricing Pleno ","https://jobs.smartrecruiters.com/Experian/744000070489117-pv-analista-de-pricing-pleno-","Experian","São Paulo","No","Not specified","Full time","2025-07-15T02:21:24.738629Z","Responsabilidades:Apoiar na definio de estratgias de precificao com base em anlises de mercado, concorrncia e rentabilidade;Realizar estudos de elasticidade de preo e impacto financeiro de alteraes tarifrias;Automatizar processos de precificao e desenvolver ferramentas de apoio  rea comercial;Atender solicitaes do time comercial para simulaes de preos e condies comerciais;Elaborar propostas comerciais com base em polticas internas e margens definidas;Garantir o correto input de condies nos sistemas internos;Apoiar a rea de Pricing na manuteno de tabelas e regras comerciais;Manter o controle e registro das propostas enviadas e condies aplicadas.Requisitos:Ensino superior completo em Administrao, Economia, Engenharia ou reas correlatas;Boa habilidade com Excel;Organizao, ateno a detalhes e agilidade no atendimento de demandas;Boa comunicao para interao com reas internas;Experincia prvia com pricing, produtos financeiros ou adquirncia.A Serasa Experian  muito mais do que voc imagina. Com o propsito de criar um futuro melhor, ampliando oportunidades para pessoas e empresas, no Brasil somos mais de 4 mil pessoas que atuam em diversos times e especialidades. Aqui, cada conhecimento e diversidade se complementa e voc pode trabalhar no que mais ama, estamos comprometidos a construir uma cultura inclusiva e um ambiente no qual pessoas possam equilibrar a carreira com seus compromissos e interesses pessoais, prezando pelo bem-estar.A gente se dedica muito em ser uma das melhores e mais inovadoras empresas para se trabalhar do pas, possibilitando experincias e carreiras incrveis para nossas pessoas. Nossa forte abordagem de pessoas em primeiro lugar  reconhecida externamente por meio de diversas certificaes de mercado: fomos premiados pelo Great Place To WorkTM em 24 pases e pela certificao internacional Top Employers, alm de sermos reconhecidos como uma das melhores empresas para jovens profissionais e contarmos com uma avaliao de 4,6 no Glassdoor. Cada reconhecimento nos indica que estamos no caminho certo, proporcionando um ambiente de trabalho cada vez melhor para nossos talentos.#LI-HYBRIDVem ser #TimeVeloz!Vamos crescer juntos! Queremos contribuir de verdade para o crescimento dos que esto ao nosso redor. Nosso Propsito? Melhorar vidas, compartilhar sonhos e realizaes."
3262353,"Senior DevSecOps Engineer","https://jobs.smartrecruiters.com/Experian/744000070488268-senior-devsecops-engineer","Experian","Hyderabad","No",8,"Full time","2025-07-15T02:21:24.738707Z","Experian Consumer Services  Careers That Define ""The Next Big (Data) Thing"" for Consumers What could be more exciting  personally and professionally  than being part of a ""disruptive"" business? Consider taking your career to the next level by joining the Leader that continues to disrupt the competition. As the ""disruptor"" and market leader, we pride ourselves on building new markets, leading the pack through continuous evolution and innovation. It's a position Experian Consumer Services has enjoyed for more than a decade, and we're always looking for the talent that can help expand that lead. When you're the leader, it's always urgent, important, and market-changing. We think that defines the true ""disruptive"" business. Join us and create some chaos for the competition. Position Overview: The Senior DevSecOps Engineer is a hands-on technical position responsible for architecting and implementing AWS cloud infrastructure security controls and automation processes. This role will work directly with security architecture teams to enhance security posture through automation and infrastructure as code.Key Responsibilities:Design and implement secure AWS architectures for compute, container, and serverless platforms, ensuring robust security controls and compliance.Build and maintain automation frameworks for security controls and compliance using Python, enhancing efficiency and reducing manual intervention.Develop and manage IAM frameworks and permission boundaries to enforce least privilege access and secure identity management.Implement secure CI/CD pipelines with integrated security controls, leveraging tools like Jenkins and GitLab for automated security testing.Create and maintain AMI vending machine with security baseline configurations, ensuring consistent and secure deployment of instances.Manage container security controls for ECS/EKS environments, including vulnerability scanning and runtime security.Implement data security controls for S3, DynamoDB, and RDS, focusing on encryption, access management, and monitoring.Ensure compliance with PCI-DSS, SOC2, and internal security standards through continuous monitoring and automated validation.    Technical Environment:AWS Core Services (EC2, Lambda, ECS/EKS, S3, DynamoDB) with a focus on secure configurations and best practices.Infrastructure as Code (Terraform, CloudFormation) for automated and repeatable deployments.Python automation frameworks for scripting and automating security tasks.CI/CD tools (Jenkins, GitLab) for automated build, test, and deployment processes with integrated security controls.Container platforms (Docker, Kubernetes) with a focus on security and orchestration.Linux systems administration for managing and securing server environments.Network security controls to protect against external and internal threats.Data encryption and key management to ensure the confidentiality and integrity of sensitive information. 8+ years of experience in Cloud Security/DevOps roles.Strong Python programming background.Deep AWS services knowledge and implementation experience.Expertise in infrastructure automation and security.Experience with container orchestration and security.Understanding of compliance frameworks.Bachelor's degree in Computer Science or equivalent experience.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262352,"Account Executive (Sales) - Remote","https://jobs.smartrecruiters.com/Experian/744000070520294-account-executive-sales-remote","Experian","Costa Mesa","Yes",5,"Full time","2025-07-15T02:21:24.738734Z","Communication is the key to our success. You grasp concepts quickly and know how to make the complex easy to understand. You can effortlessly share your knowledge of the industry and how your customer is using data, software, and analytics to enhance their business. You collaborate naturally with members across different teams balancing priorities. You excel at bringing the right people to the table, handling issues, and identifying opportunities. You increase results to identify new ways to maintain current partnerships. You prioritize accountability, building trust with your teammates and customers.What you'll do...This is a remote position reporting to the Senior Sales Director. You will manage opportunities within the current group of business accounts by calling out to current customers regarding new products that may be of interest. Your role on the Growth Channel Sales Center team for Consumer Information Services, is to increase Experian revenue by managing, and closing deals with existing customers. You will consult with C-level decision makers to understand and diagnose our needs, and then develop complex solutions to targeted financial institutions/prospects leading deals for Experian. You will report to Experian's Senior Sales Director/Middle Markets.You will have a base salary (as listed) plus uncapped commissions5+ years of successful sales experience with experience expanding existing relationships and revenue opportunitiesBackground in Financial Services, Technology, or related field salesBanking or Credit Union experienceYou understand corporate financial priorities and the plans designed to deliver revenue and profit expectationsYou have experience delivering double digit revenue growth by solution sellingYou can work with important areas across customers' organizations, including marketing, account acquisitions, risk management, and collections.PerksGreat compensation package and incentive planPaid time off401K with a 4% company match with immediate vestingComprehensive health, dental, and vision plans12 paid company holidays, 5 sick days, and 2 paid volunteer daysOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, engagement, collaboration, wellness, reward and recognition, volunteering... the list goes on. Experian's people first approach is award-winning; Great Place To WorkTM in 24 countries, FORTUNE Best Companies to work and Glassdoor Best Places to Work (globally 4.4 Stars) to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, color, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity.#LI-Remote"
3262351,"Senior Quality Assurance Engineer","https://jobs.smartrecruiters.com/Experian/744000070558775-senior-quality-assurance-engineer","Experian","Hyderabad","No",4,"Full time","2025-07-15T02:21:24.738749Z","We're seeking a passionate Senior Test Engineer to drive cloud modernization within our Credit &amp; Verification Services team. This hybrid role requires ~40% on-site presence in our Hyderabad office.Key Responsibilities:You will be #LI-hybrid based in Hyderabad and reporting to Director Engineering.Provide technical leadership to QA and junior testers.Design, develop, and execute manual and automated test strategies aligned with business and technical goals.You will review automation code and implement best practices and frameworks.Identify process gaps and lead QA process improvements.Collaborate with development, DevOps, and product teams to embed quality throughout the SDLC.Own quality metrics, report results, and support risk assessments.Lead root cause analysis and implement preventive measures.Promote shift-left testing practices.Qualifications:Bachelor's degree in Computer Science, Engineering, or related field.Min 4+ years of experience in quality engineering or test automation for software systems.Proven experience testing complex, high-volume, mission-critical applications.Background in regulated domains like finance or insurance .Strong problem-solving mindset with a passion for quality and high-standard delivery.Emphasis on quality-first, security best practices, and shift-left testing.Required Technical Skills:Solid grasp of QA methodologies, Agile testing, and SDLC.Hands-on with automation tools: Selenium, Cypress, etc.API testing using Postman, Rest Assured, or Karate.Experience building automation frameworks (BDD/TDD) using Cucumber.Proficient in at least one language: Python, Java, Scala, or JavaScript.CI/CD tools: Jenkins, GitHub Actions, Bamboo, etc.Cloud testing experience (preferably AWS) with services like S3, Lambda, Step Functions, Glue, EventBridge, Batch.Strong SQL/database testing skills.Exposure to performance testing tools: JMeter, Gatling, or Locust.Familiar with version control tools like Git.Added Advantage:Experience in Big Data testing.Exposure to AI/ML model testing and validation.Familiarity with observability tools like CloudWatch, Splunk.Basic knowledge of security testing tools.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Global Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site and Glassdoor to understand why. Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, color, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity. Benefits Experian care for employee's work life balance, health, safety and wellbeing. In support of this endeavor, we offer best-in-class family well-being benefits, enhanced medical benefits and paid time off. This is a hybrid remote/in-office role.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262350,"Lead Automation Engineer","https://jobs.smartrecruiters.com/Experian/744000070558650-lead-automation-engineer","Experian","Hyderabad","No",10,"Full time","2025-07-15T02:21:24.738761Z","We are looking for an enthusiastic Lead Test Engineer to work at the forefront of our cloud modernization, within our Credit &amp; Verification Services. This is a hybrid role requiring travelling to Hyderabad office circa 40% days per month.You will be #LI-hybrid based in Hyderabad and reporting to DirectorOwn the overall quality strategy, including functional, automation, performance data, and security testing for the product or program.You will Lead and mentor a team of test engineers, driving best practices.Architect, design, and implement robust, scalable automation frameworks and testing strategies.Partner with developers, DevOps, product management, and business stakeholders to embed quality early in the development lifecycle (Shift-Left)Define and monitor quality metrics, KPIsDrive root cause analysis for critical defects and implement corrective and preventive measures.Lead automation-first practices to accelerate release cycles.Contribute to release governance processes, production signoff and risk assessments.Advocate for testability, reliability, and observability in software design and architecture discussions.  Bachelor's degree in computer science, Engineering, or related field10 years of hands-on experience in a quality engineering or test automation role for software systems.Minimum 2-3 years in technical leadership or test lead role managing test teams or cross functional squads.Proven track record in delivering quality for large-scale, cloud-native systems.Experience working in regulated industries like finance, insurancePassion for driving a quality mindset, continuous improvement, and engineering excellence.Strong expertise in QA methodologies, Agile testing, SDLC, DevOps and continuous testing practices.Proficiency in test automation tools such as Selenium, Cypress, Playwright or similar.Experience in API testing using Rest Assured, Karate, Postman or similar.Expertise in building and scaling test automation frameworks for UI, API, data and backend systems.Strong CI/CD pipeline management using Jenkins, GitHub Actions or Bamboo.Hands-on experience testing cloud-native architecture (AWS preferred)  including services like S3, Lambda, Glue, Step Functions, Event Bridge, Batch and moreSolid experience in SQL, database, and Big Data validation.Familiarity with observability, monitoring and alerting systems like CloudWatch, SplunkHighly Desirable and Useful skills:Hands-on experience in Big Data testing, AWS glue pipelines, and data lakes.Exposure to AI/ML model testing and validation.Knowledge of performance testing tools (e.g., JMeter, Gatling).Basic understanding of security testing principles and tools.Lead automation strategy in multi-cloud or hybrid environments.Our uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Global Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site and Glassdoor to understand why. Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, color, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity. Benefits Experian care for employee's work life balance, health, safety and wellbeing. In support of this endeavor, we offer best-in-class family well-being benefits, enhanced medical benefits and paid time off.This is a hybrid remote/in-office role.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262348,"Quality Assurance Engineer","https://jobs.smartrecruiters.com/Experian/744000070559995-quality-assurance-engineer","Experian","Hyderabad","No",4,"Full time","2025-07-15T02:21:24.738774Z","We are looking for an enthusiastic Test Engineer to work at the forefront of our cloud modernization, within our Credit &amp; Verification Services. This is a hybrid role requiring travelling to Hyderabad office circa 40% days per month.You will be #LI-hybrid based in Hyderabad and reporting to Director.Design, develop, and execute manual and automated test scripts based on business requirements.Develop, maintain, and enhance automation frameworks for UI, API, and backend testing.Create and maintain test data, test environments, and automation scripts.Perform various types of testing:White Box testingBlack Box testingIntegration testingUI testingAPI TestingCollaborate closely with developers, product owners, and other stakeholders in an Agile environment.You will participate in code reviews, defect triaging, and continuous improvement discussions.Analyze test results, identify root causes, and provide detailed reports.Contribute to CI/CD pipeline integration with automated tests.Qualification:Bachelor's degree in computer science, Engineering, or related field4 years of hands-on experience in a quality engineering, software testing, or test automation.Solid understanding of SDLC, STLC, and Agile/Scrum processes.Passion for quality, learning new technologies, and continuous improvement. Required Technical Skills &amp; Knowledge:Hands-on experience with UI, API automation tools like Selenium, Cypress, Playwright, REST-assured or Postman.Proficiency in Behavior-Driven Development (BDD) and Test-Driven Development (TDD) approachesWorking knowledge of SQL for data validation.Experience in at least one programming/scripting language: Java, Scala, Python, or JavaScript.Basic understanding of Containers (Docker) and CI/CD processes.Experience with version control systems like Git, Bitbucket, GitHub or Gitlab.Working knowledge of API testing, backend validations, and functional automation.Clear understanding of defect lifecycle, reporting, and issue tracking tools like Jira.Strong collaboration skills and a mindset for quality ownershipDesirable and Useful skills:Exposure to AWS services like S3, Lambda, Step Functions, Glue or similar.Understanding of Agile delivery frameworks  Scrum or KanbanKnowledge of Performance Testing toolsBasic knowledge of Big Data TestingOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experian's people first approach is award-winning; World's Best WorkplacesTM 2024 (Fortune Global Top 25), Great Place To WorkTM in 24 countries, and Glassdoor Best Places to Work 2024 to name a few. Check out Experian Life on social or our Careers Site and Glassdoor to understand why. Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is a critical part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, color, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity. Benefits Experian care for employee's work life balance, health, safety and wellbeing. In support of this endeavor, we offer best-in-class family well-being benefits, enhanced medical benefits and paid time off.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262346,"Gerente Go to Market","https://jobs.smartrecruiters.com/Experian/744000070563395-gerente-go-to-market","Experian","Bogotá","No","Not specified","Full time","2025-07-15T02:21:24.738790Z","Objetivo del rol: Liderar la estrategia integral de Go-to-Market para el negocio B2B de Datacrdito Experian, maximizando la penetracin de mercado, acelerando el crecimiento del portafolio y asegurando una experiencia de cliente consistente y rentable durante todo su ciclo de vida. Este rol ser responsable de conectar la visin de producto con la ejecucin comercial, habilitando resultados sostenibles a travs de iniciativas de crecimiento, fidelizacin y evolucin del cliente, con el objetivo de cumplir con el presupuesto de ingresos del negocio.Entregables: 1.      El cumplimiento de objetivos comerciales de ingreso, profundizacin y retencin.2.      Estrategia de Growth Marketing para el segmento B2B3.      Planes GTM por solucin y vertical.4.      Propuestas de valor y mensajes por segmento.5.      Campaas de crecimiento y fidelizacin alineadas al ciclo de vida del cliente.6.      Dashboards de desempeo y analtica de oportunidades.7.      Coordinacin de equipos interfuncionales y gestin de proyectos. Responsabilidades del cargo: 1.      Estrategia de Go-to-Market (GTM): Disear y liderar las estrategias GTM para lanzamientos, expansiones y reposicionamientos de productos. Alinear las prioridades GTM con el roadmap de producto, la estrategia comercial y losIdentificar y priorizar verticales, segmentos y oportunidades de crecimiento de alto impacto.Construir propuestas de valor y casos de uso por industria, basados en necesidades del mercado.2.      Gestin del Ciclo de Vida del Cliente: Disear estrategias omnicanal para profundizacin, retencin y lealtad de clientes.Asegurar la generacin de valor en cada etapa del journey: adquisicin, adopcin, consumo, renovacin y expansin.Liderar campaas de cross-selling, up-selling y consumo incremental basadas en insights de comportamiento..Asegurar consistencia en la experiencia del cliente a lo largo de su ciclo de vida.3.      Liderazgo y Gestin de Equipos:Liderar el equipo de GTM, promoviendo una cultura de alto desempeo y colaboracin.Coordinar iniciativas transversales con Producto, Comercial, Business development, Consultora, Digital, CX, BI y Finanzas.Actuar como sponsor estratgico de iniciativas de crecimiento dentro y fuera del rea.4.      Anlisis y Mtricas:Establecer, monitorear y reportar KPIs de crecimiento, colocacin de productos, conversin y retencin.Traducir datos de clientes, mercado y campaas en acciones concretas de negocio.Utilizar metodologas giles, analtica avanzada y automatizacin para optimizar resultados.5.      Innovacin y Mejora Continua:Incorporar tendencias globales de marketing B2B, growth, tecnologa y GTM en la estrategia local.Promover una cultura de experimentacin, aprendizaje continuo y optimizacin basada en resultados.Proponer mejoras constantes en procesos, herramientas y flujos de trabajo para acelerar el go-to-market.Educacin: Ttulo universitario en Administracin de Empresas, Marketing, Ingeniera Industrial o reas afines. Maestra en Marketing, Estrategia Comercial o Growth.Experiencia: Mnimo 7 aos de experiencia en marketing estratgico, growth marketing o gestin de productos. Experiencia liderando equipos y estrategias Go-to-Market, campaas de fidelizacin o programas de crecimiento de clientes. Experiencia trabajando en entornos de tecnologa, data, servicios financieros o startups.Conocimientos tcnicos requeridos: Estrategias Go-to-Market, Growth marketing, customer lifecycle, producto y marketing digital.Gestin de proyectos comerciales y campaas multicanal.Manejo de CRM, plataformas de automatizacin, herramientas analticas (ej: Salesforce, Google Analytics, Excel avanzado, etc.).Conocimiento de modelos de segmentacin, marketing basado en datos, Inteligencia artificial aplicada a marketing y omnicanalidadIdiomas: Ingls avanzado (escrito y conversacional) para trabajar con equipos globales y documentacin tcnica.Competencias:Visin estratgica con orientacin a resultados.Liderazgo e influencia transversal.Pensamiento analtico y enfoque basado en datos.Habilidad para articular equipos multidisciplinarios.Innovacin, agilidad y capacidad de ejecucin.Comunicacin efectiva y relacionamiento a distintos niveles.Por qu elegir Experian?Innovacin constante: Aqu tus ideas impulsan el cambio.
Desarrollo profesional: Formacin, certificaciones y mentora para tu crecimiento.
Equilibrio real: Flexibilidad, bienestar y trabajo en equipo.Impacto global y regional: Lo que haces aqu transforma vidas en toda LATAM y el mundo.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262345,"Gerente de Soluções","https://jobs.smartrecruiters.com/Experian/744000070563677-gerente-de-solucoes","Experian","São Paulo","No","Not specified","Full time","2025-07-15T02:21:24.738808Z","Sua misso Escalar o Ascend Analytical (Sandbox &amp; Ops) de status MVP para forte trao comercial, ampliando a converso de contratos. Orquestrar a viso, roadmap e execuo de iniciativas internas de GenAI &amp; proactive insights para todo o portflio de Plataformas. Liderar uma clula de PMs, garantindo foco em outcomes e time-to-market. Equilibrar estratgia de produto, influncia/stakeholders e liderana de time. Ser a voz da Serasa em Squads e Fruns executivos e reunies crticas com clientes e times globais. Responsabilidades-chave Definir e priorizar roadmap de features, alinhando-o s metas de receita, adoo de APIs e NPS. Coordenar squads de desenvolvimento, removendo impedimentos. Articular business cases com GTM, Pr-Vendas, Customer Success e Product Marketing, do discovery ao launch. Conduzir storytelling executivo para reas internas, clientes estratgicos e parceiros globais (Experian UK/US).Requisitos obrigatrios Disponibilidade para regime hibrido em So Paulo (2x por semana no escritrio).  4 anos em gesto de produtos B2B/B2B2C de tecnologia ou plataformas de dados. Experincia slida em modelagem de risco/crdito ou analytics para o setor financeiro. Histrico em cloud data platforms (ex.: Databricks, AWS, SageMaker, SAS) e APIs. Ingls avanado (colaborao diria com times globais). Soft skills: influncia &amp; negociao, storytelling executivo, orientado(a) a mercado e resultados. Diferenciais Hands-on em MLOps ou treinamentos de modelos de inferncia. Certificaes CSM, CPO, KMP, Pragmatic/PMC, SAFe, PMI-ACP ou OKR Coach. MBA/Especializao em Analytics, Finanas ou Gesto de Produtos.A Serasa Experian  muito mais do que voc imagina. Com o propsito de criar um futuro melhor, ampliando oportunidades para pessoas e empresas, no Brasil somos mais de 4 mil pessoas que atuam em diversos times e especialidades. Aqui, cada conhecimento e diversidade se complementa e voc pode trabalhar no que mais ama, estamos comprometidos a construir uma cultura inclusiva e um ambiente no qual pessoas possam equilibrar a carreira com seus compromissos e interesses pessoais, prezando pelo bem-estar.A gente se dedica muito em ser uma das melhores e mais inovadoras empresas para se trabalhar do pas, possibilitando experincias e carreiras incrveis para nossas pessoas. Nossa forte abordagem de pessoas em primeiro lugar  reconhecida externamente por meio de diversas certificaes de mercado: fomos premiados pelo Great Place To WorkTM em 24 pases e pela certificao internacional Top Employers, alm de sermos reconhecidos como uma das melhores empresas para jovens profissionais e contarmos com uma avaliao de 4,6 no Glassdoor. Cada reconhecimento nos indica que estamos no caminho certo, proporcionando um ambiente de trabalho cada vez melhor para nossos talentos.#LI-HYBRIDExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262344,"Coordenador(a) de Soluções - Chatbot","https://jobs.smartrecruiters.com/Experian/744000070567097-coordenador-a-de-solucoes-chatbot","Experian","São Paulo","No","Not specified","Full time","2025-07-15T02:21:24.738828Z","Estamos em busca de um(a) Coordenador(a) de Chatbot para liderar nossa equipe de desenvolvimento de chatbot. O candidato ideal ser responsvel pela estruturao de prioridades de desenvolvimento, curadoria de contedo, melhoria contnua e construo de novas funcionalidades para nossos chatbots com foco em IA Generativa. Este profissional dever estruturar e gerenciar o roadmap de desenvolvimento do chatbot, garantindo alinhamento com as necessidades do negcio e priorizando demandas e funcionalidades com base no feedback dos usurios e nas metas estratgicas da empresa. Alm disso, ser responsvel pela curadoria de contedo, assegurando a qualidade e a relevncia das respostas fornecidas pelo chatbot.O Coordenador de Chatbot colaborar estreitamente com as equipes de desenvolvimento, design e produto para implementar novas features e melhorias, monitorando e analisando mtricas de desempenho do chatbot para identificar oportunidades de otimizao e propor melhorias contnuas. Manter-se atualizado com as tendncias e inovaes em tecnologia de chatbot e inteligncia artificial ser essencial, aplicando as melhores prticas ao projeto. Este profissional tambm treinar e orientar a equipe sobre melhores prticas, novas ferramentas e metodologias geis. Experincia em coordenao de projetos de desenvolvimento de chatbot ou reas relacionadas.Conhecimento em linguagens de programao e plataformas de desenvolvimento de chatbot (Python, Lex).Habilidades analticas para interpretar dados e mtricas de desempenho.Proatividade e capacidade de resolver problemas de forma eficiente.Excelentes habilidades de comunicao e capacidade de trabalhar em equipe.Conhecimento sobre inteligncia artificial, algoritmos de PLN (Processamento de Linguagem Natural) e inteligncia artificial generativa.A Serasa Experian  muito mais do que voc imagina. Com o propsito de criar um futuro melhor, ampliando oportunidades para pessoas e empresas, no Brasil somos mais de 4 mil pessoas que atuam em diversos times e especialidades. Aqui, cada conhecimento e diversidade se complementa e voc pode trabalhar no que mais ama, estamos comprometidos a construir uma cultura inclusiva e um ambiente no qual pessoas possam equilibrar a carreira com seus compromissos e interesses pessoais, prezando pelo bem-estar.A gente se dedica muito em ser uma das melhores e mais inovadoras empresas para se trabalhar do pas, possibilitando experincias e carreiras incrveis para nossas pessoas. Nossa forte abordagem de pessoas em primeiro lugar  reconhecida externamente por meio de diversas certificaes de mercado: fomos premiados pelo Great Place To WorkTM em 24 pases e pela certificao internacional Top Employers, alm de sermos reconhecidos como uma das melhores empresas para jovens profissionais e contarmos com uma avaliao de 4,6 no Glassdoor. Cada reconhecimento nos indica que estamos no caminho certo, proporcionando um ambiente de trabalho cada vez melhor para nossos talentos.#LI-HYBRIDExperian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking here"
3262343,"Software Engineering Dev Ops Engineer Senior","https://jobs.smartrecruiters.com/Experian/744000070570845-software-engineering-dev-ops-engineer-senior","Experian","Heredia","Yes",5,"Full time","2025-07-15T02:21:24.738847Z","Job description We are looking for an experienced and experienced Senior DevOps Engineer to join our growing engineering team. You will be responsible for designing, implementing, and maintaining scalable infrastructure and CI/CD pipelines that support our software development lifecycle. You will work with developers, QA engineers, and IT to ensure seamless integration, deployment, and monitoring of applications.Key ResponsibilitiesDesign scalable, secure, and available infrastructure on AWS platforms.Manage CI/CD pipelines using tools like Jenkins, GitLab CI, or GitHub Actions.Automate infrastructure provisioning and configuration using Infrastructure as Code (IaC) tools such as Terraform or Ansible.Monitor system performance, availability, and security using tools like Prometheus or Grafana.Collaborate with development teams to optimize application performance and troubleshoot issues across the stack.Implement and enforce security best practices, including secrets management, access control, and vulnerability scanning.Mentor junior DevOps engineers and contribute to team knowledge sharing.QualificationsBachelor's degree in Computer Science, Engineering, or a related field, or equivalent practical experience.5+ years of experience in DevOps, Site Reliability Engineering, or related roles.Experience with AWS platform.Proficiency in scripting languages (e.g., Bash, Python, YAML).Hands-on experience with containerization and orchestration tools (Docker, Kubernetes).Experience with networking, security, and system administration.Experience with managing, logging, and alerting tools.Familiarity with Agile and DevOps methodologies.Benefits/Perks:Our benefits include: Medical, life and dental insurance, Asociacion Solidarista, International Share Save Plan, Flex Work/Work from home, Paid time off, Annual Performance Bonus, Education Reimbursement, Family Bonding, Bereavement Leave, Referral Program, and more.This is a fully remote job opportunity. #LI-RemoteOur uniqueness is that we celebrate yours. Experian's culture and people are important differentiators. We take our people agenda very seriously and focus on what matters; DEI, work/life balance, development, authenticity, engagement, collaboration, wellness, reward &amp; recognition, volunteering... the list goes on. Experians people first approach is award-winning; Great Place To WorkTM in 24 countries, FORTUNE Best Companies to work and Glassdoor Best Places to Work (globally 4.4 Stars) to name a few. Check out Experian Life on social or our Careers Site to understand why.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Innovation is an important part of Experian's DNA and practices, and our diverse workforce drives our success. Everyone can succeed at Experian and bring their whole self to work, irrespective of their gender, ethnicity, religion, colour, sexuality, physical ability or age. If you have a disability or special need that requires accommodation, please let us know at the earliest opportunity."
