"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2959403,"Staff Data Engineer - League Studio, League Data Central","https://www.riotgames.com/en/work-with-us/job/6564641?gh_jid=6564641","Games","Los Angeles","No",6,"Full time","2025-07-25T02:19:17.574023Z","Riot's Data Engineers build products that improve the experience of our players worldwide using petabytes of data and state-of-the-art processing technology. Maximizing the potential of this data is a complex task.  The League Data Central team is made up of engineers, data scientists, producers, and product managers focused on evolving the data powered capabilities of the League Studio.
As a Staff Data Engineer on the League Data Central team, you will shape the data architecture and systems that provide amazing experiences to millions of League of Legends and Teamfight Tactics players around the world. This role is heavily centered on data modeling, architecture, and governance, with a strong emphasis on data warehousing and collaborative leadership.Youll have the opportunity to lead projects covering a wide variety of problems spaces including player facing features powered by machine learning, improving game design with data focused tooling, and partnering with our Insights teams to help us make key strategic decisions and drive future planning. This role is based out of Los Angeles.
Responsibilities:

Design and lead the implementation of architectures that support advanced analytics, machine learning models, and real-time data processing, ensuring scalability and performance.
Develop complex data models that cater to both current and future needs focused on  accessibility for large datasets.
Design and implement advanced ETL processes and data integration strategies to handle diverse data sources and formats
Act as a liaison between our team and game teams as well as central platform teams to understand their needs and provide solutions
Analyze existing systems for bottlenecks and inefficiencies, and implement solutions to optimize data flow and processing for high-volume, complex datasets.
Lead initiatives in data governance, data quality, and metadata management that ensure data accuracy, consistency, and security
Explore and evaluate new technologies, tools, and data management practices to enhance the capabilities of the data platform
Collaborate closely with data scientists and analysts, providing them with the data required for complex analytics, machine learning models, and data exploration
Communicate complex data concepts and the value of data projects to stakeholders at all levels of the organization, influencing data-driven decision-making and strategy

Required Qualifications:

6+ years of relevant experience developing scalable data systems
Extensive experience designing standard data models &amp; event-driven architecture
Extensive experience modeling data to deliver business insights
Experience developing solutions in  Spark, SQL, and Airflow or equivalent data technologies
Experience working with Python, Java or other equivalent programming languages
Experience partnering with product and engineering teams to drive investment in and adoption of data focused solutions
Experience with all aspects of the software development lifecycle from requirements gathering through deployment and continued operation
Experience delivering on cloud computing technologies (AWS, Google, Azure)
Experience working within the agile project management framework
Experience setting the technical direction of projects
Experience leading engineering teams

Desired Qualifications:

Experience developing solutions with related data processing technologies such as Hive, Flink, Kafka, ElasticSearch, Dynamo, MySQL or Postgres
Experience using containers (Docker, Kubernetes) and infrastructure as code (Terraform, Ansible)

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3323393,"Sr. HR Business Partner","https://www.riotgames.com/en/work-with-us/job/7097384?gh_jid=7097384","Games","Los Angeles","No",5,"Full time","2025-07-25T02:19:17.574125Z","Riots People team exists to help Rioters make better decisions around its talent. We bring our expertise to all of those typical HR activities such as hiring, on-boarding, training and development, diversity and inclusion, performance management, benefits, perks, compensation, big events, labor relations, off-boarding so that all Rioters can flourish.
As HR Business Partners, we are not a compliance function and we dont make decisions from an ivory tower. Instead, we focus on our needs, carefully listening to the problem spaces and working with Rioters to get to an optimal outcome. We view ourselves as trusted consultants and advisers with a specific expertise in all things HR. Working in HR at Riot enables you to redefine what positive human resource practices are. We re-imagine events, onboarding, perks, and communications so they resonate with our workforce.
As an HR Business Partner reporting to the Sr. Manager, HR Business Partner, you bring broad skills to the teams and programs youre embedded on. You are the go-to resource for all things related to talent, ranging from performance management to total rewards. You are a culture promoter and a deployer of tools and programs that turn Rioter potential into performance and results. Youre undaunted by titles and can partner with anyone at any level to help with decisions and you know how to achieve results that make an impact. You listen to others and are sensitive to any communication style, and that makes it easy for anyone to talk to you; others trust you and feel comfortable coming to you with all the info, so any rising problems can be tackled proactively.
Your Impact
As an HRBP supporting multiple senior leaders across our combined Publishing, Esports and International organizations, youll report to the Sr. Manager, HR Business Partner and play a key role in translating business needs into impactful people solutions. Youll play a key role in supporting teams in creating amazing player experiences through innovative org design, high performance culture, and global people strategies. Youre comfortable engaging at all levels of the organization, across multiple regions, ensuring the right conversations happen at the right time. 
Responsibilities:

Develop a deep understanding of the global business, maintaining close relationships with leaders and Rioters in assigned client groups to drive talent strategies that align with both immediate and long-term goals.
Partner with managers and fellow HRBPs, globally to consult on organizational design, succession planning, talent assessment, and change management.
Analyze HR metrics, trends and qualitative data to drive informed decision-making and provide insights/recommendations to senior leadership. 
Partner with Centers of Excellence to design and implement people programs for your client groups, including performance management, compensation, and learning &amp; development.
Oversee people programs and cyclical initiatives, including annual compensation and continual performance management for assigned client groups; all with a focus on global alignment and consistency. 
Manage employee relations issues, leave of absence and accommodation-related questions, partnering with HR Operations, Benefits and Rioter Relations teams to provide guidance to Rioters and managers.
Think critically and connect various data points to support senior leads in aligning bespoke production needs with Riots best practices, guidelines and holistic business objectives. 

Required Qualifications:

5+ years of experience in a business partner role with a track record of progression.
Bachelors degree in Human Resources, Business, Organizational Design, or a related field (or equivalent work experience).
Experience supporting complex, multi-function teams, and organizational administration; including experience supporting distributed teams and multiple workforce classifications.
Strong interpersonal, relationship-building, and consulting skills with the ability to collaborate effectively across teams.
Experience supporting diverse and global communities in a fast-paced environment.

Desired Qualifications:

Experience supporting entertainment, event production, or sports, or teams. 

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes your fellow Rioters, who are the customers of your work. Being a dedicated fan of games is not necessary for this position!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3323392,"Senior Manager, Software Engineering (UI) - League of Legends","https://www.riotgames.com/en/work-with-us/job/6557586?gh_jid=6557586","Games","Los Angeles","No",10,"Full time","2025-07-25T02:19:17.574166Z","Riot engineers bring deep knowledge of specific technical areas but also value the opportunity to work in a variety of broader domains. As Engineering Managers, we gain organizational alignment by building a strong engineering vision and offering creative solutions to organizational design. We also serve as mentors for a team of engineers and managers, overseeing their performance and trying to find stretch opportunities for their growth.
As a Senior Manager, Software Engineering (UI) on League of Legends, you will support the delivery of a number of exciting new experiences for League of Legends players. You will work with a diverse leadership team to lead a passionate team of engineers and managers in the development of tools, systems and services that empower all developers and collaborators to make the best game experiences for our players. The team is responsible for developing new around-game experiences as well as driving improved workflows and content creation tools. This is a high growth area and will require balancing full time hires against contractors to achieve our goals. You will report to the Director of Engineering for this initiative. This role is based in Los Angeles.
Responsibilities:

Create an engineering vision with the team and key stakeholders including UI/UX, Product, and Process Leads.
Support the vision with a solid strategy including the reallocation of resources to focus on priorities. 
Plan the growth of the team with both full time hires and external contractors as necessary.
Develop and manage the process for integrating contract engineering into the delivery of features
Operate with an emphasis on efficiency, productivity, and prioritizing of the highest-value work on the team.
Identify, interview, and hire software engineers and managers.
Mentor engineers and managers identifying stretch opportunities for them to grow. 
Manage the health and performance of the engineering team with empathy and authenticity, building trust, and inspiring them to overcome challenges. 
Seek different perspectives to solve problems, encouraging engineers and others to contribute ideas. Base your decisions on sound analysis and avoid biases.
Provide technical expertise throughout the product life cycle including design, implementation, and delivery of features while continuously improving the software engineering quality and efficiency.

Required Qualifications:

10+ years professional experience as a software engineer working in a game development team
4+ years as an Engineering Manager leading engineers and engineering managers
2+ year(s) as a tech lead guiding the direction and implementation of a game
Experience recruiting candidates and growing an engineering team
Experience participating in technical discussions such as technical design reviews and code reviews
Excellent knowledge of common game and software design patterns
Proven ability to develop gameplay systems
Product sense and player empathy in making tech decisions

Desired Qualifications:

Experience playing League of Legends
Experience developing UI in various game engines like Unity or Unreal

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3323391,"Project Manager  - League of Legends (6 Month Maternity Contract)","https://www.riotgames.com/en/work-with-us/job/7102586?gh_jid=7102586","Games","Dublin","No",4,"Contract","2025-07-25T02:19:17.574206Z","As a Project Manager internally known as Game Producer on the League of Legends Seasons Around Game and Experiences team, you will help Riot deliver satisfying premium content to our players. You will keep the players' experience in mind as you track progress, deliver content/features, and organize priorities and goals. You will also work with artists, designers, and engineers to provide genre-defining experiences to our players. You will report to the Manager, Game Production for League Dublin teams.
Please note this is a 6 month maternity cover contract and will be based onsite in our Dublin office.
Responsibilities

Work together with a diverse team(s) composed of people across tech and design to deliver satisfying experiences for League of Legends players
Manage backlog, resource allocation, risks and mitigation, to give us the best project outcome
Help us ensure the quality of execution, so that we deliver resonant and delightful experiences for players
Set expectations through interpreting and communicating stages to invested audiences
Facilitate efficient and healthy teams; and resolve any obstacles to success
Highlight opportunities for work processes that support the team
Balance team efficiency, team health, deadlines and quality

Required Qualifications

4+ years of experience of relevant industry experience
Experience managing game, application, or content Agile production teams
Experience improving work systems for teams
Experience delivering complex projects involving multiple teams

Desired Qualifications

Experience with a live game service
Experience working with distributed development
Experience working with game content pipelines
Experience working on game commerce

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players.  We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
We offer medical and dental plans that cover you, your spouse/domestic partner, and children. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application."
3323390,"Game Producer III, Characters and Agents - VALORANT","https://www.riotgames.com/en/work-with-us/job/7095177?gh_jid=7095177","Games","Los Angeles","No",5,"Full time","2025-07-25T02:19:17.574239Z","Game Producers lead teams, initiatives and products from conception through launch and operation inside of the gaming space. They create and align teams to product vision, have a deep understanding of player needs, competitors and market conditions, and are able to balance scope, quality and time to predictably deliver at a high quality bar for players.
As a Game Producer III on VALORANT, youll help with the production efforts of the VALORANT Character team to successfully shepherd production of and launch new characters. Youll help manage delivery schedules on the day to day, and facilitate efficient team organization that leads to high team morale and output. Youll work with the character leads and liaise with other teams to ensure character production runs smoothly and produces world class content.
Responsibilities:
Drive and improve team work systems

Teams have clear work systems that accurately track and deliver on production efforts

Help ensures all teams have clean, up-to-date work backlogs
Facilitates meetings, discussions, and decisions
Ensures the character pipeline follows consistent production protocol 
Present prototypes of new playable characters for review and approval by senior leadership
Partner with Insights to define game specifications and product goals. 


Teams have predictable and measurable capacity for work through

Cross-functional work planning with accurate estimations
Velocity tracking on sprint and release basis
Sprint / milestone commitment tracking
Dependency / risk tracking
Evaluate product specifications, functionality, and design from a quality assurance perspective. 
Quality tracking (bug count, bug velocity, subjective quality post ship)


Teams track and communicate progress to stakeholders and rest of team

Tracks all work (planned, unplanned, emergent) consistently
Rolls progress back into master project tracking methods
Directs all progress communications for teams and area


Ensures stakeholders consulted and informed on all team progress and brought in to discussions as needed for project success
End to end feature delivery tracking

Defines and ensures teams set and meet definition of done for all work
Updates and tracks against common delivery checklist for shipping all work



Teams work matches overall project priorities and goals

Ensures game experiences matches or exceeds player expectations 

Holds vision for player experience of teams work where applicable
Align to player journey and strategy for milestones
Support team producers in creating team backlogs and setting expectations for outcomes


Strategic work alignment &amp; prioritization

Act as liaison between the team, internal customers, and stakeholders
Align teams, and be able to articulate how outputs ladder up to strategy and product vision as prioritized by Department Leadership
Create and Prioritize teams backlog


Player resonance

Clearly understand the audience for the teams work
Be able to action on critical product feedback and insight
Champion a player focused mindset and be the voice of the player



Ensures strong team health, culture, and efficiency

Team work systems are efficient and adopted by everyone on the team
Monitors team morale, ensures the team has a safe and supportive environment where they can succeed. 
Celebrates successes, makes sure team-building happens regularly 
Resolves team problems quickly
Cascade work systems and best practices across teams

Required Qualifications: 

5+ years industry experience
2+ years experience delivering player-facing characters to both PC and Console platforms
Experience leading cross functional teams through all phases of content development 
Experience with live game releases and content updates

Desired Qualifications:

Full Character pipeline experience on a character driven project such as a character collector or MOBA
Understanding of common art pipelines relevant to character creation.
Shooter Genre Affinity:  You love playing shooters. You did growing up and you still do today.
Proven Facilitator:  You've helped lead development endeavors and have a proven track record of helping to create conditions for success for teams.
Systemic Solver: You take a holistic systems thinking view of the product development lifecycle and adapt processes accordingly
Player Minded: You are constantly thinking about whats best for the player audience. You drive development decisions based on the players perspective, even when it competes with your own view.
Clear decision making and communication: You make informed and timely decisions, are able to communicate them effectively and walk your teammates through the tradeoffs.

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data 
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
3319499,"Sr. Manager, Game Product Manager (Gameplay)-Wild Rift","https://www.riotgames.com/en/work-with-us/job/7093485?gh_jid=7093485","Games","Shanghai","No","Not specified","Full time","2025-07-25T02:19:17.574273Z","Riot Games was established in 2006 by entrepreneurial gamers who believe that player-focused game development can result in great games. In 2009, Riot released its debut title League of Legends to critical and player acclaim. As the most played video game in the world, over 100 million play every month. Players form the foundation of our community and its for them that we continue to evolve and improve the League of Legends experience.
Were looking for humble but ambitious, razor-sharp professionals who can teach us a thing or two. We promise to return the favor. Like us, you take play seriously; youre passionate about games. We embrace those who see things differently, arent afraid to experiment, and who have a healthy disregard for constraints.
That's where you come in.
As a Sr. Manager, Games Product Management at Riot, you will combine deep knowledge of players and systems with product leadership capabilities to drive player, product and business impact. As the Games PM for Wild Rift, you will work with internal development teams and external partners to deliver high quality features to enhance player's experience in Wild Rift. Working with cross-functional teams, you will craft the best-in-class experience of players from prototype to post-ship validation. You will build and maintain workflows, articulate the why,align with stakeholders, and manage multifarious communication channels across multiple organizations to bring your visions to life. 
Were looking for a leader who thrives on optimizing product development for learning and deeply understands our player audiencetheir frustrations, motivations, and aspirationsso we can continuously improve how we serve them.
Responsibilities:

Define and lead the product vision, strategy, and roadmap for Wild Rifts gameplay pillar
Drive outcomes across early-stage excitement, long-term retention, and player satisfaction
Foster a learning-centric development cultureoptimize team processes to reduce risk, validate assumptions, and improve decisions over time
Collaborate with design, insights, and external partners to develop impactful features (e.g., Summoners Rift, Rotating Game Mode, Champions)
Build a deep understanding of our audiencetranslate player needs and aspirations into clear product direction
Partner with other workstream leads to create a sustainable, player-focused feature and content strategy
Analyze market trends and competitive titles to elevate gameplay quality and align with broader Riot experiences
Coach and mentor other Game PMs in product craft, decision-making, and player empathy

Required Qualifications:

8+ years in product management or game design, with a focus on player systems or gameplays
3+ years managing or mentoring other PMs
A track record of launching features that drive real player and business impact
Experience in creating impactful gameplay features, including Summoners Rift, Rotating Game Mode, Champion etc., covering ideation, scoping, design and execution
Competitive multiplayer familiarity. Familiar with mobile MOBA games, including League of Legends: Wild Rift and other popular PVP games in China
A collaborative mindset, strong communication skills, and comfort navigating across teams
Fluency in Mandarin and English

 Desired Qualifications: 

Experience shipping end-to-end features, from concept to live operations
A data-informed approach: youve worked with analytics, modeling, or AB testing
Co-dev experienceworking across studios or with external partners

Dont forget to include a resume and cover letter. We receive a lot of applications, but well notice a fun, well-written intro that shows us you take play seriously.
Our Perks:
Riot has a focus on work/life balance, shown by our open paid time off policy, in addition to other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application."
3319498,"Insights Analyst, Wild Rift (Contract)","https://www.riotgames.com/en/work-with-us/job/7096905?gh_jid=7096905","Games","Singapore","No",3,"Contract","2025-07-25T02:19:17.574313Z","As Analysts at Riot, we build analyses that help Rioters to make difficult decisions. We are part of an interdisciplinary team that works with Rioters from other disciplines (i.e. - designers, artists, engineers, producers) to conduct studies and analyses that will inform the features, systems, and experiences of our products.
The Insights discipline helps Rioters make strategic data-informed decisions. We're an interdisciplinary group of scientists, economists, consultants, and strategists from all sorts of backgrounds who join together to represent and advocate for players around the world. We believe that illuminating the globally diverse experiences, behaviors, and needs of players is essential to Riot living up to our player-focused mission. We're a group united by our love of games, science, and helping others succeed.
As an Insights Analyst (Contract) on the Wild Rift team, you will collaborate directly with Wild Rift game leadership to illuminate key business decisions through rigorous data analysis and strategic insights. Your technical expertise and analytical rigor will play an instrumental role in advancing Wild Rifts publishing initiatives across brand marketing, performance marketing, channel optimization, and player acquisition strategies. As a crucial contributor, you'll also execute regular tracking based on standardized measurement methodologies, and deliver insightful reporting that empowers strategic action.
That's where you come in.
Responsibilities:

Maintain and update Wild Rift's global and regional tracking/reporting related to defined awareness and interest metrics.
Extract and analyze data from databases to conduct correlation analysis between upper-funnel metrics and downstream conversions (install, trial, revival)
Drive advanced analyses such as performance marketing attributions through navigating databases, extracting data, creating dashboards, and resolving data issues along the way.
Support and execute standard/recurring reporting for performance tracking/measurement
Translate user segments based on business needs into SQL queries to retrieve cohort data from databases.
Identify and map the source of truth data sets and generate executable retargeting campaign cohorts for targeted outreach.

Required Qualifications:

Bachelor's degree in Data Science, Computer Science, Business Analytics, Marketing, Economics, or related fields.
3-5 years of experience in data analysis or business intelligence roles.
Proficiency in SQL with foundational Python/R knowledge for data analysis.
High familiarity with Tableau or equivalent data visualization tools.
Excellent analytical skills with the capability to interpret and clearly communicate data insights.
Strong communication and collaboration skills, able to effectively engage with cross-functional teams.

Required Qualifications:

Experience working with Databricks or similar cloud-based data platforms.
Familiarity with social listening platforms such as Talkwalker.
Prior experience in publishing analytics within gaming or entertainment sectors.
2+ years marketing practices including User Acquisition (UA), Paid Media, and Customer Relationship Management (CRM)
Business fluent in Mandarin Chinese and English"
3311957,"Software Engineer II - GTG.Production AI","https://www.riotgames.com/en/work-with-us/job/7088662?gh_jid=7088662","Games","Los Angeles","No",5,"Full time","2025-07-25T02:19:17.574349Z","Riot Engineers bring deep knowledge of specific technical areas but also value the chance to work in many broader domains. As a Senior Software Engineer, youll also dive into projects that focus on team cohesiveness and cross-team objectives. Youll lead without authority and provide other engineers with a clear illustration of extraordinary engineering.
As a Senior Software Engineer on the Production AI team, you will design, build, and maintain AI-powered systems that impact multiple teams and product areas, while defining policy and guiding technology selection. You will collaborate with leadership and individual contributors across disciplinesranging from game development to business servicesto drive production-ready AI solutions and shape best practices throughout Riot. This role requires a blend of advanced software engineering expertise, proven problem-solving skills, and a strong understanding of AI/ML tools and frameworks.
Responsibilities:

Build and maintain infrastructure that provides secure access to cutting-edge AI platforms (e.g., ChatGPT, AWS Bedrock), enabling Rioters to easily adopt AI in their workflows.
Collaborate with game teams to select, integrate and manage AI-driven content generation tools.
Partner with QA teams to create AI-enabled test automation frameworks.
Help define best practices for AI model deployment, versioning, and governance to ensure compliance with Riot standards and industry regulations.
Form cross-disciplinary partnerships and collaborate effectively with data scientists, product managers, designers, and game teams to integrate AI solutions that elevate the player experience and empower internal processes.
Mentor other engineers in your areas of expertise

Required Qualifications: 

5+ years of professional experience in software engineering, with demonstrated work on AI/ML projects
Proven track record of shipping large-scale software solutions
Professional experience working with cloud computing and cloud technologies
Fluency in multiple programming languages (e.g., C++, Python, Typescript, Java), and the flexibility to work effectively in diverse coding environments
Familiarity working in an agile environment
Experience collaborating across departments and disciplines to create solutions
Strong communication skills

Desired Qualifications:

Comprehensive knowledge of current and emerging AI technologies and tools
Deep practical experience with machine learning and LLMs

For this role, you'll find success through craft expertise, a collaborative spirit, and decision-making that prioritizes the delight of players. We will be looking at your past studies, experience, and your personal relationship with games. If you embody player empathy and care about players' experiences, this could be your role!
 
Our Perks:
Riot focuses on work/life balance, shown by our open paid time off policy and other perks such as flexible work schedules. We offer medical, dental, and life insurance, parental leave for you, your spouse/domestic partner, and children, and a 401k with company match. Check out our benefits pages for more information.
At Riot Games, we put players first. That mission drives every decision in our quest to create games and experiences that make it better to be a player. Whether youre working directly on a new player-facing experience or youre supporting the company as a whole, everyone at Riot is part of our mission. And just like in our games, were better when we work together. Our goal is to create collaborative teams where you are empowered to bring your unique perspective everyday. If that sounds like the kind of place you want to work, were looking forward to your application.
 
Its our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law. We consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with applicable federal, state and local law, including the California Fair Chance Act, the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, the San Francisco Fair Chance Ordinance, and the Washington Fair Chance Act.
Per the Los Angeles County Fair Chance Ordinance, the following core duties may create a basis for disqualifying candidates with relevant criminal histories:

Safeguarding confidential and sensitive Company data
Communication with others, including Rioters and third parties such as vendors, and/or players, including minors
Accessing Company assets, secure digital systems, and networks
Ensuring a safe interactive environment for players and other Rioters

These duties are directly related to essential operations, safety, trust, and compliance obligations within our organization. Please note that job duties may evolve based on business needs and additional responsibilities may be assigned as necessary to maintain operational efficiency and security."
