"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3087808,"Sales Specialist - Acquisition & Incubation (İzmir)","https://jobs.smartrecruiters.com/DeliveryHero/744000064288467-sales-specialist-acquisition-incubation-izmir-","Hero","İzmir","No","Not specified","Full time","2025-06-11T02:05:33.009764Z","We are looking for a dynamic and results-oriented individual to join our team as a Sales Specialist - Acquisition &amp; Incubation. This role involves engaging with restaurants to sign them up as members, guiding them through the sales process, and ensuring they receive continuous support. The ideal candidate will be proactive, a strong communicator, and detail-oriented.

Key Responsibilities
 Drive Membership Acquisition: Persuade restaurants to join our membership program by highlighting the benefits and value of our services.Manage Sales Process: Oversee the end-to-end sales process, ensuring smooth transitions from initial contact to membership activation and beyond.Customer Retention: Maintain regular communication with acquired restaurant members to ensure long-term satisfaction and loyalty, identify evolving needs, and strengthen relationships through tailored support and relevant service recommendations.Provide Support: Address and resolve any questions or issues restaurants may have, ensuring they receive timely and accurate assistance.Generate Reports: Provide restaurants with the necessary reports and information related to their membership and service usage.Team Coordination: Collaborate effectively within the team to ensure alignment and share relevant updates.Regular Reporting: Track and report your activities and outcomes regularly to ensure targets are being met and to highlight any challenges or successes.Monitor Progress: Continuously track the entire sales and membership process, providing guidance where needed to ensure smooth execution.Sales Management: Handle sales both in-person and over the phone, adapting to different situations and ensuring a consistent and positive experience for all restaurants.Proven experience in sales, customer service, or account management,Strong communication and interpersonal skills,Ability to manage multiple tasks and prioritize effectively,Detail-oriented and highly organized,Comfortable working both independently and as part of a team.A chance to crown your career at Yemeksepeti, Turkey's largest online quick delivery platform, that has been raising future managers and industry leaders for 20 years!A working environment where employee happiness is prioritized, with a strong corporate culture, passionate colleagues working together towards the same goal, and a transparent management approach!Project opportunities that you can run together with the employees of Delivery Hero companies in 43 countries of the world and great teachings about global industry leadership!Flexible work hours so that you can plan your business and social life as you wish! (Start working at any time between 08:00 and 10:00!)A birthday leave waiting for you the next day so you can have fun and party as much as you want on your birthday!Online trainings shaped by your choices, where the opportunities you can learn and improve yourself are unlimited!A comprehensive private health insurance that will never let you down when you need it!The Yemeksepeti family! Always smiling and high communication skills!A pre-planned orientation program so that you can capture the spirit of Yemeksepeti in the best way, get to know the brand from the inside, and always feel at home. And of course, a Buddy who will always support you in your first weeks!Your rights arising from the processing of your personal data, within the scope of the Law on the Protection of personal data. You can find detailed information on the page of our Clarification Text at https://www.yemeksepeti.com/contents/kvkk-aday-aydinlatma-metni"
3087807,"talabatYouth - Product Management Graduate Internship - Cairo","https://jobs.smartrecruiters.com/DeliveryHero/744000064288438-talabatyouth-product-management-graduate-internship-cairo","Hero","Cairo","No","Not specified","Internship","2025-06-11T02:05:33.009857Z","talabatYouth our 6-month graduate internship program is designed to equip high-potential graduates with the skills, experience, and exposure needed to thrive in a full-time role. Whether youre exploring data, engineering, or commercial functions, youll gain hands-on experience, solve real business challenges, and rotate across teams to develop a well-rounded understanding of our operations. Interns are evaluated continuously, mentored by senior leaders, and empowered to make a real impact from day one. Successful interns will have the opportunity to transition into a permanent role in 2026.  

Eligibility criteriaBachelors degree (or currently enrolled) in Business Adminsitration, Information system or related fieldGraduation year: 2024 and 2025GPA Requirement: 3.5 or aboveParticipation in extracurricular activities is a mustPrevious internships is a plusStrong communication and feedback-oriented mindset
What Youll Be DoingDefine opportunities, deliver key features, workflows and improvements that empower agent service teams to handle support requests efficientlyImprove agent productivity and increase the quality of service that agents can provideAct as the primary point of contact for internal stakeholders, timely addressing their questions and concerns regarding the product to ensure its quality, alignment with business needs, and optimal usage across different Contact CentersPartner with engineering, UX/UI, operations, analytics, various product teams &amp; other stakeholders to deliver the right features, drive product quality and optimise agent interactions while ensuring scalability and compliance. Define and monitor KPIs to measure product success and drive the impact of strategic goals Preferred skillsAbility to learn fast and work in a fast-paced, globally distributed environment with multiple stakeholdersExcellent communication skills and the ability to translate business needs into product requirementsProactive approach to problem-solving, troubleshooting, and stakeholder managementA commitment to continuous improvements, a sense of ownership, solution and a growth-oriented mindset"
3087806,"Sales Specialist - Acquisition & Incubation (Ankara)","https://jobs.smartrecruiters.com/DeliveryHero/744000064289855-sales-specialist-acquisition-incubation-ankara-","Hero","Ankara","No","Not specified","Full time","2025-06-11T02:05:33.009888Z","We are looking for a dynamic and results-oriented individual to join our team as a Sales Specialist - Acquisition &amp; Incubation. This role involves engaging with restaurants to sign them up as members, guiding them through the sales process, and ensuring they receive continuous support. The ideal candidate will be proactive, a strong communicator, and detail-oriented.

Key Responsibilities
 Drive Membership Acquisition: Persuade restaurants to join our membership program by highlighting the benefits and value of our services.Manage Sales Process: Oversee the end-to-end sales process, ensuring smooth transitions from initial contact to membership activation and beyond.Customer Retention: Maintain regular communication with acquired restaurant members to ensure long-term satisfaction and loyalty, identify evolving needs, and strengthen relationships through tailored support and relevant service recommendations.Provide Support: Address and resolve any questions or issues restaurants may have, ensuring they receive timely and accurate assistance.Generate Reports: Provide restaurants with the necessary reports and information related to their membership and service usage.Team Coordination: Collaborate effectively within the team to ensure alignment and share relevant updates.Regular Reporting: Track and report your activities and outcomes regularly to ensure targets are being met and to highlight any challenges or successes.Monitor Progress: Continuously track the entire sales and membership process, providing guidance where needed to ensure smooth execution.Sales Management: Handle sales both in-person and over the phone, adapting to different situations and ensuring a consistent and positive experience for all restaurants.Proven experience in sales, customer service, or account management,Strong communication and interpersonal skills,Ability to manage multiple tasks and prioritize effectively,Detail-oriented and highly organized,Comfortable working both independently and as part of a team.A chance to crown your career at Yemeksepeti, Turkey's largest online quick delivery platform, that has been raising future managers and industry leaders for 20 years!A working environment where employee happiness is prioritized, with a strong corporate culture, passionate colleagues working together towards the same goal, and a transparent management approach!Project opportunities that you can run together with the employees of Delivery Hero companies in 43 countries of the world and great teachings about global industry leadership!Flexible work hours so that you can plan your business and social life as you wish! (Start working at any time between 08:00 and 10:00!)A birthday leave waiting for you the next day so you can have fun and party as much as you want on your birthday!Online trainings shaped by your choices, where the opportunities you can learn and improve yourself are unlimited!A comprehensive private health insurance that will never let you down when you need it!The Yemeksepeti family! Always smiling and high communication skills!A pre-planned orientation program so that you can capture the spirit of Yemeksepeti in the best way, get to know the brand from the inside, and always feel at home. And of course, a Buddy who will always support you in your first weeks!Your rights arising from the processing of your personal data, within the scope of the Law on the Protection of personal data. You can find detailed information on the page of our Clarification Text at https://www.yemeksepeti.com/contents/kvkk-aday-aydinlatma-metni"
3087805,"talabatYouth - Product Design Graduate Internship - Cairo","https://jobs.smartrecruiters.com/DeliveryHero/744000064287812-talabatyouth-product-design-graduate-internship-cairo","Hero","Cairo","No","Not specified","Internship","2025-06-11T02:05:33.009921Z","talabatYouth our 6-month graduate internship program is designed to equip high-potential graduates with the skills, experience, and exposure needed to thrive in a full-time role. Whether youre exploring data, engineering, or commercial functions, youll gain hands-on experience, solve real business challenges, and rotate across teams to develop a well-rounded understanding of our operations. Interns are evaluated continuously, mentored by senior leaders, and empowered to make a real impact from day one. Successful interns will have the opportunity to transition into a permanent role in 2026.  

Eligibility criteriaBachelors degree (or currently enrolled) in Computer Science, Applied arts, Business Informatics or related fieldGraduation year: 2024 and 2025GPA Requirement: 3.5 or aboveParticipation in extracurricular activities is a mustPrevious internships is a plusStrong communication and feedback-oriented mindset
What Youll Be DoingDevelop deep domain knowledge of your squad's product area and team up with your manager to solve the toughest problems.Design for you isnt just pretty interfaces - youll spend a lot more time understanding the problem space through generative research, synthesizing insights, running ideation sessions/workshops to design a delightful customer experience.Work with the PM to define your focus areas and contribute to the overall direction of your product area while measuring ongoing improvementGet continuous feedback from the users through different stages of the problem solving process.Create simple, elegant solutions to complex interaction problems with high attention to detailsHelp facilitate cross-functional, collaborative workshops focused on achieving desired outcomes, such as generating ideas, soliciting feedback, or building consensus.Use and evolve our design system to design flows, prototypes, sketches, and high-fidelity visuals for your features.Preferred SkillsAbility to learn fast and work in a fast-paced, globally distributed environment with multiple stakeholdersExcellent communication skills and the ability to translate business needs into product requirementsProactive approach to problem-solving, troubleshooting, and stakeholder managementA commitment to continuous improvements, a sense of ownership, solution and a growth-oriented mindset"
3087804,"Manager, Workplace","https://jobs.smartrecruiters.com/DeliveryHero/744000064302358-manager-workplace","Hero","Kuala Lumpur","No",5,"Full time","2025-06-11T02:05:33.009952Z","About The Role:We are looking for an energetic and dynamic Manager, Workplace to report to the Head of People. This is an office based role and the location is around KL centre. You will lead and manage a small team focused on Workplace, internal communications, employee engagement, travel desk, and safety.Workplace Management &amp; SafetyLead the office management and administration team in delivery workplace services, safety and compliance, for example: F&amp;B offerings, events management (e.g. townhalls), onboarding and hospitality programs &amp; systems, mail/package receipt and distribution, supplies and inventory management.Ensure preventative maintenance plans are in place and assist with procurement-related services if required.Coordinate closely with administrative assistants, janitorial staff, and serviced office operation team on daily operations matters.Look into opportunities to drive a sustainable workplace (e.g. through purchasing of goods from sustainable sources/vendors, energy management, reduction of wastage).Employee Engagement &amp; Internal Communications Manage end-to-end company events and festivals related to the WorkplacePrepare internal communication related to Workplace.Travel ManagementManage the travel desk and the policies around it to ensure governance and control. There will be times you will need to also support with the travel booking to ensure it is within allocated budgetWork with the necessary vendors to support any travel related requirements from the traveller, from hotel bookings, car rental services, visa applications, etc. Perform workspace planning activities, including space utilization analysis and forecasting for optimal space usage.Manage overall contract performance and ensure adherence to service level agreements by vendors.Support and oversee office relocation, launches, and modifications, including projects that involve configuring IT systems and/or hardware, with the support of the IT team.Oversee and lead the negotiation of contracts, service level agreements, and rent reviews/renewals.Develop and implement workplace policies in compliance with required standards and regulations.Implement the companys Business Continuity and Health &amp; Safety policies and processes, to ensure that the duty of care is delivered to colleagues and visitors.Own workplace budget and planning for it on a yearly basis by ensuring you track vendors, renewals, price increases and opportunities for cost savings.You are meticulous in housekeeping your data for workplace from vendor listing, to contracts, to renewals dates + timelines and all the expenses made out of workplace.Diploma/Bachelor's Degree in Business Administration, Business Management or equivalent.At least 5-7 years of experience in relevant work experience in commercial/corporate Estates, Facilities or Property Management, ideally start-up and/or tech industry experience.Ambitious, proactive, and strategic thinker.Able to manage multiple competing prioritiesAble to problem solve via critical and analytical thinkingHave in-house experience in global professional services/corporate organizations.Experienced with office administration, business license renewal, and applications, occupational health and safety regulations.Experienced in employee engagements and event management.Strong communication skills and leadership qualities.Equipped with excellent local and English language communication and excellent presentation skills.Familiar with budget planning, tracking, and reporting"
3087803,"Assistant Manager, Account Management","https://jobs.smartrecruiters.com/DeliveryHero/744000064315153-assistant-manager-account-management","Hero","Bahawalpur","No",5,"Full time","2025-06-11T02:05:33.009989Z","Were looking for a highly-driven and motivated Assistant Manager, Account Management for our team in Pakistan. If you are looking for a place where you can gain hands-on exposure and have a direct impact, then this may be the place for you!
The ideal candidate will have a track record as a significant individual contributor  comfortable working independently, whilst working closely with the management team. Being responsible for driving incremental orders, ensuring Retention, Exclusivity &amp; Stronger Relationship with GMV Class A &amp; B Vendors at servicing at 360 Degree with a goal of optimizing business performance, growth, and enhance their experience.Help drive better experience by training restaurants staff, collaborating with operations/owners to improve menu displays, sharing Reports and working with marketing team to create promotions/events and optimize Performance. Identifying and implementing newer value-add initiatives and being proactive in finding solutions for them e.g. 2 Exclusive Partnerships with Key Accounts either Offline or on foodpanda with targeted monthly growth as main KPI.Ensuring DL Photography of Top Key Accounts.Deal acquisition for monthly and event-based campaigns.Monitoring of logistics performance on a daily/weekly basis.Reducing Issue rate or fail rate.Work with internal cross-functional stakeholders to define requirements to deliver the strategies and develop tactical implementation plans, Manage cross-functional project plans, risks &amp; issues, blockers &amp; actionsSupport cross functional teams in delivering the strategy by facilitating communication of lessons learned, resolving urgent issues, lining up appropriate group level support and deploying processes &amp; tools.Maintain visibility and communication across &amp; report on progress to the management team.Additional tasks/projects as they arise. 1.5 years of  account directorship experienceNegotiations and communications SkillsPresentations and business reviews skillsKnowledge of food and operational costingsA little About Us:We are fast, like mind boggling fast! So if youre someone who loves ever changing goals and loves optimization, youre the right fit for us!We love people who can develop things from scratch, own them and then work on improving them.We love what we do, and we dont rest until weve achieved our targets. So if youre also someone who is driven until the dream is achieved, come join us!"
3087802,"Senior/Principal Product Manager, Vendor Experience - (Quick Commerce)","https://jobs.smartrecruiters.com/DeliveryHero/744000064331295-senior-principal-product-manager-vendor-experience-quick-commerce-","Hero","Berlin","No",8,"Full time","2025-06-11T02:05:33.010015Z","We are on the lookout for a Senior/Principal Product Manager to join the Marketplace Value Stream on our journey to always deliver amazing experiences. Be part of redefining how customers experience quick commerce. Youll help build technology that scales our non-food offerings, reaching new market segments and driving revenue growth. By innovating within our Quick Commerce Team, youll make Delivery Hero the go-to platform for a broad range of products, helping us grow faster and deliver more value to customers around the world.You will lead the Vendor Experience squad to define and drive the roadmap for the tools and interfaces that act as the operating system for our vendors. This role sits at the heart of Marketplace transformation, directly impacting vendor activation, catalog health, assortment growth, and overall business performance. Collaborating closely with engineers, designers, analysts, and commercial stakeholders, you'll build intuitive, self-service workflows and internal dashboards that simplify complex jobs-to-be-done for both vendors and internal teams.The Vendor Experience squad within the Marketplace Value Stream  is responsible for the core experience that enables Local Shops vendorsboth integrated and non-integratedto manage pricing, availability, promotions, and catalog operations at scale. You'll shape the foundational tools used by thousands of vendors across markets, empowering partners of all technical maturity levels to manage and grow their businesses through scalable, localized, and high-impact product experiences.Own the Strategy &amp; Roadmap for all vendor-facing and AM-facing experiences across the Vendor Portal and related internal tooling.Design and Optimize Day-to-Day UX that enables vendors to manage their business and store operations with ease and flexibility.Drive Partner Growth by launching features that support product discovery, proactive guidance, and intuitive onboarding flows tailored to vendor maturity.Scale Globally with Local Relevance by building tools and content that serve diverse partner typesfrom enterprise chains to long-tail vendorsacross markets.Embed Actionable Insights in collaboration with Data &amp; Reporting teams, surfacing performance metrics that empower vendors and guide internal users.Ensure Cross-Functional Alignment by working closely with Commercial, Integration, Reporting, and VRM squads to deliver seamless, high-impact workflows that scale.58+ years of product management experience in B2B SaaS, platforms, or marketplace tools.Proven track record in shipping self-service or internal-facing tools for non-technical users.Strong user empathy and ability to simplify complex workflows into scalable UX patterns.Excellent stakeholder management and ability to gather and synthesize requirements from diverse functions.
Strong analytical and problem-solving skills; ability to interpret data and user feedback to inform product decisions.Comfortable working in a fast-paced, ambiguous, and evolving environment.Nice to HaveExperience in Q-Commerce, e-commerce, or retail operations platforms.Familiarity with vendor or seller portals, or B2B UX.Exposure to internal tool ecosystems (e.g., Salesforce, Zendesk, internal CMS).Experience with regional rollouts and scaling across fragmented markets.Ensuring you and all our Heroes are looked after, happy, and healthy is always on the menu. Because if youre in good shape, then were in good shape.Make the most of our hybrid working model and join the team for face-to-face connection and collaboration in our beautiful Berlin campus 2 days a weekWe offer 27 days holiday with an extra day on 2nd and 3rd year of serviceWe will support you in developing yourself and your career growth opportunities: 1.000  Educational Budget, Language Courses, Parental Support and access to the Udemy Business platform to explore a variety of online courses.Get moving and release those wonderful, mind-boosting endorphins: Health Checkups, Meditation, Gym &amp; Bicycle SubsidyCash. Dough. Cheddar. Whatever you call it, well help you with it: Employee Share Purchase Plan, Sabbatical Bank,  Public Transportation Ticket Discount, Life &amp; Accident Insurance, Corporate Pension PlanThe power of getting together over some food is unrivaled. Here are a few ways to help you do that. All the yum: Digital Meal Vouchers, Food Vouchers, Corporate Discounts. Courses.Ready to join our team? If youre excited to grow, collaborate and be part of the worlds leading delivery platform, wed love to hear from you. Apply today!We believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring - therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. We encourage you to let us know if you need any accommodations or specific accessibility support to ensure a smooth interview experiencejust include it in your application. You're welcome to share your pronouns (he/she/they) right from the start so we can address you respectfully from our first contact."
3087801,"Manager, Manager Support","https://jobs.smartrecruiters.com/DeliveryHero/744000064334362-manager-manager-support","Hero","Berlin","No",5,"Full time","2025-06-11T02:05:33.010051Z","We are on the lookout for a Manager, Manager Support to join the People Partner Team on our journey to always deliver amazing experiences. As the Manager of the Manager Support Team you will be leading a team of 3 Specialists and will be responsible for providing a best in class experience to our people managers by being the first point of contact to advise on policies and employee life cycle related processes thereby enabling those managers to effectively manage and lead their teams. Your expertise and guidance will play a pivotal role in fostering a positive work environment and driving organisational success. Join the team that champions the employee experience at Delivery Hero. As part of the People &amp; Culture Team, youll help attract, develop, and retain top talent, creating a workplace where people feel valued, supported, and empowered to grow. With each initiative you support, youll be building a positive culture that fuels innovation, teamwork, and a sense of belonging across our global organization.Provide support to people managers on various HR topics, e.g. HR policies and related processes (performance &amp; conflict management, talent development, employee engagement), Workday (HRIS) system usability and German labor law compliance advisory,Coach and guide your team members during the Talent Management and Pay Review processes to enable our people managers to develop leadership skills, foster team growth and enhance their ability to manage people effectively,Work closely with the People Partner leads to understand more about the vertical priorities and work with your team members to deliver relevant business outcomes.Partner closely with COEs (e.g. Talent &amp; Culture, People Systems) in order to establish and/or improve operational processes in order to improve the experience for managersSupport with leading and/or participating in new projects for managers to scale our Manager Support function (including compliance and self-service initiatives)Maintain compliance with (German) employment law and regulations and recommend best practicesYou have at least 5 years of experience in the People Partner or People Operations space, as well as at least 2 years of experience leading high-performing and diverse teamsYou are adept to conflict resolution and providing constructive feedback while bringing exceptional interpersonal and communication skillsYou are a people collaborator and connecter and are great in managing senior stakeholdersYou excel in the ability to prioritize tasks and to delegate them when appropriateYou have strong knowledge of German Labour Law and are aware of the latest and upcoming changes. Fluency in German would be a plus!Ensuring you and all our Heroes are looked after, happy, and healthy is always on the menu. Because if youre in good shape, then were in good shape.Make the most of our hybrid working model and join the team for face-to-face connection and collaboration in our beautiful Berlin campus 2 days a weekWe offer 27 days holiday with an extra day on 2nd and 3rd year of serviceWe will support you in developing yourself and your career growth opportunities: 1.000  Educational Budget, Language Courses, Parental Support and access to the Udemy Business platform to explore a variety of online courses.Get moving and release those wonderful, mind-boosting endorphins: Health Checkups, Meditation, Yoga, Gym &amp; Bicycle SubsidyCash. Dough. Cheddar. Whatever you call it, well help you with it: Employee Share Purchase Plan, Sabbatical Bank,  Public Transportation Ticket Discount, Life &amp; Accident Insurance, Corporate Pension PlanThe power of getting together over some food is unrivaled. Here are a few ways to help you do that. All the yum: Digital Meal Vouchers, Food Vouchers, Corporate Discounts. Courses.                 Ready to join our team? If youre excited to grow, collaborate and be part of the worlds leading delivery platform, wed love to hear from you. Apply today!We believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring - therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. We encourage you to let us know if you need any accommodations or specific accessibility support to ensure a smooth interview experiencejust include it in your application. You're welcome to share your pronouns (he/she/they) right from the start so we can address you respectfully from our first contact."
3087800,"Product Operations Specialist","https://jobs.smartrecruiters.com/DeliveryHero/744000064347893-product-operations-specialist","Hero","Kuala Lumpur","No",4,"Full time","2025-06-11T02:05:33.010076Z","We are looking for an Product Operations Specialist to join our EU &amp; APAC Consumer Platform team and reinvent on-demand delivery with us.The EU &amp; APAC Consumer Platform team at Delivery Hero consists of smart and driven people from all around the world who work closely together with our entities worldwide to provide an amazing experience to our customers. The Product Support team within Product Operations is currently supporting the local business teams on the consumer platform for brands like foodpanda, foodora, and Yemeksepeti in 17 markets in the EU and APAC regions with questions or requests about our consumer product solutions providing essential technical support and ensuring the timely resolution of product issues. What's on the menu:Analysing and categorising reported issues, replicate bugs where possible, and determining root causes.Providing in-depth technical support to users experiencing product malfunctions.Identifying critical issues and escalating them to the appropriate engineering or development teams for resolution.Maintaining FAQs and troubleshooting guides to streamline internal support processes.Keeping users informed about ticket status, resolution timelines, and workarounds when applicable.Working closely with Product and Engineering teams to report recurring defects and suggest product improvements based on user feedback and identified patterns.What you can bring to the table:Bachelor's degree in Business, Computer Science, Natural Science Studies, or a related field. Around 4-5 years or more of experience in fintech, product operations, technical support, or a similar role.Good understanding of software debugging, log analysis, and troubleshooting techniques. Able to quickly identify and diagnose issues with a structured approach.Strong written and verbal communication skills for user interactions and stakeholder updates.Experience working with engineering teams and familiarity with ticketing systems like Jira would be an added advantageSystematic, structured and detail-oriented mindset, with an ability to work independently in a fast-paced environment.Great cross collaboration and influencing skills with an ability to convey complex information in simple and clear languageGood understanding of software development processes, API debugging, SQL queries, and related tools (e.g. Jira, Confluence, Miro, Datadog, Grafana, Charles Proxy, Postman.) would be a plusWhat we offer:A dynamic and challenging work environment.A company committed to developing you personally and professionally.A great working atmosphere with regular company and team events.A vibrant and international team committed to diversity and inclusion.Responsibility from day one in a fast growing and global company.Other benefits include free food, health and dental insurance, and learning and development opportunities!foodpanda is operated by Delivery Hero Group (DH Group) - the worlds leading local delivery platform, operating in 70+ markets across Asia, Europe, Latin America, the Middle East, and Africa. Delivery Hero started as a food delivery service in 2011 and now employs 40,000+ people globally. Additionally, Delivery Hero is pioneering quick commerce, the next generation of e-commerce, aiming to bring groceries and household goods to customers in under one hour and often in 20 to 30 minutes. Headquartered in Berlin, Germany, Delivery Hero has been listed on the Frankfurt Stock Exchange since 2017.In July 2024, Delivery Hero SE merged three of its market-leading food delivery businesses, foodora and Yemeksepeti in Europe, and foodpanda in Asia. All three businesses now make up the second-largest organization within the Delivery Hero Group, and leading food and QCommerce delivery in 17 markets in both regions."
3087799,"Logistics Performance Optimization Sr Analyst","https://jobs.smartrecruiters.com/DeliveryHero/744000064349235-logistics-performance-optimization-sr-analyst","Hero","Buenos Aires","No","Not specified","Full time","2025-06-11T02:05:33.010101Z","Entender el modelo y los objetivos del negocio, velando por el buen desempeo de la operacin logstica y trabajando colaborativamente con los equipos de los 15 pases en los que est presente la compaa.Ser referente regional de los productos, procesos y prcticas que permiten optimizar la operacin, comprender y resolver problemas de forma creativa, iterativa y escalable, con adecuada velocidad.Estructurar, analizar, desarrollar y gestionar proyectos de forma autnomaSeguir mtricas clave, elaborar reportes de alto valor y organizar procesos claros y medibles.Establecer un vnculo de confianza con otros equipos, escuchando activamente problemticas para arribar a soluciones consensuadas y equilibradas que se enmarquen en los objetivos de la compaa.Profesionales graduados o estudiantes de carreras como Administracin, Economa, Ingeniera Industrial, Ciencias de datos o afines.Slida experiencia en roles afines: consultora, gestin de proyectos, operaciones, mejora de procesos, anlisis de datos. Conocimiento avanzado de Excel y SQL.Nivel de ingls avanzado.Curiosidad e inters por entender integralmente el modelo de negocio y operacin.Pensamiento crtico, innovador y toma de decisin basada en datos. Autonoma en la gestin de proyectos procurando una comunicacin clara hacia los stakeholders involucrados.Resiliencia y flexibilidad para abordar la resolucin de problemas en un entorno cambiante.Sera un plus y aportara mucho valor al equipo contar con:Conocimientos en herramientas de visualizacin de datos: Tableau, Google Looker Studio o afinesConocimientos en lenguajes de manipulacin y anlisis de datos como R y Python.Crear valor para un gran ecosistema de negocio.Jugar en equipo, siempre: Pensar soluciones y construir colaborativamente, con buena energa.Moverte a la velocidad de tus ideas y emprender.Aprender, desarrollarte y reinventarte: Permitirte equivocarte, aprender haciendo, iterar y adaptarte a los cambios.Generar impacto positivo en las personas y el planeta.Trabajar de otra manera, en #ModoPeYa: no importa el tiempo ni el lugar desde donde trabajas, lo que importa es la agilidad con la que tomas decisiones, la flexibilidad para adaptarte y los resultados que alcanzas en equipo.
 La diversidad de talento potencia nuestra Cooltura y nuestra organizacin. Jugamos en equipo en todo lo que hacemos, y lo que ms nos gusta de eso es que promovemos la creacin de equipos diversos e inclusivos que puedan aportar diferentes perspectivas a PedidosYa. Nuestras oportunidades laborales estn abiertas a todas las personas, independientemente de su identidad de gnero, orientacin sexual, origen tnico, religin, edad, discapacidad y/o otras caractersticas individuales.

En caso de necesitar algn ajuste razonable o accesibilidad particular para tener la entrevista, por favor no dejes de aclararlo en tu postulacin. Adems, sintete libre de indicarnos tus pronombres (l/ella/elle) desde el primer contacto. 

#CoolturaPeYa #LaDiversidadNosPotencia"
