"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2738273,"Solutions Architect","https://join.jfrog.com/job/?job=6771885&gh_jid=6771885","Jfrog","london","No",7,"Full time","2025-04-07T01:57:01.856339Z","*Residency in London Area is required
At JFrog, were reinventing DevOps, DevSecOps and MLOps to help the worlds greatest companies innovate, develop faster and be more secure -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldnt it be amazing if you could join us on our journey?
We are looking for a Solutions Architect to be on the front lines, working closely with our strategic customers and prospects, guiding them on how to build robust DevOps processes. You will work with our Sales, Product &amp; Engineering teams to help customers understand the value of JFrog solutions from a technical and business perspective.If you love working with brilliant people, being part of an energetic team and changing the world of software, you might be the perfect Frog to join our team!
As a Solutions Architect at JFrog you will...

Engage with customers to ensure their success in their DevOps and DevSecOps  journey leveraging the JFrog Platform 
Support JFrog's Sales motion and significantly contribute to the customer journey to build technical win and championship
Train our customers, prospects and community about JFrog offering and solutions
Represent JFrog in events and conferences
Influence the features and roadmap of JFrog products based on customer needs
Stay current with the latest technology trends related to the DevOps and DevSecOps landscape

To be a Solutions Architect at JFrog you need...

7+ years experience in Technical Sales or Sales Engineering positions
Experience in building relationships with champions and senior stakeholders within enterprise accounts
Proven experience in Docker, Kubernetes, CI/CD, git integrations and  build tools
Hands-on experience with AppSec tools (part or all) such as: SCA / SAST / SBOM Management / Container Security 
Ability to build software pipelines with various DevOps tools
Hands-on experience with cloud infrastructures - AWS / Azure / GCP - Mandatory
Experience with software development - a big advantage"
2738272,"Corporate Applications Implementor","https://join.jfrog.com/job/?job=6779970&gh_jid=6779970","Jfrog","Tel Aviv/ Netanya, Israel","No",2,"Full time","2025-04-07T01:57:01.856466Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
Were looking for a passionate, eager to learn, team member to join our growing ERP unit  in the information systems team. If youre a team player who has technological understanding , strong financial experience and a lot of common sense, your place is with us!
As a Corporate Applications Implementer at JFrog you will... 

Analyze and evaluate business processes
Work with a variety of stakeholders to determine how technology can be used to improve efficiency, productivity, and quality
Implement new software applications or systems that help businesses meet their goals
Create and maintain documentation of the system and business processes
Plan and conduct training sessions to familiarize employees with new software programs or computer applications
Analyze business processes to identify opportunities for improvement, including reviewing operational documents
Translate business requirements and system flows into technical designs 
Implement customizations, custom objects, new enhancements, and system updates based on collaborations with end-users as well as business needs

To be a Corporate Applications Implementer at JFrog you need... 

2-3  years of experience working as ERP financial implementer (Netsuite  Must).
Strong understanding of finance, accounting, and business operations  (Q2C and P2P - Must)
Experience in supporting ERP financial processes (Revenue recognition - Big Advantage)
Lead integration projects between NetSuite and other enterprise applications( TMS,Budget tools, Travel,SF etc.
knowledge of SuiteScript, SuiteFlow, and SuiteBuilder is a plus
CPA - Advantage
Ability to manage multiple projects, prioritize and manage multiple tasks and meet deadlines
Excellent problem-solving and communication skills (English and Hebrew)"
2734349,"Technical Success Manager","https://join.jfrog.com/job/?job=6765275&gh_jid=6765275","Jfrog","Atlanta","No",4,"Full time","2025-04-07T01:57:01.856509Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
We are seeking a talented and experienced Technical Customer Success Manager for the Americas Customer Success team. In this role, you will oversee the activities which include helping our customers adopt our multiple products and being the customer voice for internal teams which will include Support teams globally, Product managers, R&amp;D teams, Sales, and Marketing.
As a Technical Customer Success Manager in JFrog, you will...

Own the customer journey driving customer happiness and helping the customer adopt and establish value in the JFrog products and platform
Work with the internal teams like Sales, Product, Solution Engineering, Training, and external customer stakeholders to formulate/maintain a Success Plan outlining how JFrog addresses their immediate and future needs (with success metrics)
Well-versed in using case management systems and CRMs (e.g., SFDC / JIRA) and strong analytical and organizational skills, with the ability to understand and review the financial return or ROI on the customers investment
Maintain a deep understanding of our product and roadmap, so you can guide customers to success and help drive up the customer Adoption Score
Establish and manage communication channels within and among departments. Act as the liaison to provide customer feedback to the Senior Management Team
Schedule, prepare, and deliver Business Reviews for customers, with the top priority of proving ROI that leads to renewals, expansion, and adoption
Own and drive customer adoption and usage for the JFrog customers and help Increase customer adoption of key platform features and best practices to maximize ROI, ensuring the basis for retention, satisfaction, and growth
Understand the customers industry trends, business challenges with the JFrog platform, and current and potential use cases for JFrog customers and develop and nurture JFrog champions within your customers organization who advocate for the platform based on their positive experience
Engage customers senior decision makers to understand their evolving strategy and shaping Success Planning informed by these goals, serve as the voice of the customer, and provide internal feedback on how we can better serve them to maximize customer value and retention
Partner with the JFrog Account Team (Account Executives, Sales Engineers, Support Engineers, etc.) to ensure that customers renew and expand usage and monitor customer user trends and health to recommend to internal teams risk mitigation actions (Product, Support, Services, etc.)
Act as a technical advisor for the customer and assist with architecture designing and best practices for strategic customers
Train the open-source community and JFrog customers
Keep current with the latest technology trends related to building engineering and the landscape of CI/CD Technology
Create effective communication channels with key customers
Be the single source of truth when it comes to customers you are managing

To be a Technical Customer Success Manager in JFrog you need...

Customer-facing experience - including crisis management, priority management inbound, and outbound
BS or equivalent in Computer Science or Computer Engineering plus 4+ years of experience as a Customer Success Manager or Technical Account Manager for an Enterprise software company
Experience with supporting products with impact on business/productivity
Experience with supporting international enterprise customers
Excellent analytical and problem-solving skills
Customer orientation and excellent interpersonal skills
Excellent English verbal and written communication skills
To work weekends and holidays (on occasion)
2+ years of experience with Java or another programming language (RubyPython/ Groovy/ GO  a plus)
Deep understanding of working with dockerized applications (K8s - a plus) 
Experience with Continuous Deployment and Delivery tools: Chef, Puppet, Ansible -&gt; a plus
Experience with Software Architecture design and product development -&gt; a plus
Experience with Continuous Integration tools: CI Server, VCS, Artifactory, Jenkins, Ant, Hudson, Maven, Chef, Docker, Gradle, NPM -&gt; a big plus
An uncompromising desire to learn

WHAT JFROG CAN OFFER...

At JFrog, base salary is only one component of our compensation package.
This position has a base salary range between $125,000 to $140,000. Base salary will be based on your skills, qualifications, experience, and location.
JFrog embraces hybrid work: 3 days in office / 2 days remote.
This position also includes an equity package of restricted stock units (RSU). In addition, JFrog employees are eligible to participate in our Employee Stock Purchase Plan.
JFrog provides employees with comprehensive benefits including medical, dental, vision, retirement, wellness, and much more!

JFrog is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status or any other category protected by law."
2734347,"Manager of Customer Success","https://join.jfrog.com/job/?job=6765266&gh_jid=6765266","Jfrog","Sunnyvale","No",5,"Full time","2025-04-07T01:57:01.856552Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including most of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
We are looking for a talented and experienced Manager of Customer Success to lead the Americas West Customer Success team. In this role, you will oversee the activities which include mentoring, leading, and staffing this growing group of accomplished Customer Success Managers and Technical Account Managers. Here at JFrog known as Technical Success Managers. Collaborate with other Support teams globally, Product Managers, R&amp;D teams, Sales and Marketing.
As a Manager of Customer Success in JFrog, you will...

Lead, staff and grow JFrogs America West Customer Success team located in the US
Manage day-to-day operations and provide support and direction to the Technical Success Managers
Provide leadership through coaching, feedback, development goals, and performance management.
Mentor team leaders and team members with regards to the customer journey and driving customer happiness and help the team adopt and establish value in the JFrog products and platform. 
Work with the internal teams like Account teams, Product, Solution Engineering, Training, and external customer stakeholders to formulate/maintain a Success Plan outlining how JFrog addresses their immediate and future needs (with success metrics). 
Refine and implement the methods, procedures, tools, and policies to ensure high-quality service is delivered to customers
Well-versed in using case management systems and CRMs (e.g., SFDC / JIRA) and strong analytical and organizational skills, with the ability to understand and review the financial return or ROI on the customers investment
Maintain a deep understanding of our product and roadmap, so you can guide customers to success so you can help drive up their Adoption Score, and ensure a high level of technical knowledge is maintained within the Customer Success Team. 
Establish and manage communication channels within and among departments. Act as the liaison to provide customer feedback to the Senior Management Team.
Work with your team to schedule, prepare, and deliver Business Reviews for customers, with the top priority of proving ROI that leads to renewals, expansion, and adoption.
Own and drive customer adoption and usage for the JFrog customers and help your team Increase customer adoption of key platform features and best practices to maximize ROI, ensuring the basis for retention, satisfaction, and growth.
Understand the customers industry trends, business challenges with the JFrog platform, and current and potential use cases for JFrog customers and develop and nurture JFrog champions within your customers organization who advocate for the platform based on their positive experience.
Engage customers senior decision makers to understand their evolving strategy and shaping Success Planning informed by these goals, and serve as the voice of the customer and provide internal feedback on how we can better serve them to maximize customer value and retention.
Partner with the JFrog Account Team (Account Executives, Sales Engineers, Support Engineers, etc.) to ensure that customers renew and expand usage and monitor customer user trends and health to recommend to internal teams risk mitigation actions (Product, Support, Services, etc.). 

To be a Manager of Customer Success in JFrog you need...

Excellent management and leadership and able to gain the respect of a high-performing Customer Success team.
5+ years of experience with Customer Success Managers and Technical Account Managers for an Enterprise software company.
At least 4 years in directly managing a technical team - hiring, performance issues, team motivation, attrition management, mentoring, career progressions, etc.
Experience with supporting products with impact on business/productivity.
Experience with supporting international enterprise customers.
Excellent analytical and problem-solving skills.
Customer orientation and excellent interpersonal skills.
Excellent English verbal and written communication skills.
To work weekends and holidays (on occasion).

WHAT JFROG CAN OFFER...

At JFrog, base salary is only one component of our compensation package.
This position has a base salary range between $170,000 to $180,000. Base salary will be based on your skills, qualifications, experience and location.
This position also includes an equity package of restricted stock units (RSU). In addition, JFrog employees are eligible to participate in our Employee Stock Purchase Plan.
JFrog provides employees with comprehensive benefits including medical, dental, vision, retirement, wellness, and much more!

JFrog is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status or any other category protected by law."
2734346,"Business Solutions Analyst (GTM)","https://join.jfrog.com/job/?job=6765281&gh_jid=6765281","Jfrog","Sunnyvale","No",5,"Full time","2025-04-07T01:57:01.856589Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
Were looking for a skilled and experienced Business Solutions Analyst (GTM) to join our dynamic team. The role requires good project management skills, system analysis experience and skills in Salesforce CRM and other business applications. In this role, you need to possess a deep understanding of the Sales and Marketing processes, you will be responsible for working closely with the business partners to understand their needs, design and implement solutions while providing top-quality service.
As a Business Solutions Analyst (GTM) in JFrog you will... 

Collaborate with stakeholders, including Sales, Marketing, Customer success, finance, and product teams, to gather and analyze requirements.
Identify opportunities for automation and implement solutions to streamline Salesforce processes.
Create and maintain documentation for Salesforce configurations, customizations, and processes.
Manage releases, prioritize features, and define requests to developers overseas.
Collaborate with Salesforce administrators, developers, and consultants to drive the development and testing of integration solutions and ensure project alignment with Salesforce best practices.
Work cross-departmentally and across geographies with Sales, Marketing, Customer Success and Finance to improve and customize workflows, optimize efficiency, and help best utilize the tools in our stack.
Work with agile methodologies as part of an agile team.
Be part of team collaboration - participate in daily stand-ups, team meetings to discuss the projects and provide solutions to the salesforce processes.

To be a Business Solutions Analyst (GTM) in JFrog you need...

5+ years of experience as a Salesforce project manager.
Strong understanding of systems and sales processes.
Quote to cash flow understanding.
Experience in integrating Salesforce with other systems.
Excellent analytical and hands-on problem-solving skills.
Good Technical understanding and ability to learn fast.
Experience in supporting a global organization across geographies and time zones.
Customer-focused with an ability to understand customer needs.
Excellent project management skills and ability to lead complex projects and rollouts.
Excellent time management and can easily work in a multi-tasking arena with a strong can do and proactive approach. 
Ability to work in a dynamic and fast-changing environment.
Strong organizational skills and ability to prioritize.
Superb presentation, communication (written and verbal) skills, and interpersonal skills.
Team player, self-motivated, and extremely detail-oriented skills.

WHAT JFROG CAN OFFER...

At JFrog, base salary is only one component of our compensation package.
This position has a base salary range between $130,000 to $150,000.  Base salary will be based on your skills, qualifications, experience and location.
This position also includes an equity package of restricted stock units (RSU). In addition, JFrog employees are eligible to participate in our Employee Stock Purchase Plan.
JFrog provides employees comprehensive benefits including medical, dental, vision, retirement, wellness and much more!
JFrog embraces hybrid work: 3 days in office / 2 days remote.

JFrog is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status or any other category protected by law."
2719773,"Solution Engineer","https://join.jfrog.com/job/?job=6761816&gh_jid=6761816","Jfrog","Tokyo","No",4,"Full time","2025-04-07T01:57:01.856627Z","Fast-Frogward Your Career to Years From Now
Be part of a team where your work directly shapes the way the worlds top companies build and secure their software. At JFrog, as a Solution Engineer, youll play a key role in bringing our industry-leading solutions to market, helping customers like Amazon, Google, and Netflix solve their most pressing DevSecOps and AI/ML challenges. Every day offers new opportunities to collaborate, strategize, and innovate in a fast-paced, growth-driven culture. If you thrive in a dynamic environment and want to make an impact in the world of software, JFrog is the place for you.
We are looking for a Solution Engineer with DevOps / DevSecOps / Software Development / Architecture and customer facing experience, who has a passion for technology and wishes to help our customers deliver software faster, more securely and agile.
As a Solution Engineer at JFrog's, you will be on the front lines, working closely with our customers and prospects, guiding them on how to build robust and secured DevOps processes. You will work with our sales, product &amp; engineering teams to help customers understand the value of JFrog solutions from a technical and business perspective.
What youll be doing as a Solution Engineer:
In this role, youll be a key player in our fast-paced and highly innovative engineering team. You will:

Engage with customers to ensure their success in their DevSecOps journey leverage of the JFrog products
Partner with the sales team to drive our customers journey, build technical win and grow champions
Educate our community and customers about DevSecOps and JFrog products
Represent JFrog in events and conferences
Influence the features and roadmap of JFrog products based on customer needs
Keep current with the latest technology trends related to the DevSecOps landscape

If you dont meet 100% of the requirements below  thats okay, nobodys perfect! We believe in hiring people, not just a list of skills. We encourage you to apply if you think this is a role that would make you excited about coming to work every day.
What you bring to the table:

Minimum 4-5 years experience DevOps/DevSecOps Engineering roles, and in customer facing roles, such as technical sales or sales/solution engineering.
Hands on experience in Linux, Docker or Kubernetes, CI Server (Jenkins, TFS/VSTS), git (Github, bitbucket, gitlab), Artifactory, Build tools (maven, gradle, npm, docker etc.)
Hands-on experience in at least one or many of JFrog Artifactory, Nexus, Harbor, AWS Code Artifact, Google Artifact Registry, Azure Artifacts, Github Packages, Gitlab Package Registry, Proget is an advantage
Experience in Vulnerability Management, Software Composure Analysis (SCA), SAST, DAST, Runtime Security, Container Security is an advantage
Experienced with building software pipelines with Docker, npm, Java, Pypi etc.. with various DevOps tools
Hands-on experience with cloud infrastructure - AWS / Azure / GCP - Mandatory
Experience with Software Architecture design and product development a plus
Fluency in English (written and spoken) is mandatory for effective communication with global teams.

About JFrog:
JFrog is the only end-to-end software supply chain platform that provides complete visibility, security, and control for automating the delivery of trusted releases from code to production. Our platform enables organizations to manage, secure, and automate their software delivery process, fueling innovation without worry. We empower companies to build and release software faster and more securely than ever before.
With over 7,500 customers worldwide, including many Fortune 100 companies, JFrog is at the forefront of global innovation. Join us in shaping the future of software delivery and contributing to solutions that empower some of the world's most influential industries.
Heres what our employees have to say about working at JFrog:

""I wanted to work in a company that takes technology forward.""
""Our business is so interesting because it is constantly moving, and we have to adapt new solutions to the challenges that arise from the customers.""
""Its nice to work for a company with a must-have product, not a nice-to-have."""
2719772,"Account Executive, Enterprise - Australia & New Zealand","https://join.jfrog.com/job/?job=6761808&gh_jid=6761808","Jfrog","Sydney","No",5,"Full time","2025-04-07T01:57:01.856670Z","Fast-Frogward Your Career to Years From Now
Be part of a team where your work directly shapes the way the worlds top companies build and secure their software. At JFrog, as an Account Executive, Enterprise (ANZ) youll play a key role in bringing our industry-leading solutions to market, helping customers like Amazon, Google, and Netflix solve their most pressing DevSecOps and AI/ML challenges. Every day offers new opportunities to collaborate, strategize, and innovate in a fast-paced, growth-driven culture. If you thrive in a dynamic environment and want to make an impact in the world of software, JFrog is the place for you.
What youll be doing as an Account Executive, Enterprise (ANZ):
In this role, youll be a key player in our fast-paced and highly innovative engineering team. You will:

Sell JFrogs platform to leading AUS Swamp; NZ enterprises focussing on BFSI, ecommerce and IT/ITES companies
Develop new business, bring in new logos by hunting across verticals
Build strong relationships with key stakeholders in enterprises
Develop DevOps strategies with C-level executives, work with CISOs on their security priorities and goals
Exceed monthly, quarterly, and annual sales targets
Travel to customer locations to support sales efforts
Work closely with the support and consulting teams to achieve product adoption

If you dont meet 100% of the requirements below  thats okay, nobodys perfect! We believe in hiring people, not just a list of skills. We encourage you to apply if you think this is a role that would make you excited about coming to work every day.
What you bring to the table:

Strong experience in selling in Australia and New Zealand
5+ years of proven experience in field enterprise software and solutions sales, selling to end-users as well as VPs and C-level executives across multiple departments
Solid understanding and experience in managing the complete sales cycle from prospecting to closure
Good understanding of SaaS sales processes and management of key KPIs is desirable
Goal-oriented with a proven track record of consistently exceeding the sales quota in previous positions
Ability to work as part of a fast-paced team while demonstrating flexibility, reliability, and taking initiatives
Excellent written and verbal communication skills; ability to explain technological strategies to both end-users and decision-makers throughout organizations, including technical, business, and C-level audiences
Customer-success mentality, with a winning attitude
An energized and enthusiastic, self-motivated, competitive, creative problem-solving, relationship builder, customer-focused and highly responsive leader
Bachelors degree in business administration, marketing, or technical discipline; MBA is an advantage
Must have a good understanding of technology in general, understanding how to sell to technical stakeholders, especially around DevOps and security would be an added advantage

About JFrog:
JFrog is the only end-to-end software supply chain platform that provides complete visibility, security, and control for automating the delivery of trusted releases from code to production. Our platform enables organizations to manage, secure, and automate their software delivery process, fueling innovation without worry. We empower companies to build and release software faster and more securely than ever before.
With over 7,500 customers worldwide, including many Fortune 100 companies, JFrog is at the forefront of global innovation. Join us in shaping the future of software delivery and contributing to solutions that empower some of the world's most influential industries.
Heres what our employees have to say about working at JFrog:

""I wanted to work in a company that takes technology forward.""
""Our business is so interesting because it is constantly moving, and we have to adapt new solutions to the challenges that arise from the customers.""
""Its nice to work for a company with a must-have product, not a nice-to-have."""
2715468,"Technical Success Manager - Australia & New Zealand","https://join.jfrog.com/job/?job=6761017&gh_jid=6761017","Jfrog","Sydney","No",8,"Full time","2025-04-07T01:57:01.856710Z","Fast-Frogward Your Career to Years From Now
Be part of a team where your work takes center stage, shaping the future of software development. At JFrog, we solve critical challenges for leaders like Amazon, Google, and Netflix. Every day brings opportunities to innovate and push boundaries in a fast-moving, frogward-thinking culture. If you want your work to matter and thrive on nonstop innovation, JFrog is your place.
Heres what our employees have to say about working at JFrog:

""I wanted to work in a company that takes technology forward.""
""Our business is so interesting because it is constantly moving, and we have to adapt new solutions to the challenges that arise from the customers.""
""Its nice to work for a company with a must-have product, not a nice-to-have.""

What youll be doing as a Technical Success Manager:

Focus on the customers continuous interactions with JFrog, the customers lifetime value and the associated NPS/CSAT scores.
Assist our customers in creating an adoption/rollout plan to ensure they are confident in successfully socializing and embedding the JFrog Platform
Provide Service to JFrog Sales team by focusing on customers strategy,  and to make sure JFrog platform  helps customers achieve their goals, enabling the JFrog Sales account manager to be there when customers need them and to get renewals, upsells done on time.
To formulate and deliver projects by collaborating with JFrog customers based on agreed upon timelines
Work with the Solution engineering and Professional Services team to ensure all customers complete their projects timely and successfully 
Focus on NPS/CSAT and Customer Lifetime Value .
Monitor the   customer health and their perception of JFrog brand by becoming  a Platform Health Expert.
Be first point of escalation 
Develop full understanding of JFrog platform

What you bring on to the table:

8+ years of professional experience preferably in customer success management, relationship management, delivery management, consulting or enterprise delivery
3+ years of experience is Software industry preferably in SaaS companies 
Ability to effectively liaise with customers and regional teams/leadership.
Ability to effectively present technical presentations
Flexibility in working hours to accommodate our global presence 
Prior hands on experience in Linux
CLI hands on experience
Rest API experience will be an advantage
Docker / Kubernetes experience is good to have

About JFrog:
JFrog is the only end-to-end software supply chain platform that provides complete visibility, security, and control for automating the delivery of trusted releases from code to production. Our platform enables organizations to manage, secure, and automate their software delivery process, fueling innovation without worry. We empower companies to build and release software faster and more securely than ever before.
With over 7,500 customers worldwide, including many Fortune 100 companies, JFrog is at the forefront of global innovation. Join us in shaping the future of software delivery and contributing to solutions that empower some of the world's most influential industries."
2697204,"Senior Field Marketing Manager - Japan & SEA","https://join.jfrog.com/job/?job=6757086&gh_jid=6757086","Jfrog","Tokyo","No",7,"Full time","2025-04-07T01:57:01.856749Z","Fast-Frogward Your Career to Years From Now
Be part of a team where your work directly shapes the way the worlds top companies build and secure their software. At JFrog, as a Senior Field Marketing Manager, youll play a key role in bringing our industry-leading solutions to market, helping customers like Amazon, Google, and Netflix solve their most pressing DevSecOps and AI/ML challenges. Every day offers new opportunities to collaborate, strategize, and innovate in a fast-paced, growth-driven culture. If you thrive in a dynamic environment and want to make an impact in the world of software, JFrog is the place for you.
We are looking for a seasoned field marketing manager to be the regional marketing champion for several markets in Southeast Asia, including Japan, Singapore, Indonesia, Malaysia, Korea, Thailand, and the Philippines. Based on our global marketing strategies, this position is responsible for developing and executing a regional marketing plan working closely with members of the JFrog marketing and sales teams to meet our aggressive growth objectives.
What youll be doing as a Senior Field Marketing Manager:

Design and execute diverse marketing campaigns to engage target audiences and achieve pipeline goals.
Collaborate with sales leaders to align marketing plans with business objectives, integrating corporate programs with local marketing activities to create comprehensive, multi-channel quarterly strategies.
Design and manage JFrog-hosted webinars, in-person events, and email campaigns targeting key accounts; select and execute sponsorships for industry events.
Collaborate with global campaign teams and sales development stakeholders to support account-based marketing strategies.
Enable regional sales and partner teams by producing and localizing digital assets and sales collateral, adapting messaging for different local audiences.
Measure and analyze marketing campaign outcomes and pipeline health, establishing regular reporting to marketing and sales counterparts.

If you dont meet 100% of the requirements below  thats okay, nobodys perfect! We believe in hiring people, not just a list of skills. We encourage you to apply if you think this is a role that would make you excited about coming to work every day.
What you bring to the table:

Native Japanese proficiency and fluent English.
To be based in Tokyo or Singapore.
Minimum of 7 years of experience in B2B/B2D Demand Generation and/or Field Marketing roles; experience in marketing deep-tech, cybersecurity, and dev-tech products is preferred.
Proven track record of collaborating with sales, channels, and sales development teams to plan and execute pipeline-driving campaigns. Experience in large, distributed organizations is preferred.
Proficient in modern marketing tactics and best practices: persona-centric demand generation, marketing automation, pipeline acceleration, and digital funnels.
Strategic thinker with strong prioritization skills, attention to detail, and ability to meet deadlines while managing multiple projects in a fast-paced environment.
Creative and energetic self-starter with strong initiative and resourcefulness.
Excellent presentation skills and the confidence to communicate effectively with senior-level sales and marketing executives.

About JFrog:
JFrog is the only end-to-end software supply chain platform that provides complete visibility, security, and control for automating the delivery of trusted releases from code to production. Our platform enables organizations to manage, secure, and automate their software delivery process, fueling innovation without worry. We empower companies to build and release software faster and more securely than ever before.
With over 7,500 customers worldwide, including many Fortune 100 companies, JFrog is at the forefront of global innovation. Join us in shaping the future of software delivery and contributing to solutions that empower some of the world's most influential industries.
Heres what our employees have to say about working at JFrog:

""I wanted to work in a company that takes technology forward.""
""Our business is so interesting because it is constantly moving, and we have to adapt new solutions to the challenges that arise from the customers.""
""Its nice to work for a company with a must-have product, not a nice-to-have."
2694302,"Senior Platform Engineering Developer","https://join.jfrog.com/job/?job=6750572&gh_jid=6750572","Jfrog","Tel Aviv/ Netanya, Israel","No",6,"Full time","2025-04-07T01:57:01.856789Z","At JFrog, were reinventing DevOps to help the worlds greatest companies innovate -- and we want you along for the ride. This is a special place with a unique combination of brilliance, spirit, and just all-around great people. Here, if youre willing to do more, your career can take off. And since software plays a central role in everyones lives, youll be part of an important mission. Thousands of customers, including the majority of the Fortune 100, trust JFrog to manage, accelerate, and secure their software delivery from code to production -- a concept we call liquid software. Wouldn't it be amazing if you could join us in our journey?
JFrog is seeking a passionate Senior Platform Engineering Developer to help build the next generation of our Internal Platform for Engineering. If youre driven by the challenge of designing and developing cutting-edge infrastructure and tools, this is the opportunity for you. As a Platform Engineer at JFrog, you will be responsible for designing, developing, and managing an internal multi-cloud platform tailored for engineers. You will collaborate closely with product managers, developers, DevOps, and other engineering teams to build platform features and capabilities that enhance deployment processes, observability, monitoring, security, and cost optimization, all while ensuring the scalability, availability and stability of JFrog SaaS.
As a Senior Platform Engineering Developer at JFrog, you will... 

Take part in designing, developing, and extending the capabilities of JFrog internal platform and SaaS, ensuring they meet the evolving needs of engineering teams and JFrog customers
Develop scalable cloud-native solutions that leverage AWS, Azure, GCP, and Kubernetes, empowering teams with efficient and reliable infrastructure. Collaborate with product managers to align platform development with business objectives, ensuring the platform delivers maximum value to JFrog SaaS customers
Continuously improve developer productivity by creating self-service tooling, minimizing manual interventions, and integrating cloud and Kubernetes services
Work with diverse and cutting-edge technologies, including Kubernetes, k8s Operators, ArgoCD, Prometheus, OpenTelemetry, Kafka, MongoDB, Falco, etcd, Helm, Istio, Crossplane, and Kyverno, while developing expertise in these areas

To be a Senior Platform Engineering Developer at JFrog you need...

6+ years of hands-on development experience in building, deploying, and managing infrastructure services using platforms like AWS, Azure, or GCP, as well as Kubernetes and its ecosystem
Proficiency in Software Development: Strong experience in building and managing scalable systems using languages such as Go, Python, Java, or Node.js.


Experience with implementing CI/CD and automation processes for the deployment of various systems
Experience with multi-cloud environments (AWS, Azure, GCP) and hybrid cloud architectures
Experience in automation of system configurations, deployment strategies, and cloud services
Containerization and Orchestration: Hands-on experience with Docker and Kubernetes for container orchestration and management, including designing systems for multi-cluster, multi-region deployments"
