"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2675291," II Semester 2025 TEC - Software Developer Intern ","https://www.konrad.com/careers/job/6524196003?gh_jid=6524196003","konrad","San José, Costa Rica","No","Not specified","Internship","2025-03-28T19:54:54.121417Z","Who We Are 
Konrad is a next-generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard-working people who are lifelong learners.
About the Role
As a Software Developer Intern you'll be paired up with mentors working on both the front and back end of our web applications for 16 weeks. Working within the software development or QA team, your duties will require participating in developing a challenging complete application. This role is ideal for students looking for a company to do their university internship project who want to contribute and learn from the highly-skilled development team at Konrad Group.
What You'll Learn

Write maintainable, testable, and performant software in collaboration with our world-class team
Participate in code review and performing extensive testing to ensure high-quality software
Research new technology and tools and share those findings with the team
Communicate clearly and effectively with all members of our team

Qualifications

Computer Science or Software Engineering degree from Tecnolgico de Costa Rica (TEC)
Strong command of important core programming and computer science concepts
Fundamental knowledge of core web principles (HTTP, browsers, the DOM, SSL, web servers)
Understanding of HTML/CSS/JavaScript or QA principles
Native Android/iOS development knowledge is a plus
Great interpersonal skills - we work very closely together as a team and require a lot of communication
Advanced English
Proactive personality, and a desire to deliver your best work
A love for improving software development workflows/process
Full-time availability (40 hrs) a week during the 16 weeks of the program.

Perks and Benefits

Project-Based Learning
Health &amp; Wellness Programs
Culture of Learning &amp; Development
Fully-Stocked Kitchens &amp; Lounges
Socials, Outings &amp; Retreats
Possible Job Offer from Konrad at the end of the Program

Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal-opportunity employer. All qualified applicants regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
 
#LI-Hybrid"
1753070,"Java Full Stack Developer","https://www.konrad.com/careers/job/6238375003?gh_jid=6238375003","konrad","San José, Costa Rica","Yes",1,"Full time","2025-03-28T19:54:54.121524Z","Who We Are
Konrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As a Full Stack Java Developer you'll be tasked with working on web application development in Java and Spring Boot. Working within the software development team, your duties will require you to assist in the development and delivery of consumer and enterprise applications. This role is ideal for ambitious developers who feel confident in their technical ability and want to be a part of the highly-skilled development team at Konrad.
What You'll Do

Write maintainable, testable, and performant software in collaboration with our world class team.
Participate in code review and perform extensive testing to ensure we deliver high quality software.
Research new technology and tools and share those findings with the team.
Communicate clearly and effectively with all members of our team.

Qualifications

1-3 years experience building and delivering modern production-grade web applications in a team environment
Very strong Java programming skills utilizing Spring Boot or Spring Cloud 
Front end JS framework experience using React or Angular or similar
Deep understanding of each of the parts that make up a modern web application (APIs, templating, routing, data storage, design patterns, optimization, caching, security) 
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Fluency with relational databases or alternatively NoSQL databases
Great interpersonal skills - we work very closely together as a team and require a lot of communication.
A proactive personality, and a desire to deliver your best work.
A love for improving software development workflows and processes.

Nice to have

Experience working with content management systems (Wordpress, AEM, Sitefinity etc...)
Experience working within cloud environments (AWS, Google Cloud, Azure)
Experience working with GraphQL, ElasticSearch, Serverless, or Next.js

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Parental Leave Program
Technology &amp; Travel Allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

 
Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
 
#LI-Hybrid"
2669694,"Software Architect","https://www.konrad.com/careers/job/6522195003?gh_jid=6522195003","konrad","Toronto","No",5,"Full time","2025-03-28T19:54:54.121556Z","Who We Are
Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As a Software Architect you'll be tasked with leading projects and tech teams, providing guidance to software team members through code reviews &amp; mentorship, as well as designing and diagramming software architecture. This role is ideal for ambitious developers who feel confident in their technical ability and want to be a part of the highly-skilled development team at Konrad.
What Youll Do

Write maintainable, testable, and performant software in collaboration with our world class team.
Provide project/program-level leadership, determine technology stack for the project/program, in collaboration with the technical director and the workstream leads.
Works with the Strategy and Design teams, as well as the client, to define requirements &amp; estimate effort for upcoming work.
Mentor the project team, providing feedback and guidance to technical staff.
Identify risks to the project or technology team and discuss them proactively with the team.
Research new technology and tools and share those findings with the team.
Communicate clearly and effectively with all members of our team.

Qualifications

5+ years experience building and delivering modern production-grade web applications in a team environment, leading teams and projects
Very strong Java programming skills &amp; experience utilizing Spring Boot or Spring Cloud 
Very strong JS programming skills &amp; experience using React or Angular or similar
Experience working within cloud environments (AWS or Google Cloud or Azure)
Experience working with Infrastructure as Code, CI/CD
Deep understanding of each of the parts that make up a modern web application (APIs, templating, routing, data storage, design patterns, optimization, caching, security) 
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Fluency with relational databases or alternatively NoSQL databases
Excellent interpersonal skills are essential, as we work closely as a team and require frequent communication.
A proactive personality, and a desire to deliver your best work
A love for improving software development workflows and processes

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
Annual tech &amp; travel allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2669693,"Senior Full Stack Developer","https://www.konrad.com/careers/job/6522198003?gh_jid=6522198003","konrad","Toronto","No",5,"Full time","2025-03-28T19:54:54.121578Z","Who We Are
Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As a Full Stack Developer you'll be tasked with working on web application development. Working within the software development team, your duties will require you to assist in the development and delivery of consumer and enterprise applications. This role is ideal for ambitious developers who feel confident in their technical ability and want to be a part of the highly-skilled development team at Konrad.
What Youll Do

Write maintainable, testable, and performant software in collaboration with our world class team.
Participate in code review and perform extensive testing to ensure we deliver high quality software.
Research new technology and tools and share those findings with the team.
Communicate clearly and effectively with all members of our team.

Qualifications

5+ years experience building and delivering modern production-grade web applications in a team environment
Very strong JavaScript programming skills, utilizing tools and platforms like TypeScript, Node.js, Next.js
Front end JS framework experience using React or Angular or similar
Deep understanding of each of the parts that make up a modern web application (APIs, templating, routing, data storage, design patterns, optimization, caching, security) 
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Great interpersonal skills - we work very closely together as a team and require a lot of communication.
A proactive personality, and a desire to deliver your best work.
A love for improving software development workflows and processes.

Nice to have

Custom development with Next.js, Gatsby, Remix.js, or similar is an asset
Experience working with content management systems (Wordpress, AEM, Sitefinity etc...)
Experience working within cloud environments (AWS, Google Cloud, Azure)
Experience working with GraphQL, ElasticSearch, Serverless, or Next.js

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
Annual tech &amp; travel allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2638885,"UI/UX Design, Intern - June 2025 (3 months)","https://www.konrad.com/careers/job/6517342003?gh_jid=6517342003","konrad","New York","No","Not specified","Internship","2025-03-28T19:54:54.121597Z","Who We Are
Konrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As an Experience Design Intern (UI/UX), you will be involved in our design thinking process and the creation of innovative mobile, tablet and web products. You will bridge the gap between design, business, and technology to ship world-class digital experiences for leading companies and global brands.
What You'll Do

Work with design leads to create compelling interactive experiences
Perform user research and develop information architecture, user goals, journey maps, and design wireframes and visual interfaces
Collaborate with developers to ensure pixel perfect execution across all project deliverables
Work with the consulting team to gain insights into clients business and project objectives
Learn the end-to-end process of project delivery and the associated design tools involved

Qualifications

Firm grasp of design fundamentals demonstrated by a strong portfolio of digital projects
Meticulous attention to detail and a keen eye for typography and visual hierarchy
Clear and effective communication skills in articulating design concepts and rationales
Proficient in Figma and an eagerness to learn new tools
Positive attitude with a desire to grow within a collaborative, inspiring teamwork environment

Perks and Benefits

Mentorship Program
Campus Ambassador Program
Socials, Outings &amp; Retreats
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points: Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
The estimated compensation for this position is $5,500 per month. This is an estimate and a compensation offer will vary based on applicants education, experience, skills, abilities and alignment with market data.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2638884,"UI/UX Designer","https://www.konrad.com/careers/job/6517351003?gh_jid=6517351003","konrad","New York","No",1,"Full time","2025-03-28T19:54:54.121617Z","Who We Are
Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As an Experience Designer (UI/UX) we will depend on you to be an active contributor in our design thinking process and the creation of innovative mobile, tablet and web products. You will connect design, business, and technology to ship world-class digital experiences for leading companies and global brands.
What You'll Do

Develop a comprehensive understanding of project needs by attending design thinking workshops, performing user research, conducting user tests, and designing rich interactive experiences
Identify areas of opportunities for clients and solve functional challenges through brainstorming, ideating, and designing digital solutions with other members of the team
Collaborate with developers and consultants to understand technology requirements and business objectives as they relate to the designs of the products
Build industry-leading solutions by staying up to date with design best practices and latest technologies
Be an advocate for a culture of lifelong learners.

Qualifications

1-3 years of experience in UI/UX design
Meticulous attention to detail and an expert eye for typography and visual hierarchy
Strong conceptual thinking and design execution abilities in both visual and interaction design
Great interpersonal and communication skills, with a passion towards the digital space and experience in articulating design concepts and rationales
Intimate knowledge of Figma, Adobe Creative Suite and prototyping tools
An in-depth portfolio showcasing digital projects that you can share with us
Experience in motion design and web or mobile development is a bonus

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
New Device Allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
The estimated compensation for this position is $80,000 to $100,000. This is an estimate and a compensation offer will vary based on applicants education, experience, skills, abilities and alignment with market data.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2638882,"Senior UI/UX Designer","https://www.konrad.com/careers/job/6517352003?gh_jid=6517352003","konrad","New York ","No",3,"Full time","2025-03-28T19:54:54.121648Z","Who We Are
Konrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As a Senior Experience Designer (UX/UI) we will depend on you to lead large-scale digital innovation projects for consumer brands and enterprise clients. You will connect design, business, and technology to ship world-class digital experiences for leading companies and global brands.
What You'll Do

Lead design research, ideation and creation of digital interfaces across multiple platforms and devices
Collaborate with clients and team members to find the strongest solution together.
Be dependable when faced with timelines and deliverables of multiple projects
Provide clear and honest design feedback while being considerate of all interpersonal and professional factors. 
Be an advocate for constant learning by supporting the design team and its individuals growth.

Qualifications

3-5 years of experience with a minimum of 1 year of experience in leading UX and UI design
Solid understanding of creating user-centered experiences with complex requirements
Driven to innovate and lead creative workflows and processes for the team
Excellent communication and presentation skills with experience presenting to clients or stakeholders
A expert of Figma, Adobe Creative Suite and prototyping tools
Expertise in motion design and web or mobile development is a bonus

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
Annual tech &amp; travel allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
The estimated compensation for this position is $100,000 to $125,000. This is an estimate and a compensation offer will vary based on applicants education, experience, skills, abilities and alignment with market data.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2638880,"Senior Consultant, Strategy & Technology","https://www.konrad.com/careers/job/6517334003?gh_jid=6517334003","konrad","New York","No",4,"Full time","2025-03-28T19:54:54.121695Z","Who We Are
Konrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As a Senior Consultant, you will lead cross-functional teams of consultants, designers, and developers through medium and large-scale digital projects and will guide our clients through our Design Thinking Process to deliver cutting edge user experiences.
As a senior member of the team, you have previously worked with clients from a diverse set of industries. You will use your experience to solve complex business problems and you will collaborate with and lead our clients through early brainstorming, the creation of impactful user experiences, through to technical delivery and implementation. The ideal candidate will bring to the table a demonstrable experience in leading teams and mentoring junior team members. 
In this multifaceted role you will be exposed to and will work in collaboration with our Strategy, Project Management, User Experience (UX) Design, and Technology teams.
What You'll Do

As a senior member of the Consulting team you will support the engagement lead on projects varying in size  from smaller rapid-to-market initiatives through to large-scale digital transformations
You will use your experience to strategize and create digital solutions for a variety of clients and verticals
Lead strategy and design thinking workshops with our clients
Play a key role in understanding and interpreting our clients business challenges and goals, and working with our design and technology teams to deliver elegant user experiences
Ensure client goals and project timelines are met
Be a design and technology thought leader on existing and emerging technology trends
Structure presentations, documentation, request for proposal responses, and other collateral
Mentor junior members of the team

Qualifications

Minimum 4+ years of relevant experience
Experience in leading strategy, design, and technology teams though medium and large-scale digital projects
A clear understanding of management, business, and finance processes
Strong track record in liaising with and collaborating with clients
A demonstrable passion for user experience, digital design, and technology
A constant desire to learn more about the latest technologies
A keen eye for great digital design
Excellent communication skills
Strong track record of public speaking
An analytical mindset
Strong problem-solving ability
Ability to work in a team environment and independently
Experience in mentoring other team members

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
Annual tech &amp; travel allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad Group is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
The estimated compensation for this position is $100,000 to $120,000. This is an estimate and a compensation offer will vary based on applicants education, experience, skills, abilities and alignment with market data.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2638878,"Manager, Strategy & Technology","https://www.konrad.com/careers/job/6517341003?gh_jid=6517341003","konrad","New York","No",5,"Full time","2025-03-28T19:54:54.121804Z","Who We Are
Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners. 
About the Role
As a Manager, you have a successful career in digital and have managed cross-functional teams of consultants, designers, and developers. In your career you have successfully led large, complex projects and programs from inception through to completion.
As a Manager, you are primarily responsible for leading strategy and management consulting engagements as well as design and technology delivery engagements. Additionally, you will be managing client expectations and ensuring that delivery meets our clients needs. You lead the team by example, being responsible for the full project lifecycle in collaboration with Konrads senior leadership. 
As a senior member of the team, you have previously worked with clients and projects of various size and complexity. You will leverage your past experience and Konrads Strategy and Design Thinking Process to solve complex business problems and help guide our clients through early brainstorming, the creation of impactful end-to-end customer experiences. The ideal candidate will bring to the table a demonstrable experience in leading medium and large teams and mentoring junior team members.
What You'll Do 

You will be responsible for engagement processes including, but not limited to, strategy and design thinking, project scope, timelines, organization, resourcing, implementation, and risk management
Manage cross-functional teams to ensure the team understands and meets the project and/or program vision
Be a day-to-day point of contact for clients, managing their expectations and implementing resolution of project and/or program level issues independently
Proactively and independently look to solve problems and identify opportunities for improvement
You will use your experience to strategize and create software solutions for a variety of clients and verticals
Lead user experience design thinking workshops with our clients
Identify opportunities for business development and growing our business with existing clients that you work with
Play a lead role in understanding and interpreting our clients business challenges and goals and working with our design and technology teams to deliver elegant user experiences
Be a design and technology thought leader on existing and emerging technology trends
Be a mentor to other members of the team

Qualifications

Minimum 5+ years of relevant experience
Excellent experience in leading management consulting, strategy, design, and technology teams
Excellent relationship building skills with the ability to influence others
A clear understanding of complex management, business, and finance processes from a variety of verticals
Excellent organizational, written, and verbal communication skills with strong problem-solving ability
Strong track record in liaising with and collaborating with clients from diverse industries
Proven history of leading multiple large and complex programs simultaneously
A deep understanding of existing and emerging design, project management processes, and technology
Experience in mentoring and growing other team members

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
Annual tech &amp; travel allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
The estimated compensation for this position is $120,000 to $150,000. This is an estimate and a compensation offer will vary based on applicants education, experience, skills, abilities and alignment with market data.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
2638876,"Manager, Alliances","https://www.konrad.com/careers/job/6517591003?gh_jid=6517591003","konrad","New York","No","Not specified","Full time","2025-03-28T19:54:54.121833Z","Who We Are
Konrad Group is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
About The Role
As the Manager Alliances at Konrad, you will be responsible for building and nurturing strategic partnerships with industry-leading technology providers and other key stakeholders. You will work closely with our Sales, Delivery, Marketing, and Leadership teams to identify new opportunities, expand our market reach, and ensure successful alliances that deliver transformative results for our clients. This role requires a deep understanding of the digital innovation landscape, strong relationship management skills, and the ability to execute on collaborative go-to-market strategies.
You will be primarily working in our SoHo office in New York but travel to meet clients and partner stakeholders frequently. Some of the partner relationships that you will help manage include our partnership with Adobe and Microsoft.
What You'll Do

Identify &amp; Develop Partnerships: Research, identify, and target potential technology and ecosystem partners that align with Konrads strategic objectives.
Alliance Strategy &amp; Management: Define partnership goals, establish success metrics, and monitor alliance performance to ensure mutual benefit and sustained growth.
Relationship Building: Collaborate with partner organizations at all levels, from C-suite to field teams, fostering trust, alignment, and open communication.
Go-to-Market Execution: Work closely with Sales, Marketing, and Delivery teams to develop joint sales enablement, marketing campaigns, and service offerings that drive incremental revenue.
Thought Leadership: Represent Konrad at industry events, conferences, and partner forums, showcasing our expertise and forging new relationships.
Reporting &amp; Analysis: Track, analyze, and report on the status and ROI of alliance activities to executive leadership, making data-driven recommendations for optimization.

Qualifications

Identify &amp; Develop Partnerships: Research, identify, and target potential technology and ecosystem partners that align with Konrads strategic objectives.
Alliance Strategy &amp; Management: Define partnership goals, establish success metrics, and monitor alliance performance to ensure mutual benefit and sustained growth.
Relationship Building: Collaborate with partner organizations at all levels, from C-suite to field teams, fostering trust, alignment, and open communication.
Go-to-Market Execution: Work closely with Sales, Marketing, and Delivery teams to develop joint sales enablement, marketing campaigns, and service offerings that drive incremental revenue.
Thought Leadership: Represent Konrad at industry events, conferences, and partner forums, showcasing our expertise and forging new relationships.
Reporting &amp; Analysis: Track, analyze, and report on the status and ROI of alliance activities to executive leadership, making data-driven recommendations for optimization.

Perks and Benefits

Comprehensive Health &amp; Wellness Benefits Package 
Socials, Outings &amp; Retreats
Retirement Planning
Parental Leave Program
Annual tech &amp; travel allowance
Culture of Learning &amp; Development
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs

Bonus Points
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
The estimated compensation for this position is $120,000 to $150,000. This is an estimate and a compensation offer will vary based on applicants education, experience, skills, abilities and alignment with market data.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.
#LI-Hybrid"
