"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2785415,"Automotive Technician - Master Technician","https://jobs.smartrecruiters.com/MonroInc/744000053662041-automotive-technician-master-technician","monro","Columbus","No",2,"Full time","2025-04-15T01:57:35.862750Z","Automotive Mechanic/TechnicianThe pay range for this position is between $17.00 and $20.00 per hour guaranteed based on experience. Flat rate between $25 and $35Responsible for the efficient, diagnosis, repair and maintenance of Guests vehicles, the Automotive Technician position is a great way to start your career at Monro.  Starting day 1 you will begin a comprehensive Technician training program, covering all aspects of your new role, while preparing you for the next. As an Automotive Technician for Monro, you will be an essential team member, performing repair services on Guest vehicles. More importantly, you will be part of a team working together to deliver 5 Star Guest experiences, while using your Technician skills to take care of people, their cars and ensure our guests have safe, reliable transportation.Responsibilities Perform brakes, suspension, tire installation, scheduled maintenance, and all manner of automotive repairs and maintenance, that you are qualified to performSecure our guests approval to perform the work as a result of the diagnosis; and always maintain a clean, neat work areaComplete thorough automotive vehicle inspections on every vehicle you service and perform any repairs and maintenanceTest drive guest vehicles and use our shop truck in a safe manner to pick up inventory as neededCollaborate with teammates and provide leadership to General Service Technicians  Minimum Qualifications 2+ years of automotive technician experienceValid Driver LicenseOwn a basic set of automotive tools or participate in tool purchase program.Ability to work with hands overhead, stand for long periods and lift 50 lbs.Guest and team focused mindsetHave and maintain an Automotive Technician State Inspectors license, where applicable.Preferred Qualifications ASE automotive certification in at least one of A1-A8 Automotive Technician State Inspector LicenseAutomotive technical school certificate/degreeBenefits Performance based incentives   Paid vacation and holidays for Full-Time Teammates Reimbursement for ASE Certifications   Reimbursement for State Inspection Licenses, where applicable   401k eligibility immediately upon hire Direct Deposit Employee Discounts Healthcare, Vision, and Dental for Full time teammates   Employee Access Perks Career Advancement Opportunities   Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785414,"Commercial Assistant Store Manager","https://jobs.smartrecruiters.com/MonroInc/744000053664306-commercial-assistant-store-manager","monro","Knoxville","No",2,"Full time","2025-04-15T01:57:35.862833Z","As a Monro Assistant Store Manager, you will be involved in all aspects of everyday store operations including the efficient, productive, and safe operation of our service bays. The Assistant Automotive Manager position is a great way to start your career at Monro. Starting day 1 you will begin a comprehensive Management training program, covering all aspects of your new role, while preparing you for the next. As an automotive Manager for Monro, you will be an essential team member, responsible for building lasting relationships with our Guests. More importantly, you will be part of a team, working together to deliver 5 Star Guest experiences, while using your professional skills to take care of people, their cars and ensure our guests have safe, reliable transportation. The hourly range for this role is minimum wage up to $28.00.   This role is eligible for additional compensation and incentives.  Pay will be based on experience level. Responsibilities  Collaborate with Store Manager on operations of the store and decisions of hiring, training, coaching, disciplining, and terminating employees  Support automotive technicians in establishing and maintaining productive sales environment by training and developing teammates on all shop operations and guest services  Assist with scheduling employees, completing timecards, and assigning work to Lube and Tire technicians Performs duties of automotive technician when needed  Attends meetings and clinics to maintain current knowledge of tools, parts, and repairs Minimum Qualifications  High school or GED equivalent. 2+ years of sales experience  Valid Driver License  Ability to work with hands overhead, stand for long periods and lift 50 lbs.  Excellent communication skills and basic algebra to calculate figures and amounts such as discounts, interest, commissions proportions, and percentages. Guest and team focused mindset  Preferred Qualifications  Leadership experience with proven ability to drive results. Retail Experience Benefits  Health Insurance  Dental Insurance 401K Retirement Plan with Company Match Paid vacation Paid Holidays Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785413,"Automotive General Service Technician","https://jobs.smartrecruiters.com/MonroInc/744000053664676-automotive-general-service-technician","monro","Columbus","No","Not specified","Full time","2025-04-15T01:57:35.862869Z","The Lube and Tire Technician at Monro or General Service Tech as we call it, is an entry level Automotive Technician position and a great way to start your career at Monro.  Starting day 1 you will begin a comprehensive mechanic training program, covering all aspects of your new role. As a General Service Technician, you will be an essential team member, performing maintenance services on Guest vehicles. More importantly, you will be part of a team working together to deliver 5 Star Guest experiences, while using your technician skills to take care of people, their cars and ensure our guests have safe, reliable transportation. Pay is based on experience plus, incentives (if applicable) Responsibilities Mechanic duties include changing, mounting, and installing tires Wheel removal, tire repair and balance, tire patch/plug repairs  Quick lube type duties such as lubrication and oil change Inspect and rotate tires   Basic automotive maintenance work such as battery installation  We will train you to do alignments, brake services, and scheduled maintenance services  Compensation: The hourly range for this role is $16 - $17 based on experience. This role is eligible for additional compensation and incentives. Pay will be determined based on experience level.Minimum Qualifications   HS diploma or GED equivalent  Automotive experience  Own basic set of Mechanics tools or participate in tool purchase program  Valid Driver license Must be at least 18 years of agePositive attitude and a collaborative mindset  Ability to work with hands overhead, stand for long periods and lift 50 lbs  Preferred Qualifications  Automotive Technician or Lube and Tire experience  Benefits  Performance based incentives   Paid vacation and holidays for Full-Time Teammates Reimbursement for ASE Certifications   Reimbursement for State Inspection Licenses, where applicable   401k eligibility immediately upon hire Direct Deposit Employee Discounts Healthcare, Vision, and Dental for Full time teammates   Employee Access Perks Career Advancement Opportunities  Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785412,"Commercial Sales Representative","https://jobs.smartrecruiters.com/MonroInc/744000053664270-commercial-sales-representative","monro","Gastonia","No",3,"Full time","2025-04-15T01:57:35.862899Z","The Commercial Outside Sales Representative is responsible for growing, managing, and executing a clients business plan using the provided tools, methods, and processes to achieve maximum client satisfaction, sales and profitability.The hourly range for this role is minimum wage up to $36.00.   This role is eligible for additional compensation and incentives.  Pay will be based on experience level. ResponsibilitiesDevelop and successfully execute a personal sales plan to retain current and obtain new commercial tire account businessDevelop and implement client business plans to aid the Store in exceeding its annual sales goalsFacilitate clear and open communications between clients and Store operations on requests, concerns, safety awareness, order/service fulfillment, etc.Manage and execute client account analysis, prepare, and present client proposals/quotes, provide additional reporting requirements, or respond to special client projectsPerform fleet inspections at client sites and make recommendations for services to meet client needs and objectivesTrack and document regular updates on daily work and client activity in Telenotes according to Monros policy and proceduresKeep current with industry changes in products and services and maintain comprehensive knowledge of Monros offerings and client baseResponsible for fully understanding competitive developments, and effectively convey Monros value proposition vs. competitors to current and potential clientsResponsible for working with Collections Admin to ensure assigned customers are paying in a timely manner and any disputes are quickly and satisfactorily resolvedResponsible for meeting or exceeding required sales growth and profit margin within designated sales territoryPerforms other duties as assignedManagement ResponsibilityThe Commercial Outside Sales Representative is an individual contributor to the team and operates under the general direction of the Commercial Store ManagerEducation and ExperienceHigh School diploma or GED equivalent and a minimum of 3 years business to business sales experience, or a minimum of 3 years Retail Tire Store customer service experience; commercial tire industry sales experience preferredKnowledge &amp; SkillsAbility to project a positive image of the company to customers, and effectively communicate verbally and in writing with a variety of internal and external customersAble to work in a fast-paced environment, and manage multiple priorities to meet established deadlines and goalsAbility to take initiative and work independently with minimal supervision, as well as effectively contribute within a team environmentStrong sales orientation and customer focusResults oriented to meet or achieve sales goalsBasic computer skillsFrequent travel requiredStrong presentation and negotiation skillsWork Environment &amp; Physical RequirementsThis job operates in an automotive shop environment with visits to client sites. The job will have exposure to a moderate noise level, adverse weather conditions, chemicals, odors, dirt, and dust.This role routinely uses standard office equipment such as computers, phones, photocopiers, scanners, and fax machines.Must possess a current valid drivers license and have a satisfactory Motor Vehicle Report (MVR)Ability to work flexible hours, days, evenings, weekends, and holidaysMust be able to lift, carry and move merchandise up to 100 lbs. without assistanceFrequent standing and walking for long periods of timeFrequent squatting, bending, stooping, kneeling while performing fleet inspectionsBenefits  Health Insurance  Dental Insurance 401K Retirement Plan with Company Match Paid vacation Paid Holidays Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785411,"Billing Clerk Administrative Assistant ","https://jobs.smartrecruiters.com/MonroInc/744000053663016-billing-clerk-administrative-assistant-","monro","Lakeland","No",1,"Full time","2025-04-15T01:57:35.862928Z","Provides support to the Commercial Tire Division by performing duties including the following.The hourly range for this role is minimum wage up to $20.00.   This role is eligible for additional compensation and incentives.  Pay will be based on experience level. ResponsibilitiesPrepare Summary invoices for reviewDispatch Fleet Call WorkPrepare Tire reportsFinalize and Bill local and national account invoicesContacts and monitors work order statusMaintain store files.QualificationsHigh school diploma or GEDMust be at least 18 years or older1-2 years of office experience preferredBenefits  Health Insurance  Dental Insurance 401K Retirement Plan with Company Match Paid vacation Paid Holidays Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785410,"Automotive Technician - Master Technician","https://jobs.smartrecruiters.com/MonroInc/744000053665381-automotive-technician-master-technician","monro","Columbus","No",2,"Full time","2025-04-15T01:57:35.862957Z","Automotive Mechanic/TechnicianThe pay range for this position is between $17.00 and $20.00 per hour guaranteed based on experience. Flat rate between $25 and $35Responsible for the efficient, diagnosis, repair and maintenance of Guests vehicles, the Automotive Technician position is a great way to start your career at Monro.  Starting day 1 you will begin a comprehensive Technician training program, covering all aspects of your new role, while preparing you for the next. As an Automotive Technician for Monro, you will be an essential team member, performing repair services on Guest vehicles. More importantly, you will be part of a team working together to deliver 5 Star Guest experiences, while using your Technician skills to take care of people, their cars and ensure our guests have safe, reliable transportation.Responsibilities Perform brakes, suspension, tire installation, scheduled maintenance, and all manner of automotive repairs and maintenance, that you are qualified to performSecure our guests approval to perform the work as a result of the diagnosis; and always maintain a clean, neat work areaComplete thorough automotive vehicle inspections on every vehicle you service and perform any repairs and maintenanceTest drive guest vehicles and use our shop truck in a safe manner to pick up inventory as neededCollaborate with teammates and provide leadership to General Service Technicians  Minimum Qualifications 2+ years of automotive technician experienceValid Driver LicenseOwn a basic set of automotive tools or participate in tool purchase program.Ability to work with hands overhead, stand for long periods and lift 50 lbs.Guest and team focused mindsetHave and maintain an Automotive Technician State Inspectors license, where applicable.Preferred Qualifications ASE automotive certification in at least one of A1-A8 Automotive Technician State Inspector LicenseAutomotive technical school certificate/degreeBenefits Performance based incentives   Paid vacation and holidays for Full-Time Teammates Reimbursement for ASE Certifications   Reimbursement for State Inspection Licenses, where applicable   401k eligibility immediately upon hire Direct Deposit Employee Discounts Healthcare, Vision, and Dental for Full time teammates   Employee Access Perks Career Advancement Opportunities   Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785409,"State Certified Automotive / Technician-Mechanic  ( Flint Michigan)","https://jobs.smartrecruiters.com/MonroInc/744000053667571-state-certified-automotive-technician-mechanic-flint-michigan-","monro","Flint","No",2,"Full time","2025-04-15T01:57:35.862985Z","Automotive Mechanic/TechnicianThe pay range for this position is between $18.00 and $28.00 per hour guaranteed based on experience, and number of state certification and or Master tech status. Flat rate between $25 and $40Responsible for the efficient, diagnosis, repair and maintenance of Guests vehicles, the Automotive Technician position is a great way to start your career at Monro.  Starting day 1 you will begin a comprehensive Technician training program, covering all aspects of your new role, while preparing you for the next. As an Automotive Technician for Monro, you will be an essential team member, performing repair services on Guest vehicles. More importantly, you will be part of a team working together to deliver 5 Star Guest experiences, while using your Technician skills to take care of people, their cars and ensure our guests have safe, reliable transportation.Responsibilities Perform brakes, suspension, tire installation, scheduled maintenance, and all manner of automotive repairs and maintenance, that you are qualified to performSecure our guests approval to perform the work as a result of the diagnosis; and always maintain a clean, neat work areaComplete thorough automotive vehicle inspections on every vehicle you service and perform any repairs and maintenanceTest drive guest vehicles and use our shop truck in a safe manner to pick up inventory as neededCollaborate with teammates and provide leadership to General Service Technicians  Minimum Qualifications 2+ years of automotive technician experienceValid Driver LicenseOwn a basic set of automotive tools or participate in tool purchase program.Ability to work with hands overhead, stand for long periods and lift 50 lbs.Guest and team focused mindsetHave and maintain an Automotive Technician State Inspectors license, where applicable.Preferred Qualifications ASE automotive certification in at least one of A1-AAutomotive technical school certificate/degreeState Automotive CertificationBenefits Performance based incentives   Paid vacation and holidays for Full-Time Teammates Reimbursement for ASE Certifications   Reimbursement for State Inspection Licenses, where applicable   401k eligibility immediately upon hire Direct Deposit Employee Discounts Healthcare, Vision, and Dental for Full time teammates   Employee Access Perks Career Advancement Opportunities   Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785408,"Automotive Mechanic/Technician","https://jobs.smartrecruiters.com/MonroInc/744000053668475-automotive-mechanic-technician","monro","Hilliard","No",2,"Full time","2025-04-15T01:57:35.863021Z","Automotive Mechanic/TechnicianThe pay range for this position is between $16.00 and $22.00 per hour guaranteed based on experience. Flat rate between $30 and $40Responsible for the efficient, diagnosis, repair and maintenance of Guests vehicles, the Automotive Technician position is a great way to start your career at Monro.  Starting day 1 you will begin a comprehensive Technician training program, covering all aspects of your new role, while preparing you for the next. As an Automotive Technician for Monro, you will be an essential team member, performing repair services on Guest vehicles. More importantly, you will be part of a team working together to deliver 5 Star Guest experiences, while using your Technician skills to take care of people, their cars and ensure our guests have safe, reliable transportation.Responsibilities Perform brakes, suspension, tire installation, scheduled maintenance, and all manner of automotive repairs and maintenance, that you are qualified to performSecure our guests approval to perform the work as a result of the diagnosis; and always maintain a clean, neat work areaComplete thorough automotive vehicle inspections on every vehicle you service and perform any repairs and maintenanceTest drive guest vehicles and use our shop truck in a safe manner to pick up inventory as neededCollaborate with teammates and provide leadership to General Service Technicians  Minimum Qualifications 2+ years of automotive technician experienceValid Driver LicenseOwn a basic set of automotive tools or participate in tool purchase program.Ability to work with hands overhead, stand for long periods and lift 50 lbs.Guest and team focused mindsetHave and maintain an Automotive Technician State Inspectors license, where applicable.Preferred Qualifications ASE automotive certification in at least one of A1-A8 Automotive Technician State Inspector LicenseAutomotive technical school certificate/degreeBenefits Performance based incentives   Paid vacation and holidays for Full-Time Teammates Reimbursement for ASE Certifications   Reimbursement for State Inspection Licenses, where applicable   401k eligibility immediately upon hire Direct Deposit Employee Discounts Healthcare, Vision, and Dental for Full time teammates   Employee Access Perks Career Advancement Opportunities   Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785407,"General Service Front/Back Shop.","https://jobs.smartrecruiters.com/MonroInc/744000053668935-general-service-front-back-shop-","monro","Canal Winchester","No","Not specified","Full time","2025-04-15T01:57:35.863049Z","Responsibilities:General Service - front and back shopSalary Range: $ 16.00 - $ 19.00 per hour. This role is eligible for additional incentives. Successfully complete Monro's training program to enable Guest Care Specialist to execute the Monro selling process.   First point of contact for guests on the phone and in the store. Responsible for engaging guests, scheduling appointments, building trust, understanding needs, communicating processes and timelines, and presenting needed services following the Monro sellingprocess. Responsible for the organization and productivity of the service business through estimate and invoice transactions.   Under the direction of management, assists in various aspects of guest care, work order completion and register assistance, facility maintenance, and outside purchase ordering.  This position is a secondary key carrier responsible for basic and detailed opening and closing responsibilities.  Follow all policies and procedures related to cash, credit, check, refund and return policies. Works with the management team to react to guest service issues, guest complaints, and/or business opportunities.  Able to understand and effectively communicate all products and services Monro offers to guests.    Understand and adhere to company policies and procedures, Governmental standards including environmental codes and ANSI/OSHA standards. Consistent use of all required safety standards set forth in training and policies and procedures.   Partner with Management to produce a safe and health work environment that complies with all local, state, and federal laws, as well as with company policies and procedures.  Maintain an organized and neat guest waiting area.  Other duties as assigned.  Qualifications:General Service Front and Back ShopHigh School Diploma or equivalent.   Automotive training including basic car maintenance and repair or the equivalent combination of education and experience.   ASE certification and State Inspection license (where applicable) preferred.  Must possess a current valid drivers license and have a satisfactory Motor Vehicle Report (MVR) and have the ability to operate customers vehicles to conduct test drives. Required to own a basic set of tools or participate in Monros tool purchase program.  Benefits Performance based incentives   Paid vacation and holidays for Full-Time Teammates Reimbursement for ASE Certifications   Reimbursement for State Inspection Licenses, where applicable   401k eligibility immediately upon hire Direct Deposit Employee Discounts Healthcare, Vision, and Dental for Full time teammates   Employee Access Perks Career Advancement Opportunities   Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
2785406,"Auto Technician / Mechanic","https://jobs.smartrecruiters.com/MonroInc/744000053671805-auto-technician-mechanic","monro","Canal Winchester","No",2,"Full time","2025-04-15T01:57:35.863076Z","Perform brakes, suspension, tire installation, scheduled maintenance, and all manner of automotive repairs and maintenance, that you are qualified to performSecure our guests approval to perform the work as a result of the diagnosis; and always maintain a clean, neat work areaComplete thorough automotive vehicle inspections on every vehicle you service and perform any repairs and maintenanceTest drive guest vehicles and use our shop truck in a safe manner to pick up inventory as neededCollaborate with teammates and provide leadership to General Service TechniciansState certifiedHigh school or GED equivalent.State certified2+ years of automotive technician experienceValid Driver LicenseOwn a basic set of automotive tools or participate in tool purchase program.Ability to work with hands overhead, stand for long periods and lift 50 lbs.Guest and team focused mindsetState certified in MichiganAll your information will be kept confidential according to EEO guidelines.Your next Destination!Growth Opportunity: At Monro were committed to helping our teammates grow their career through the combination of coursework, demonstrating leadership skills and open opportunities. Our teammates receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers them to advance to the next level of their careers.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
