"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3144525,"Business Operations Intern","https://apply.workable.com/j/2B01046997","ratehawk","Bucharest","Yes","Not specified","Internship","2025-06-21T02:02:45.682251Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Business Operations Intern you will be joining the Commercial Strategy &amp; Transformation team, that has the ultimate goal to achieve RateHawk business and financial performance globally, directly reporting to the Chief Commercial Officer. The team is responsible for delivering strategic projects that impact the RateHawk commercial organization and global business growth.This is a remote vacancy open to candidates residing in Europe, preferably in Romania, Poland and Hungary.Responsabilities:The Business Operations Intern will report to the Director of Commercial Strategy &amp; Transformation and support the rest of the team in the process of daily-weekly-monthly data analysis &amp; reporting, including: Track and measure the commercial KPIs on daily/weekly/monthly basis, with global perspective, but with the ability to zoom-in to the the single country or single sales manager performance Support the bonus calculation process for the whole commercial organization, including bonus scheme analysis, financial reporting and process improvements Provide ad-hoc analysis by extracting and manipulating large set of data, extrapolate actionable insights both on commercial teams or individual sales or account managers performance Closely collaborate with Analytics and CRM teams to implement automatic business intelligence tools and dashboards for the commercial organization Support commercial leadership team in crafting periodic presentation i.e. quarterly business reviews, strategy presentations, country updates RequirementsMust have: Strong and humble personality, able to interact with diverse and multicultural groups of people in remote and geographically dispersed organizations. Strong quantitative skills: highly proficient in MS Excel and GSheet, SQL intermediate knowledge. Autonomously able to collect, analyze data and create detailed reports. Advanced SQL skills is a strong plus. Data visualization: basic experience in working with BI tools and dashboards (Tableau, PowerBI, QuickSights etc) and ability to prepare outstanding presentations. Business acumen &amp; hypothesis-driven thinking: able to understand the business process, critically look at the numbers and formulate hypotheses to test. This is not a pure analytical role. Nice to have Bachelor or master degree in Engineering, Business, Statistics or Mathematics. Previous work experience in Sales, Marketing or Strategy. Previous work experience  in B2B software industry, travel industry is a plus. Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate prices on hotels and travel services."
3118927,"Senior TPP Account Manager Asia","https://apply.workable.com/j/E3A4F601CF","ratehawk","N/A","Yes",3,"Full time","2025-06-21T02:02:45.682335Z","Emerging Travel Group (ETG) is a travel-tech company that owns 3 international brands: RateHawk, ZenHotels &amp; RoundTrip. For the past 13 years, we have successfully created a unique service that provides everything our partners need to make travel planning easy and trips comfortable.This is a remote vacancy open to candidates residing in APAC.Requirements Lead and support a team of Account Managers across the Asian region, including setting goals, tracking performance, mentoring, and participating in hiring. Manage key API-connected suppliers: maintain regular contact, build strategic relationships, and align on growth plans and commercial terms. Define and execute the regional supplier strategy: optimize the portfolio, conduct negotiations, and drive profitability. Monitor supplier performance metrics, profitability, and competitiveness; identify risks and growth opportunities. Oversee and troubleshoot feed configurations, ensuring all API connections are correctly set up and functioning as intended. Collaborate with internal teams (technical, product, finance, customer support) to resolve operational issues and enhance supplier performance. Understand and monitor the impact of API integrations on operational KPIs (e.g., availability, pricing accuracy, success rate). Drive sales growth initiatives and identify new business opportunities across the region. Contribute to internal process improvements and cross-functional projects. Represent the company at industry events and trade shows. Provide regular reporting and performance updates to senior leadership. Key Qualifications 3+ years of experience in account management within travel tech industry. Hands-on experience working with API-connected suppliers and platforms (e.g., TravelgateX, Juniper, Derbysoft). Experience in supplier negotiations, feed troubleshooting, and project coordination. Team management experience as a plus. Fluent Chinese and English, other languages as a plus. Learn more about our data protection practices in our Privacy Policy.BenefitsWe Offer You Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3109105,"Business Development Manager Philippines","https://apply.workable.com/j/DC73215E63","ratehawk","Manila","No",3,"Full time","2025-06-21T02:02:45.682369Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Business Development Manager you will play a pivotal role in driving our sales efforts, forging strategic partnerships, and expanding our client base along with maintaining and developing the relationships with our clients and consolidating our presence on the local market.This is a remote vacancy open to candidates residing in the Philippines (metro Manila).Requirements Develop and implement sales activities and hit the sales targets to achieve growth and expand presence in assigned territory; Sign up new partners (tour operators, travel agencies, travel management companies, OTAs) and provide them with extended training of our system; Build and maintain a strong, long-lasting relationship with new and existing partners; Account management of an assigned portfolio of partners, including the first level of support; Follow-up with existing partners to provide system training and identify the ways to improve the cooperation; Prepare, execute and manage the commercial deals with the partners, including the execution of required document flow and technical setup; Control of compliance with commercial conditions by partners, including the payment flow; Spend approximately 40% of your working time on business trips, including meetings with clients, industry events, and other business-related events; Provide market &amp; competitive environment analysis; Provide regular comprehensive reporting through CRM and internal systems;  Initiate API deals with potential and existing partners. Key Qualifications  Relevant Experience. Minimum of 3 years of successful experience in the full sales life cycle within the travel industry, with a focus on business development and account management of B2B companies;  Market Knowledge. In-depth understanding of the region's travel market, including B2B travel networks (tour operators, travel agencies, travel management companies, OTAs);  Language knowledge. Fluent in Tagalog and English;  Travel Requirements. Up to 40% of travel time may be required;  Analytical Skills. Used to data-driven decision-making, metrics-driven and good with numbers;  Personal Skills. Proactive, ambitious, motivated, action-oriented, results-focused, appetite for innovative technology, comfortable with the fast-changing business environment, teamplayer;  International Mindset. Ability to understand and work across a wide range of cultural contexts reflecting ETGs global presence; Competence in API technology deals is a plus. Learn more about our data protection practices in our Privacy Policy.BenefitsWe Offer You Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3096634,"Business Development Manager Hungary","https://apply.workable.com/j/0DC089BE2B","ratehawk","Budapest","Yes",3,"Full time","2025-06-21T02:02:45.682400Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Business Development Manager you will play a pivotal role in driving our sales efforts, forging strategic partnerships, and expanding our client base along with maintaining and developing the relationships with our clients and consolidating our presence on the local market.This is a remote vacancy open to candidates residing in Hungary.What you'll do: Develop and implement sales activities and hit the sales targets to achieve growth and expand presence in assigned territory; Sign up new partners (tour operators, travel agencies, travel management companies, OTAs) and provide them with extended training of our system; Build and maintain a strong, long-lasting relationship with new and existing partners; Account management of an assigned portfolio of partners, including the first level of support; Follow-up with existing partners to provide system training and identify the ways to improve the cooperation; Prepare, execute and manage the commercial deals with the partners, including the execution of required document flow and technical setup; Control of compliance with commercial conditions by partners, including the payment flow; Spend approximately 30% of your working time on business trips, including meetings with clients, industry events, and other business-related events; Provide market &amp; competitive environment analysis; Provide regular comprehensive reporting through CRM and internal systems;  Initiate API deals with potential and existing partners. Requirements  Relevant Experience. Minimum of 2 years of successful experience in the full sales life cycle within the travel industry, with a focus on business development and account management of B2B companies, or 3 years B2C sales and tour operator experience on tailor made travels;  Market Knowledge. In-depth understanding of the region's travel market, including B2B travel networks (tour operators, travel agencies, travel management companies, OTAs);  Language knowledge. Proficient in English and Hungarian;  Travel Requirements. Up to 30% of travel time may be required;  Analytical Skills. Used to data-driven decision-making, metrics-driven and good with numbers;  Personal Skills. Proactive, ambitious, motivated, action-oriented, results-focused, appetite for innovative technology, comfortable with the fast-changing business environment, teamplayer;  International Mindset. Ability to understand and work across a wide range of cultural contexts reflecting ETGs global presence;  Location: Preferably based in Budapest, Hungary.  Competence in API technology deals is a plus. BenefitsWe offer you: Flexible schedules and opportunity to work remotely; Ambitious and supportive team who love what they do, appreciate each other, and grow together; Internal programs for adaptation and training, development of soft skills, and leadership abilities; Partial compensation for participating in external training and conferences; Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world; Corporate prices on hotels and travel services; MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3020620,"Revenue Operations Manager","https://apply.workable.com/j/A907A297DC","ratehawk","Astana","Yes","Not specified","Full time","2025-06-21T02:02:45.682429Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.We are looking for a highly skilled Revenue Operations Project Manager with a strong background in process development, execution, and control to lead revenue operations and profitability optimization initiatives. This role requires a structured thinker who can build and implement governance frameworks, drive cost efficiency initiatives, and optimize revenue-driving mechanisms while ensuring long-term sustainability.This is a remote vacancy open to candidates residing in Europe.Job ResponsibilitiesPerformance Supervision Lead structured Plan-Fact performance review meetings, ensuring alignment on key results and insights. Establish a data-driven performance analysis process, identifying trends, deviations, and opportunities (on market by market basis). Conduct deep-dive analysis on performance gaps, identifying root causes of revenue and profitability deviations. Develop and drive corrective action plans, ensuring measurable improvement in underperforming areas. Design and implement continuous performance optimization frameworks to drive efficiency and growth. Cost of Sales (CoS) Optimization &amp; Efficiency Management Monitor and control CoS, ensuring gross and contribution margin targets are met. Develop and implement CoS tracking tools and processes to enhance visibility and efficiency. Identify high-cost drivers inefficiencies, leading cross-functional initiatives for cost reduction. Lead cost optimization projects, collaborating cross-functionally to improve profitability without compromising revenue growth. Collaborate with Finance and FP&amp;A teams to integrate cost-saving opportunities into operational planning. Partner Profitability Management  Analyze partner performance, identifying opportunities for revenue and profitability improvement. Develop and manage partner profitability models, ensuring sustainable contributions to overall revenue. Collaborate with Regional Directors to optimize partner engagement strategies for long-term growth. Requirements 36 years in Project Management, Revenue Operations, FP&amp;A, or Business Process Optimization. Experience in SaaS, e-commerce, or fintech, finance consultancy, experience in B2B travel tech is a huge plus. Understanding of pricing models, incentive programs, and financial forecasting. Highly-preferred experience in Big-4 consultancy firms or Investment banking.  Proven ability to build and execute governance frameworks, cost optimization, and revenue initiatives. Strong knowledge of profitability metrics (CAC, LTV, Gross Margin) and P&amp;L management. Advanced data analysis &amp; financial modeling skills (Excel, Google Sheets, Tableau, Power BI). Expertise in process design and execution, managing multiple initiatives at scale. Strategic, results-driven mindset with strong problem-solving abilities. Excellent stakeholder management, negotiation, and communication skills. Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
3036025,"Account Manager Jordan","https://apply.workable.com/j/B0B63AEA37","ratehawk","N/A","Yes",3,"Full time","2025-06-21T02:02:45.682459Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As an Account Manager, you will play a pivotal role in maintaining and developing relationships with our clients and consolidating our presence on the local market.This is a remote vacancy open to candidates residing in Jordan.Job Responsibilities: Expand and consolidate presence in the assigned territory;  Maintain and develop our relationship with signed partners (tour operators, travel agencies, travel management companies, OTAs) in order to increase their performance; Collaborate with the sales team to identify and grow opportunities within the territory; Follow-up with existing and new partners in order to provide system training; Position the brand within the travel trade through ongoing product presentations and networking events; Address incident issues, ensuring partners support;  Payments control: oversee and ensure accuracy in transaction processing; Spend approximately 30% of your working time on business trips, including meetings with clients, industry events, and other business-related events; Provide market &amp; competitive environment analysis; Provide regular comprehensive reporting through CRM and internal systems; Maximize and develop API deals with the potential and existing partners.  Requirements  Relevant Experience. Minimum of 3 year of successful experience in account management or business development of B2B companies within the travel industry;  Market Knowledge. In-depth understanding of the region's travel market, including B2B travel networks (tour operators, travel agencies, travel management companies, OTAs);  Language knowledge. Native Arabic language and Advanced English;  Location. Jordan;   Travel Requirements. Up to 30% of travel time may be required;    Analytical skills. Used to data-driven decision-making, metrics-driven and good with numbers;  Personal skills. Proactive, ambitious, motivated, action-oriented, results-focused, appetite for innovative technology, comfortable with fast-changing business environment, teamplayer;  International mindset. Ability to understand and work across a wide range of cultural contexts reflecting ETGs global presence; Competence in API technology deals is a plus. Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation."
2749353,"Account Manager Agency Chains","https://apply.workable.com/j/FF8E3C3AAC","ratehawk","Madrid","Yes",3,"Full time","2025-06-21T02:02:45.682488Z","RateHawk is part of Emerging Travel Group a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As an Account Manager Agency Chains, you will be the key point of contact for leading travel agency networks, managing relationships at HQ level and driving commercial performance across multiple markets. Youll develop tailored growth strategies, coordinate internal teams, and execute initiatives that increase our penetration and share of wallet within these networks. This role requires a mix of strategic thinking, strong partner management, and hands-on execution to deliver measurable results. Youll also lead performance tracking, reporting, and incentive management, while ensuring partners receive top-level support.This is a remote vacancy open to candidates residing in Europe, preferably Portugal or Spain.Job Responsibilities Manage relationships with agency chain HQs, fostering long-term collaboration and strategic alignment; Drive growth in network penetration and share of wallet through tailored plans; Align and coordinate commercial team activities to achieve results; Launch incentive schemes and manage marketing activities to boost sales; Track performance regularly and identify areas for improvement; Provide internal and external reporting; oversee incentive achievement and payouts; Represent the brand at external meetings and industry events; Collaborate with internal teams to deliver commercial strategies; Resolve network and partner issues to ensure strong support; Act as a strategic consultant to internal stakeholders, contributing to continuous improvement of our partner performance; Provide market &amp; competitive environment analysis. Requirements  Relevant Experience. Minimum of 3 years of successful experience in sales management or business development of B2B companies within the travel industry;  Market Knowledge. In-depth understanding of the region's travel market, including B2B travel networks (tour operators, travel agencies, travel management companies, OTAs);  Language knowledge. Fluent in local language and English;  Travel Requirements. Up to 30% of travel time may be required;   Analytical skills. Used to data-driven decision-making, metrics-driven, and good with numbers;  Personal skills. Proactive, ambitious, motivated, action-oriented, results-focused, appetite for innovative technology, comfortable with the fast-changing business environment, team player;  International mindset. Ability to understand and work across a wide range of cultural contexts reflecting ETGs global presence; Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
2997594,"Customer Service Specialist (Modification Team)","https://apply.workable.com/j/59CEDC9006","ratehawk","Jakarta","Yes","Not specified","Full time","2025-06-21T02:02:45.682515Z","Hey there!Are you ready to join a fast-growing international travel-tech company and be a part of an awesome team? At RateHawk, were passionate about travel and technology, and were looking for a Customer Support Specialist (Modification Team) to help us keep our clients happy and our operations smooth.Who We Are:We're a fast-growing international travel-tech company with an amazing team, a fantastic culture, and plenty of opportunities for growth. If you love helping people and solving problems, wed love to hear from you!RequirementsWhat Youll Do:  Rapidly and effectively resolve client issues: Helping clients and partners to handle requests to cancel or change bookings through our CRM system.   Advise clients: Provide expert advice on bookings and our products.  Communicate: Engage with suppliers, hotels, and clients via email and phone.  Work with systems: Utilize CRM systems and our internal databases efficiently. What Were Looking For:  English Proficiency: Upper Intermediate level (both spoken and written).  Soft Skills: Kindness, empathy, stress-resistance, politeness, and responsibility.  Quick Learner: Ability to learn quickly and stay results-focused.  Tech Requirements: A functioning computer and microphone.  Travel Knowledge: Understanding of the travel business and booking systems is an advantage! BenefitsWhat We Offer:  Remote Work: Work from the comfort of your home.  Great Team: Join a young and active team of super specialists.  Flexible Schedule: 2 days-on after 2-days off from 8 a.m. to 8 p.m.   Competitive Salary: base salary and bonus based on KPI.  Challenging Tasks: Tackle interesting and ambitious tasks that will elevate your professional skills.  Continuous Learning: Access to seminars, trainings, and conferences. Well even help you get to any conference you want to attend.  Perks: Enjoy corporate discounts on hotels and other services. The Process:  Application and Assessment: You'll receive an assessment link when you apply, if there's a match, you'll be invited to an interview with our HR.  Meeting with HR: A friendly chat with our HR team.  One minute Internet Speed Test: Just to make sure youre all set for remote work.  Interview results and offer!  Learn more about our data protection practices in our Privacy Policy:https://emergingtravel.notion.site/recruitment-privacy-noticeIf this sounds like the perfect fit for you, wed love to hear from you! Apply now and lets create amazing travel experiences together!"
2975547,"Personal Assistant","https://apply.workable.com/j/32C8A43FD5","ratehawk","N/A","Yes",1,"Full time","2025-06-21T02:02:45.682544Z","RateHawk is part of Emerging Travel Group  a pioneering travel-tech company also known for its two other brands, ZenHotels and Roundtrip, spanning over 220 markets worldwide.Our mission is to create, distribute, and operate the most convenient travel products. We constantly innovate and break the rules of the highly complex travel industry to make travel more widely available for individuals, more rewarding for professionals, and simpler for everyone.As a Personal Assistant, you will play a pivotal role in coordinating schedules, organising meetings, and supporting the team with essential administrative tasks.This is a full-time, remote position.Job Responsibilities: Managing the MDs calendar and schedule; Organising and coordinating meetings, calls, and events; Administration of various department activities, including collection of domain-related materials and contribution to general information; Handling notes during meetings, updating agendas and other documents used to organize events; Administration of quarterly planning; Administration of task trackers (Asana), communication channels (Slack), and knowledge base (Confluence); Collection and management of different data used by the department: instructions, Project documentation, research, presentations, memos, postmortems, etc.; Securing standards of data provided across the department; Contribution to department-related projects. Requirements At least 1 year of experience in administrative support for executives or/and project management; Ability to manage calendars and schedules; Skills in organising and coordinating meetings, calls, and events; Experience in planning business trips, including booking tickets and hotels; Skills in managing representation expenses and preparing reports; Skills in preparing presentations; Fluent English (both written and spoken); Proficiency in Microsoft Excel and PowerPoint. Benefits Flexible schedules and opportunity to work remotely; Ambitious and supportive team who love what they do, appreciate each other, and grow together; Internal programs for adaptation and training, development of soft skills, and leadership abilities; Partial compensation for participating in external training and conferences; Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world; Corporate prices on hotels and travel services; MyTime Day Off - an extra non-working day without loss of compensation. Learn more about our data protection practices in our Privacy Policy: https://emergingtravel.notion.site/recruitment-privacy-notice"
2965957,"Pricing analyst","https://apply.workable.com/j/3D7CC6CA7D","ratehawk","N/A","Yes",2,"Full time","2025-06-21T02:02:45.682573Z","Job Responsibilities Developing tools for monitoring and analyzing the results of price A/B tests. Collaborating with the data analysis department and assisting in the development of pricing algorithms. Studying user behavior in the product and formulating hypotheses for new features of pricing algorithms. Participating in the preliminary analysis of hypotheses for A/B tests. Researching and improving methodologies for conducting and analyzing A/B experiments, and enhancing the company's existing methodologies. Requirements At least 2 years of experience as a pricing analyst or product analyst, with experience in analyzing A/B tests. Strong command of mathematical statistics methods (confidence intervals, t-test, u-test). Experience in data analysis using Python (pandas, numpy, scipy, matplotlib/plotly). Proficient in writing efficient SQL queries. Possess critical thinking skills and the ability to support conclusions with data. Knowledge and application of data transformation methods such as Bootstrap, CUPED, and linearization. Ability to read documentation and quickly learn new technologies. Proficiency in English at a B1 level. Benefits Flexible schedules and opportunity to work remotely. Ambitious and supportive team who love what they do, appreciate each other, and grow together. Internal programs for adaptation and training, development of soft skills, and leadership abilities. Partial compensation for participating in external training and conferences. Corporate English school: Group and individual lessons, speaking clubs with colleagues from all over the world. Corporate prices on hotels and travel services. MyTime Day Off - an extra non-working day without loss of compensation."
