"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3322733,"Mousquetaire (Account Manager Gastronomie) – Région Valais   ","https://jobs.smartrecruiters.com/RedBull/744000072433549-mousquetaire-account-manager-gastronomie-region-valais-","Red_Bull","Sierre","No","Not specified","Full time","2025-07-25T02:19:28.870569Z","Gestion de secteur Tu accompagnes nos partenaires de la restauration dans leurs activits de vente pour la marque Red Bull et The ORGANICS by Red Bull, et tu veilles  une prsence optimale de nos produits grce  des outils innovants. Tu es en outre charg de prospecter afin de renforcer notre positionnement sur le march. Tu tablis un contact privilgi avec les principaux clubs, bars, cafs branchs, htels ainsi quavec les prestataires de la restauration quotidienne. Tu t'assures de la disponibilit de nos produits  tout moment.vnements et campagnes de promotions Tu imagines les prochains vnements pour Red Bull et ses partenaires dans ton secteur, tu as la responsabilit de les organiser et tu opres en toute autonomie. Tu planifies, organises et gres des campagnes de promotion et des vnements chez tes clients. Tu participes galement  des vnements importants organiss par des tiers. Enfin, tu prends part  des Sales Drives cibls (Winterdrive, etc.).Communication et rseau  Tu matrises le langage des restaurateurs et naimes pas la routine ? Cest parfait ! Grce aux changes avec les diffrents partenaires et  lanalyse de la concurrence, tu pourras enrichir tes connaissances sur les tendances et les opportunits du secteur.  toi de les mettre ensuite efficacement en uvre en concertation avec lquipe On Premise. Tu as termin un apprentissage professionnel, de prfrence dans le domaine vente/restauration.Tu as au moins deux ans d'exprience en vente, en restauration ou en vnementiel, et tu es actif dans la restauration de jour et de nuit dans le Valais.Tu as une excellente connaissance de lunivers local On Premise/On Trade et tu disposes dun important rseau dans ce domaine ? Ta personnalit correspond alors  lunivers Red Bull !Tu as une forte personnalit, tu es charismatique et tu as une grande thique de travail. Tu as le sens de la vente et de la ngociation et tu es capable de fdrer et denthousiasmer autour de tes ides et de tes projets.Tu habites en Valais, tu possdes un permis de conduire de cat. B. Tu parles couramment le franais et l'anglais, des connaissances d'allemand seraient un plus. Nous proposons une activit extrmement intressante, varie et passionnante, ainsi qu'une culture d'entreprise unique dans un environnement dynamique, avec des infrastructures modernes et une ambiance de travail agrable.Prt  relever le challenge? Dans ta candidature, nous souhaitons voir qui tu es  avec ton style personnel dis-nous pourquoi tu penses que ta prochaine opportunit est chez nous.Comme employeur, nous valorisons la diversit et aidons chacun  dvelopper son potentiel et ses points forts,  concrtiser ses ides et  saisir les opportunits qui se prsentent. Cette offre demploi sadresse  tous, sans distinction dge, de couleur de peau, de religion, de sexe, dorientation sexuelle ou dorigine."
3322732,"Account Sales Manager","https://jobs.smartrecruiters.com/RedBull/744000072462353-account-sales-manager","Red_Bull","Victoria","No","Not specified","Full time","2025-07-25T02:19:28.870665Z","MANAGEMENT/SALESManage products and relationships with the customer contacts for sale of our products at assigned Red Bull Canada Distribution (RBCD) accounts.Determine current and ongoing product needs at accounts and look for ways to increase sales.Ensure that all Red Bull equipment is clean and in good working order.Perform outside sales functions.Other tasks as assigned.EXECUTIONEvaluate all competitors' activities such as new launches and price reductions.Meet monthly goals focused on the following areas: sales, distribution, pricing, display, new account set up, and other merchandising components.Build and protect the Red Bull brand through proper rotation to ensure fresh product while setting proper brand flow following Red Bull standards.Increase inventory and diversity of products at each RBCD assigned account and improve in-store branding while delivering fresh product.BUILDING SUCCESSWork collaboratively across the organization and share best practices.Be a major contributor/leader among peer group.Maintain the relationship with customer contacts at each RBCD assigned account.Valid Drivers License with a clean motor vehicle record.Must be of legal age.Experience in sales, account management and DSD a plus.Ability to lift and transport up to 40 pounds of inventory and/or advertising displays.English; additional languages an advantage.The anticipated base salary range for this position is $52,250 to $57,750. The actual base salary for this position may depend on various factors including, but not limited to, the candidates qualifications, skills, experience and work location. At Red Bull, your base pay is only one part of your total compensation package. The successful candidate may also be eligible for a discretionary annual cash bonus or incentive compensation (depending on the role), in accordance with the terms of the Companys incentive plan. The base pay range is subject to change and may be modified in the future.Red Bull Canada is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We welcome applications from all members of society irrespective of age, sex, disability, sexual orientation, race, religion."
3322731,"Complaint Management Professional – Quality Management","https://jobs.smartrecruiters.com/RedBull/744000072469775-complaint-management-professional-quality-management","Red_Bull","Elsbethen","No",3,"Full time","2025-07-25T02:19:28.870723Z","COMPLAINT EVALUATION &amp; COORDINATIONYou will be responsible for reviewing, classifying, and processing incoming product complaints using defined internal procedures. You will coordinate all necessary follow-up activities with relevant departments, ensuring efficient case handling and timely resolution of customer concerns.COMMUNICATION &amp; REPORTINGUsing available information, you will prepare accurate and well-structured statements to communicate the outcomes of complaint investigations. You will also handle the daily reporting of critical complaints to internal stakeholders, ensuring full transparency and accountability.DATA MONITORING &amp; ANALYSIS A key part of your role will be monitoring complaint data to identify recurring issues or trends. Through data-driven insights, you will support the quality team in implementing preventive measures and contribute to improving Red Bulls overall product quality and customer satisfaction.CONTINUOUS IMPROVEMENTYou will play an active role in optimizing internal processes and systems related to complaint handling. Your analytical mindset and solution-oriented approach will be crucial in identifying process gaps and driving initiatives that enhance efficiency and effectiveness across the complaint management workflow.Degree in food technology, food chemistry, biotechnology, natural sciences, or a comparable field.Alternatively, at least three years of experience in quality management in the food industry, preferably with a focus on complaint handling.German and English language skills.Strong communication skills and the ability to articulate findings clearly.A precise, structured, and independent way of working.Problem-solving mindset and a strong sense of accountability.Ability to analyze data, recognize trends, and interpret quality-related information.A proactive attitude toward continuous improvement and innovation.Fast comprehension and adaptability, even under pressure.Enjoyment of teamwork and collaboration in an international environment.Due to legal reasons, we are obliged to disclose the minimum salary according to the collective agreement for this position, which is EUR 2.303,00 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.As an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. We believe passionately that employing a diverse workforce is central to our success. We welcome applications from all members of society irrespective of age, skin colour, religion, gender, sexual orientation or origin."
3322730,"US_EN_Sales_Sales Trainee","https://jobs.smartrecruiters.com/RedBull/744000072469905-us-en-sales-sales-trainee","Red_Bull","dover","No","Not specified","Full time","2025-07-25T02:19:28.870757Z","TRAININGThe Sales Trainee (ST) is a training role.Upon successful participation in the training program, the ST is eligible to interview for open Account Sales Manager (ASM) roles.Upon completion of the program and certification, if no ASM or otherwise qualified role is available AND the ST is meeting performance standards, the employee may remain in the ST role up to 12-months OR until an ASM or another qualified role is available (whichever comes first).Once an ASM or another qualified role is available, the certified ST must interview for that available role.If promotion to the role of ACCOUNT SALES MANAGER (or other role) does not happen prior to the expiration of the 12-mos completion period, the SALES TRAINEE role will be vacated due to end of assignment unless an exception applies.For exception, based on continued high performance, no open roles and certification completion, a manager may extend the 12-month completion period an additional 6-months.The ST role is an at-will position, meaning that the Company or ST can terminate the employment relationship at any time, for any reason or no reason at all, with or without cause.BUSINESS ACUMENUnderstand and Learn the basics of Red Bull and Red Bull Distribution Company, the brand and productsBuild and protect the Red Bull brand through proper rotation to ensure fresh product.Set proper brand flow following Red Bull standards.Establish and maintain friendly and professional relationships with your customers to increase sales and selling.DAILY PREPARATIONObtain all tools (insights, displays, Point of Sale, Pricing, etc.) to execute the daily plan.Effectively communicate with the ASMs/DSMs on daily priorities.Train with ASMsIN ROUTE SUPPORTGlobal Strategy for In-Store Execution measured by Winning vs Competition (WVC) &amp; Perfect Store Audit (PSA).Cover ASM routes as needed.Meet daily KPI focused on the following areas: sales, distributions, pricing, display, new accounts and merchandising.OFF ROUTE SUPPORTSupport the team with audits, blitz, building of displays, merchandising to effectively drive the sales business.Other duties as assigned.Valid US Drivers License and obtainment of DOT Medical cardObtainment of DOT Medical cardMust be at least 21 years of ageExperience in customer service and sales is a plusAbility to lift and transport up to 25 pounds of inventory and/or advertising displaysEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
3322729,"Warehouse Manager","https://jobs.smartrecruiters.com/RedBull/744000072475276-warehouse-manager","Red_Bull","Seaford","No",2,"Full time","2025-07-25T02:19:28.870784Z","EXECUTIONReceive deliveries and ensure the proper warehouse rotation of productAssist the Operations Manager with daily inventory to ensure accurate counting and tracking inventory on trucks and in the warehouseOversee operational activities in the Operations Manager's absence and secondary contact for warehouse access and securityManage warehouse rotation of product to implement FEFO (First Expiry, First Out) policy while meeting Account Manager and customer needsHelp with schedule and delivery of fleet vehicles for routine maintenance and inspect and report on fleet conditions weeklyInspect cleanliness and overall condition of the warehouseEnsure nightly loading process complies with our policiesHelp clean, repackage, and introduce repackaged product back into circulation within RBDC's standardsSAFETYCreate a culture of safety by educating employees on safety standards and expectations and safe operation of equipment through online and in-person trainingAdvise leadership team on safety compliance concerns and required preventative actions.Follow all accident and injuries reporting procedures, including submittal into the Incident Management SystemInspect working conditions to ensure all activities are compliant with company and regulatory standards2+ years of experience in Warehouse ManagementValid US Drivers License and obtainment of DOT Medical cardAbility to lift and transport up to 25 pounds of inventory and/or advertising displaysEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
3322728,"Account Sales Manager","https://jobs.smartrecruiters.com/RedBull/744000072482125-account-sales-manager","Red_Bull","Pompano Beach","No","Not specified","Full time","2025-07-25T02:19:28.870810Z","MANAGEMENT/SALESManage products and relationships with the customer contacts for sale of our products at assigned Red Bull Distribution Company (RBDC) accountsDetermine current and ongoing product needs at accounts and look for ways to increase salesEnsure that all Red Bull equipment is clean and in good working orderPerform outside sales functionsOther tasks as assignedEXECUTIONEvaluate all competitors' activities such as new launches and price reductionsMeet monthly goals focused on the following areas: sales, distribution, pricing, display, new account set up, and other merchandising componentsBuild and protect the Red Bull brand through proper rotation to ensure fresh product while setting proper brand flow following Red Bull standardsIncrease inventory and diversity of products at each RBDC assigned account and improve in-store branding while delivering fresh productBUILDING SUCCESSWork collaboratively across the organization and share best practices.Be a major contributor/leader among peer group.Maintain the relationship with customer contacts at each RBDC assigned accountValid US Drivers License and obtainment of DOT Medical cardMust be at least 21 years of ageExperience in sales, account management and DSD a plusAbility to lift and transport up to 25 pounds of inventory and/or advertising displaysEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
3322726,"2025 Internship, Fall - Data Science (Remote)","https://jobs.smartrecruiters.com/RedBull/744000072484529-2025-internship-fall-data-science-remote-","Red_Bull","East Hanover","Yes","Not specified","Internship","2025-07-25T02:19:28.870836Z","What you'll learnCommunication skills in an elite sporting environmentAbility to foster a data-driven cultureHow to create new Key Performance Indicators across a multitude of different departmentsHow to create algorithms and processes in an elite sporting environmentProficient in R / SQLProficient in Microsoft Office SuiteExperience with Web ScrapingExcellent CommunicatorIn a Mathematics, Data Science, or Computer Science ProgramPlease note this is a remote internship opportunity.This is an unpaid, for credit internship (proof that you will receive credit is required). Because of the cyclical nature of the entertainment industry, your assigned hours may vary to reflect our needs (includes nights and weekends).You must be authorized to work in the United States without sponsorship.Red Bull New York is an equal opportunity employer and we will not discriminate against any employee or applicant for employment because of age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality or any other classification protected by law."
3322724,"Account Sales Manager","https://jobs.smartrecruiters.com/RedBull/744000072484128-account-sales-manager","Red_Bull","Farwell","No","Not specified","Full time","2025-07-25T02:19:28.870859Z","MANAGEMENT/SALESManage products and relationships with the customer contacts for sale of our products at assigned Red Bull Distribution Company (RBDC) accountsDetermine current and ongoing product needs at accounts and look for ways to increase salesEnsure that all Red Bull equipment is clean and in good working orderPerform outside sales functionsOther tasks as assignedEXECUTIONEvaluate all competitors' activities such as new launches and price reductionsMeet monthly goals focused on the following areas: sales, distribution, pricing, display, new account set up, and other merchandising componentsBuild and protect the Red Bull brand through proper rotation to ensure fresh product while setting proper brand flow following Red Bull standardsIncrease inventory and diversity of products at each RBDC assigned account and improve in-store branding while delivering fresh productBUILDING SUCCESSWork collaboratively across the organization and share best practices.Be a major contributor/leader among peer group.Maintain the relationship with customer contacts at each RBDC assigned accountValid US Drivers License and obtainment of DOT Medical cardValid Chauffeur's LicenseMust be at least 21 years of ageExperience in sales, account management and DSD a plusAbility to lift and transport up to 25 pounds of inventory and/or advertising displaysEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
3322722,"Account Sales Manager","https://jobs.smartrecruiters.com/RedBull/744000072486681-account-sales-manager","Red_Bull","Farwell","No","Not specified","Full time","2025-07-25T02:19:28.870882Z","MANAGEMENT/SALESManage products and relationships with the customer contacts for sale of our products at assigned Red Bull Distribution Company (RBDC) accountsDetermine current and ongoing product needs at accounts and look for ways to increase salesEnsure that all Red Bull equipment is clean and in good working orderPerform outside sales functionsOther tasks as assignedEXECUTIONEvaluate all competitors' activities such as new launches and price reductionsMeet monthly goals focused on the following areas: sales, distribution, pricing, display, new account set up, and other merchandising componentsBuild and protect the Red Bull brand through proper rotation to ensure fresh product while setting proper brand flow following Red Bull standardsIncrease inventory and diversity of products at each RBDC assigned account and improve in-store branding while delivering fresh productBUILDING SUCCESSWork collaboratively across the organization and share best practices.Be a major contributor/leader among peer group.Maintain the relationship with customer contacts at each RBDC assigned accountValid US Drivers License and obtainment of DOT Medical cardValid Chauffeur's LicenseMust be at least 21 years of ageExperience in sales, account management and DSD a plusAbility to lift and transport up to 25 pounds of inventory and/or advertising displaysEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
3322720,"Merchandiser (Full Time)","https://jobs.smartrecruiters.com/RedBull/744000072492225-merchandiser-full-time-","Red_Bull","San Antonio","No","Not specified","Full time","2025-07-25T02:19:28.870906Z","SALES SUPPORTRotate Red Bull products from back stock to shelf, display or cold vault locationsReview code dates of all product when servicing every customerPull any dented, dirty, damaged, or out of code product from the shelf, display, or cold vaultEnsure all Red Bull products are placed in compliance with shelf schematics in chain and independent storesEnsure all cold equipment, racks and other Point of Sale are current, clean, and presented in a premium mannerCOMMUNICATIONNotify appropriate Account Manager for pick up and / or exchange of any dented, damaged, or out of code product, as well as any out of stock items.Establish and maintain friendly and professional relationships with your customersA valid US Drivers LicenseReliable vehicle to be used for work purposes with at least the minimum insurance coverageMust be at least 18 years of ageExperience merchandising is a plusAbility to lift and transport up to 25 pounds of inventory and/or advertising displays necessaryEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
