"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3612133,"Pasante Administrativo (Business Assurance)","https://jobs.smartrecruiters.com/SGS/744000082235886-pasante-administrativo-business-assurance-","SGS","Guayaquil","No","Not specified","Internship","2025-09-17T01:50:12.641077Z","Brindar apoyo a la gestin administrativa del rea de Auditora a Proveedores.Realizar registro de llamadas del servicio.Mantener la actualizacin de base de datos.Formacin acadmica:Estudiante de carreras administrativas, industriales, tcnicas o afines.La compaa ofrece un excelente paquete salarial ms beneficios privados. Postlate!"
3612131,"Senior Safety, Health and Environment Officer","https://jobs.smartrecruiters.com/SGS/744000082237635-senior-safety-health-and-environment-officer","SGS","Qatar","No",12,"Full time","2025-09-17T01:50:12.641180Z","Oversight and guidance for SHE regulatory compliance and performance during the installation and construction phases.On site safety awareness and safe performance with Contractors supporting Project Management Teams.Facilitate Safety Observations/IIF program and cascading periodic safety campaigns throughout the projects.Actively perform management site SHE&amp;S inspection tours and daily site walkabouts to provide visible management participation and support the Projects SHE&amp;S culture.Support and or conduct SHE&amp;S Toolbox meeting with contractors teams and Project Team members.Develop the safety campaigns, support the implementations at sites and facilitate HSE training and orientation requirements to ensure the project operates within HSE requirements, deliverables and expectations.Coordinate SHE&amp;S related trainings as per the competency matrix and ensures accurate records are maintained.Provide SHE&amp;S leadership and support to Contractors and Sub-contractors SHE networks with emphasis creating a Safety cultural environment.Provide analysis of all unsafe behaviors and condition data proposing trends improvement actions.Ensure at least 90% availability on site, patrolling to identify unsafe acts and unsafe conditions.  Audit and monitor site construction activities at regular intervals in order to identify any unsafe acts, verify whether safe working practices are being adhered to and to ensure Project Safety procedures are being complied with.Observe contractor/subcontractor SHE staffing and experience levels and projects safety effectiveness reporting to the SHE Lead in the event of deficiencies.Examine safety trends and monitor/review behavioral safety, safety observations, and project safety culture to proactively address safety risks.Monitor the project and contractors behavior programs.Assist with formal investigations into safety incidents and ensure root causes, corrective actions and preventive measures are recorded and shared for wider learning.Analyse safety performance, track and report HSE performance metrics (leading and lagging).Daily PTW reviews and supporting documentation.Internal Auditor for QEHS Integrated Management System (ISO 14001 and OHSAS 18001).Institute of Safety &amp; Health (IOSH) Technical level 3 minimum.More than 12 years' experience in an Oil and Gas Project or Oil and Gas Operating Company with leadership/supervisory experience.Bachelor's degree Code Knowledge of ISO 14001 and ISO 45001).Safety related Diploma or Professional Safety accreditation (NEBOSH Oil &amp; Gas Diploma)This is a contract based role for 12 months"
3612129,"Key Account Manager – Oil Lab Testing Projects","https://jobs.smartrecruiters.com/SGS/744000082238655-key-account-manager-oil-lab-testing-projects","SGS","Eastern Province","No","Not specified","Full time","2025-09-17T01:50:12.641222Z","Serve as the main point of contact for key clients, ensuring clear communication and high responsiveness.Develop strong, trust-based relationships with client representatives.Conduct regular client reviews, gather feedback, and implement client-specific improvement initiatives.Oversee day-to-day execution of oil lab testing contracts and coordinate internally with laboratory managers, technical teams, logistics, and support functions to ensure timely and accurate service delivery.Track service KPIs (TAT, data integrity, reporting compliance) and address any non-conformities or delays.Monitor contract performance, billing cycles, and revenue tracking in coordination with the finance team.Ensure compliance with client contractual terms and align service offerings to evolving client needs.Collaborate with lab operations and QA/QC to ensure testing methodologies meet international standards (e.g., ASTM, ISO, IP).Propose and implement technical and process improvements based on client feedback or performance trends.Follow up on equipment readiness, especially for critical units to prevent service disruptions.Prepare and submit periodic reports on account performance, risks, and improvement actions.Maintain comprehensive records of correspondence, complaints, actions taken, and client approvals.Bachelors degree in Chemistry, Chemical Engineering, or related discipline.Proven experience managing strategic or governmental accounts, in the oil, gas, or petrochemical sector.Proven experience in oil lab testing services field.Familiarity with analytical equipment and lab operations related to petroleum testingFluent in English (Arabic is an advantage)Strong communication and negotiation skills.Project management capabilities and ability to handle cross-functional coordination.Client-focused mindset with attention to detail and problem-solving approach."
3612128,"Junior Medewerker Binnendienst","https://jobs.smartrecruiters.com/SGS/744000082241623-junior-medewerker-binnendienst","SGS","Heeswijk Dinther","No","Not specified","Full time","2025-09-17T01:50:12.641247Z","Als Junior Medewerker Binnendienst zorg je ervoor dat onze buitendienstcollegas hun werk goed kunnen uitvoeren en dat de planning soepel verloopt. Je werkzaamheden bestaan voor ongeveer 70% uit werkvoorbereiding en voor 30% uit ondersteuning van de planning.Jouw werkzaamheden:Voorbereiden van opdrachten: documenten klaarmaken, materialen regelen en locaties afstemmen.Controleren of alles aanwezig is zodat inventarisaties direct uitgevoerd kunnen worden.Meewerken aan de dag- en weekplanning en bijspringen waar nodig.Contact onderhouden met de commercile afdeling om nieuwe opdrachten in te passen en de voorbereiding op tijd te regelen.Vragen beantwoorden van collegas en klanten en informatie zorgvuldig vastleggen.Je hebt interesse in werkvoorbereiding en planning en wil jezelf daarin verder ontwikkelen.Verder neem je mee:MBO-4 werk- en denkniveau of hogerNauwkeurigheid en overzicht: je werkt gestructureerd en georganiseerd.Goede communicatieve vaardigheden, zowel mondeling als schriftelijk.Een praktische instelling en de wil om zaken tot in de puntjes te regelen.Specifieke branchekennis is niet nodig: we leiden je graag intern op. Ook starters zijn welkom.Een passend salaris, afhankelijk van jouw kennis en ervaring.Een jaarcontract met uitzicht op een vast dienstverband.28 vakantiedagen, met de mogelijkheid om maximaal 10 dagen bij te kopen.Goede secundaire arbeidsvoorwaarden, waaronder een pensioenregeling en opleidingsmogelijkheden.Een werkomgeving waar je veel kunt leren en doorgroeien.Interesse?Voor meer informatie of om direct te solliciteren kun je contact opnemen met Adam Schafer, recruiter SGS Search, via 06-51810700 of adam.schafer@sgs.com. We maken graag kennis met je!"
3612127,"Business Developer  H/F ","https://jobs.smartrecruiters.com/SGS/744000082240160-business-developer-h-f-","SGS","Arcueil","No","Not specified","Full time","2025-09-17T01:50:12.641271Z","Au sein de lquipe Certification de Systmes, nous recherchons un(e) business developer expriment(e), passionn(e) par la vente et la relation client, pour intervenir sur le segment de march Digital Trust (ISO 27001, ISO 27701, ISO 42001, HDS, RGPD, etc.) ainsi que sur une partie de notre portefeuille QHSE (ISO 9001, 14001, 45001, 50001, etc.).Vos missions :Piloter la commercialisation de nos offres daudit pour les produits de votre portefeuille, de la prospection au suivi client en passant par la contractualisation.Dfinir et mettre en uvre un plan dactions commerciales ambitieux, en lien avec la direction et en coordination avec les quipes techniques.Identifier et conqurir de nouveaux clients (activit de chasse) tout en dveloppant les relations avec nos clients existants.Reprsenter SGS auprs des acteurs et institutions du domaine Digital Trust, afin de renforcer la visibilit de nos offres et didentifier de nouvelles opportunits.Participer activement  la construction de solutions sur mesure adaptes aux besoins des clients.Suivre vos ventes, vos KPI et assurer une bonne transmission aux quipes administration des ventes pour un dploiement fluide.Partager votre exprience et contribuer  la monte en comptences des profils plus juniors de lquipe commerciale.Vous possdez une exprience confirme en dveloppement commercial (minimum 7  10 ans) dans un environnement B2B. Une exprience dans le secteur TIC ou des certifications est un atout, mais non indispensable.Vous tes un(e) vendeur(se) dans lme : vous savez dtecter, crer et conclure des opportunits commerciales avec rigueur et efficacit.Vous avez le got du challenge, du dveloppement de portefeuille et du travail en quipe.Vous tes capable de jouer un rle de mentor, en partageant votre savoir-faire et en accompagnant la monte en comptences des autres commerciaux.Vous tes autonome, organis(e), mthodique et persvrant(e).Vous combinez sens de lanticipation, pragmatisme et ractivit.Vous tes orient(e) client, solutions et rsultats.Vous disposez de relles capacits danalyse et de synthse pour construire et suivre vos plans de prospection.Pourquoi rejoindre la team SGS ?SGS est un groupe international avec des possibilits dvolutions varies ! Nous favorisons la mobilit et les volutions internes de nos collaborateurs.Nous proposons une diversit de mtiers dans de nombreux secteurs dactivits o les comptences de chaque collaborateur se compltent pour apporter une expertise sans faille  nos clients.Venez vivre une aventure professionnelle et personnelle passionnante au sein dune organisation dont le succs repose sur lexpertise de ses collaborateurs et sur de belles valeurs telles que la passion du mtier, lintgrit, lesprit dentreprise et dinnovation.Tous nos postes sont ouverts aux personnes en situation de handicap."
3612126,"Business Analyst ","https://jobs.smartrecruiters.com/SGS/744000082244255-business-analyst-","SGS","Madrid","No","Not specified","Full time","2025-09-17T01:50:12.641310Z","At SGS we are embarking on a global ERP transformation program, migrating multiple legacy systems into a unified Oracle-based platform worlwide. As the Business Analyst, you will be part of the Record-to-Report (R2R) team, which plays a central role in SGSs global ERP transformation initiative.This team is responsible for managing key Oracle financial modules, including General Ledger, Fixed Assets, and Cash Management. In addition to supporting core financial processes, the team also works closely with Group Control and contributes to the implementation and optimization of the Oracle Enterprise Performance Management (EPM) solution.A critical aspect of the role involves collaborating with business users and implementation partners to ensure that all solutions are aligned with SGSs global template and meet standardized requirements across regions. The environment is highly project-driven, requiring the Business Analyst to be adaptable, collaborative across functions, and equipped with a strong understanding of both finance processes and Oracle systems.ResponsibilitiesEngage with business and functional stakeholders to identify and understand needs.Conduct meetings and presentations to communicate findings and recommendations.Analyze requirements, assess impacts, and document business needs.Support prioritization of requirements in alignment with project goals.Deliver or review functional design documentation as needed.Define and oversee user acceptance testing.Support deployment and rollout activities.Collaborate with Global Process Owners and Workstream Team Leads.Hands-on experience with Oracle Fusion (GL, Fixed Assets, Cash Management, subledger accounting).Strong understanding of bank integrations, reconciliation, and third-party tools (e.g., Apro, Treasury Management Systems).Solid finance background, ideally with experience as an accountant or system end-user.Involved in at least three ERP implementations in a senior role.Familiar with business analysis techniques (e.g., process modeling, requirements gathering, user stories).Excellent English communication skills; other languages are a plus.Strong collaboration skills and ability to work across time zones and teams.Experience with Oracle EPM and Hyperion is a plus.Degree in Business or Finance preferred.Why SGS?Join a globally recognized and stable company, a leader in the Testing, Inspection, and Certification (TIC) industry.Enjoy a flexible schedule and a hybrid work model.Access continuous learning opportunities through SGS University and Campus.Collaborate in a multinational environment with colleagues from various continents.Benefit from a comprehensive benefits platform.Apply Now:
At SGS, we are committed to fostering an open, friendly, and supportive culture that thrives on teamwork. We value diversity and provide endless opportunities to learn, grow your expertise, and fulfill your potential. Apply now to join our motivated and dynamic team!"
3612125,"Final Reviewer & Certification Decision Maker","https://jobs.smartrecruiters.com/SGS/744000082243062-final-reviewer-certification-decision-maker","SGS","Frimley","No","Not specified","Full time","2025-09-17T01:50:12.641336Z","We currently have an exciting opportunity at SGS for a Final Reviewer &amp; Certification decision maker to join our highly successful Global Medical Device team.In this role you will be reporting to the Final reviewer &amp; Certification decision maker Medical Device Team leader and you will have a Global role.Main Purpose of RoleThe role of the Final Reviewer &amp; Certification decision maker is to review audit packs to verify data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745 to take decision on reviewed audit packs to determine if the certificate shall be issued and if there is any applicable restrictions, after verifying data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745.You will verify that audit documentation for QMS on-site as well as technical documentation assessment is in compliance with the medical device regulations and internal procedures and allow a good understanding of the audit trail and support the relevant evidence of compliance of the audited company. You will verify that all major non conformity and any unsolved issue has been addressed and closed out before transferring the audit pack for certification decision.You will review whether the final review has been carried out by an approved Final Reviewer, ensuring that the final review documentation has been completed satisfactorily, confirms whether all/any actions raised by the Final Reviewer have been satisfactorily addressed and closed out and makes the final decision as to whether a certificate should be issued.You will be responsible for checking audit packs for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes. The Certification Decision Maker takes decision related to audit pack for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes, and is involved in concessions and certificate suspension when relevant.In this role you will be in close contact with the auditors, the product assessors, Certificate Decision makers and Global Medical Device Certification Manager and contributes in meeting operations objectives and Key Performance Indicators to deliver certificates to our customers and maintain regulatory compliance.Key AccountabilitiesThe Final Reviewer establishes whether the audit report pack demonstrates:that the audit has addressed the requirements of the specific standards/normative documents; including any additional accreditation requirements specific to the standardsthat the audit has been carried out and associated documentation completed in accordance with relevant procedures; including verification that the auditor/audit team were confirmed as competentthat the auditor/audit team members have applied principles and practices associated with undertaking audits; in particular those relating to reporting audit findings and decision-making processes.The Certification Decision maker establishes whether Final Technical Review is addressing:all/any Scope of Certification or accreditation issues relevant to the specific standards/normative documentscompletion of technical review documentationno outstanding issues which remain unresolvedall/any issues associated with undertaking audits, including those relating to reporting audit findings and the decision-making processes.all/any issues relevant to the business/industry environment in which the audit took placeAppreciate the business/industry environment in which the audit took place and understand and make judgement on the auditors interpretation and reporting of the audit findings and decision-making rationaleOffering support and help to Certificate Decision Makers.You ensure full compliance with the Companys Code of Integrity &amp; Professional Conduct.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Ensure SGS operates in accordance with professional, ethical, legal and accreditation requirements to maintain all approvals.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Reporting data on your daily workload and any technical issue.Experience in a similar position in a European notified body.Significant work experience in the medical device field as Lead Auditor or as Product Assessor in a Notified Body.Detailed understanding of global medical device Regulations and good analysis capacity to detect discrepancy or issues.Good communication skills.Strong team building skills.Fluent in English. Other languages are a benefit.It is remote based, and we are open to candidates located everywhere across Europe. But they must hold a valid work permit for their country of residency.Please send you CV in English!Why SGS?Join a globally recognized and stable company, a leader in the Testing, Inspection, and Certification (TIC) industry.Enjoy a flexible schedule and work model.Access SGS University and Campus for continuous learning options.Thrive in a multinational environment, collaborating with colleagues from multiple continents.Benefit from our comprehensive benefits platform.Join Us: At SGS, we are dedicated to fostering an open, friendly, and supportive culture that thrives on teamwork. We value diversity and provide endless opportunities to learn, grow your expertise, and fulfill your potential."
3612124,"Final Reviewer & Certification Decision Maker","https://jobs.smartrecruiters.com/SGS/744000082246961-final-reviewer-certification-decision-maker","SGS","Madrid","Yes","Not specified","Full time","2025-09-17T01:50:12.641359Z","We currently have an exciting opportunity at SGS for a Final Reviewer &amp; Certification decision maker to join our highly successful Global Medical Device team.In this role you will be reporting to the Final reviewer &amp; Certification decision maker Medical Device Team leader and you will have a Global role.Main Purpose of RoleThe role of the Final Reviewer &amp; Certification decision maker is to review audit packs to verify data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745 to take decision on reviewed audit packs to determine if the certificate shall be issued and if there is any applicable restrictions, after verifying data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745.You will verify that audit documentation for QMS on-site as well as technical documentation assessment is in compliance with the medical device regulations and internal procedures and allow a good understanding of the audit trail and support the relevant evidence of compliance of the audited company. You will verify that all major non conformity and any unsolved issue has been addressed and closed out before transferring the audit pack for certification decision.You will review whether the final review has been carried out by an approved Final Reviewer, ensuring that the final review documentation has been completed satisfactorily, confirms whether all/any actions raised by the Final Reviewer have been satisfactorily addressed and closed out and makes the final decision as to whether a certificate should be issued.You will be responsible for checking audit packs for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes. The Certification Decision Maker takes decision related to audit pack for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes, and is involved in concessions and certificate suspension when relevant.In this role you will be in close contact with the auditors, the product assessors, Certificate Decision makers and Global Medical Device Certification Manager and contributes in meeting operations objectives and Key Performance Indicators to deliver certificates to our customers and maintain regulatory compliance.Key AccountabilitiesThe Final Reviewer establishes whether the audit report pack demonstrates:that the audit has addressed the requirements of the specific standards/normative documents; including any additional accreditation requirements specific to the standardsthat the audit has been carried out and associated documentation completed in accordance with relevant procedures; including verification that the auditor/audit team were confirmed as competentthat the auditor/audit team members have applied principles and practices associated with undertaking audits; in particular those relating to reporting audit findings and decision-making processes.The Certification Decision maker establishes whether Final Technical Review is addressing:all/any Scope of Certification or accreditation issues relevant to the specific standards/normative documentscompletion of technical review documentationno outstanding issues which remain unresolvedall/any issues associated with undertaking audits, including those relating to reporting audit findings and the decision-making processes.all/any issues relevant to the business/industry environment in which the audit took placeAppreciate the business/industry environment in which the audit took place and understand and make judgement on the auditors interpretation and reporting of the audit findings and decision-making rationaleOffering support and help to Certificate Decision Makers.You ensure full compliance with the Companys Code of Integrity &amp; Professional Conduct.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Ensure SGS operates in accordance with professional, ethical, legal and accreditation requirements to maintain all approvals.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Reporting data on your daily workload and any technical issue.Experience in a similar position in a European notified body.Significant work experience in the medical device field as Lead Auditor or as Product Assessor in a Notified Body.Detailed understanding of global medical device Regulations and good analysis capacity to detect discrepancy or issues.Good communication skills.Strong team building skills.Fluent in English. Other languages are a benefit.Please send you CV in English!It is remote based, and we are open to candidates located everywhere across Europe. But they must hold a valid work permit for their country of residency.Why SGS?Join a globally recognized and stable company, a leader in the Testing, Inspection, and Certification (TIC) industry.Enjoy a flexible schedule and work model.Access SGS University and Campus for continuous learning options.Thrive in a multinational environment, collaborating with colleagues from multiple continents.Benefit from our comprehensive benefits platform.Join Us: At SGS, we are dedicated to fostering an open, friendly, and supportive culture that thrives on teamwork. We value diversity and provide endless opportunities to learn, grow your expertise, and fulfill your potential."
3612123,"Final Reviewer & Certification Decision Maker","https://jobs.smartrecruiters.com/SGS/744000082245541-final-reviewer-certification-decision-maker","SGS","Lisboa","Yes","Not specified","Full time","2025-09-17T01:50:12.641396Z","We currently have an exciting opportunity at SGS for a Final Reviewer &amp; Certification decision maker to join our highly successful Global Medical Device team.In this role you will be reporting to the Final reviewer &amp; Certification decision maker Medical Device Team leader and you will have a Global role.Main Purpose of RoleThe role of the Final Reviewer &amp; Certification decision maker is to review audit packs to verify data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745 to take decision on reviewed audit packs to determine if the certificate shall be issued and if there is any applicable restrictions, after verifying data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745.You will verify that audit documentation for QMS on-site as well as technical documentation assessment is in compliance with the medical device regulations and internal procedures and allow a good understanding of the audit trail and support the relevant evidence of compliance of the audited company. You will verify that all major non conformity and any unsolved issue has been addressed and closed out before transferring the audit pack for certification decision.You will review whether the final review has been carried out by an approved Final Reviewer, ensuring that the final review documentation has been completed satisfactorily, confirms whether all/any actions raised by the Final Reviewer have been satisfactorily addressed and closed out and makes the final decision as to whether a certificate should be issued.You will be responsible for checking audit packs for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes. The Certification Decision Maker takes decision related to audit pack for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes, and is involved in concessions and certificate suspension when relevant.In this role you will be in close contact with the auditors, the product assessors, Certificate Decision makers and Global Medical Device Certification Manager and contributes in meeting operations objectives and Key Performance Indicators to deliver certificates to our customers and maintain regulatory compliance.Key AccountabilitiesThe Final Reviewer establishes whether the audit report pack demonstrates:that the audit has addressed the requirements of the specific standards/normative documents; including any additional accreditation requirements specific to the standardsthat the audit has been carried out and associated documentation completed in accordance with relevant procedures; including verification that the auditor/audit team were confirmed as competentthat the auditor/audit team members have applied principles and practices associated with undertaking audits; in particular those relating to reporting audit findings and decision-making processes.The Certification Decision maker establishes whether Final Technical Review is addressing:all/any Scope of Certification or accreditation issues relevant to the specific standards/normative documentscompletion of technical review documentationno outstanding issues which remain unresolvedall/any issues associated with undertaking audits, including those relating to reporting audit findings and the decision-making processes.all/any issues relevant to the business/industry environment in which the audit took placeAppreciate the business/industry environment in which the audit took place and understand and make judgement on the auditors interpretation and reporting of the audit findings and decision-making rationaleOffering support and help to Certificate Decision Makers.You ensure full compliance with the Companys Code of Integrity &amp; Professional Conduct.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Ensure SGS operates in accordance with professional, ethical, legal and accreditation requirements to maintain all approvals.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Reporting data on your daily workload and any technical issue.Experience in a similar position in a European notified body.Significant work experience in the medical device field as Lead Auditor or as Product Assessor in a Notified Body.Detailed understanding of global medical device Regulations and good analysis capacity to detect discrepancy or issues.Good communication skills.Strong team building skills.Fluent in English. Other languages are a benefit.Please send you CV in English!It is remote based, and we are open to candidates located everywhere across Europe. But they must hold a valid work permit for their country of residency.Why SGS?Join a globally recognized and stable company, a leader in the Testing, Inspection, and Certification (TIC) industry.Enjoy a flexible schedule and work model.Access SGS University and Campus for continuous learning options.Thrive in a multinational environment, collaborating with colleagues from multiple continents.Benefit from our comprehensive benefits platform.Join Us: At SGS, we are dedicated to fostering an open, friendly, and supportive culture that thrives on teamwork. We value diversity and provide endless opportunities to learn, grow your expertise, and fulfill your potential."
3612122,"Final Reviewer & Certification Decision Maker","https://jobs.smartrecruiters.com/SGS/744000082247378-final-reviewer-certification-decision-maker","SGS","Warszawa","Yes","Not specified","Full time","2025-09-17T01:50:12.641420Z","We currently have an exciting opportunity at SGS for a Final Reviewer &amp; Certification decision maker to join our highly successful Global Medical Device team.In this role you will be reporting to the Final reviewer &amp; Certification decision maker Medical Device Team leader and you will have a Global role.Main Purpose of RoleThe role of the Final Reviewer &amp; Certification decision maker is to review audit packs to verify data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745 to take decision on reviewed audit packs to determine if the certificate shall be issued and if there is any applicable restrictions, after verifying data and their content for compliance with MDD 93/42 EC or MDR (EU) 2017/745.You will verify that audit documentation for QMS on-site as well as technical documentation assessment is in compliance with the medical device regulations and internal procedures and allow a good understanding of the audit trail and support the relevant evidence of compliance of the audited company. You will verify that all major non conformity and any unsolved issue has been addressed and closed out before transferring the audit pack for certification decision.You will review whether the final review has been carried out by an approved Final Reviewer, ensuring that the final review documentation has been completed satisfactorily, confirms whether all/any actions raised by the Final Reviewer have been satisfactorily addressed and closed out and makes the final decision as to whether a certificate should be issued.You will be responsible for checking audit packs for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes. The Certification Decision Maker takes decision related to audit pack for QMS on-site audit for MDD / MDR / ISO13485, for technical documentation assessment and any changes, and is involved in concessions and certificate suspension when relevant.In this role you will be in close contact with the auditors, the product assessors, Certificate Decision makers and Global Medical Device Certification Manager and contributes in meeting operations objectives and Key Performance Indicators to deliver certificates to our customers and maintain regulatory compliance.Key AccountabilitiesThe Final Reviewer establishes whether the audit report pack demonstrates:that the audit has addressed the requirements of the specific standards/normative documents; including any additional accreditation requirements specific to the standardsthat the audit has been carried out and associated documentation completed in accordance with relevant procedures; including verification that the auditor/audit team were confirmed as competentthat the auditor/audit team members have applied principles and practices associated with undertaking audits; in particular those relating to reporting audit findings and decision-making processes.The Certification Decision maker establishes whether Final Technical Review is addressing:all/any Scope of Certification or accreditation issues relevant to the specific standards/normative documentscompletion of technical review documentationno outstanding issues which remain unresolvedall/any issues associated with undertaking audits, including those relating to reporting audit findings and the decision-making processes.all/any issues relevant to the business/industry environment in which the audit took placeAppreciate the business/industry environment in which the audit took place and understand and make judgement on the auditors interpretation and reporting of the audit findings and decision-making rationaleOffering support and help to Certificate Decision Makers.You ensure full compliance with the Companys Code of Integrity &amp; Professional Conduct.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Ensure SGS operates in accordance with professional, ethical, legal and accreditation requirements to maintain all approvals.Maintain and develop personal professional capabilities to ensure knowledge and understanding of sector expectations is up to date.Reporting data on your daily workload and any technical issue.Experience in a similar position in a European notified body.Significant work experience in the medical device field as Lead Auditor or as Product Assessor in a Notified Body.Detailed understanding of global medical device Regulations and good analysis capacity to detect discrepancy or issues.Good communication skills.Strong team building skills.Fluent in English. Other languages are a benefit.Please send you CV in English!It is remote based, and we are open to candidates located everywhere across Europe. But they must hold a valid work permit for their country of residency.Why SGS?Join a globally recognized and stable company, a leader in the Testing, Inspection, and Certification (TIC) industry.Enjoy a flexible schedule and work model.Access SGS University and Campus for continuous learning options.Thrive in a multinational environment, collaborating with colleagues from multiple continents.Benefit from our comprehensive benefits platform.Join Us: At SGS, we are dedicated to fostering an open, friendly, and supportive culture that thrives on teamwork. We value diversity and provide endless opportunities to learn, grow your expertise, and fulfill your potential."
