"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2754137,"Senior Product Manager - Advertising","https://jobs.lever.co/spotify/2eeb112e-d098-4147-89cd-c28ab4f11a3b","spotify","New York","Yes",7,"Full time","2025-04-09T01:54:23.002012Z","Our mission on the Advertising Product &amp; Technology team is to build a next generation advertising platform that aligns with our unique value proposition for audio and video. We work to scale the user experience for hundreds of millions of fans and hundreds of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities for our artists and creators.We are looking for a passionate and experienced Senior Product Manager to help build and scale ad measurement and reporting at Spotify. In this role, youll own the roadmap for improving how advertisers measure performance, while also developing new reporting capabilities that provide actionable insights. Your work will be essential to demonstrating the value of Spotifys ad platform, driving advertiser confidence, and ultimately fueling revenue growth.Youll collaborate with a diverse group of stakeholders across the Ads R&amp;D team and beyond, ensuring our measurement solutions align with advertiser needs and industry standards. This role sits at the heart of one of Spotifys highest investment areas, requiring frequent leadership updates and the ability to navigate complex technical and regulatory challenges across multiple product areas.The United States base range for this position is $142,203.00 - $203,147.00, plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. This range encompasses multiple levels. Leveling is determined during the interview process.  Placement in a level depends on relevant work history and interview performance. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoCreate a roadmap to enhance ad measurement and reporting capabilities, ensuring advertisers can effectively assess performance and optimize their campaigns.Develop new reporting features and measurement solutions that drive advertiser confidence and improve transparency.Own the squad-level roadmap in one of the highest investment areas in Ads R&amp;D.Work cross-functionally with backend engineers, data scientists, measurement specialists, product marketing, and PMs to identify and drive opportunities for improved measurement accuracy and reporting efficiency.Help shape the future of Spotifys ad measurement and reporting strategy to align with industry trends, privacy regulations, and evolving advertiser needs.Foster a healthy and productive team environment through honesty, accountability, empathy, and inclusivity.What You'll DoYou have 7+ years of experience driving technical products and can demonstrate the impact of the measurement and reporting solutions you have shipped.You have worked on data and platform-related products, particularly in analytics, attribution, or reporting.You have a strong technical understanding of how to build scalable measurement systems that process large datasets efficiently.You have experience or a strong interest in advertising measurement and how it drives business value and advertiser decision-making.You care deeply about data integrity and user privacy, with experience navigating regulatory and industry changes affecting measurement (e.g., cookie deprecation, data privacy laws).You can synthesize a measurement strategy, build a product roadmap, and execute to achieve business goals.You are comfortable facilitating planning and decision-making across multiple teams, including engineering, data science, marketing, and external partners, and know how to empower teams to deliver results.You have strong business judgment and can analyze data qualitatively and quantitatively to solve problems and prioritize effectively.You have excellent written and verbal communication skills and can clearly convey complex measurement concepts to technical and non-technical stakeholders at all levels.Where You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the Americas region as long as we have a work location.This team operates within the Eastern time zone for collaboration."
2754136,"Senior Data Scientist - Advertising","https://jobs.lever.co/spotify/d6946128-0a9e-473e-a6ac-7416c7a90167","spotify","New York","Yes",5,"Full time","2025-04-09T01:54:23.002123Z","At Spotify Advertising, our mission is to build the next-generation advertising platform for marketers that can scale the freemium experience for hundreds of millions of fans and tens of thousands of advertisers. This scale brings unique challenges and tremendous opportunities to define the product for our business. The advertising business is poised for substantive growth in the coming years and is an exciting place to be. Research and Insights is at the core of driving business decisions for this team.The Ads Business Data Science &amp; Research team is seeking a senior-level data scientist to help build and maintain data pipelines, data science, and ML-based solutions focused on driving advertiser and revenue growth in Spotify Advertising. One of your key focuses will be supporting the adoption and implementation of generative AI and ML models built to unlock ad creative insights on a global scale. You will work alongside Engineers, Research Economists, and business analysts by leading creative insights from a Data Science perspective.As part of the Advertising Business team, youll work on the latest advertising technologies to connect millions of brands to billions of fans. Were paving the way for a sustainable global Spotify business that allows even more creators to make a living off their art. Join us and help build the business team that empowers this!The United States base range for this position is $143,023 to $204,319, plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. This range encompasses multiple levels. Leveling is determined during the interview process.  Placement in a level depends on relevant work history and interview performance. These ranges may be modified in the future.What You'll DoPartner with business partners to understand problems space and reframe them as data science solutions end-to-end. Deliver challenging, large-scale problems with complexity and ambiguity independently Write code (Python, R, SQL, etc.) to obtain, manipulate, and analyze large datasetsBuild statistical models and design experiments to solve applicable business problemsCommunicate data-driven insights and recommendations to key partnersWork closely with a cross-functional team of economists, engineers, product owners, and business decisions makersPrioritize business solutions, regardless of product area Who You AreYou have 5 or more years of experience in a similar data science role and a degree in economics, statistics, or similar quantitative subject areasYou are comfortable building and maintaining large, complex datasetsYou have the technical competence to perform more advanced analytics using your coding skills for analytics and data extraction (such as SQL, Python, R)You have experience in causal inference and experimental designBroad knowledge of ML methods, statistical analysis, and problem-solving skillsYou have experience taking a project idea and bringing it to life through self-driven scoping, planning, and stakeholder communicationYou have built statistical models with proven business impactYou can explain complex concepts to non-technical stakeholders and conduct nuanced discussions with engineersAbility to collaborate with DEs, MLEs, and Research ScientistsExperience with LLMsBonus if you have experience analyzing ad creatives or ad tech Where You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the Americas region as long as we have a work location.This team operates within the Eastern time zone for collaboration."
2745614,"Senior Analyst, Sales Operations - Ad Sales LATAM","https://jobs.lever.co/spotify/a8a9ba3a-cbe9-4e43-9333-39eca26d9126","spotify","New York","No",4,"Full time","2025-04-09T01:54:23.002169Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. We are seeking a Senior Analyst for a dynamic opportunity with Spotify's LATAM Ad Sales team in Mexico City or New York City, reporting to the head of Revenue Management &amp; Forecasting. This role drives revenue growth through strategic data analysis and sales process optimization. Key stakeholders include sales and financial leadership, and the opportunity to collaborate with cross-functional teams. The United States base range for this position is $89,000 - $127,143 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What Youll DoRevenue Planning: Manage our quarterly and annual planning processes, including quota allocation, territory management, and commissions for our global sales teams.Forecasting: Own reporting on and advising the weekly regional and global sales forecast. Develop predictive models using historical trends and adjust for external factors such as economic conditions.Strategic Insights &amp; Reporting: Identify business trends and recommend data-driven revenue growth strategies by coordinating with Sales Analytics to build and enhance dashboards, and delivering weekly sales performance insights, including revenue forecasting, pipeline analysis, seller performance, and win rate tracking.Process Improvement: Support global projects to standardize and automate revenue processes by engaging with sales leadership to gather feedback, drive continuous improvement, and challenge existing workflows to increase sales team efficiency.Who You AreYou have a Bachelor's degree or equivalent experience is preferred.You have at least 4+ years of digital media experience in an analytical role, experience in sales operations or sales commissions a plusYou have technical Skills Proficiency in SQL, Tableau or equivalent BI tools, Salesforce CRM, Sales productivity and forecasting toolsYou have strong analytical skills, both quantitative and qualitative; ability to interpret and synthesize data, determine trends and present findings in an accurate, concise, digestible and actionable mannerYou thrive in fast-paced environments and are proactive in challenging and improving processesYou are fluent in Spanish and English language, spoken and written is requiredPlease apply to this role with a cv/resume in EnglishWhere Youll BeThis role is based in New York or Mexico City We offer you the flexibility to work where you work best! You should expect some level of travel and a requisite amount of in-person engagements, both internal and external, with a hybrid working approach. We ask that you come into the office 1-2 times per week"
2745613,"Product Manager - Content Understanding","https://jobs.lever.co/spotify/5fa131c3-fab7-4e0c-a0ae-9fffb0231b9f","spotify","New York","No","Not specified","Full time","2025-04-09T01:54:23.002202Z","Delivering the best Spotify experience possible. To as many people as possible. In as many moments as possible. Thats what the Experience team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users all over the world, bringing the music and audio they love to the devices, apps, and platforms they use every day. Know what our users want? Join us and help Spotify give it to them.The Content Understanding team works at the heart of the Content Platform R&amp;D studio to develop rich and interconnected data and insights to enable delightful consumer experiences through a fusion of machine and human expertise. We power use cases across Spotify verticals - Music, Podcasts, and Audiobooks. We are seeking a product manager for a fast-paced team that is enabling a deep understanding of the Spotify catalogs through the lens of Text Understanding. The teams goal is to create products that help understand short-form and long-form text content to enable our internal Spotify customer teams to build experiences that are safe and engaging. We are solving these problems through innovative machine-learning models, deep subject matter expertise, and close integration with human-in-the-loop processes in Spotify. The team is composed of machine learning engineers, data and backend engineers, and subject matter experts who can drive product exploration and development initiatives to convert deep insights about our Spotify catalogs into engaging product offerings. The United States base range for this position is  $118,598 - $169,426 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.What You'll DoDrive the conceptualization and development of ML/Data products Collaborate with a team of skilled engineers, data scientists, and domain experts to set the product vision, strategy, and roadmap for your area.Lead product discovery to find opportunities across Spotify for your team to solveCommunicate complex concepts and experiments in a clear and effective manner to technical and non-technical audiences.Continually improve your products via an ongoing build-measure-learn cycle.Collaborate cross-functionally with other teams on product development and new initiatives.Who You AreExperience building ML/Data products (especially using LLMs) where the result is consumed by other teams to create experiences.Strong grasp of the complete machine learning product lifecycle from goal setting to data collection/labeling to model development and deployment, along with measurement &amp; iteration.Lead data-driven product discovery to identify high-value opportunities for ML/data products and then prioritize what to build Now-Next-Later.Passionate about how products work under the hood and are comfortable discussing technical challenges with engineers.Self-starter who can collaborate with cross-functional partners in a dynamic environment and deliver results.Excellent verbal and written communication skills.Where You'll BeThis role is based in New York City (USA).We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
2036089,"Senior Product Manager - Audio & Media Playback","https://jobs.lever.co/spotify/9a4919f5-48cc-4fa0-9a5d-b483e2523b66","spotify","London","No","Not specified","Full time","2025-04-09T01:54:23.002240Z","Delivering the best Spotify experience possible. To as many people as possible. In as many moments as possible. Thats what the Experience team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users all over the world, bringing the music and audio they love to the devices, apps and platforms they use every day. Know what our users want? Join us and help Spotify give it to them. We are looking for a Senior Product Manager that will join the Play Product Area within the Core Experience Studio to help evolve the experience of audio and media playback on Spotify. You will help define and evolve the experiences that make playing on Spotify more engaging, rewarding, and valuable for users, creators, and Spotify. Above all, your work will impact how hundreds of millions users experience music and media.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What Youll DoWork with a cross-functional team that looks after our audio playback capabilities.Work with engineering, design, data science and user research to ensure the experience is scalable, usable, and useful for a range of strategies.Lead multiple projects across the entire product lifecycle.Triangulate data and insights to develop a robust product strategy and inform decision-making as well as short- and long-term roadmaps.Manage cross-functional and cross-org relationships to keep them informed, receive input, and influence their thinking.Who You AreYou are an experienced product manager with the ability to work with cross-functional teams, lead complex projects across multiple strategies and stakeholders, and make data-driven decisions.You are an expert in audio experiences, with a strong understanding of both the engineering aspects of audio processing and editing, as well as their impact on the user listening experience. For example, you understand how features like crossfading and beatmatching influence the flow and feel of an audio session, while also ensuring high overall audio quality.Experience from developing video playback experiences (in addition to audio) is a plus; e.g. low-latency video delivery, DRM, and optimizing playback for improved QoE.You have led the product work of several products in large tech companies that you can tell us about.You have a deep understanding of product practices and know how to incorporate multiple different perspectives (including user research, data and strategy) into one single product vision and experience.You care about creating engaging, rewarding, and valuable experiences for users, creators, and Spotify.Where Youll BeThis role is based in London or Stockholm.We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
2732554,"User Researcher, Subscriptions","https://jobs.lever.co/spotify/4e162f8a-9676-4e5c-b9a8-9b8c61b27a02","spotify","Stockholm","No",5,"Full time","2025-04-09T01:54:23.002271Z","We collaborate with Business, Product, Design and Tech across the entire user funnel, from onboarding and activating people to the platform, to retaining existing users through meaningful product experiences and services. All of this in service of our mission to unlock the potential of human creativity - by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it. As a member of our Product Insights team, you will join a group of highly motivated and passionate individuals, specializing in User Research, Data Science and Analytics Engineering. You will represent the voice of our users across projects, by observing user needs and behaviour and working closely with stakeholders to craft new ideas across the user journey, and provide critical input when shaping compelling, user relevant offerings and experiences. This is a highly impactful role where you and the rest of the team will be able to directly impact how millions of Spotify users are supported around the world. What You'll DoIdentify opportunities for user research to address key business questions and inform new value propositions, product improvements or innovation across the user journey. Define, plan and execute comprehensive research plans to uncover user needs and behaviour.Deliver fresh, business relevant insights that are brought to life through engaging storytelling in continuous dialogue, presentations and workshops.Leverage evaluative frameworks to facilitate evidence-based product and design decisions.Build trusted relationships with stakeholders to drive impact and translate insights into product improvements, new features and business strategies. Track the impact of research on business outcomes.Who You AreHave 5+ years of experience in user research, with expertise in exploratory and evaluative qualitative research. Hold a degree in Psychology, Human Computer Interaction, or a related field, and/or relevant professional experience.Comfortable planning, prioritizing, conducting, analyzing and communicating research in a variety of contexts.Have strong interpersonal skills and can easily connect with your partners in product, tech, business and design.A dedicated advocate of a user-centred, evidence-based approach to product development, while balancing business needs.Thrive in a fast paced, highly collaborative, and international environment.Passion for learning and growing in the field of qualitative user research and contributing to the practice within Spotify.Where You'll Be This role is based in Stockholm, Sweden.We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
2732553,"Machine Learning Engineer - User Journey","https://jobs.lever.co/spotify/570182ff-0aa2-4b1c-87b4-a0bf5b372709","spotify","London","No","Not specified","Full time","2025-04-09T01:54:23.002314Z","We in the Machine Learning product area in the Activation, Retention, Conversion studio are focused on building robust and scalable machine learning solutions that can personalize activation, retention and conversion funnels to improve important business metrics like SUBS and MAU. Through our messaging platform as well as other discovery &amp; conversion surfaces, we communicate with users to connect them with valuable audio content and to help the business grow. We are looking for a passionate Machine Learning Engineer to help us accomplish our mission: Optimize the user journey to drive retention by educating, re-activating, and fostering long-term engagement among free and premium users.Youll be working on a set of ML and Data initiatives focused on improving free and premium retention, including:- Premium churn prediction and mitigation- Personalisation of premium education surfaces promoting premium value- Payment failure grace period optimisation What You'll DoContribute to designing, building, evaluating, shipping, and refining Spotifys product by hands-on ML developmentCollaborate with a multi-functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant waysPrototype new approaches and productionize solutions at scale for our hundreds of millions of active usersHelp drive optimisation, testing, and tooling to improve qualityBe part of an active group of machine learning practitioners in your mission and across SpotifyWho You AreYou have a strong background in machine learning, theory, and practiceYou are comfortable explaining the intuition and assumptions behind ML conceptsYou have hands-on experience implementing and maintaining production ML systems in Python, Scala, or similar languagesExperience with TensorFlow is also a plusYou are experienced with building data pipelines, and you are self-sufficient in getting the data you need to build and evaluate your modelsYou preferably have experience with cloud platforms like GCP or AWSYou care about agile software processes, data development, reliability, and focused experimentationYou have a desire to drive business impactWhere You'll BeThis role is based in London (UK) or Stockholm (Sweden).We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
2732551,"Data Engineer - Content Understanding","https://jobs.lever.co/spotify/e8b0b65b-10ac-429b-aa83-93afa03d58e7","spotify","New York","No","Not specified","Full time","2025-04-09T01:54:23.002346Z","We are looking for a Data Engineer to help us build structured, high-quality data solutions for our Content Understanding teams. Our teams process petabytes of data using tools such as BigQuery and Dataflow, and where needed we develop our own data tooling to support and evolve our music catalog.The United States base range for this position is  $125,562 - $179,374 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.What You'll DoTake ownership over, maintain and improve data pipelines that are integral to our successEvaluate and optimize our offerings for efficiency and reliability at scaleIdentify areas of architectural improvement to remove the potential for human errorCollaborate with product and engineering teams to understand data requirements and create innovative solutions to challenging problemsUnderstand the analytics data we collect from our systems and how it relates to the business value being producedWho You AreProven experience in data engineering, including creating reliable, efficient and scalable data pipelines for large data sets (especially in Python or Scala)Experience in building and maintaining scalable backend systemsKnowledge of cloud-based data platforms (AWS, GCP or Azure)Strong collaboration and communication skills with technical and non-technical stakeholdersSeek to participate in continuous improvement efforts such as software development, planning, estimating, developing and testingWhere You'll BeThis role is based in New York City (USA)We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home"
2732549,"Data Engineer - Content Understanding","https://jobs.lever.co/spotify/902aa95c-bc7e-4f69-8b78-2bbfd7ea9b38","spotify","London","No","Not specified","Full time","2025-04-09T01:54:23.002393Z","We are looking for a Data Engineer to help us build structured, high-quality data solutions for our Content Understanding teams. Our teams process petabytes of data using tools such as BigQuery and Dataflow, and where needed we develop our own data tooling to support and evolve our music catalog.What You'll DoTake ownership over, maintain and improve data pipelines that are integral to our successEvaluate and optimize our offerings for efficiency and reliability at scaleIdentify areas of architectural improvement to remove the potential for human errorCollaborate with product and engineering teams to understand data requirements and create innovative solutions to challenging problemsUnderstand the analytics data we collect from our systems and how it relates to the business value being producedWho You AreProven experience in data engineering, including creating reliable, efficient and scalable data pipelines for large data sets (especially in Python or Scala)Experience in building and maintaining scalable backend systemsKnowledge of cloud-based data platforms (AWS, GCP or Azure)Strong collaboration and communication skills with technical and non-technical stakeholdersSeek to participate in continuous improvement efforts such as software development, planning, estimating, developing and testingWhere You'll BeThis role is based in London (UK)We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home"
2732547,"Client Partner, Enterprise (Retail & Fashion)","https://jobs.lever.co/spotify/86c5c91b-dada-475f-b042-435e6ed72f94","spotify","London","No",5,"Full time","2025-04-09T01:54:23.002418Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. We are looking for an outstanding Client Partner to join our UK Enterprise Sales Team within Retail/Fashion! This Client Partner will be an individual contributor responsible for the growth of key Retail/Fashion accounts. Our new Client Partner is someone with a true love for Spotify and a drive to produce creative and innovative solutions for our key clients and partners.You should be confident while staying humble, you work hard, and know how to have fun! Above all, your work will impact the way the world experiences music and podcasts on Spotify.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoSell audio advertising, display formats, video formats, and other ad space in order to grow advertising revenues by creating, maintaining, and sustaining relationships with media agencies, creative agencies, and clients directly (including Programmatic).Provide strategic solutions, anticipate client needs, and influence vertical or sub-vertical strategies.Manage a portfolio of enterprise-level advertisers with high complexity.Work across multiple agency departments, i.e. strategy, comms planning, radio, digital, programmatic, branded content and innovation teams, to deliver successful campaigns.Coordinate with the communications planning team and strategic planners, account directors, and buyers to create successful ad campaigns.Focus on brand sell, educating and inspiring our clients to use Spotify to enhance their business.Represent Spotify at events and serve as a brand ambassador.Manage activity using Salesforce.Who You AreYou have a Bachelors degree.You have 5+ years of experience in a media agency/online sales role.You have knowledge of online and offline media and have the ability to be creative with audio and digital client solutions.Strong communication, negotiation and presentation skills, capable of interacting with mid-to-senior level executives.Demonstrated success in meeting or exceeding sales quotas, with a focus on renewals, upselling, and expanding within existing accounts.You have dexterity in creating reports and presentations using Excel, PowerPoint, Keynote, etc.A deep understanding of digital ecosystem.You are a team player, adapt well with change and have a positive attitude.You are able to work in a fast-paced, exciting environment and across external and internal teams to deliver creative, fresh campaigns.Where You'll BeThis role is based in London.We offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come into the office 2-3 times per week."
