"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
3516077,"Software Engineer II (AI Tooling)","https://jobs.lever.co/whoop/2ba743c6-902d-4a47-b926-e5241b27db00","Whoop","Boston","No","Not specified","Full time","2025-09-01T02:11:06.977455Z","At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.As a Software Engineer II focused on AI Tooling, you will help build innovative, user-centric AI systems that power the next generation of internal tools at WHOOP. Your work will directly impact teams across the company by delivering intelligent applications like large language model (LLM)-powered assistants for translating natural language to SQL, translation services, and more. Youll also contribute to tools that accelerate the machine learning and artificial intelligence development process across WHOOP. You'll work across the stack to prototype, deploy, and scale ML and AI tools that enhance productivity, decision-making, and automation.This role is ideal for an engineer who is excited about applied AI, thrives in cross-functional environments, and wants to build cutting-edge tools using modern LLM technologies.Learn more about how to be successful in your engineering career at WHOOP via our Career Framework. This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Design, develop, and deploy internal AI tools powered by large language models, including natural language to SQL query generation, AI-driven translation and summarization services, and other productivity-enhancing toolsDevelop tools that enable efficient machine learning model training, support the integration of models into the WHOOP production environments, and improve access to data at WHOOP.Build robust APIs, services, and user interfaces to expose AI tools to internal users.Integrate AI models into operational workflows, ensuring low latency and high reliability.Collaborate with Product Managers, Software Engineers, Data Scientists, and end users to define product requirements and iterate on solutions.Own the full development lifecycle and contribute to the platform infrastructure supporting LLM and ML applications.Monitor and improve the performance, quality, and cost-efficiency of AI-powered tools.Stay current with advances in generative AI, LLMs, and agentic systems; evaluate new technologies for adoption.QUALIFICATIONS:Proficient in software engineering with experience in Python (preferred), Java, or Scala.Experience with front-end frameworks like VueJS, ReactJS, or NextJS is preferred but not required.Experience, professional or personal, working with or integrating large language models (e.g., OpenAI, Anthropic, Hugging Face Transformers).Familiarity with prompt engineering, fine-tuning, or retrieval-augmented generation (RAG) techniques.Familiar with data storage and processing technologies such as Snowflake, S3, Spark, and relational databasesDemonstrated ability to turn ambiguous internal problems into scoped engineering solutions.Effective communicator with a collaborative mindset and experience working across cross-functional teams."
3507979,"Technical Recruiter","https://jobs.lever.co/whoop/628eee40-d8ce-4b31-98e7-143063be00ac","Whoop","Boston","No",2,"Contract","2025-09-01T02:11:06.977566Z","At WHOOP, were on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.Were looking for a Technical Recruiter to support our hiring efforts during a high-growth period. In this role, youll work closely with our Talent team and hiring managers across various technical domains. Youll own the full lifecycle recruitment process, bringing strategic sourcing ideas and outstanding candidate experiences to help us scale quickly and effectively.This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office. Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES: Partner with hiring managers across technical teams to understand hiring needs and deliver top talentExecute outbound sourcing strategies and collaborate with the Talent team on innovative, proactive candidate generationManage the end-to-end candidate experiencefrom initial outreach to final offerfor technical rolesProvide thoughtful coordination and ensure candidates are informed and engaged throughout the processBring a process-oriented mindset to help streamline recruiting workflows in a fast-moving environmentBalance urgency with quality, always prioritizing the long-term success of WHOOPQUALIFICATIONS:2+ years of technical recruiting experience (in-house experience preferred)Familiarity with sourcing tools such as LinkedIn Recruiter and applicant tracking systems (Lever experience a plus)Proven track record of delivering exceptional hiring experiences and outcomesExperience sourcing for niche, technical, or hard-to-fill roles with creative approachesStrong communication skillsboth written and verbalwith a candidate-first mindsetAbility to quickly understand complex roles and team dynamicsPrior experience in high-growth, fast-paced environments preferredStrong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions"
3507978,"Software Engineer II (Backend, Core App)","https://jobs.lever.co/whoop/2e749834-35a2-47be-a1cc-08ecd6a3aac1","Whoop","Boston","No","Not specified","Full time","2025-09-01T02:11:06.977591Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives. Our wearable device monitors key physiological metrics to provide personalized insights that improve fitness, health, and recovery.As a Software Engineer II (Backend) on Core App, you will develop features that empower members to optimize performance and longevity. Core App helps shape the foundational experience of the WHOOP mobile app enabling scalable content delivery, personalized member journeys, and seamless app navigation. It is the bridge connecting members to our powerful data science algorithms through beautiful and consistent visual interfaces. You will collaborate with product management, design, data science, performance science, and your fellow engineers to shape and develop the technical direction of these impactful health and performance features.Learn more about our Software Org and how to be successful in your engineering career at WHOOP via our Career Framework. This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Work on a cross-functional team throughout feature ideation, planning, and development.Translate feature requirements into engineering tasks, identify risks and tradeoffs, and ship iteratively to mitigate risk.Contribute to development of backend services using Java, Kafka, Postgres and other AWS offerings.Participate in code reviews, testing, and documentation to ensure software quality.Continuously improve the reliability, performance, and scalability of systems requiring high availability and stability.QUALIFICATIONS:You build and maintain APIs and are comfortable working with relational databases like Postgres. RESTful services are familiar territory for you.You have worked with or on event-driven or asynchronous systems like Kafka or SQS, or youre curious and ready to learn more.You write code that holds up over time with solid test coverage, clear documentation and an eye toward making it easy for others to understand.Youre energized by significant challenges and take a data-informed, iterative approach to solving them.You are a team player who thrives on continuous learning and direct feedback.You are comfortable adapting and iterating in a dynamic, evolving environment.You are eager and willing to learn and grow rapidly with AI and AI tools."
3507977,"Accounts Receivable Specialist","https://jobs.lever.co/whoop/4158a44f-474f-45fa-b09b-8fa82616b5e5","Whoop","Boston","No","Not specified","Full time","2025-09-01T02:11:06.977611Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.WHOOP is seeking an Accounts Receivable Specialist to join our Finance team. In this role, youll play a critical part in managing our receivables process and supporting business operations. Your work will directly impact cash flow and financial accuracy, enabling WHOOP to make data-informed decisions and scale our business operations effectively.*This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.*Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Partner with sales and operations teams to process invoices for B2B, wholesale, and retail customers in a timely and accurate mannerManage collections, monitor outstanding receivables, and maintain effective communication with customers regarding payment statusSupport internal and external audit processes by preparing documentation and reconciliationsPerform daily cash receipt processing and timely account reconciliationsContinuously evaluate AR policies and recommend process improvements to enhance accuracy and efficiencyQUALIFICATIONS:Associates degree in accounting or a related field; bachelors degree preferredStrong attention to detail with a commitment to delivering accurate work under tight deadlinesProficiency in Microsoft Excel and ability to analyze large sets of dataExcellent verbal and written communication skills, with the ability to collaborate cross-functionallyExperience with accounts receivable processes and systems; NetSuite experience is a plusPrior experience in government billing is a plusStrong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions"
3493740,"Business Recruiter","https://jobs.lever.co/whoop/91284f99-8421-4ede-9d9d-8e0b69753b01","Whoop","Boston","No",1,"Full time","2025-09-01T02:11:06.977629Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.Were looking for a Business Recruiter to join our growing Talent team and support the hiring of high-impact business roles across the company. In this role, you'll work closely with hiring managers and other recruiters to deliver a best-in-class candidate experience and help drive talent strategy across functions like Marketing, Finance, Operations, and People. This is an exciting opportunity for someone early in their recruiting career who is eager to build foundational skills and grow within a fast-paced, mission-driven environment.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Partner with hiring managers to support full-cycle recruiting efforts across various business functions.Source and engage candidates through job boards, LinkedIn, referrals, and creative outbound strategies.Manage candidate communications and logistics throughout the interview process, ensuring a seamless and professional experience at every stage.Conduct resume reviews and initial phone screens to assess qualifications and role fit.Maintain accurate and up-to-date candidate records in our applicant tracking system (Lever).Support team-wide recruiting initiatives and continuously seek ways to improve our hiring processes.Act as a brand ambassador for WHOOP, representing our values and mission to prospective candidates.QUALIFICATIONS:13 years of recruiting experience, either in-house or agency, preferably supporting similar roles.Strong communication and interpersonal skills, with an ability to build trust with candidates and hiring teams.High level of organization and attention to detail, with the ability to manage multiple roles or projects simultaneously.Familiarity with sourcing tools such as LinkedIn Recruiter and applicant tracking systems (Lever experience a plus).Demonstrated adaptability and a proactive mindset in fast-changing environments.Eagerness to learn and grow as a recruiting professional within a collaborative, feedback-driven team.Passion for WHOOPs mission and a commitment to building diverse and inclusive teams.Strong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3488639,"Software Engineer II (Backend, Healthcare Infra)","https://jobs.lever.co/whoop/8ca544db-2519-4b8d-a6c2-3476b550e9d7","Whoop","Boston","No","Not specified","Full time","2025-09-01T02:11:06.977661Z","At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives. Our wearable device tracks key physiological metrics such as heart rate variability, resting heart rate, and sleep quality to provide personalized insights into users' fitness, health, and recovery. As a Software Engineer II on the Healthcare Infra team, you will help build and maintain exciting features in the Healthcare space and connect members to our powerful data science algorithms. You will develop reusable, scalable platforms that enable the entire Healthcare organization to move faster in the rapidly changing consumer health space, working with partners both in and outside of WHOOP. You will help our members understand all aspects of their health: physical, mental, emotional, and hormonal, and work to build the underlying infrastructure that connects them to the wider Healthcare ecosystem.This role is designed for a backend engineer passionate about building scalable systems, eager to tackle high-impact challenges, and committed to delivering user-centric solutions that resonate with our members' needs.Learn more about our Software Org and how to be successful in your engineering career at WHOOP via our Career Framework. This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Contribute to engineering efforts within a cross-functional team, collaborating with designers, product managers, other engineers, and our Digital Health team to refine and advance the WHOOP platform.Develop and maintain robust backend services using Java, Kafka, Postgres, and other AWS technologies, ensuring stability and performance.Contribute to the ideation, technical design, and implementation of new features and platforms, transforming complex requirements into reliable, scalable solutionsWork on scaling challenges that span multiple systems and demand high availability and reliability.Write clean, testable, and maintainable code, while participating in code reviews and documentation practices.QUALIFICATIONS:Professional experience in backend development, with a strong foundation in object-oriented programming, API design, and relational databases (RESTful APIs, Postgres)Familiarity with asynchronous processing systems (Kafka, SQS).Experience writing automated tests and documenting code for a variety of audiences.A passion for approaching large-scale problems guided by data-driven insights and a commitment to agile, iterative developmentA proactive, collaborative team player, eager to take on new challenges, continuously learn, and adapt in a fast-paced, data-informed environment"
3473390,"Senior Analyst, Corporate Finance & Investor Relations","https://jobs.lever.co/whoop/50433d20-b9e2-4ba1-b160-6718756e9913","Whoop","Boston","No","Not specified","Full time","2025-09-01T02:11:06.977678Z","WHOOP empowers individuals to perform at their best through a deeper understanding of their bodies and daily lives. Were on a mission to unlock human performance and healthspan, combining innovative wearable technology, data science, and personalized insights.The Senior Analyst, Corporate Finance &amp; Investor Relations will play a critical role supporting key financial and strategic initiatives that shape the future of our business. This role offers a unique opportunity to work at the intersection of capital markets and financial strategy, driving insights that influence decision-making and create long-term shareholder value.The ideal candidate is a versatile business athlete  someone equally comfortable diving into complex financial models, benchmarking competitors, crafting and articulating compelling narratives for investors, and supporting strategic corporate initiatives. The primary focus of this role will be to build and strengthen the investor relations function in a dynamic, late-stage private company environment. This includes supporting fundraising activities, monitoring external trends, conducting competitive analysis, preparing investor communications, and ensuring alignment between our market-facing narrative and strategic priorities. You will also play a key role in Corporate Development initiatives, including M&amp;A evaluation, deal execution, and strategic partnership assessments that support WHOOPs long-term growth strategy. This position offers high visibility with senior leadership and the opportunity to work cross-functionally, developing a broad skill set in both quantitative analysis and strategic execution.*This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.*Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Support the execution of a comprehensive investor relations strategy, including investor presentations, board updates, fundraising materials, and conference contentProduce and maintain key investor deliverables such as quarterly investor decks, fact sheets, and data rooms; analyze operating and financial performance versus internal targets, distilling complex data into clear, compelling insightsAct as a liaison for investor communications, coordinating meetings with existing investors to deepen relationships and attract new strategic and institutional investorsMonitor market trends, competitor activities, and analyst reports; synthesize insights and recommendations for senior leadership to inform strategic decision-making.Ensure all investor communications and materials maintain rigorous accuracy, governance, and compliance standardscoordinating closely with Legal and Accounting teams to meet disclosure requirementsConduct data-driven analyses to identify and quantify revenue growth opportunities, margin improvement levers, and cost optimization strategiesPartner with Strategic Finance, Product, Marketing and Legal to support M&amp;A diligence, partnership integrations, and capital markets initiatives as needed; contribute IR perspective to broader finance projectsQUALIFICATIONS:Bachelors degree in Finance, Accounting, Business Administration, or a related field2+ years of experience within investment banking, consulting, investor relations, equity research, or corporate finance experienceStrong financial modeling and analytical capabilities; proficiency with Excel and financial databases (e.g., Capital IQ, Bloomberg)Exceptional written and verbal communication skills, with proven ability to craft compelling narratives and present to C-suite and external stakeholdersAbility to design and build compelling, visually engaging, and strategically sound presentations for investors, board members, and internal leadershipComprehensive knowledge of Accounting and FinanceDemonstrated project management and skills and ability to coordinate cross-functional teams in a fast-paced, dynamic environmentExceptionally high attention to detail and a high bar for the quality of all deliverables, ensuring accuracy, polish, and professionalism in every outputExtremely high intellectual curiosity, strong business judgment, and a low egoFamiliarity with late-stage or venture capital funding dynamics, including cap table analysis, liquidation waterfalls, and investor rights, preferredPassion for health, wellness, fitness, or related industries is a plusStrong commitment to embracing and leveraging AI tools in day-to-day tasks, ensuring AI-assisted work aligns with the same high-quality standards as personal contributions."
3473389,"Apparel & Accessories Inventory Planner - Bands","https://jobs.lever.co/whoop/bacea23b-d3a2-4d95-ac9c-1989a196daa1","Whoop","Boston","No",3,"Full time","2025-09-01T02:11:06.977695Z","At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.As the D2C Inventory Planner for WHOOPs Accessories &amp; Apparel Band category, you will lead forecasting and inventory strategy for a complex assortment of Band franchisesincluding core styles like SuperKnit and SportFlex, premium collections such as LeatherLuxe, and a frequent cadence of seasonal color launches. Youll be responsible for driving availability across the full Band portfolio while balancing launch timing, core SKU reliability, and promotional demand to meet customer expectations and financial targets.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Partner with D2C Product Marketing and Buyer to plan for the full product lifecycleensuring seasonal launches are forecasted accurately and core band SKUs remain in stock consistently. Build inventory strategies that account for product introductions, in-season reorders, and end-of-life transitions across the band assortment.Track and analyze inventory levels by SKU, identifying patterns and potential issues. Identify slow-moving or obsolete inventory and recommend corrective actions. Using forecasts and product insights, assign optimal units per SKU and create purchase orders to maintain a consistent and reliable supply of goods. Prepare and contribute to OTB (Open to Buy) meetings with FP&amp;A and other stakeholders. Maintain the OTB grid, ensuring accuracy of inventory and on-order positions. Clearly communicate inventory positions, upcoming buys, and financial impacts to cross-functional teams.Collaborates on production lead times, minimum order quantities (MOQs), supplier demand forecasting, and shipping timelines to ensure seamless alignment between inventory needs and supply chain capabilities.Ensures the right products are distributed to the right locations at the right time, optimizing stock levels to meet ever changing customer demand.QUALIFICATIONS:3+ years of experience in inventory management, demand planning, or allocation planningideally within a consumer goods or innovation-driven industryAdvanced Excel skills, strong grasp of retail math, and exposure to ERP systems like NetSuiteExperience with AI tools or analytics platforms is a plus, especially for forecasting or demand modelingStrong analytical and problem-solving skills, with the ability to interpret complex data and translate insights into strategic decisionsExcellent communication and interpersonal skills; comfortable collaborating with cross-functional teams across operations, supply chain, and marketingProven ability to thrive in fast-paced, high-growth environments with competing priorities and tight deadlines"
3458081,"Associate Creative Director, Art","https://jobs.lever.co/whoop/175eca0e-8fa1-4c93-a482-dd8040704a1d","Whoop","Boston","No",8,"Full time","2025-09-01T02:11:06.977711Z","WHOOP is looking for an Associate Creative Director, Art with a deep understanding of how to visually communicate a brands essence and vision.As an integral member of the Marketing team and a senior leader of the Creative team, the ACD, Art not only upholds our brand standards but evolves them. Youre both a visionary and a doer: able to set the standard, coach the team to success, and roll up your sleeves where needed. You love mentoring designers as much as you love cracking the big idea, and you believe creativity is only as good as the results it drives.*We will consider candidates based out of our Boston HQ or remotely from New York, NY. The successful candidate must be prepared to work out of one of those two locations.*Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Elevate our visual expression across campaign and evergreen touchpoints across large, cross-channel campaigns, as well as one-off projects and everyday iterationDrive concept development and execution for integrated campaigns, partnering closely with the Associate Creative Director, CopyCollaborate closely with our Marketing, Apparel &amp; Accessories, Wholesale, Product, and Product Design teams to ensure our work delivers across every stage of the funnel, and that our work is rooted in insightIdentify ways and opportunities we can test our creative, and steer the team to consistently incorporate our best practices and learningsMentor and guide designers (in house and contract) to push their craft, sharpen their thinking, and deliver industry-leading work, giving timely feedback and coaching throughout the process Elevate our art direction and lead onset shoots, including those to build our brand asset libraryAdapt and develop our design language to be the most effective on every channel, while maintaining topline consistency Help maintain design team efficacy, evaluating tooling, supporting DAM maintenance, and finding opportunities for efficiencyChampion new tools and workflows, including AI- assisted design exploration and production optimization. Inspire the team through clear and actionable feedback, visionary leadership, and a high quality barQUALIFICATIONS:8+ years of experience working in house or at a creative agency with a track record of leading brand and performance campaigns across channelsStrong communication and coordination skills, with a sense of urgency to meet deadlines and take initiativeProven success designing across multiple mediums that produces results, from conversions to purchases to engagementAn eye for detail to ensure designs stay consistent and on brandFamiliarity with AI tools and their ability to expedite innovation  and enhance efficiency. Willingness to embrace and experiment.Strong portfolio that demonstrates taste, originality, system-level thinking, and performance creativityExperience art directing brand, product, and lifestyle shoots"
3450612,"Senior Marketing Manager, Germany","https://jobs.lever.co/whoop/a0ddd6f6-5cdd-4c43-8ed6-b7a46471b2f7","Whoop","Berlin","Yes","Not specified","Full time","2025-09-01T02:11:06.977728Z","At WHOOP, we're on a mission to unlock human performance and healthspan. We empower members to perform at their highest potential by providing deeper insights into their bodies and daily lives. Our team thrives on innovation, data-driven strategies, and a shared passion to redefine member engagement and retention.WHOOP is seeking a strategic and collaborative Senior Marketing Manager for the DACH region (Germany, Austria, Switzerland) to develop and drive a culturally attuned, integrated marketing and commercial strategy. This role will own regional brand affinity and omni-channel performance across DACH while acting as a vital bridge between global strategy and localized executionall from a fully remote position.The successful candidate must be based in Germany and should be prepared to travel as needed for the role.Interested in the role, but dont meet every qualification? We encourage you to still apply! At WHOOP, we believe there is much more to a candidate than what is written on paper, and we value character as much as experience. As we continue to build a diverse and inclusive environment, we encourage anyone who is interested in this role to apply.WHOOP is an Equal Opportunity Employer and participates in E-verify to determine employment eligibility.  It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability.RESPONSIBILITIES:Lead and deliver against regional commercial targets, crafting strategic marketing and sales initiatives that align with both brand and business KPIs.Design and activate integrated campaigns that resonate with DACH-specific cultural and lifestyle moments, particularly in fitness, wellness, sports, and lifestyle sectors.Partner closely with local Sales and Trade Marketing teams to support and amplify omnichannel sales across e-commerce, retail, and channel partners.Collaborate with global Marketing, Brand, Social, Partnerships, and Creator teams to ensure cohesive and culturally relevant messaging across all channels.Forge meaningful relationships with local fitness studios, athletes, wellness influencers, and community organizations to authentically embed WHOOP in the DACH ecosystem.Coordinate and execute grassroots activations, pop-ups, local events, and community initiatives to increase member acquisition, engagement, and loyalty.Monitor and analyze campaign performance, cultural impact, and community growth, leveraging insights for continuous optimization.Localize global brand content and creative assets to ensure alignment with DACH market dynamics and cultural nuances.Support regional partnerships, product launches, PR efforts, and commercial expansions in collaboration with global and local cross-functional partners.QUALIFICATIONS:Significant experience in regional or country-level marketing leadership within Consumer Tech, Fitness, or Lifestyle brands, with a strong understanding of the DACH market.Cultural fluency across Germany, Austria, and Switzerlandwith the ability to translate global vision into localized, resonant strategies.Demonstrated success in influencer marketing, media planning, grassroots activations, and forging community partnerships.Strong analytical mindset with the ability to derive and act on commercial insights and cultural performance metrics.Skilled at managing complex cross-functional projects and aligning diverse stakeholders in a fast-paced environment.Proficient in German (native or near-native) and fluent in English; additional familiarity with Austrian and Swiss cultural markets is highly valued.Fully remote setup with a strong discipline in virtual collaboration and execution.Strong commitment to embracing and leveraging AI tools in daytoday tasks, ensuring AIassisted work aligns with the same highquality standards as personal contributions."
