"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
1963480,"Senior IOS Engineer","https://jobs.lever.co/Yassir/f9e5b38e-2a2a-4444-96b1-eb637b7e8e14","Yassir","Sofia","Yes",4,"Full time","2025-08-19T02:01:02.633735Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.We look forward to receiving your application!Best of luck,Your Yassir TA TeamAbout the roleWe are looking for a senior iOS developer to join our tech hub in Berlin and support our growth and expansion. You will be part of the engineering team, working with a high-quality code base and the latest tools, where you will promote your skills to be an expert in complex frontend development in iOS (swift). Your primary focus will be the development of mobile applications and their integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure.About your role as a iOS mobile developerDesign and build mobile applications using  iOS (swiftUI) platform.Ensure the performance, quality, and responsiveness of applicationsCollaborate with a team to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugsHelp maintain code quality, organization, and automatizationParticipate in brainstorming sessions and contribute ideas to our technology, algorithms and products.Work with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solutionDive into difficult problems and successfully deliver results on scheduleAbout your experienceMust have technical skills with at least 4 years of experience Language: iOS (swift) nativeFamiliarity with cloud message APIs and push notificationWeb architecture: Rest and restful APIs, micro-servicesVersion control: GITNice to have technical skills (Strongly advised) Containers: Docker, kubernetesCaching, Redis serverScaling, Web load balancingExperience in a rapidly growing company in the mobility, on-demand or fintech space is a plusBSc/MSc in Engineering, Computer Science or relevant fieldWhy you should join Yassir You will be part of one of the first Algerian startups to go through the Y Combinator program and one of the fastest-growing tech companies in North Africa. We are current in +30 cities (Algeria, Tunisia, Morocco, Senegal, France and Germany) Attractive salary and you even get a stake in the company Subsidized public transit passHave a lasting impact on our company's culture  Perfect timing with renowned investors to build something great Extremely steep learning curve with own responsibility and intensive guidance Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of Africans"
2078634,"Senior IOS Engineer ""Swift UI""","https://jobs.lever.co/Yassir/b2116e06-fdfe-4051-b4db-a8a7e7650ddc","Yassir","Cairo","No",5,"Full time","2025-08-19T02:01:02.633824Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.We look forward to receiving your application!Best of luck,Your Yassir TA TeamAbout the roleWe are looking for a senior iOS developer to join our tech hub in Berlin and support our growth and expansion. You will be part of the engineering team, working with a high-quality code base and the latest tools, where you will promote your skills to be an expert in complex frontend development in iOS (swift). Your primary focus will be the development of mobile applications and their integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure.About your role as a iOS mobile developerDesign and build mobile applications using  iOS (swiftUI) platform.Ensure the performance, quality, and responsiveness of applicationsCollaborate with a team to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugsHelp maintain code quality, organization, and automatizationParticipate in brainstorming sessions and contribute ideas to our technology, algorithms and products.Work with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solutionDive into difficult problems and successfully deliver results on scheduleAbout your experienceMust have technical skills with at least 5 years of experience Language: iOS (swift) native, and Swift UIFamiliarity with cloud message APIs and push notificationWeb architecture: Rest and restful APIs, micro-servicesVersion control: GITNice to have technical skills (Strongly advised) Containers: Docker, kubernetesCaching, Redis serverScaling, Web load balancingExperience in a rapidly growing company in the mobility, on-demand or fintech space is a plusBSc/MSc in Engineering, Computer Science or relevant fieldWhy you should join Yassir You will be part of one of the first Algerian startups to go through the Y Combinator program and one of the fastest-growing tech companies in North Africa. We are current in +30 cities (Algeria, Tunisia, Morocco, Senegal, France and Germany) Attractive salary and you even get a stake in the company Subsidized public transit passHave a lasting impact on our company's culture  Perfect timing with renowned investors to build something great Extremely steep learning curve with own responsibility and intensive guidance Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of Africans"
3447104,"Delivery Driver","https://jobs.lever.co/Yassir/65ec037a-bc6a-4967-b55c-af5efec9461f","Yassir","Algiers","No","Not specified","Full time","2025-08-19T02:01:02.633860Z","Le livreur moto est charg d'assurer la livraison rapide, scurise et efficace des commandes de courses (produits alimentaires, hygine, etc.) depuis le point de collecte (supermarch, entrept ou magasin partenaire) jusquau domicile du client."
1220263,"Staff Backend Engineer (NodeJS/Go)","https://jobs.lever.co/Yassir/f49f05fe-61d7-498d-8c94-1ff88afe9b89","Yassir","Cairo","Yes","Not specified","Full time","2025-08-19T02:01:02.633893Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.About the roleAs a Backend Staff Engineer, you will be responsible for driving the technical standards for the Backend in our Last Mile Delivery domain. You will work closely with multiple squads within the domain to provide technical leadership in areas such as tech roadmaps, architecture decisions, and feature development and release cycles. Your role will also involve mentoring junior developers and contributing to the scaling up of Backend engineers in multiple squads. This will include conducting technical interviews to identify and onboard talented engineers.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamAbout your role as Staff Engineer, Backend (Nodejs)Design, build, and maintain features for domain applicationsProvide technical leadership and manage dependenciesConduct design and code reviewsSupport and help grow domain team members by helping them with technical blockersContinuously discover, evaluate, and implement new technologies to improve efficiencyParticipate in architecture and design discussionsStrongly contribute to building the technical roadmapConduct technical interviewsImprove engineering standards, tooling, and processes.Owner of these projects Conduct feasibility studies to validate capability and functionalityDraft and submit intellectual propertyConduct research and assess current technologiesDevelop and execute complex, multi-tier distributed software search applicationsApply technical and domain expertise to products and problemsAssess and write code to improve or extend applicationsManage and provide assistance for current software applicationsProvide technical leadership and mentorship to othersAbout your experienceSolid backend engineering experience with Node.js and GoStrong foundation in programming fundamentalsExcellent communication skillsProven problem-solving abilities and a willingness to help others achieve their goalsExtensive experience with Git in a team environmentProficiency in writing testable code and unit testsBonus: Experience in a fast-growing startup in the on-demand services industryExtensive experience with A/B experiments and a data-driven approach to product development"
3438668,"Senior Mobile iOS Engineer (Last Mile Delivery)","https://jobs.lever.co/Yassir/03b42b9f-1163-4260-b69d-a9f04c04cd3a","Yassir","Cairo","Yes",5,"Full time","2025-08-19T02:01:02.633926Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.ABOUT THE ROLEIn this role, you will be part of our engineering team, working with a high quality code base and the latest tools, where you will promote your skills to be an expert in complex frontend development in iOS (swift and swiftUI) native platforms. Your primary focus will be development of mobile applications and their integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure. Therefore, a commitment to a highly dynamic environment, where root cause analysis and rapid collaborative problem solving, sophisticated design, and the creation of quality products are required. At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamTASKSDesign and build mobile applications for iOS.Ensure the performance, quality, and responsiveness of applicationsCollaborate with a team to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugsHelp maintain code quality, organization, and automatizationParticipate in brainstorming sessions and contribute ideas to our technology, algorithms and products.Work with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solutionDive into difficult problems and successfully deliver results on scheduleREQUIREMENTS Must have technical skills with at least 5 years of experience Language: iOS (swift) nativeFamiliarity with cloud message APIs and push notificationWeb architecture: Rest and restful APIs, micro-servicesVersion control: GITNice to have technical skills (Strongly advised) Containers: Docker, kubernetesCaching, Redis serverScaling, Web load balancingExperience in a rapidly growing company in the mobility, on-demand or fintech space is a plusBSc/MSc in Engineering, Computer Science or relevant fieldBENEFITSGround floor opportunity with the team; shape the strategic direction of the companySharp, motivated co-workers in a fun office environment or in remote WHY YOU SHOULD JOIN YASSIR Join one of the fastest-growing tech companies in North AfricaHave a lasting impact on our company's culture Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of AfricansWork on some really hard technical challenges from identity infrastructure for Africans, digital payment networks to complex mapping and routing systems across the continent.We are the first Algerian startup to go through Y Combinator program and were backed by top investors including Unpopular Ventures, Rebel Fund and DainTree.VC"
3438667,"Senior Mobile Android Engineer (KMM)","https://jobs.lever.co/Yassir/71b59610-b216-4744-afaf-a2b350300417","Yassir","Cairo","No",4,"Full time","2025-08-19T02:01:02.633959Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.ABOUT THE ROLEIn this role, you will be part of our engineering team, working with a high quality code base and the latest tools, where you will promote your skills to be an expert in complex frontend development in Android (kotlin) native platforms. Your primary focus will be development of mobile applications and their integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure. Therefore, a commitment to a highly dynamic environment, where root cause analysis and rapid collaborative problem solving, sophisticated design, and the creation of quality products are required.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamResponsibilitiesDesign and build mobile applications for Android.Ensure the performance, quality, and responsiveness of applicationsCollaborate with a team to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugsHelp maintain code quality, organization, and automatizationParticipate in brainstorming sessions and contribute ideas to our technology, algorithms and products.Work with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solutionDive into difficult problems and successfully deliver results on scheduleRequirementsMust have technical skillsA minimum of 4 years of experience Language: Android, KotlinKMM experience.Familiarity with cloud message APIs and push notificationWeb architecture: Rest and restful APIs, micro-servicesVersion control: GITNice to have technical skills (Strongly advised)Containers: Docker, KubernetesCaching, Redis serverScaling, Web load balancingExperience in a rapidly growing company BSc/MSc in Engineering, Computer Science or relevant field"
3430599,"Senior Java Full Stack Engineer FS","https://jobs.lever.co/Yassir/62a6e882-7b96-44e3-84b1-7e056704a575","Yassir","Algiers","No",4,"Full time","2025-08-19T02:01:02.633997Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.We look forward to receiving your application!Best of luck,Your Yassir TA TeamAbout Your Role:Build robust and scalable software in Java (Spring, Spring boot &amp; hibernate)Design and create (micro)services and system architecture for projects, and contribute and provide feedback to other team members.Help improve existing code quality through writing unit tests, automation and performing code reviews.Participate in brainstorming sessions and contribute ideas to our technology, algorithms and products.Work with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solution.Dive into difficult problems and successfully deliver results on schedule.Requirements:BSc/MSc in Engineering, Computer Science or relevant fieldAt least 4 years of experience in a similar roleSolid OOP and software design knowledge  you should know how to create software that is extensible, reusable and meets desired architectural objectives.Must have technical skills:Language: Java.Database: MongoDB or other.Framework: Spring boot and hibernate. Web architecture: Rest and restful APIs, micro-services TDDExperience with Front end development and frameworks like Vue or ReactNice to have technical skills (Strongly advised for senior profiles):Containers: Docker, kubernetesCaching, Redis serverDemonstrated ability to prioritize, self-start, contribute under pressure and meet tight deadlinesHighly organized, creative and critical thinkerComfortable working in an entrepreneurial environmentExperience in a rapidly growing company in the mobility, on-demand  or fin-tech space is a plus"
3430598,"Sales operation specialist","https://jobs.lever.co/Yassir/5e5eab00-bb41-4031-86a4-d8f462eaf35b","Yassir","Algiers","No","Not specified","Full time","2025-08-19T02:01:02.634047Z"," propos de Yassir :Yassir est la super application leader dans le domaine des services  la demande, oprant de manire prdominante dans la rgion du Maghreb. Yassir a pour mission de rvolutionner la manire dont les services quotidiens sont accessibles.Actuellement implante dans plus de 45 villes  travers plusieurs pays tels que l'Algrie, le Maroc, la Tunisie et le Sngal, notre prsence s'tend aussi sur d'autres pays tels que la France et l'Afrique sub-saharienne.Fortement soutenue par des investisseurs de renomme mondiale tels que BOND et Y Combinator, pionniers d'entreprises telles qu'Airbnb, Stripe, Dropbox, et Doordash, Yassir a russi  faire de nombreuses leves de fonds quivalentes  presque 200 millions $.Au-del de la simple prestation de services, notre vision est de crer un march dynamique visant  satisfaire les besoins de nos utilisateurs tout en insufflant des valeurs sociales fondamentales.RoleRattach au Directeur commercial, Le Sales Operations Specialist est le pilier administratif et oprationnel du service commercial, assurant le bon fonctionnement des processus lis  la plateforme de mobilit. Il/elle centralise la gestion des contrats, des accs clients et des rclamations, et est galement responsable de la formation produit pour les quipes internes et les clients. Le Sales Operations Specialist supervise par ailleurs les activits de recouvrement et de facturation.Missions  Gestion Administrative et Support Oprationnel de la Plateforme de Mobilit :Assurer la gestion administrative quotidienne de la plateforme de mobilit.Centraliser et grer l'ensemble des contrats commerciaux.Attribuer et grer les accs  la plateforme de mobilit pour les clients et les quipes.Collaborer en mode transverse avec toutes les oprations (Yassir GO,distribution).Assurer les besoins des commerciaux en termes de fourniture de bureau,documents administratifs, contrats. Gestion des Dolances et Rclamations :Garantir une bonne prise en charge des rclamations clients.Traiter les dolances et rclamations lies aux aspects product etoprationnels. Supervision Recouvrement et Facturation :Superviser le charg de recouvrement et de facturation.Assurer les recouvrements et le suivi des paiements avec la trsorerie.Prparer les factures clients  remettre aux commerciaux avec suivi. Formation Produit :Dvelopper et dispenser des formations sur le produit aux quipescommerciales et aux clients.Fournir un support aux commerciaux sur terrain.Profil Diplme en Commerce, Marketing, Gestion,ou quivalentExprience de 2 annes et plus dans un poste similaire.Sens de la communication et des relations interpersonnelles.Rigueur et sens de la mthodologie dans le traitement des oprations.tre Proactif et orient solution.Capacit de ngociation (pour les aspects lis aux recouvrements ou  la gestion descontrats).Matrise des langues crites et parles : Franais, Arabe, Anglais.Matrise des outils informatiques (Dashboard, CRM, outils de gestion).Notions juridiques optionnelles (particulirement pour la gestion des contrats).Forte disponibilit"
3430597,"Sales development specialist","https://jobs.lever.co/Yassir/14424cad-c0da-4362-9538-cb9460086909","Yassir","Algiers","No","Not specified","Full time","2025-08-19T02:01:02.634076Z"," propos de Yassir :Yassir est la super application leader dans le domaine des services  la demande, oprant de manire prdominante dans la rgion du Maghreb. Yassir a pour mission de rvolutionner la manire dont les services quotidiens sont accessibles.Actuellement implante dans plus de 45 villes  travers plusieurs pays tels que l'Algrie, le Maroc, la Tunisie et le Sngal, notre prsence s'tend aussi sur d'autres pays tels que la France et l'Afrique sub-saharienne.Fortement soutenue par des investisseurs de renomme mondiale tels que BOND et Y Combinator, pionniers d'entreprises telles qu'Airbnb, Stripe, Dropbox, et Doordash, Yassir a russi  faire de nombreuses leves de fonds quivalentes  presque 200 millions $.Au-del de la simple prestation de services, notre vision est de crer un march dynamique visant  satisfaire les besoins de nos utilisateurs tout en insufflant des valeurs sociales fondamentales.RoleRattach au Directeur commercial, Ce profil hybride combine des comptences en gestion des donnes et en support aux oprations commerciales. Il/elle est responsable de lanalyse des indicateurs cls de performance, de la gestion et de la mise  jour de la base de donnes clients, de lattribution des comptes commerciaux, ainsi que du suivi de la rpartition du chiffre daffaires par activit et par prestation. Vritable relais oprationnel, il/elle agit comme un  CRM humain  en centralisant et en diffusant les informations essentielles  la coordination des quipes et  lefficacit du pilotage commercial.Missions Prospection Commerciale : Segmenter et cibler la clientle en fonction des informations disponibles (dmographique, comportementale, historique des ventes...). Contacter les prospects par email ou par tlphone, apprhender leurs attentes, proposer des solutions adaptes  leurs besoins. laborer un plan de prospection commerciale. Dvelopper des ides de prospection, des thmes, etc. Construire et cultiver des relations avec les prospects en initiant des communications et en suscitant leur intrt.  Dveloppement Commercial &amp; Analyse : Effectuer des tudes de march pour connatre l'environnement dans lequel volue l'entreprise.  Grer les donnes des nouveaux clients et potentiels dans le Dashboard en veillant  ce que toutes les communications soient enregistres. Analyser les chiffres &amp; le nombre de courses effectues par nos clients. tablir des rapports hebdomadaires des ralisations de nos clients. Analyser avec l'ensemble des quipes la faisabilit du dveloppement desnouvelles productions et de l'expansion de la socit sur de nouveaux marchs. Distribuer les chiffres d'affaires.  Gestion Administrative &amp; Suivi Financier : tablir un tat mensuel pour la facturation. tablir des factures d'avance sur consommation. tablir les devis sollicits par nos clients. Collaborer en mode transverse avec tous les dpartements des oprations (Yassir Go, distribution, Express).  Gestion de la Relation Client &amp; Base de Donnes : Grer la base de donnes clients et veiller  son actualisation. Affecter les clients aux commerciaux ou aux quipes pertinentes. Transmettre les informations clients de manire efficace (rle de ""CRM humain""). laborer des prsentations relatives aux services B2BProfil Niveau universitaire BAC+3 en Commerce, Marketing, Statistiques ou quivalent.Exprience de 2 annes et plus dans un poste similaire.Matrise des outils informatiques. Matrise des techniques de ngociation. Rsolution de problmes, orient solution. Sens de la communication et des relations interpersonnelles. Esprit d'analyse. Rigueur et intgrit. Sens de la confidentialit. Matrise des langues crites et lues : Franais, Arabe, Anglais."
3430595,"Key Account Manager","https://jobs.lever.co/Yassir/65a3f977-3098-45a1-8ac9-f0c18969f2ba","Yassir","Algiers","No","Not specified","Full time","2025-08-19T02:01:02.634115Z","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.  We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally. Helping usher the continent into a digital economy era. Were not just about serving people - were about creating a marketplace to bring people what they need while infusing social values.ABOUT THE ROLE: We are growing our Yassir Express Family. From our humble start in Casablanca, weve expanded to 7 other cities with even more growth planned in the coming months! The Food Distribution market requires rigorous and personalized monitoring of its key accounts. We are looking for a Key Account Manager to take over a Key Account and Middle Account portfolio.The two main missions are to ensure a perfect quality of follow-up and satisfaction of the partnership and to increase the assets in management of each of the accounts. Therefore, youll need to be comfortable with working autonomously and with a lot of responsibility.At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.  Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together. We look forward to receiving your application! Best of luck,Your Yassir TA TeamWhat You Will Do: Developing a solid and trusting relationship between major key clients and companyResolving key client issues and complaintsDeveloping a complete understanding of key account needsAnticipating key account changes and improvementsManaging communications between key clients and internal teamsManaging account team assigned to each clientStrategic planning to improve client resultsNegotiating contracts with the client and establishing a timeline of performanceEstablishing and overseeing internal budgets with the company and external budgets with the clientWorking with design, sales team, creative, advertising, logistics, managers, marketing, and team members from other departments dedicated to the same client account to ensure the highest quality of materials are being produced and all client needs metCollaborating with the sales team to maximize profit by up-selling or cross-sellingPlanning and presenting reports on account progress, goals, and quarterly initiatives to share with team members, stakeholders, and possible use in future case studies or company trainingMeeting all client needs and deliverables according to proposed timelinesAnalyzing client data to provide customer relationship managementWhat Youll Need:Able to multitask, prioritize, and manage time efficientlyGoal-oriented, organized team playerEncouraging to team and staff; able to mentor and leadSelf-motivated and self-directedExcellent interpersonal relationship skillsIn-depth understanding of company key clients and their position in the industryAble to analyze data and sales statistics and translate results into better solutionsBachelor's degree in marketing, business administration, sales, or relevant field; Master's degree preferredAbility to work in an agile environmentStrong negotiation skills, with ability follow-through on client contractsStrong Work Ethic:Target driven and ability to drive meeting of very aggressive targetsMust have outstanding written &amp; verbal communication skills in (local) Arabic and French and EnglishDemonstrated ability to prioritize, self-start, contribute under pressure and meet tight deadlinesPerksGround floor opportunity with the team; shape the strategic direction of the companyThe rare opportunity to change the world around you such that everyone around you is using the product you built. Were not just another app, were infusing social values and reinventing how services are providedSharp, motivated co-workers in a fun office environmentBenefitsGreat compensation and bonusesPaid company holidaysFull social coverageUntracked vacation policy; work very hard and take time when you need it"
