"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2523815,"Subway Sandwich Artist","https://jobs.smartrecruiters.com/PilotCompany/744000045408606-subway-sandwich-artist","Pilot Company","Bunkie","No","Not specified","Full time","2025-03-01T16:45:25.314967Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest serviceRequired QualificationsIncredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Subway processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team Preferred QualificationsExperience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidaysWellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available"
2523814,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000045408805-cashier","Pilot Company","Kamloops","No","Not specified","Full time","2025-03-01T16:45:25.315086Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest serviceRequired QualificationsIncredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team Preferred QualificationsExperience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidaysWellness ProgramReward and Recognition ProgramProfessional developmentRRSP (for Full Time Employees)Paid parental leaveExtended Health Care Benefits (for Full Time Employees)AD&amp;D Insurance (for Full Time Employees)Life Insurance (for Full Time Employees)Adoption AssistanceFlexible ScheduleFull and Part Time positions available"
2523813,"Deli Baker","https://jobs.smartrecruiters.com/PilotCompany/744000045408885-deli-baker","Pilot Company","Williams","No","Not specified","Part time","2025-03-01T16:45:25.315124Z","Prepare, package, and sell store-baked products to company standardsOrganize and stock work areasPrepare food to company standards by following process cardsFollow food safety and handling standards and practicesRequired QualificationsIncredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team Preferred QualificationsExperience in a similar positionServSafe certification preferredAbility to work a flexible schedule of nights, days, weekends, and holidaysWellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available"
2523812,"Deli Production Team Member","https://jobs.smartrecruiters.com/PilotCompany/744000045408970-deli-production-team-member","Pilot Company","Kamloops","No","Not specified","Full time","2025-03-01T16:45:25.315157Z","Maintain well-organized and orderly deli areaMonitor hot deli case and keep stocked with fresh itemsPrepare food to company standards by following process cardsClean and organize dishes and utensilsRequired QualificationsHighly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walk/stand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays Preferred QualificationsExperience in a similar positionKnowledge of food safety proceduresWellness ProgramReward and Recognition ProgramProfessional developmentRRSP (for Full Time Employees)Paid parental leaveExtended Health Care Benefits (for Full Time Employees)AD&amp;D Insurance (for Full Time Employees)Life Insurance (for Full Time Employees)Adoption AssistanceFlexible ScheduleFull and Part Time positions available"
2523811,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000045409035-janitorial-maintenance","Pilot Company","Kamloops","No","Not specified","Full time","2025-03-01T16:45:25.315189Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair/ maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilitiesRequired QualificationsHighly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walk/stand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays Preferred QualificationsExperience in a similar positionKnowledge of industrial equipment and ability to fix small problemsWellness ProgramReward and Recognition ProgramProfessional developmentRRSP (for Full Time Employees)Paid parental leaveExtended Health Care Benefits (for Full Time Employees)AD&amp;D Insurance (for Full Time Employees)Life Insurance (for Full Time Employees)Adoption AssistanceFlexible ScheduleFull and Part Time positions available"
2522899,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000045156271-cashier","Pilot Company","Knoxville","No","Not specified","Full time","2025-03-01T16:45:25.315221Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest serviceRequired QualificationsIncredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team Preferred QualificationsExperience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidaysWellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available"
2522898,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000045160105-janitorial-maintenance","Pilot Company","San Antonio","No","Not specified","Full time","2025-03-01T16:45:25.315251Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair/ maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilitiesRequired QualificationsHighly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walk/stand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays Preferred QualificationsExperience in a similar positionKnowledge of industrial equipment and ability to fix small problemsWellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available"
2522897,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000045158452-janitorial-maintenance","Pilot Company","Vega","No","Not specified","Full time","2025-03-01T16:45:25.315279Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair/ maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilitiesRequired QualificationsHighly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walk/stand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays Preferred QualificationsExperience in a similar positionKnowledge of industrial equipment and ability to fix small problemsWellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available"
2522896,"Spanish Speaking Account Development Manager I-Fuel Sales","https://jobs.smartrecruiters.com/PilotCompany/744000045161441-spanish-speaking-account-development-manager-i-fuel-sales","Pilot Company","Los Angeles","No",5,"Full time","2025-03-01T16:45:25.315312Z","Expected pay range: $100k-120k/yr.The purpose of this job is to generate leads, qualify prospects, develop relationships, as well as negotiate and close sales with broad supervision in an assigned geographic territory.We are looking for individuals with skills in the trucking/logistics industry.Target leads and strategically develop relationships with qualified prospects and new customersSecure appointments, deliver sales presentations, negotiate terms and conditions, as well as close sales of relevant company offeringsRespond to inquiries, cancellation requests, and sales requests in a timely manner, and address customers wholesale needs where appropriateCoordinate and collaborate with company stakeholders to maximize opportunities to meet SMART gallon and profit goalsConsult with Divisional Director of Sales to develop closing and sales strategies, as necessaryOffer subject matter expert (SME) consultations to customersManage accounts toward SMART gallon and profit goalsRemain current with changes in fuel industry, delivery systems and competitor activityAcquire market intelligence to develop and modify strategies and tactics accordinglyModel behaviors that support the companys common purpose; ensure guests and team members are supported at the highest levelEnsure all activities are in compliance with rules, regulations, policies, and proceduresComplete other duties as assigned#LI-SG1High school diploma or equivalent certificate requiredBachelors degree with minimum one years sales experience or five years sales experience requiredWilling to travel 80-90%Specialized KnowledgeUnderstand fuel and trucking industry key concepts and terminologyThorough knowledge of company products and offeringsBeginner CRM (preferably Salesforce) skillsBeginner to intermediate Microsoft Office skillsNation-wide Medical Plan/Dental/Vision
401(k) and Flexible Spending Accounts
Employee Fuel Discount
Adoption Assistance
Tuition Reimbursement
Weekly PayAll your information will be kept confidential according to EEO guidelines"
2522895,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000045161991-cashier","Pilot Company","London","No","Not specified","Part time","2025-03-01T16:45:25.315346Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest serviceRequired QualificationsIncredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team Preferred QualificationsExperience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidaysWellness ProgramReward and Recognition ProgramProfessional developmentRRSP (for Full Time Employees)Paid parental leaveExtended Health Care Benefits (for Full Time Employees)AD&amp;D Insurance (for Full Time Employees)Life Insurance (for Full Time Employees)Adoption AssistanceFlexible ScheduleFull and Part Time positions available"
2522894,"Janitorial Maintenance","https://jobs.smartrecruiters.com/PilotCompany/744000045163065-janitorial-maintenance","Pilot Company","London","No","Not specified","Part time","2025-03-01T16:45:25.315378Z","Maintaining overall cleanliness of the storeCleaning showers and restroom facilitiesWashing, loading, and unloading towels for showersPerforming general repair/ maintenance of the storePicking up and taking all trash around travel centerProvide excellent guest service through well-maintained facilitiesRequired QualificationsHighly motivated self-startersAbility to work as part of a teamAble to lift 50 pounds and walk/stand most of the dayAbility to work a flexible schedule of nights, days, weekends, and holidays Preferred QualificationsExperience in a similar positionKnowledge of industrial equipment and ability to fix small problemsWellness ProgramReward and Recognition ProgramProfessional developmentRRSP (for Full Time Employees)Paid parental leaveExtended Health Care Benefits (for Full Time Employees)AD&amp;D Insurance (for Full Time Employees)Life Insurance (for Full Time Employees)Adoption AssistanceFlexible ScheduleFull and Part Time positions available"
