"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2523683,"Category Development Manager","https://jobs.smartrecruiters.com/RedBull/744000045369680-category-development-manager","Red Bull","Chicago","No",3,"Full time","2025-03-01T16:45:26.332553Z","CATEGORY DEVELOPMENTDevelop and cultivate business relationships with external retailer contacts that establish RBNA as the indispensable partner for all category management needs.Build comprehensive knowledge of the products, attributes, strategies, tactics, and competitive trends in the marketplace for assigned categories online and offline.Oversee development and execution of online and offline assortment/merchandising optimization, new product introductions, seasonal programs, and pricing/promotional planning/evaluation.Leverage data from multiple sources to create impactful analytics and selling stories to identify risks, opportunities, and performance gaps (ie. distribution, assortment mix, incrementally, size, shelving, placement).Employ critical thinking and problem solving skills to recognize and anticipate issues and opportunities by elevating analyses beyond reporting and translate insight into retail actionWork effectively with Sales, Marketing, Shopper Marketing, Shopper &amp; Consumer Insights, Brand, eCommerce, and other Category Leadership resources to establish, lead and maintain performance management including the streamlining of reporting cadences, macro assessments and opportunity gap analysisGuide execution of Red Bull Category Management resources to provide solutions that will establish strategic plans for assigned Customer TeamsImplement Category development programs by leading the dialogue with Retailers to focus on Category growth opportunities.Facilitate the customer business planning process by integrating with overall strategic business goals.Turn insights into actions by executing, analyzing, and evaluating Category plans and identifying key opportunities for Red Bull and our retailers to capitalize on. Present Red Bulls Category credentials to key Retailers in a compelling mannerCATEGORY MANAGEMENTDevelop an unassailable level of Energy Category and broader beverage insights.Provide leading edge Category Management solutions, utilizing and understanding IRI and Nielsen syndicated scanning data, Household Panel, market demographic data, customer point-of-sale, loyalty data, and systems used to generate the information for Category reviews.Create, develop and deliver regular Category reviews, plans and strategies with Retailer partners. Provide business analysis and insights of sales, pricing, opportunity gaps for incremental volume.Manage Planogram creation and store level round table process for Retailers that are best-in-class for the Category.ANALYSISDeliver analysis on new item introductions and performance analysis.Provide new product/package mix analysis.Develop analysis to highlight merchandising effectiveness, which includes display and promotion effectiveness.Maintain and develop regular internal and Retailer specific scorecards and trackers.Provide ad-hoc category management reporting, trend analysis, customized reports, and special project work directly to internal / external leaders as necessary.Keeps abreast of developments and best practices in Category Management, pursue the knowledge needed to improve departmental capabilities and professional agility.Bachelors degree in Business, Marketing, Management, Accounting, Data Analytics, or related field preferred3+ years of experience in consumer goods, retail, or syndicated data with a focus on category management, sales, business analytics and/or shopper insights.Extensive experience understanding, utilizing, and employing syndicated data, customer card/POS data, and panel data to drive internal and external wins through sales and share growth (experience with data sources such as Nielsen, Circana, NPD, Numerator, 84.51, dunnhumby, SPINS, Stratum, Spectra/demographics, SPSOneScreen, Symphony Retail AI/EYC)Ability to distill complex data into simple stories.Demonstrated ability to build indispensable, collaborative partnerships with retail customers and internal business partners, across functional teams.Highly skilled in Microsoft Office Suite (Excel, Word and PowerPoint).Exceptional communication skills  verbal, written &amp; presentation.Strong planning/organizing skills; the ability to manage multiple projects simultaneously.Compensation: $92,000 - $138,000Actual compensation offers may vary based on certain factors, including but not limited to experience.Our current Benefits include:Comprehensive Medical, Dental and Vision Plans, 401k Match, Family Leave, PTO &amp; Paid Holiday Schedule, Pet, Legal, and Life Insurance, Tuition Reimbursement(Benefits listed may vary depending on the nature of your employment and/or work location)Red Bull North America, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law.Red Bull North America, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law."
2520057,"Event Car Driver on the working student basis - Southwest region","https://jobs.smartrecruiters.com/RedBull/744000045145705-event-car-driver-auf-werkstudierenden-basis-region-sudwest","Red Bull","Mannheim","No","Not specified","Internship","2025-03-01T16:45:26.332642Z","Your role as a brand ambassador: Indu is in the brand personality and corporate values ​​and repress the brand for first -class interaction with consumers and customers. You are well informed about Red Bull Products, Brand and National Relevant Red Bull Projects. You are involved at Red Bull Events and sponsored events to the consumer an unforgettable brand experience Made to build a strong network, Knpfst and maintain relationships with important stakeholders in the region. Your role as Driver: In and Eventexpert: Indu are responsible for the perfect condition of the Red Bull Event Cars and the built-in technical equipment. You are the expert: in the vehicle and for the equipment, possibilities, its special features and how to remedy smaller errors or defective. of the equipment and are able to entertain with background music. Preliminary experiences are obtained as a DJ or MC, but not absolutely required. You are at partner events of the first contact: in FR organizers: inside, DJs or MCS and also feel responsible for the further brand appearance at the event. The perfect implementation you do excellent work, are reliable, pnctive and proves love for detail in all aspects of your role. You plan and report your activities promptly and in detail about the online platform. You participate in the further development of the event car program by providing regional insights and trends and opportunities for the brand and the product Bull communication as well as charismatic, dynamic and open personality you are enjoying contacting to different people on numerous occasions to combine self -ity and professional shares in combination with a pronounced sense of responsibility, part -time custody, study and other obligations and also in the evening and at the weekend to gain new knowledge to gain new findings as well To apply, in particular in the area of ​​marketing, sports and event management technology affinity for car and event technology you, have a glowing license. To perceive opportunities. The job advertisement is aimed at all people equally, independently of worldview, age, religion, disability, gender, sexual identity or ethnic origin."
2520056,"Event Car Driver on a mini -job basis - region south","https://jobs.smartrecruiters.com/RedBull/744000045145407-event-car-driver-auf-minijob-basis-region-sud","Red Bull","Munich","No","Not specified","Internship","2025-03-01T16:45:26.332664Z","Your role as a brand ambassador: Indu is in the brand personality and corporate values ​​and repress the brand for first -class interaction with consumers and customers. You are well informed about Red Bull Products, Brand and National Relevant Red Bull Projects. You are involved at Red Bull Events and sponsored events to the consumer an unforgettable brand experience Made to build a strong network, Knpfst and maintain relationships with important stakeholders in the region. Your role as Driver: In and Eventexpert: Indu are responsible for the perfect condition of the Red Bull Event Cars and the built-in technical equipment. You are the expert: in the vehicle and for the equipment, possibilities, its special features and how to remedy smaller errors or defective. of the equipment and are able to entertain with background music. Preliminary experiences are obtained as a DJ or MC, but not absolutely required. You are at partner events of the first contact: in FR organizers: inside, DJs or MCS and also feel responsible for the further brand appearance at the event. The perfect implementation you do excellent work, are reliable, pnctive and proves love for detail in all aspects of your role. You plan and report your activities promptly and in detail about the online platform. You participate in the further development of the event car program by providing regional insights and trends and opportunities for the brand and the product Bull communication as well as charismatic, dynamic and open personality you are enjoying contacting to different people on numerous occasions to combine self -ity and professional shares in combination with a pronounced sense of responsibility, part -time custody, study and other obligations and also in the evening and at the weekend to gain new knowledge to gain new findings as well Applying, especially in the area of ​​marketing, sports and event management technology affinity for car and event technology you, has a glowing license class BDU also like to laugh at yourself and quickly bring yourself to a team a team. perceive. The job advertisement is aimed at all people equally, independently of worldview, age, religion, disability, gender, sexual identity or ethnic origin."
2520055,"Event Car Driver based on the work student - Region North Region","https://jobs.smartrecruiters.com/RedBull/744000045145340-event-car-driver-auf-werkstudierenden-basis-region-nord","Red Bull","Hamburg","No","Not specified","Internship","2025-03-01T16:45:26.332685Z","Your role as a brand ambassador: Indu is in the brand personality and corporate values ​​and repress the brand for first -class interaction with consumers and customers. You are well informed about Red Bull Products, Brand and National Relevant Red Bull Projects. You are involved at Red Bull Events and sponsored events to the consumer an unforgettable brand experience Made to build a strong network, Knpfst and maintain relationships with important stakeholders in the region. Your role as Driver: In and Eventexpert: Indu are responsible for the perfect condition of the Red Bull Event Cars and the built-in technical equipment. You are the expert: in the vehicle and for the equipment, possibilities, its special features and how to remedy smaller errors or defective. of the equipment and are able to entertain with background music. Preliminary experiences are obtained as a DJ or MC, but not absolutely required. You are at partner events of the first contact: in FR organizers: inside, DJs or MCS and also feel responsible for the further brand appearance at the event. The perfect implementation you do excellent work, are reliable, pnctive and proves love for detail in all aspects of your role. You plan and report your activities promptly and in detail about the online platform. You participate in the further development of the event car program by providing regional insights and trends and opportunities for the brand and the product Bull communication as well as charismatic, dynamic and open personality you are enjoying contacting to different people on numerous occasions to combine self -ity and professional shares in combination with a pronounced sense of responsibility, part -time custody, study and other obligations and also in the evening and at the weekend to gain new knowledge to gain new findings as well To apply, in particular in the area of ​​marketing, sports and event management technology affinity for car and event technology you, have a glowing license. To perceive opportunities. The job advertisement is aimed at all people equally, independently of worldview, age, religion, disability, gender, sexual identity or ethnic origin."
2520054,"CHR (Musketeer) - Bordeaux (M/F) sector manager","https://jobs.smartrecruiters.com/RedBull/744000045146865-chef-de-secteur-chr-musketeer-bordeaux-h-f-","Red Bull","Bordeaux","No","Not specified","Full time","2025-03-01T16:45:26.332711Z","Respect and apply the commercial policy defined in the CHREN circuit as long as a trusted trading partner, you pore and develop around 400 customers follow in the DFINI sector by the Rgional Director.
 Btisureuse Dalliance; You identify, enter, and put day of rigorous handling and prcises all Red Bull customers and prospects in the database (internal reporting tool).
 You activate their customers on the basis of priority indicators (KPIS).
 You ensure and have the exclusive little product of our products and the good excision of our resale mthode.
 Vritable ngocatorcerice, you guarantee the best stratic location for our fridges (Coolers) in points of sale, and recommend their conquate number in ltablissement according to product rotation analyzes. Hear our Establishments has high potential & amp; Develop the customer portfolio Your Rle is to strengthen and maintain long -term professional relationships with Tablis customers and to create new alliances with CLS influencers and sector experts.
 You ngocate and take our trade agreements (20/80).
 Through an effective prospecting you develop the client of the B to C tabs (according to the Red Bull classification), in trois collaboration with the wholesale stables.
 You remain attentive to the new opportunities, which you win for Red Bull.
 You fear and maintain a CSR of DCIDERS on your circuit, by propagating the affinity and the enthusiasm for Red Bull. Maximize sales with existing customers using our quality standards of each meeting with your customers the highlight of their day, you visit an average of 7,12 customers per day, including 5 sitting meetings (so-called cottage), with a measurable and profitable lens, always in line with the Stratgia and the annual fixes objectives.
 Observer, you ngocate and activate the best positioning of the brand on cards and telle menus.
 By respecting the Red Bull standards, you set up the clever Mthode of Perfect Serve perfect service for their customers.
 Recognized for your insightful rflers and your stratgic considations you ensure the implementation of consumption around a product offer from red bull.
 You relay this consumption Activation by communication supports adapting LTABLISSEMENT, and this in order to touch consumers (table easels, light displays, CRANS TL, slates, etc.)
 Indispensable commercial advisor, you put a point of asshole seize and activate all the development opportunities for customers, via SPCIFIC highlights and in order to promote the recruitment of new consumers, but also to trust our target curl and our customers. From the product to your unique personality at the service of our high -end and premium brand.
 Bring the brand, in the most branch cafs and bars, the best clubs in the city, the largest festivals (local and national) and the most private and exclusive festivals.
 Show excellence and assume the responsibility of the visibility and the availability of our products everywhere where you go. Excellent communicator, you relate the history and values ​​of the AUPRS brand of your customers and prospects. Through your actions, you activate the product of profitable handling on local wings and in support of national vnes. Convenience of the CHR and Expreience wishes within this circuit.
 Matrise of different distribution CSRs
 Entrepreneurial spirit
 Sense of ngociation
 Autonomy and rigor
 Relationship sense, open opening
 Good aptitude for sale
 Good ability prospecting
 Listen & amp; diplomacy
 Proposal
 Adaptability to change
 Bac+2 Bac+4/5 commercial training.
 Compulsory B permit. Our commitment to diversity and inclusion:
 Red Bull France is an inclusive company and our ambition is to recruit and promote various talents, without discrimination."
2520053,"Field Marketing Specialist - FMS","https://jobs.smartrecruiters.com/RedBull/744000045157003-especialista-de-field-marketing-fms","Red Bull","Rio de Janeiro","No","Not specified","Full time","2025-03-01T16:45:26.332736Z","Ensure the positive development of the brand clearly with the consumer ensuring that brand values ​​and Red Bull culture are present in this communication. Ascertain that the global guidelines of Brand are respected and that the entire regional team is aware of these information in Aes, Events, Campaigns and Activations. Developing the Anulaside Marketing Plan to understand all the information from Sales and Brand and formulate an annual market plan using creativity and innovation and based on sports platforms, culture to reach brand and product growth in the region. Implementation of the plan in Campopr-Produce and execute the brand events, activations and AES in the field being responsible from the budget, to suppliers and involved. Companing and guiding the marketing field team in their aes, activations and events. Establishing a good, positive and lasting relationship with all stakeholders, athletes and partners of their region. Regio with the Sales and Marketing team in order to be more efficient in implementing the long -term plan. And finally, be responsible for the financial gesture, Capex and Opex of your region and your team as well as the implementation of projects, activations and full -time superior formation to have an active B -type CNH and advanced vlidaings (considered a differential) previous experience in marketing and/or events, Preferably in the Industry of Consumer Goods Analytical and Stratgic Thought and Experience with Project Gesture, Budget Control and Dona's Production of Dona (O), Communicating, Creative, and Innovative Opening and Opening for Different Sports and Culture, we have the potential of all people to give AAAs to independent GNERO, Religio, Religion, Origin, Origin, Oaa. age and deficiency. In the world of Red Bull all people are welcome."
2520052,"Sales Trainee","https://jobs.smartrecruiters.com/RedBull/744000045161908-sales-trainee","Red Bull","Saginaw","No","Not specified","Full time","2025-03-01T16:45:26.332762Z","TRAININGThe Sales Trainee (ST) is a training role.Upon successful participation in the training program, the ST is eligible to interview for open Account Sales Manager (ASM) roles.Upon completion of the program and certification, if no ASM or otherwise qualified role is available AND the ST is meeting performance standards, the employee may remain in the ST role up to 12-months OR until an ASM or another qualified role is available (whichever comes first).Once an ASM or another qualified role is available, the certified ST must interview for that available role.If promotion to the role of ACCOUNT SALES MANAGER (or other role) does not happen prior to the expiration of the 12-mos completion period, the SALES TRAINEE role will be vacated due to end of assignment unless an exception applies.For exception, based on continued high performance, no open roles and certification completion, a manager may extend the 12-month completion period an additional 6-months.The ST role is an at-will position, meaning that the Company or ST can terminate the employment relationship at any time, for any reason or no reason at all, with or without cause.BUSINESS ACUMENUnderstand and Learn the basics of Red Bull and Red Bull Distribution Company, the brand and productsBuild and protect the Red Bull brand through proper rotation to ensure fresh product.Set proper brand flow following Red Bull standards.Establish and maintain friendly and professional relationships with your customers to increase sales and selling.DAILY PREPARATIONObtain all tools (insights, displays, Point of Sale, Pricing, etc.) to execute the daily plan.Effectively communicate with the ASMs/DSMs on daily priorities.Train with ASMsIN ROUTE SUPPORTGlobal Strategy for In-Store Execution measured by Winning vs Competition (WVC) &amp; Perfect Store Audit (PSA).Cover ASM routes as needed.Meet daily KPI focused on the following areas: sales, distributions, pricing, display, new accounts and merchandising.OFF ROUTE SUPPORTSupport the team with audits, blitz, building of displays, merchandising to effectively drive the sales business.Other duties as assigned.Valid US Drivers License and obtainment of DOT Medical cardObtainment of DOT Medical cardMust be at least 21 years of ageExperience in customer service and sales is a plusAbility to lift and transport up to 25 pounds of inventory and/or advertising displaysEnglish; additional languages an advantageRed Bull Distribution Company, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, gender, genetic information, national origin, disability, uniform service, veteran status, age, or any other classification protected by Federal, state, or local law."
2520051,"Data Product Owner with Engineering Skills","https://jobs.smartrecruiters.com/RedBull/744000045171207-data-product-owner-with-engineering-skills","Red Bull","Elsbethen","No",3,"Full time","2025-03-01T16:45:26.332781Z","DEVELOP AND MAINTAIN DATA PRODUCTSIn this role, youll understand business demands to build the right data products enabling business units to make informed decisions in the field of media marketing. DRIVE AND ENSURE A PROPER DATA ARCHITECTUREYoull lead data architecture and engineering within the PEMO scope, ensuring alignment with business requirements and industry best practices. MANAGE DATA INTEGRATION AND WORKFLOWSYoull also establish and continuously improve data integrations and workflows, particularly in the media marketing setup. DATA DRIVEN ORGANISATIONAdditionally, youll to remain successful as an organization we need to continue our journey growing as data driven organization. In your role, you'll work with other teams to shape the PEMO technical landscape and integrate data systems effectively. TEAM &amp; COLLABORATIONLast but not least, youll be a strong &amp; communicative member of our department to drive our data journey by building (big) data setups and architectures as well as inspire other team members to think and evolve into this direction. At least 3 years of practical experience in the field of data, data modelling and data driven decisionsData or media technology focused education or equivalent work experienceFluent in English, German is a plusStrong experience with (big) data technologies and best practices managing large datasetsVery good communication and organization skillsProficiency with data modelling and engineering, Big Data, ETL/ELT, SQL, DDDPersistent, systemic and analytical thinking with an attention to detailExperience in media data setups (recommended)Due to legal reasons, we are obliged to disclose the minimum salary according to the collective agreement for this position, which is  2446 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.As an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. We believe passionately that employing a diverse workforce is central to our success. We welcome applications from all members of society irrespective of age, skin colour, religion, gender, sexual orientation or origin."
2520050,"Digital Workplace Manager","https://jobs.smartrecruiters.com/RedBull/744000045172097-digital-workplace-manager","Red Bull","Elsbethen","No",5,"Full time","2025-03-01T16:45:26.332800Z","Workplace Setups &amp; User Hardware In this role, youll oversee the full lifecycle management of workplace hardware from procurement to retirement, ensuring compliance with company policies in close alignment with Red Bull HQ IT. Advising users and departments on optimal workplace setups, focusing on efficiency and ergonomics will be a crucial part of your role. Collaboration with hardware vendors and service providers is key to ensure high-quality products, timely delivery, and efficient support services. Youll oversee the management of an external partner responsible for the provisioning, setup, and maintenance of user devices, ensuring they are fit for purpose. Additionally, youll monitor and oversee hardware-related costs, ensuring accurate budgeting, expense tracking, and cost efficiency. Printers &amp; Office Peripherals Youll oversee the strategic management of printers and office peripherals to meet business requirements in alignment with Red Bull HQ IT services. Monitoring printing and peripheral-related expenses to ensure cost transparency, budget adherence, and operational cost optimization will also be part of your responsibilities. Meeting Rooms &amp; Collaboration Technology Youll oversee the selection, implementation, and lifecycle management of meeting room technology that will be provided form HQ IT, ensuring it aligns with business needs. Youll oversee the management of maintenance, upgrades, and issue resolution to ensure the reliability of meeting room technology. Youll also be providing training and guidance on using meeting room technology efficiently, as well as tracking and managing costs related to meeting room technology, including hardware, software, and support services, will be central to your role. Mobile Device Management (MDM) &amp; Support Last but not least, youll oversee the full management lifecycle of mobile devices, including procurement, distribution, maintenance, and retirement. Managing device replacements to ensure minimal downtime for users and efficient handling of faulty or outdated devices will be key. Additionally, youll monitor and oversee mobile hardware costs to ensure cost control, correct allocations, and compliance with company policies.At least 5 years of professional experience with Digital Workplace services or a similar role.Experience in managing budgets related to workplace technology, including cost planning, vendor negotiations, and expense tracking.ITIL 4.0 Foundation is a plus.Strong Communication &amp; Collaboration  Ability to communicate effectively with users, stakeholders, and vendors in a clear and approachable manner.Open-Minded &amp; Adaptable  Willingness to embrace new ideas, adapt to change, and work in a dynamic environment.Performance &amp; Result-Oriented  Focused on achieving measurable outcomes and continuously improving workplace solutions.Proactive &amp; Growth Mindset  Takes initiative, seeks continuous improvement, and drives innovation.Process-Oriented &amp; Structured  Works in a methodical and organized way, ensuring efficiency in digital workplace management.Analytical &amp; Strategic Thinking  Ability to recognize complex relationships, break them down into simple solutions, and make data-driven decisions.Solution-Oriented  Focuses on resolving challenges efficiently while balancing user needs and business objectives.University degree in Computer Science, Information Technology, or an equivalent IT technology education.Flexible &amp; Resilient  Able to adapt to shifting priorities and manage multiple tasks effectively.Fluent in English, German is considered a plus.Passionate About Media &amp; Technology  Enthusiastic about the Red Bull Media House environment and staying up to date with digital workplace trends.Due to legal reasons, we are obliged to disclose the minimum salary according to the collective agreement for this position, which is  2691.00 gross per month. However, our attractive compensation package is based on market-oriented salaries and is therefore significantly above the stated minimum salary.As an employer, we value diversity and support people in developing their potential and strengths, realizing their ideas and seizing opportunities. We believe passionately that employing a diverse workforce is central to our success. We welcome applications from all members of society irrespective of age, skin colour, religion, gender, sexual orientation or origin."
2520049,"Praktikum On Premise Marketing","https://jobs.smartrecruiters.com/RedBull/744000045179800-praktikum-on-premise-marketing","Red Bull","Fuschl","No","Not specified","Full time","2025-03-01T16:45:26.332818Z","Red Bull Dnadie Red Bull Living Culture and Corporate values ​​is a role model for like -minded people. I have a CAN-DO mentality and i.e. over opportunities instead of challenges. Be an active ambassador of the brand and the Red Bull. You coordinate the implementation of different concepts in the area of ​​customer experience and customer incentives. This sector includes the processing of an existing customer base and its active new recruitment. This processing requires the coordination of 4 external employees and thus the first staffing qualifications. This is accompanied by the quality assurance and improvement of the implementations on the market. Administrative tasks of this role are subject to the On Premise Team for everyday tasks such as preparing pressations and training documents. In addition, you are responsible for the coordination of product expenses, the order and shipping of merchandise articles. Knowledge of English in words and written-on-mentality and the willingness to also take practical tasks at events (e.g. transport and building equipment) motivated, self-oriented and lesign-oriented working-way team spirit and high MA in the reliability If we do diverse and support people to develop their potentials and to unfold their ideas and to take opportunities. Passionate, we believe that diversity among colleagues is a central element of our success. We are giving applications of all people equally, unfamiliar with age, skin color, religion, gender, sexual orientation or origin. In terms of legal reasons, we are obliged to point out that the collective agreement minimum content for this position is 2,165.00 gross per month."
