"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2011983,"Machine Learning Engineer, Personalization","https://jobs.lever.co/spotify/35de0846-f4bb-4975-8f21-382b44aa0e40","Spotify","New York","Yes","Not specified","Full time","2025-03-01T16:45:26.043789Z","The Safe-and-Sound team makes Spotify safe and enjoyable for every listener. From podcast recommendations to AI Playlists, were a part of some of Spotifys most-loved features. We build Responsible AI solutions by understanding our music, podcasts and users better than anyone else. Join us and youll keep millions of users listening by making recommendations safe for each and every one of them.The United States base range for this position is $136,878- $195,540 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.What You'll DoContribute to designing, building, evaluating, shipping, and refining Spotifys product by hands-on ML developmentCollaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant waysPrototype new approaches and production-ize solutions at scale for our hundreds of millions of active usersHelp drive optimization, testing, and tooling to improve qualityBe part of an active group of machine learning practitioners in New York (and across Spotify) collaborating with one anotherWho You AreYou have a strong background in machine learning, with experience and expertise in personalized machine learning algorithms, especially recommender systems.You have hands-on experience implementing production machine learning systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.You care about agile software processes, data-driven development, reliability, and disciplined experimentationWhere You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the North America region as long as we have a work location.This team operates within the Eastern Standard time zone for collaboration."
2522325,"Technical Operations Manager - LatAm","https://jobs.lever.co/spotify/f3a01a53-c747-44c7-9357-9a37bece8196","Spotify","São Paulo","Yes",5,"Full time","2025-03-01T16:45:26.043906Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. We are looking for a highly-motivated individual to join our Technical Operations team. In this role, you will be responsible for diagnosing and triaging issues for advertising campaigns in your region. You will serve as the technical point of escalation to ensure proper delivery and performance throughout the campaign lifecycle. You will also be responsible for partnering with cross-functional teams to ensure that issues are addressed and resolved, across all buying channels. Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoServe as a subject-matter expert and escalation point of contact for our Spotify Ad Sales systems and tools.Partner with Customer Success, Sales and other internal, cross-functional teams to diagnose and resolve issues regarding campaign setup, pacing, system errors, etc.Escalate and manage major campaign tracking, delivery and reporting bugs in collaboration with Product, Engineering, Finance, Measurement and Sales Systems teams for resolution.Serve as an advocate for system related improvements and processes, along with maintaining a backlog of bugs and requested system enhancements.Own expertise on third party vendor capabilities and troubleshoot with agencies/vendors as needed.Participate in client calls, guide internal and external updates and resolutions and serve as the in-flight subject matter expert to all parties involved.Oversee escalated billing issues and discrepancies managed by our offshore team as well as queue prioritization.Adhere to current and contribute to enhanced internal best practice guidelines, processes, and operating cadences in line with evolving systems, sales channels and products.Who You AreBachelor's degree, preferably in Sales, Advertising, Marketing, or Business.You have a minimum of 5 years of experience in ad operations, account management or campaign management while also having solid digital media industry knowledge.Strong digital ad media experience, including knowledge of various third-party verification partners and ad server platforms.Experience with Google Ad Manager, Megaphone, or another ad server is a plus.Experience managing bug tickets, escalations and issue triage is a plus.Understand the technical foundations of digital media, podcasts and programmatic mediums and have experience proactively identifying solutions to problems.Fluent in 3rd party tracking vendors, including brand studies, viewability, and other relevant industry technology.Excellent dexterity with the Google and Microsoft suites of products, including Excel and PowerPoint, and have excellent verbal, written, and presentation skills.A highly organized multi-tasker with strong attention to detail, analytical and project management skills who thrives in a fast-paced, deadline-driven environmentYou believe in the power of teamwork, are a great teammate and are excited about the opportunity to learn and grow at Spotify.Fluency in Portuguese and English language, spoken and written is required. Fluency in Spanish would also be idealPlease apply to this role with a cv/resume in EnglishWhere You'll BeThis role is based in Brazil.We offer you the flexibility to work where you work best! This team operates within the EST time zone for collaboration."
2522324,"Machine Learning Engineer, II","https://jobs.lever.co/spotify/44621de2-a330-4805-9c78-599e5ab06c4e","Spotify","London","Yes","Not specified","Full time","2025-03-01T16:45:26.043934Z","The Personalization team makes decisions about what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, were behind some of Spotifys most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and youll keep millions of users listening by making great recommendations to each and every one of them. We are looking for a Machine Learning Engineer II to join our product area of hardworking engineers that are passionate about connecting new and emerging creators with users via recommendation algorithms. As an integral part of the squad, you will collaborate with engineers, research scientists and data scientists in prototyping and productizing state-of-the-art ML.What You'll DoContribute to designing, building, evaluating, shipping, and refining Spotifys personalization products by hands-on ML developmentCollaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant waysPrototype new approaches and productionize solutions at scale for our hundreds of millions of active usersPromote and role-model best practices of ML systems development, testing, evaluation, etc., both inside the team as well as throughout the organizationBe part of an active group of machine learning practitioners in Europe (and across Spotify) collaborating with one anotherTogether with a wide range of collaborators, help develop a creator-first vision and strategy that keeps Spotify at the forefront of innovation in the field.Who You AreYou have a strong background in machine learning, enjoy applying theory to develop real-world applications, with experience and expertise in bandit algorithms, LLMs, general neural networks, and/or other methods relevant to recommendation systemsYou have hands-on experience implementing production machine learning systems at scale in Java, Scala, Python, or similar languages. Experience with TensorFlow, PyTorch, Scikit-learn, etc. is a strong plusYou have some experience with large scale, distributed data processing frameworks/tools like Apache Beam, Apache Spark, or even our open source API for it - Scio, and cloud platforms like GCP or AWSYou care about agile software processes, data-driven development, reliability, and disciplined experimentationYou love your customers even more than your codeWhere You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the European region as long as we have a work location.This team operates within the GMT/CET time zone for collaboration.Excluding France due to on-call restrictions."
2522323,"Customer Success Manager , Germany - 12 Months Fixed Term","https://jobs.lever.co/spotify/82fde7c2-d040-48da-916e-fa83930fe336","Spotify","Berlin","No",3,"Full time","2025-03-01T16:45:26.043956Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. This role is a fixed-term position for 12 months. We are looking for a highly motivated individual to join our Customer Success team on a 12-month fixed-term basis. In this role, you will be responsible for supporting the sales cycle from RFP submission to campaign optimization, upselling and wrap up, while providing proactive consultative client service with a focus on both protecting and growing revenue. This client facing role includes strategic planning, consultative selling, project management and data led storytelling. You will be a reliable and crucial market team member who can anticipate and provide solutions to meet ongoing client needs. Above all, your work will impact the way the world experiences music and podcasts.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoBuild deep client relationships to deliver outstanding customer service to Spotifys advertiser and agency partners.Act as the clients primary point of contact, fielding requests &amp; questions and interacting directly with clients throughout the sales and campaign lifecycle.Be responsible for the RFP response and media planning strategy across all buying channelsRegularly participate in client meetings to deepen relationships via high value client engagement, including campaign prep &amp; launch, ongoing optimization recommendations, campaign reporting, and wrap ups.Partner with cross-functional internal organizations to structure campaigns to meet important metrics and deliver desired outcomes.Lead all aspects of the campaign set up, launch and activation processes, including creative production management, spec review, asset collection, and ensuring accurate creative trafficking.Monitor campaign pacing, delivery and performance reporting and optimize/revise media plans to meet client objectives.Leverage campaign reporting and insights to proactively identify, pitch, and close incremental and expansion opportunities to help grow the business.Lead projects involving sophisticated work streams and cross-functional collaboration (internally and externally).Serve as the product authority by educating clients and their agencies on Spotifys new and existing products, as well as advising on standard processes and tailored campaign optimizations.Review, interpret and present data, including brand measurement studies, providing comprehensive campaign insights, recommendations, and findings via effective data storytelling.Own the post-campaign analysis with takeaways and recommendations to drive repeat business.Collaborate cross-functionally on initial billing and revisions to ensure invoices are accurate and delivered on time.Adhere to internal standard methodology guidelines, processes, and operating cadences.Who You AreYou have a Bachelor's degree, preferably in Sales, Advertising, Marketing, or Business.You have a minimum of 3 years experience in digital media, planning and/or buying.You have strong industry knowledge and a desire to grow within the digital media industry.You have a strong understanding of advertising performance metrics and the advertising ecosystem.You have a working knowledge of the programmatic advertising space, including its opportunities and challenges.You have a reputation of providing outstanding customer service.You have the ability to translate client requests to make recommendations that meet business objectives and deliver desired outcomes.You are able to craft impactful sales rationale stories by using data and research.You are a highly organized and focused multi-tasker with strong attention to detail who can work independently within a team focused organization. ou work effectively with cross-functional teams and all levels of management (internally and externally).You thrive in a fast-paced, deadline and detailed oriented environment and have excellent verbal, written, and presentation skills.You possess strong presentation and communication skills.You have excellent dexterity in Excel and PowerPoint, and have experience working within CRMs, OMSs, ad servers and other digital media tech systems.Fluent German and English language, spoken and written is required.Please apply to this role with a cv/resume in English.Where You'll BeThis role is based in Berlin, Hamburg, Dsseldorf, Frankfurt or Munich, GermanyWe offer you the flexibility to work where you work best! There will be in person meetings and we ask that you come in 2-3 times per week."
2522322,"Business Marketing Manager,  Formats & Measurement","https://jobs.lever.co/spotify/4e5689c0-47f3-491b-ab22-2de17fcf6564","Spotify","New York","Yes",7,"Full time","2025-03-01T16:45:26.043979Z","Spotify Advertising Business Marketing team mission is to inspire advertisers and marketers to connect with billions of fans. This role will lead marketing strategy and efforts aimed at advancing our video products and deepening engagement with advertisers &amp; agencies globally. We are looking for a seasoned marketer who is an excellent collaborator and effective operator. This position reports to the Associate Director of Advertising Business Marketing.The United States base range for this position is  $120,185 - $171,693, plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll Do:Grow demand for Spotify ads solutions among marketers and advertisersDrive the positioning and go to market strategy for priority product solutionsLead and execute supporting content modules and collateral, and amplify via owned and earned channels, including events, social, website etc.Be a champion of product insights and strategies that accelerate growth globallyDeliver new and strategically resonant messaging and sales materials, managing complex internal processes and multiple stakeholders to deliver deeper client engagement and significant business growthBe obsessed with the Spotify Advertising platform; our data, ad products, podcasts, measurement and enabling success for our customersBe able to flex, re-prioritize and take on additional projects when there are shifts in the businessWho You Are:BA or BS degreeA min of 7+ years of experience in marketing; agency, media, business or sales marketing experience a plusFamiliarity with or experience with digital advertising platforms highly preferredAbility to take technical, complex topics and synthesize into digestible and compelling messagingDemonstrated ability to deliver innovative, effective marketing campaigns, with an emphasis on account based marketingAn effective communicator, collaborator and operator who can rally XFN teams to deliver Experience working cross-functionally with marketing, product and sales stakeholdersExperience working with international marketing teams to achieve significant business growth in a variety of market contextsAnalytical, data-driven mindset coupled with strong written and verbal communication skills - experience successfully crafting messaging and sales narratives as well as analyzing impactWhere You'll Be:We offer you the flexibility to work where you work best! For this role, you can be within the US region as long as we have a work location.This team operates within the Eastern or Western time zone for collaboration."
2510329,"Senior Research Scientist","https://jobs.lever.co/spotify/1224a423-ac51-4023-a027-f914b7185ab6","Spotify","London","No","Not specified","Full time","2025-03-01T16:45:26.044011Z","Spotify has more than 600M listeners in more than 180 markets around the world, who use our music, podcast, and audiobook services to find what delights, entertains, educates, and informs them. Personalization is a high impact organization that provides the technology to serve them what they expect to find, to help them explore and find new things to enjoy, and to suggest things they might not be aware of that they would like.We are looking for a Senior Research Scientist with a machine learning background to help us improve personalization experiences by integrating state-of-the-art generative AI technologies into our recommender systems. You will join a team of machine learning researchers whose focus is on innovating the Spotify experience through researching and developing ML technologies that power intelligent user experiences for long-term satisfaction.You will be part of an interdisciplinary team focusing on ensuring that the foundations of Spotify technologies are at or above the state of the art and, in the process, redefine the state of the art for the field and contributing to the wider research community by publishing papers. Our team has strong ties internally to product groups as well as externally to the research community.What You'll DoParticipate in groundbreaking research in machine learning and artificial intelligence with a focus on large-scale foundation models.Apply your scientific knowledge to analyze and collect data, perform analyses, conduct experiments and identify problems, as well as devise solutions through hands-on ML development. Work on practical applications such as recommendation, search, voice and language understanding, and areas related to music and talk audio.Work in collaboration with other scientists, engineers, product managers, designers, user researchers, and analysts across Spotify to design creative solutions to challenging problems.You'll have product impact, while working on and further developing a long-term research roadmap.You will maintain a research profile through external engagement such as publishing, giving talks, and being an active community member at top conferences.Who You AreYou have a Masters or PhD in machine learning, data science, or related areas or are enrolled in an advanced degree program.Demonstrated expertise in machine learning or artificial intelligence through peer-reviewed publications at conferences or journals such as NeurIPS, ICML, ICLR, KDD or related.A solid understanding of machine learning and past research experience on recommender systems.Solid hands-on skills in implementing advanced ML algorithms, as well as sourcing, cleaning, analyzing and modeling of large-scale real data.You have a passion for making sense of user behavior, especially talk and music content, using the best available methods.You're a creative problem-solver who is passionate about digging into complex problems and devising new approaches to reach results.Where You'll BeWe offer you the flexibility to work where you work best! For this role, you can be within the UK region as long as we have a work location.This team operates within the GMT time zone for collaboration."
2510327,"Senior Analyst, Sales Operations","https://jobs.lever.co/spotify/fbd809af-26e0-45ca-81e4-186c9b8078b6","Spotify","New York","No",4,"Full time","2025-03-01T16:45:26.044033Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. Spotify is seeking a Senior Analyst to join the Sales Operations team, based in New York City. The Sales Operations team is dedicated to driving the growth and success of Spotifys ads business. We strive to be a trustworthy and unbiased partner for Sales Leadership, focusing on planning, encouraging collaboration across functions, and upholding operational efficiency. Reporting  to the head of Global Mid-Market / SMB Sales Operations, this role is aligned with the US and Canada Mid-Market ad sales teams, which focus on driving advertiser acquisition, retention, and growth at scale. In this position, you will partner with Sales Leadership in these regions and collaborate with Product, Vendor Sales, Marketing, and Sales Systems &amp; Tooling teams to identify growth opportunities, implement strategies to capture them and enhance the operational framework supporting the Sales team.The United States base range for this position is $89,000 - $127,143 plus equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What Youll DoStrategic Partnership: Act as a strategic thought partner to regional Sales Leaders and collaborate with cross-functional partners to drive revenue growth.Data-Driven Insights: Identify business insights using both internal data and external market intelligence to inform decision-making and strategy.Performance Benchmarking: Set and align individual seller performance benchmarks with overarching business priorities to ensure alignment and success.Revenue Growth Strategy: Create strategies and define commercial tactics to grow revenue, active customers, product adoption, and sales productivity. Develop practical action plans involving, coordinating, and working with collaborators for successful implementation.Project Management: Assist sales leadership in advancing key projects and pivotal initiatives to boost revenue.Streamline the sales process by implementing standard methodologies and consistently improving key workflows. Identify education and tooling needs for the Sales team and collaborate with Sales Ops and cross-functional partners to address them.Market Analysis and Prioritization: Identify areas of market opportunity and address gaps by prioritizing customer segments accordingly.Who You AreGrowth Mindset and Problem-Solving: You possess a growth mindset, thrive in fast-paced environments, and are a critical thinker and creative problem solver who approaches challenges with inquisitiveness and adaptability.Autonomy and Navigating Ambiguity: You work well independently, make decisions effectively, and excel at getting results in ambiguous or undefined situations.Collaboration and Cross-Functional Partnership: You excel at working with multiple departments and individuals to achieve shared solutions that drive revenue growth. Your communication and interpersonal skills enable you to effectively develop and present business and technical content.Analytical and Quantitative Skills: You bring strong analytical rigor and quantitative expertise to identify trends, propose solutions, and improve sales processes. You are proficient in spreadsheet analytics and program management/operational skills.Project Management and Adaptability: You can juggle multiple concurrent projects, prioritize initiatives, define milestones or KPIs, and deliver results with ownership and flexibility in a highly dynamic environment. ales Organization and Leadership Support: You have experience partnering with sales teams and leadership, offering creativity, empathy, and a commitment to driving productivity.Technical Proficiency in CRM and BI Tools: You are experienced with Salesforce CRM and other sales productivity tools, as well as data visualization platforms such as Tableau, CRM Analytics, or Looker/Google Data Studio. SQL experience is preferred.Analytical and Operational Experience: Bring 4+ years of experience involving analytical rigor and program management/operational skills, typically seen in functions such as Management Consulting, Sales/Business Operations, Finance, or other similar areas.Media and Advertising Knowledge: You have exposure to or interest in the media and advertising market, bringing valuable insights into the industry.Educational Background: You hold a Bachelors degree or higher in a related field from a leading university or equivalent experience.Where You'll BeThis position will be based in New YorkWe offer you the flexibility to work where you work best. There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come into the New York office 2 times per week."
2510325,"Quantitative User Researcher II","https://jobs.lever.co/spotify/951edfa3-4de3-4d91-89cd-3002bdaacf27","Spotify","Stockholm","No",5,"Full time","2025-03-01T16:45:26.044052Z","We collaborate with Business, Product, Design and Tech across the entire user funnel, from onboarding and activating people to the platform to retaining existing users through meaningful product experiences and services. All of this in service of our mission to unlock the potential of human creativityby giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it.As a member of our Product Insights team, you will join a group of highly motivated and passionate individuals, specializing in User Research, Data Science and Analytics Engineering. You will lead surveys to understand user needs, habits and behaviour across the user journey, and provide critical input when shaping compelling, user relevant offerings and experiences. This is a highly impactful role where you and the rest of the team will be able to directly impact how millions of Spotify users are supported around the world.What You'll DoIdentify opportunities for user research to address key business questions and inform new value propositions, product improvements or innovation across the user journey. Design and execute comprehensive research plans, including methodology selection, sample design and data collection, developing effective surveys that are aligned with research objectives and that meet quality standards.Analyze quantitative data from internal and external sources to identify key market and user trends, patterns, and insights.Inspire teams by employing a wide range of frameworks and storytelling techniques to communicate results and recommendations to business, product, design and engineering teams.Build trusted relationships with stakeholders to drive impact and translate insights into product improvements, new features and business strategies. Track the impact of research on business outcomes.Who You Are5+ years experience of designing and executing surveys, working with statistical software and tools (e.g., SPSS, R, SQL, Python, Excel) to analyze data and generate insights.Excellent project management skills, leading research across all stages of the projectA self starter, with a proven ability to turn ambiguous and unstructured questions into clear research objectives and plansAn engaging storyteller and communicator, comfortable presenting complex information to a variety of audiencesThrive in a fast paced, highly collaborative, and international environmentPassion for learning and growing in the field of quantitative user research and contributing to the practice within Spotify.Relevant experience in a consumer tech/product company is a plusWhere You'll Be This role is based in Stockholm, SwedenWe offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home."
2510323,"Program Manager, Revenue Programs, Emerging & Scaled - London","https://jobs.lever.co/spotify/abcb7287-a4af-44c4-8bcb-f3b49ba84f81","Spotify","London","No",7,"Full time","2025-03-01T16:45:26.044072Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. We are looking for a Program Manager to oversee vendor operations within our Emerging and Scaled Revenue Programs organization. This role will be responsible for managing vendor relationships and optimizing operations of the team who work on campaign set-up, troubleshooting and optimization, and operational tasks across EMEA and JAPAC. Reporting to the Global Head of Revenue Programs, this position is a full-time role and is based out of London.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoLead vendor operations who focus on campaign set-up, troubleshooting and optimization, and operational tasks in EMEA and JAPAC.Develop and implement strategies to optimize vendor operations and improve performance across all stages of the customer lifecycle.Collaborate with the vendor team to design and execute operational playbooks, process optimizations, and automation.Train sales leadership at vendor sites on Spotify Ads, campaign management and optimization, and tooling.Utilize data and analytics to manage sales support requests, customer engagement, and identify opportunities for improvement.Work cross-functionally to streamline processes and drive efficiency across the customer lifecycle.Work closely with Emerging &amp; Scaled Sales Leadership and Client Partners to evolve the model and roles &amp; responsibilities to GTM needs.Who You AreA minimum of 7+ years of relevant professional experience, ideally within Ad Ops or Customer Success at an agency or ad platform company and 2+ years in vendor management.Proven track record of leading teams to achieve and exceed SLAs and targets.Deep understanding of ad ops and experience designing scalable strategies, account management processes, and CRM tools.Experience managing vendor relationships and optimizing operations for efficiency.Strong analytical skills and ability to translate data into actionable insights.Fluent in English; additional languages spoken in EMEA regions are a plus.Where You'll BeThis role is based in the London officeWe offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come into the office 2-3 times per week."
2510322,"Automation Lead (ProgramMatic), São Paulo","https://jobs.lever.co/spotify/bc4751cf-9afc-429b-acd9-e4697f027b9c","Spotify","São Paulo","No",6,"Full time","2025-03-01T16:45:26.044092Z","Sell what you love. For us and millions of users across the globe, thats Spotify. Join the Sales team and youll build the relationships that help grow our business in existing markets and beyond. We dont just sell creative solutions to our clients and partners, we help to shape them; using our expert knowledge of ad products, sales channels and the industry to impact the way the world experiences music and podcasts. We are looking for an outstanding Automation Lead (Programmatic) to join our team. Were looking for someone with a proven record of revenue generation in the programmatic advertising field, with deep relationships across agencies, agency trading desks and DSPs. You will have a passion for online media, data and ad tech. We want someone who loves our product and understands the programmatic ecosystem.Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or whats playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. Its in our differences that we will find the power to keep revolutionizing the way the world listens.Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the worlds most popular audio streaming subscription service.What You'll DoYou will be the programmatic expert and evangelist in the sales organization, applying our diverse programmatic and data offering to drive revenue via Programmatic Guaranteed, PMP and open auction Grow programmatic advertising revenues by creating, maintaining, and sustaining relationships with DSPs, agencies, trading desks and appropriate demand partnersSell programmatic across audio, video and display, with a knowledge of mobile app based programmatic salesWork with collaboratively with our sales leadership team on strategic programmatic selling in market, pitching to agency and brandsSupport and up level the wider sales team via internal education, co-selling in market, being the go to person for planning and executionMeet and exceed quarterly revenue goalsRepresent Spotify at events and serve as a brand ambassadorManage activity using salesforce, provide accurate and timely forecasting, and report on meeting activityWho You AreYou have a Bachelors degreeYou have 6+ years experience in a programmatic and/or digital media sales roleYou strategically use data and insights to inform client investment strategyYou have a deep understanding of the digital ecosystem and trends around programmatic technology, best practices, opportunities, and challengesYou have strong negotiation skills and the ability to present effectively and close the dealYou have the ability to build a pipeline and proven track record of exceeding goalsYou are a great teammate, hard-working, adapt well with change and have a positive attitudeFluent Portuguese and English language, spoken and written is requiredPlease apply to this role with a cv/resume in EnglishWhere You'll BeThis position will be based in So PauloWe offer you the flexibility to work where you work best! There will be some in person meetings, but still allows for flexibility to work from home. We ask that you come into the So Paulo office 2-3 times per week."
